fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_smithj,results_ellisk,results_schmitzt,results_absentee_smithj,results_absentee_ellisk,results_absentee_schmitzt,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
29099,Jefferson,31079,8522,15,15,Released as a precinct as first report of the night,100,31079,>98%,>98% reported,edison,6,all,15296,20940,9362,777,4798,3594,130,2020-11-16T15:48:16Z,37.25345,R+37,Smith +37,republican,MO-G-H-8-2020-11-03,mo-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",329996,19543,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,408,440,93% reporting,93%,94,350000,edison,94%,94% reported,edison,republican,FALSE,2020-11-16T15:48:09Z,TRUE,55.49825,183142,R+55,Smith +55,republican,"","",0,0,1604460670594
29123,Madison,5588,0,8,8,None,100,5588,>98%,>98% reported,edison,6,unknown,1022,4411,1082,95,0,0,0,2020-11-16T15:48:03Z,59.57409,R+60,Smith +60,republican,MO-G-H-8-2020-11-03,mo-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",329996,19543,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,408,440,93% reporting,93%,94,350000,edison,94%,94% reported,edison,republican,FALSE,2020-11-16T15:48:09Z,TRUE,55.49825,183142,R+55,Smith +55,republican,"","",0,0,1604460670594
29133,Mississippi,4615,0,7,9,Released as a precinct as first report of the night,100,4615,>98%,>98% reported,edison,6,all,568,3457,1077,81,0,0,0,2020-11-16T15:48:03Z,51.57096,R+52,Smith +52,republican,MO-G-H-8-2020-11-03,mo-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",329996,19543,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,408,440,93% reporting,93%,94,350000,edison,94%,94% reported,edison,republican,FALSE,2020-11-16T15:48:09Z,TRUE,55.49825,183142,R+55,Smith +55,republican,"","",0,0,1604460670594
29143,New Madrid,7089,0,17,19,Released separately AFTER election night,98,7210,98%,98% reported,edison,2,unknown,581,5326,1676,87,0,0,0,2020-11-16T15:48:04Z,51.48822,R+51,Smith +51,republican,MO-G-H-8-2020-11-03,mo-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",329996,19543,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,408,440,93% reporting,93%,94,350000,edison,94%,94% reported,edison,republican,FALSE,2020-11-16T15:48:09Z,TRUE,55.49825,183142,R+55,Smith +55,republican,"","",0,0,1604460670594
29149,Oregon,4614,0,7,8,None,97,4761,97%,97% reported,edison,2,unknown,634,3713,817,84,0,0,0,2020-11-16T15:48:05Z,62.7655,R+63,Smith +63,republican,MO-G-H-8-2020-11-03,mo-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",329996,19543,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,408,440,93% reporting,93%,94,350000,edison,94%,94% reported,edison,republican,FALSE,2020-11-16T15:48:09Z,TRUE,55.49825,183142,R+55,Smith +55,republican,"","",0,0,1604460670594
29153,Ozark,4744,0,11,11,Released as a precinct as first report of the night,100,4591,>98%,>98% reported,edison,2,unknown,795,3976,706,62,0,0,0,2020-11-16T15:48:05Z,68.92917,R+69,Smith +69,republican,MO-G-H-8-2020-11-03,mo-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",329996,19543,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,408,440,93% reporting,93%,94,350000,edison,94%,94% reported,edison,republican,FALSE,2020-11-16T15:48:09Z,TRUE,55.49825,183142,R+55,Smith +55,republican,"","",0,0,1604460670594
29155,Pemiscot,5496,0,22,27,Released as a precinct as first report of the night,93,5911,93%,93% reported,edison,2,unknown,834,3950,1484,62,0,0,0,2020-11-16T15:48:06Z,44.869,R+45,Smith +45,republican,MO-G-H-8-2020-11-03,mo-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",329996,19543,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,408,440,93% reporting,93%,94,350000,edison,94%,94% reported,edison,republican,FALSE,2020-11-16T15:48:09Z,TRUE,55.49825,183142,R+55,Smith +55,republican,"","",0,0,1604460670594
29157,Perry,9125,1610,18,19,Released as a separate subtotal as first report of the night,100,8564,>98%,>98% reported,edison,4,all,1120,7374,1618,133,1117,471,22,2020-11-16T15:48:07Z,63.07945,R+63,Smith +63,republican,MO-G-H-8-2020-11-03,mo-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",329996,19543,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,408,440,93% reporting,93%,94,350000,edison,94%,94% reported,edison,republican,FALSE,2020-11-16T15:48:09Z,TRUE,55.49825,183142,R+55,Smith +55,republican,"","",0,0,1604460670594
29161,Phelps,19292,0,19,20,None,95,20370,95%,95% reported,edison,2,unknown,3112,13549,5289,454,0,0,0,2020-11-16T15:48:08Z,42.81567,R+43,Smith +43,republican,MO-G-H-8-2020-11-03,mo-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",329996,19543,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,408,440,93% reporting,93%,94,350000,edison,94%,94% reported,edison,republican,FALSE,2020-11-16T15:48:09Z,TRUE,55.49825,183142,R+55,Smith +55,republican,"","",0,0,1604460670594
29179,Reynolds,3156,0,13,14,Released as a precinct as first report of the night,100,3098,>98%,>98% reported,edison,2,unknown,616,2546,546,64,0,0,0,2020-11-16T15:48:09Z,63.37136,R+63,Smith +63,republican,MO-G-H-8-2020-11-03,mo-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",329996,19543,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,408,440,93% reporting,93%,94,350000,edison,94%,94% reported,edison,republican,FALSE,2020-11-16T15:48:09Z,TRUE,55.49825,183142,R+55,Smith +55,republican,"","",0,0,1604460670594
29181,Ripley,5564,0,6,7,Released as a precinct as first report of the night,100,5564,>98%,>98% reported,edison,6,all,717,4654,840,70,0,0,0,2020-11-16T15:48:10Z,68.54781,R+69,Smith +69,republican,MO-G-H-8-2020-11-03,mo-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",329996,19543,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,408,440,93% reporting,93%,94,350000,edison,94%,94% reported,edison,republican,FALSE,2020-11-16T15:48:09Z,TRUE,55.49825,183142,R+55,Smith +55,republican,"","",0,0,1604460670594
29201,Scott,17445,0,19,21,Released as a precinct as first report of the night,100,17445,>98%,>98% reported,edison,6,unknown,1589,13547,3671,227,0,0,0,2020-11-16T15:48:11Z,56.61221,R+57,Smith +57,republican,MO-G-H-8-2020-11-03,mo-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",329996,19543,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,408,440,93% reporting,93%,94,350000,edison,94%,94% reported,edison,republican,FALSE,2020-11-16T15:48:09Z,TRUE,55.49825,183142,R+55,Smith +55,republican,"","",0,0,1604460670594
29203,Shannon,3798,625,7,8,Released as a precinct as first report of the night,95,3982,95%,95% reported,edison,4,all,706,3038,717,43,388,232,5,2020-11-16T15:48:12Z,61.11111,R+61,Smith +61,republican,MO-G-H-8-2020-11-03,mo-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",329996,19543,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,408,440,93% reporting,93%,94,350000,edison,94%,94% reported,edison,republican,FALSE,2020-11-16T15:48:09Z,TRUE,55.49825,183142,R+55,Smith +55,republican,"","",0,0,1604460670594
29187,St. Francois,27246,0,22,22,Released as a separate subtotal as first report of the night,100,27187,>98%,>98% reported,edison,2,unknown,3432,19500,7170,576,0,0,0,2020-11-16T15:48:10Z,45.25435,R+45,Smith +45,republican,MO-G-H-8-2020-11-03,mo-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",329996,19543,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,408,440,93% reporting,93%,94,350000,edison,94%,94% reported,edison,republican,FALSE,2020-11-16T15:48:09Z,TRUE,55.49825,183142,R+55,Smith +55,republican,"","",0,0,1604460670594
29186,Ste. Genevieve,9049,1850,13,13,Released as a precinct as first report of the night,97,9310,97%,97% reported,edison,4,all,888,6167,2704,178,1008,820,22,2020-11-16T15:48:17Z,38.26942,R+38,Smith +38,republican,MO-G-H-8-2020-11-03,mo-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",329996,19543,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,408,440,93% reporting,93%,94,350000,edison,94%,94% reported,edison,republican,FALSE,2020-11-16T15:48:09Z,TRUE,55.49825,183142,R+55,Smith +55,republican,"","",0,0,1604460670594
