fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_palazzos,results_write_ins,results_absentee_palazzos,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
28023,Clarke,830,98,3,3,None,82,1018,82%,82% reported,edison,2,some,708,821,9,96,2,2020-11-16T17:34:58Z,97.83133,R+98,Palazzo +98,republican,MS-G-H-4-2020-11-03,ms-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",264630,98,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,342,342,100% reporting,100%,93,284000,edison,93%,93% reported,edison,republican,FALSE,2020-11-16T17:54:02Z,TRUE,93.44745,247290,R+93,Palazzo +93,republican,"","",7,0,1604451743702
28035,Forrest,25293,0,34,34,None,90,28064,90%,90% reported,edison,4,unknown,1294,23635,1658,0,0,2020-11-16T15:48:10Z,86.88965,R+87,Palazzo +87,republican,MS-G-H-4-2020-11-03,ms-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",264630,98,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,342,342,100% reporting,100%,93,284000,edison,93%,93% reported,edison,republican,FALSE,2020-11-16T17:54:02Z,TRUE,93.44745,247290,R+93,Palazzo +93,republican,"","",7,0,1604451743702
28039,George,10086,0,22,22,Released as a separate subtotal at the end of tabulation,100,9973,>98%,>98% reported,edison,6,unknown,208,9944,142,0,0,2020-11-16T15:48:10Z,97.18422,R+97,Palazzo +97,republican,MS-G-H-4-2020-11-03,ms-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",264630,98,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,342,342,100% reporting,100%,93,284000,edison,93%,93% reported,edison,republican,FALSE,2020-11-16T17:54:02Z,TRUE,93.44745,247290,R+93,Palazzo +93,republican,"","",7,0,1604451743702
28041,Greene,5096,0,13,13,Released as a precinct at the end of tabulation,95,5369,95%,95% reported,edison,2,unknown,700,5035,61,0,0,2020-11-16T15:48:11Z,97.60597,R+98,Palazzo +98,republican,MS-G-H-4-2020-11-03,ms-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",264630,98,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,342,342,100% reporting,100%,93,284000,edison,93%,93% reported,edison,republican,FALSE,2020-11-16T17:54:02Z,TRUE,93.44745,247290,R+93,Palazzo +93,republican,"","",7,0,1604451743702
28045,Hancock,17196,0,25,25,None,97,17637,97%,97% reported,edison,4,unknown,860,17196,0,0,0,2020-11-16T15:48:11Z,100,R+100,Palazzo +100,republican,MS-G-H-4-2020-11-03,ms-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",264630,98,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,342,342,100% reporting,100%,93,284000,edison,93%,93% reported,edison,republican,FALSE,2020-11-16T17:54:02Z,TRUE,93.44745,247290,R+93,Palazzo +93,republican,"","",7,0,1604451743702
28047,Harrison,60650,0,53,53,None,96,63313,96%,96% reported,edison,2,unknown,2776,57126,3524,0,0,2020-11-16T15:48:11Z,88.37923,R+88,Palazzo +88,republican,MS-G-H-4-2020-11-03,ms-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",264630,98,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,342,342,100% reporting,100%,93,284000,edison,93%,93% reported,edison,republican,FALSE,2020-11-16T17:54:02Z,TRUE,93.44745,247290,R+93,Palazzo +93,republican,"","",7,0,1604451743702
28059,Jackson,43763,0,32,32,None,100,38057,>98%,>98% reported,edison,6,unknown,1386,42158,1605,0,0,2020-11-16T19:16:25Z,92.66504,R+93,Palazzo +93,republican,MS-G-H-4-2020-11-03,ms-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",264630,98,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,342,342,100% reporting,100%,93,284000,edison,93%,93% reported,edison,republican,FALSE,2020-11-16T17:54:02Z,TRUE,93.44745,247290,R+93,Palazzo +93,republican,"","",7,0,1604451743702
28067,Jones,25291,0,37,37,None,89,28352,89%,89% reported,edison,2,some,1822,25291,0,0,0,2020-11-16T15:48:12Z,100,R+100,Palazzo +100,republican,MS-G-H-4-2020-11-03,ms-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",264630,98,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,342,342,100% reporting,100%,93,284000,edison,93%,93% reported,edison,republican,FALSE,2020-11-16T17:54:02Z,TRUE,93.44745,247290,R+93,Palazzo +93,republican,"","",7,0,1604451743702
28073,Lamar,24821,0,23,23,Released as a separate subtotal at the end of tabulation,100,24592,>98%,>98% reported,edison,4,unknown,946,24080,741,0,0,2020-11-16T15:48:13Z,94.02925,R+94,Palazzo +94,republican,MS-G-H-4-2020-11-03,ms-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",264630,98,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,342,342,100% reporting,100%,93,284000,edison,93%,93% reported,edison,republican,FALSE,2020-11-16T17:54:02Z,TRUE,93.44745,247290,R+93,Palazzo +93,republican,"","",7,0,1604451743702
28091,Marion,9991,0,22,22,None,85,11693,85%,85% reported,edison,4,unknown,980,9834,157,0,0,2020-11-16T15:48:13Z,96.85717,R+97,Palazzo +97,republican,MS-G-H-4-2020-11-03,ms-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",264630,98,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,342,342,100% reporting,100%,93,284000,edison,93%,93% reported,edison,republican,FALSE,2020-11-16T17:54:02Z,TRUE,93.44745,247290,R+93,Palazzo +93,republican,"","",7,0,1604451743702
