fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,results_perlmuttere,results_stockhamc,results_bilesk,results_olsztad,results_absentee_perlmuttere,results_absentee_stockhamc,results_absentee_bilesk,results_absentee_olsztad,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
08001,Adams,161249,0,183,190,Other,97,166969,97%,97% reported,edison,4,all,94761,60257,5009,1222,0,0,0,0,2020-11-16T15:48:15Z,21.39796,D+21,Perlmutter +21,democrat,CO-G-H-7-2020-11-03,co-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,solid-dem,7,District 7,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",423690,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,392,409,96% reporting,96%,96,442000,edison,96%,96% reported,edison,democrat,FALSE,2020-11-16T15:47:41Z,TRUE,21.5306,91223,D+22,Perlmutter +22,democrat,"","",0,0,1604457638294
08059,Jefferson,262441,0,209,219,Other,100,242455,>98%,>98% reported,edison,4,all,155763,99044,6501,1133,0,0,0,0,2020-11-16T15:48:15Z,21.6121,D+22,Perlmutter +22,democrat,CO-G-H-7-2020-11-03,co-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,solid-dem,7,District 7,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",423690,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,392,409,96% reporting,96%,96,442000,edison,96%,96% reported,edison,democrat,FALSE,2020-11-16T15:47:41Z,TRUE,21.5306,91223,D+22,Perlmutter +22,democrat,"","",0,0,1604457638294
