fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_mullinm,results_lanierd,results_castaldor,results_absentee_mullinm,results_absentee_lanierd,results_absentee_castaldor,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
40069,Johnston,4200,994,14,14,Released as a separate subtotal as first report of the night,100,4200,>98%,>98% reported,edison,10,unknown,1016,3364,722,114,734,240,20,2020-11-16T15:48:19Z,62.90476,R+63,Mullin +63,republican,OK-G-H-2-2020-11-03,ok-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oklahoma.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,OK,oklahoma,Oklahoma,Okla.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",288527,68218,26,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,518,518,100% reporting,100%,99,288527,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-16T15:48:24Z,TRUE,53.04148,153039,R+53,Mullin +53,republican,0,0,1604457012527
40077,Latimer,4198,923,12,12,Released as a separate subtotal as first report of the night,100,4198,>98%,>98% reported,edison,10,unknown,992,3290,801,107,626,282,15,2020-11-16T15:48:20Z,59.29014,R+59,Mullin +59,republican,OK-G-H-2-2020-11-03,ok-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oklahoma.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,OK,oklahoma,Oklahoma,Okla.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",288527,68218,26,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,518,518,100% reporting,100%,99,288527,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-16T15:48:24Z,TRUE,53.04148,153039,R+53,Mullin +53,republican,0,0,1604457012527
40079,LeFlore,18600,3949,37,37,Released as a separate subtotal as first report of the night,100,18600,>98%,>98% reported,edison,10,unknown,3581,14773,3368,459,2821,1070,58,2020-11-16T15:48:21Z,61.3172,R+61,Mullin +61,republican,OK-G-H-2-2020-11-03,ok-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oklahoma.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,OK,oklahoma,Oklahoma,Okla.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",288527,68218,26,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,518,518,100% reporting,100%,99,288527,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-16T15:48:24Z,TRUE,53.04148,153039,R+53,Mullin +53,republican,0,0,1604457012527
40095,Marshall,6031,1560,11,11,Released as a separate subtotal as first report of the night,100,6031,>98%,>98% reported,edison,10,unknown,1757,4854,1043,134,1182,357,21,2020-11-16T15:48:29Z,63.19018,R+63,Mullin +63,republican,OK-G-H-2-2020-11-03,ok-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oklahoma.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,OK,oklahoma,Oklahoma,Okla.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",288527,68218,26,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,518,518,100% reporting,100%,99,288527,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-16T15:48:24Z,TRUE,53.04148,153039,R+53,Mullin +53,republican,0,0,1604457012527
40097,Mayes,16533,3002,27,27,Released as a separate subtotal as first report of the night,100,16533,>98%,>98% reported,edison,10,all,3038,12541,3431,561,1877,1050,75,2020-11-16T15:48:23Z,55.10192,R+55,Mullin +55,republican,OK-G-H-2-2020-11-03,ok-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oklahoma.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,OK,oklahoma,Oklahoma,Okla.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",288527,68218,26,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,518,518,100% reporting,100%,99,288527,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-16T15:48:24Z,TRUE,53.04148,153039,R+53,Mullin +53,republican,0,0,1604457012527
40089,McCurtain,11343,2104,30,30,Released as a separate subtotal as first report of the night,100,11343,>98%,>98% reported,edison,10,unknown,1856,9281,1890,172,1495,577,32,2020-11-16T15:48:22Z,65.15913,R+65,Mullin +65,republican,OK-G-H-2-2020-11-03,ok-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oklahoma.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,OK,oklahoma,Oklahoma,Okla.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",288527,68218,26,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,518,518,100% reporting,100%,99,288527,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-16T15:48:24Z,TRUE,53.04148,153039,R+53,Mullin +53,republican,0,0,1604457012527
40091,McIntosh,8271,1911,14,14,Released as a separate subtotal as first report of the night,100,8271,>98%,>98% reported,edison,10,unknown,1342,6033,2055,183,1239,638,34,2020-11-16T15:48:23Z,48.09576,R+48,Mullin +48,republican,OK-G-H-2-2020-11-03,ok-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oklahoma.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,OK,oklahoma,Oklahoma,Okla.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",288527,68218,26,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,518,518,100% reporting,100%,99,288527,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-16T15:48:24Z,TRUE,53.04148,153039,R+53,Mullin +53,republican,0,0,1604457012527
40101,Muskogee,24965,7053,33,33,Released as a separate subtotal as first report of the night,100,24965,>98%,>98% reported,edison,10,all,6520,16382,7777,806,3698,3183,172,2020-11-16T15:48:24Z,34.46826,R+34,Mullin +34,republican,OK-G-H-2-2020-11-03,ok-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oklahoma.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,OK,oklahoma,Oklahoma,Okla.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",288527,68218,26,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,518,518,100% reporting,100%,99,288527,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-16T15:48:24Z,TRUE,53.04148,153039,R+53,Mullin +53,republican,0,0,1604457012527
40105,Nowata,4371,1133,11,11,Released as a separate subtotal as first report of the night,100,4371,>98%,>98% reported,edison,10,unknown,1032,3528,722,121,873,237,23,2020-11-16T15:48:25Z,64.19584,R+64,Mullin +64,republican,OK-G-H-2-2020-11-03,ok-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oklahoma.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,OK,oklahoma,Oklahoma,Okla.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",288527,68218,26,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,518,518,100% reporting,100%,99,288527,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-16T15:48:24Z,TRUE,53.04148,153039,R+53,Mullin +53,republican,0,0,1604457012527
40107,Okfuskee,4007,938,13,13,Released as a separate subtotal as first report of the night,100,4007,>98%,>98% reported,edison,10,unknown,851,2958,942,107,607,306,25,2020-11-16T15:48:25Z,50.31195,R+50,Mullin +50,republican,OK-G-H-2-2020-11-03,ok-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oklahoma.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,OK,oklahoma,Oklahoma,Okla.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",288527,68218,26,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,518,518,100% reporting,100%,99,288527,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-16T15:48:24Z,TRUE,53.04148,153039,R+53,Mullin +53,republican,0,0,1604457012527
