fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_hartzlerv,results_simmonsl,results_koonses,results_absentee_hartzlerv,results_absentee_simmonsl,results_absentee_koonses,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
29059,Dallas,7961,0,13,13,Released as a precinct as first report of the night,100,7961,>98%,>98% reported,edison,6,unknown,1130,6498,1255,208,0,0,0,2020-11-16T15:48:03Z,65.85856,R+66,Hartzler +66,republican,MO-G-H-4-2020-11-03,mo-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",362526,16723,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,365,378,97% reporting,97%,97,375000,edison,97%,97% reported,edison,republican,FALSE,2020-11-16T15:48:04Z,TRUE,37.93824,137536,R+38,Hartzler +38,republican,"","",0,0,1604461206540
29083,Henry,10568,0,10,10,Released as a precinct as first report of the night,100,10290,>98%,>98% reported,edison,2,unknown,1635,7964,2363,241,0,0,0,2020-11-16T15:48:04Z,52.99962,R+53,Hartzler +53,republican,MO-G-H-4-2020-11-03,mo-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",362526,16723,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,365,378,97% reporting,97%,97,375000,edison,97%,97% reported,edison,republican,FALSE,2020-11-16T15:48:04Z,TRUE,37.93824,137536,R+38,Hartzler +38,republican,"","",0,0,1604461206540
29085,Hickory,4978,0,7,7,Released as a precinct as first report of the night,100,4926,>98%,>98% reported,edison,2,unknown,1836,3905,961,112,0,0,0,2020-11-16T15:48:04Z,59.14022,R+59,Hartzler +59,republican,MO-G-H-4-2020-11-03,mo-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",362526,16723,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,365,378,97% reporting,97%,97,375000,edison,97%,97% reported,edison,republican,FALSE,2020-11-16T15:48:04Z,TRUE,37.93824,137536,R+38,Hartzler +38,republican,"","",0,0,1604461206540
29089,Howard,4966,0,7,8,Released as a precinct as first report of the night,100,1801,>98%,>98% reported,edison,6,unknown,624,3474,1312,180,0,0,0,2020-11-16T15:48:14Z,43.53605,R+44,Hartzler +44,republican,MO-G-H-4-2020-11-03,mo-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",362526,16723,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,365,378,97% reporting,97%,97,375000,edison,97%,97% reported,edison,republican,FALSE,2020-11-16T15:48:04Z,TRUE,37.93824,137536,R+38,Hartzler +38,republican,"","",0,0,1604461206540
29101,Johnson,22804,0,11,11,None,100,22804,>98%,>98% reported,edison,6,all,3445,15598,6438,768,0,0,0,2020-11-16T15:48:05Z,40.16839,R+40,Hartzler +40,republican,MO-G-H-4-2020-11-03,mo-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",362526,16723,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,365,378,97% reporting,97%,97,375000,edison,97%,97% reported,edison,republican,FALSE,2020-11-16T15:48:04Z,TRUE,37.93824,137536,R+38,Hartzler +38,republican,"","",0,0,1604461206540
29105,LaClede,16652,2760,14,15,Released as a separate subtotal as first report of the night,100,16717,>98%,>98% reported,edison,4,unknown,2208,13714,2515,423,1993,722,45,2020-11-16T15:48:06Z,67.25318,R+67,Hartzler +67,republican,MO-G-H-4-2020-11-03,mo-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",362526,16723,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,365,378,97% reporting,97%,97,375000,edison,97%,97% reported,edison,republican,FALSE,2020-11-16T15:48:04Z,TRUE,37.93824,137536,R+38,Hartzler +38,republican,"","",0,0,1604461206540
29135,Moniteau,7039,0,10,11,None,98,7205,98%,98% reported,edison,2,unknown,664,5673,1199,167,0,0,0,2020-11-16T15:48:07Z,63.56016,R+64,Hartzler +64,republican,MO-G-H-4-2020-11-03,mo-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",362526,16723,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,365,378,97% reporting,97%,97,375000,edison,97%,97% reported,edison,republican,FALSE,2020-11-16T15:48:04Z,TRUE,37.93824,137536,R+38,Hartzler +38,republican,"","",0,0,1604461206540
29141,Morgan,9310,0,11,11,None,100,9204,>98%,>98% reported,edison,2,unknown,1498,7313,1762,235,0,0,0,2020-11-16T15:48:08Z,59.62406,R+60,Hartzler +60,republican,MO-G-H-4-2020-11-03,mo-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",362526,16723,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,365,378,97% reporting,97%,97,375000,edison,97%,97% reported,edison,republican,FALSE,2020-11-16T15:48:04Z,TRUE,37.93824,137536,R+38,Hartzler +38,republican,"","",0,0,1604461206540
29159,Pettis,18721,0,29,31,None,98,19108,98%,98% reported,edison,2,unknown,3571,13722,4431,568,0,0,0,2020-11-16T15:48:08Z,49.62876,R+50,Hartzler +50,republican,MO-G-H-4-2020-11-03,mo-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",362526,16723,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,365,378,97% reporting,97%,97,375000,edison,97%,97% reported,edison,republican,FALSE,2020-11-16T15:48:04Z,TRUE,37.93824,137536,R+38,Hartzler +38,republican,"","",0,0,1604461206540
29169,Pulaski,14056,0,9,9,Released as a precinct as first report of the night,100,14049,>98%,>98% reported,edison,2,none,3624,10160,3394,502,0,0,0,2020-11-16T15:48:09Z,48.13603,R+48,Hartzler +48,republican,MO-G-H-4-2020-11-03,mo-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",362526,16723,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,365,378,97% reporting,97%,97,375000,edison,97%,97% reported,edison,republican,FALSE,2020-11-16T15:48:04Z,TRUE,37.93824,137536,R+38,Hartzler +38,republican,"","",0,0,1604461206540
29175,Randolph,10558,0,14,15,None,97,10903,97%,97% reported,edison,2,unknown,1270,7898,2325,335,0,0,0,2020-11-16T15:48:14Z,52.78462,R+53,Hartzler +53,republican,MO-G-H-4-2020-11-03,mo-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",362526,16723,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,365,378,97% reporting,97%,97,375000,edison,97%,97% reported,edison,republican,FALSE,2020-11-16T15:48:04Z,TRUE,37.93824,137536,R+38,Hartzler +38,republican,"","",0,0,1604461206540
29185,St. Clair,4914,728,10,10,Released as a precinct as first report of the night,100,4784,>98%,>98% reported,edison,6,unknown,782,3845,965,104,457,259,12,2020-11-16T15:48:11Z,58.60806,R+59,Hartzler +59,republican,MO-G-H-4-2020-11-03,mo-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",362526,16723,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,365,378,97% reporting,97%,97,375000,edison,97%,97% reported,edison,republican,FALSE,2020-11-16T15:48:04Z,TRUE,37.93824,137536,R+38,Hartzler +38,republican,"","",0,0,1604461206540
29217,Vernon,9038,0,16,17,Released as a precinct as first report of the night,100,8961,>98%,>98% reported,edison,2,unknown,1666,7126,1749,163,0,0,0,2020-11-16T15:48:11Z,59.49325,R+59,Hartzler +59,republican,MO-G-H-4-2020-11-03,mo-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",362526,16723,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,365,378,97% reporting,97%,97,375000,edison,97%,97% reported,edison,republican,FALSE,2020-11-16T15:48:04Z,TRUE,37.93824,137536,R+38,Hartzler +38,republican,"","",0,0,1604461206540
29225,Webster,13957,7296,10,10,Released as a precinct as first report of the night,100,13957,>98%,>98% reported,edison,6,all,2230,11139,2420,398,5918,1153,225,2020-11-16T15:48:12Z,62.47044,R+62,Hartzler +62,republican,MO-G-H-4-2020-11-03,mo-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",362526,16723,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,365,378,97% reporting,97%,97,375000,edison,97%,97% reported,edison,republican,FALSE,2020-11-16T15:48:04Z,TRUE,37.93824,137536,R+38,Hartzler +38,republican,"","",0,0,1604461206540
