fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_blankenshipd,results_carrollb,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_blankenshipd,results_absentee_carrollb,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
55081,Monroe,22564,0,44,44,Merged into voters' home precincts and released with cumulative results,100,22564,>98%,>98% reported,edison,6,unknown,,5014,,,8432,13775,257,66,30,4,0,0,0,0,0,0,2020-11-11T03:25:19Z,23.67931,R+24,Trump +24,republican,23.67931,19699,21.8,19485,0.82,wisconsin,2020-11-12T00:35:04.863642Z
55083,Oconto,23214,0,29,29,Merged into voters' home precincts and released with cumulative results,100,23214,>98%,>98% reported,edison,6,unknown,,4978,,,6715,16226,210,40,20,3,0,0,0,0,0,0,2020-11-11T03:25:20Z,40.97097,R+41,Trump +41,republican,40.97097,20206,36.6,19859,9.45,wisconsin,2020-11-12T00:35:04.863642Z
55085,Oneida,24159,0,29,29,Merged into voters' home precincts and released with cumulative results,100,24159,>98%,>98% reported,edison,6,unknown,,3561,,,10105,13671,283,43,17,40,0,0,0,0,0,0,2020-11-11T03:25:20Z,14.76054,R+15,Trump +15,republican,14.76054,21531,18.7,21652,2.15,wisconsin,2020-11-12T00:35:04.863642Z
55087,Outagamie,108223,0,101,101,Merged into voters' home precincts and released with cumulative results,100,108223,>98%,>98% reported,edison,6,unknown,,38925,,,47659,58379,1569,172,177,267,0,0,0,0,0,0,2020-11-11T03:25:21Z,9.90547,R+10,Trump +10,republican,9.90547,93933,12.6,94596,1.81,wisconsin,2020-11-12T00:35:04.863642Z
55089,Ozaukee,61453,0,51,51,Merged into voters' home precincts and released with cumulative results,100,61453,>98%,>98% reported,edison,6,unknown,,30423,,,26515,33912,646,82,89,209,0,0,0,0,0,0,2020-11-11T03:25:22Z,12.03684,R+12,Trump +12,republican,12.03684,54560,18.9,55817,30.31,wisconsin,2020-11-12T00:35:04.863642Z
55091,Pepin,4140,0,11,11,Merged into voters' home precincts and released with cumulative results,100,4140,>98%,>98% reported,edison,6,unknown,,566,,,1489,2584,48,13,4,2,0,0,0,0,0,0,2020-11-11T03:25:23Z,26.44928,R+26,Trump +26,republican,26.44928,3735,23.1,3699,-2.22,wisconsin,2020-11-12T00:35:04.863642Z
55093,Pierce,23336,0,28,28,None,100,22973,>98%,>98% reported,edison,6,unknown,,3021,,,9789,12813,383,57,218,76,0,0,0,0,0,0,2020-11-11T03:25:13Z,12.95852,R+13,Trump +13,republican,12.95852,21376,13.4,21020,0.77,wisconsin,2020-11-12T00:35:04.863642Z
55095,Polk,26326,0,36,36,Merged into voters' home precincts and released with cumulative results,100,26326,>98%,>98% reported,edison,6,unknown,,3181,,,9361,16590,281,50,35,9,0,0,0,0,0,0,2020-11-11T03:25:14Z,27.45955,R+27,Trump +27,republican,27.45955,22745,27.5,22573,8.95,wisconsin,2020-11-12T00:35:04.863642Z
55097,Portage,40601,0,47,47,None,100,40601,>98%,>98% reported,edison,6,unknown,,14091,,,20426,19298,643,67,76,91,0,0,0,0,0,0,2020-11-11T03:25:15Z,2.77826,D+3,Biden +3,democrat,-2.77826,38589,-3.2,39337,-13.88,wisconsin,2020-11-12T00:35:04.863642Z
55099,Price,8645,0,23,23,Merged into voters' home precincts and released with cumulative results,100,8645,>98%,>98% reported,edison,6,all,,1569,,,3132,5394,98,13,5,3,0,0,0,0,0,0,2020-11-11T03:25:15Z,26.16541,R+26,Trump +26,republican,26.16541,7568,25,7901,-0.04,wisconsin,2020-11-12T00:35:04.863642Z
