fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_pierceb,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_pierceb,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
36019,Clinton,27471,0,39,51,Merged into voters' home precincts AFTER election night,76,35958,76%,76% reported,edison,2,unknown,,,,,12690,14354,221,81,125,,0,0,0,0,0,,2020-11-11T03:25:27Z,6.0573,R+6,Trump +6,republican,6.0573,32105,-1.9,30656,-25.59,new-york,2020-11-12T00:35:44.859320Z
36021,Columbia,27537,0,40,50,Merged into voters' home precincts AFTER election night,80,34610,80%,80% reported,edison,2,unknown,,,,,14148,12883,293,127,86,,0,0,0,0,0,,2020-11-11T03:25:28Z,4.59382,D+5,Biden +5,democrat,-4.59382,30902,-4.9,29129,-13.72,new-york,2020-11-12T00:35:44.859320Z
36023,Cortland,16700,0,38,51,Merged into voters' home precincts AFTER election night,74,22673,74%,74% reported,edison,2,unknown,,,,,6829,9484,235,80,72,,0,0,0,0,0,,2020-11-11T03:25:28Z,15.8982,R+16,Trump +16,republican,15.8982,20244,5.6,19624,-9.11,new-york,2020-11-12T00:35:44.859320Z
36025,Delaware,18763,0,47,55,Merged into voters' home precincts AFTER election night,85,22167,85%,85% reported,edison,2,unknown,,,,,6420,11952,219,62,59,51,0,0,0,0,0,0,2020-11-11T03:25:29Z,29.48356,R+29,Trump +29,republican,29.48356,19792,26.9,18638,8.77,new-york,2020-11-12T00:35:44.859320Z
36027,Dutchess,119539,0,179,220,Merged into voters' home precincts AFTER election night,85,140000,85%,85% reported,edison,4,all,,,,,57720,59661,1007,401,420,330,0,0,0,0,0,0,2020-11-11T03:25:29Z,1.62374,R+1.6,Trump +1.6,republican,1.62374,131018,-0.4,123705,-7.51,new-york,2020-11-12T00:35:44.859320Z
36029,Erie,383952,166139,677,837,Merged into voters' home precincts AFTER election night,81,474460,81%,81% reported,edison,4,some,,,,,198808,178349,3727,1501,1567,,104880,59540,904,431,384,,2020-11-11T03:25:31Z,5.32853,D+5,Biden +5,democrat,-5.32853,423625,-6.4,414195,-16.34,new-york,2020-11-12T00:35:44.859320Z
36031,Essex,15185,0,33,42,Merged into voters' home precincts AFTER election night,79,19284,79%,79% reported,edison,2,unknown,,,,,6970,7953,142,53,67,,0,0,0,0,0,,2020-11-11T03:25:32Z,6.47349,R+6,Trump +6,republican,6.47349,17218,1.1,16717,-18.77,new-york,2020-11-12T00:35:44.859320Z
36033,Franklin,15397,0,36,45,Merged into voters' home precincts AFTER election night,81,18986,81%,81% reported,edison,2,unknown,,,,,6586,8530,154,56,71,,0,0,0,0,0,,2020-11-11T03:25:33Z,12.62584,R+13,Trump +13,republican,12.62584,16952,5.5,15934,-26.07,new-york,2020-11-12T00:35:44.859320Z
36035,Fulton,20180,0,35,42,Merged into voters' home precincts AFTER election night,85,23760,85%,85% reported,edison,2,unknown,,,,,5804,13989,234,50,76,27,0,0,0,0,0,0,2020-11-11T23:20:41Z,40.55996,R+41,Trump +41,republican,40.55996,21214,32.8,19799,11.15,new-york,2020-11-12T00:35:44.859320Z
36037,Genesee,25004,0,44,52,Merged into voters' home precincts AFTER election night,84,29604,84%,84% reported,edison,2,unknown,,,,,7048,17340,412,83,121,,0,0,0,0,0,,2020-11-11T03:25:35Z,41.16141,R+41,Trump +41,republican,41.16141,26432,35.1,24746,20.23,new-york,2020-11-12T00:35:44.859320Z
