fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_none_of_these_candidates,results_blankenshipd,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_none_of_these_candidates,results_absentee_blankenshipd,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
32510,Carson City,29126,0,23,24,Merged into voters' home precincts and released with cumulative results,94,31020,94%,94% reported,edison,4,some,,26427,,,12485,15771,419,347,104,0,0,0,0,0,2020-11-11T03:25:49Z,11.28202,R+11,Trump +11,republican,11.28202,25016,14.1,23319,9.02,nevada,2020-11-12T00:36:33.509383Z
32001,Churchill,12503,0,18,19,Merged into voters' home precincts and released with cumulative results,92,13563,92%,92% reported,edison,4,some,,11522,,,2966,9088,269,147,33,0,0,0,0,0,2020-11-11T03:24:59Z,48.96425,R+49,Trump +49,republican,48.96425,10938,51.4,10265,39.94,nevada,2020-11-12T00:36:33.509383Z
32003,Clark,914373,0,1105,1150,Merged into voters' home precincts and released with cumulative results,95,965000,95%,95% reported,edison,2,some,,781405,,,493740,402271,8116,8458,1788,0,0,0,0,0,2020-11-11T17:02:58Z,10.00347,D+10,Biden +10,democrat,-10.00347,767156,-10.7,691190,-14.6,nevada,2020-11-12T00:36:33.509383Z
32005,Douglas,33537,0,40,41,Merged into voters' home precincts and released with cumulative results,97,34577,97%,97% reported,edison,4,unknown,,27677,,,11390,21237,400,443,67,0,0,0,0,0,2020-11-11T03:25:01Z,29.3616,R+29,Trump +29,republican,29.3616,27885,32.1,26075,26.77,nevada,2020-11-12T00:36:33.509383Z
32007,Elko,21081,0,38,41,Merged into voters' home precincts and released with cumulative results,92,23013,92%,92% reported,edison,4,some,,16878,,,4381,16057,356,222,65,0,0,0,0,0,2020-11-11T03:25:03Z,55.38637,R+55,Trump +55,republican,55.38637,18559,54.7,15986,53.19,nevada,2020-11-12T00:36:33.509383Z
32009,Esmeralda,474,0,5,5,Merged into voters' home precincts and released with cumulative results,90,525,90%,90% reported,edison,4,some,,206,,,72,389,6,6,1,0,0,0,0,0,2020-11-11T03:25:03Z,66.87764,R+67,Trump +67,republican,66.87764,423,62.4,435,51.72,nevada,2020-11-12T00:36:33.509383Z
32011,Eureka,942,937,4,4,Merged into voters' home precincts and released with cumulative results,100,942,>98%,>98% reported,edison,6,some,,565,,,92,833,6,8,3,92,828,6,8,3,2020-11-11T03:25:05Z,78.66242,R+79,Trump +79,republican,78.66242,854,76,808,68.81,nevada,2020-11-12T00:36:33.509383Z
32013,Humboldt,7507,0,14,15,Merged into voters' home precincts and released with cumulative results,94,7977,94%,94% reported,edison,4,unknown,,5797,,,1638,5671,101,75,22,0,0,0,0,0,2020-11-11T17:08:54Z,53.72319,R+54,Trump +54,republican,53.72319,6433,48.7,5744,36.09,nevada,2020-11-12T00:36:33.509383Z
32015,Lander,2664,0,8,9,Merged into voters' home precincts and released with cumulative results,89,2992,89%,89% reported,edison,2,unknown,,2155,,,481,2118,34,26,5,0,0,0,0,0,2020-11-11T17:05:57Z,61.44895,R+61,Trump +61,republican,61.44895,2413,59.1,2165,48.31,nevada,2020-11-12T00:36:33.509383Z
32017,Lincoln,2312,0,5,6,Merged into voters' home precincts and released with cumulative results,87,2644,87%,87% reported,edison,4,some,,1603,,,318,1949,15,23,7,0,0,0,0,0,2020-11-11T03:25:08Z,70.54498,R+71,Trump +71,republican,70.54498,2132,65,2152,59.99,nevada,2020-11-12T00:36:33.509383Z
32019,Lyon,29392,0,40,40,Merged into voters' home precincts and released with cumulative results,100,29465,>98%,>98% reported,edison,4,some,,20256,,,8264,20302,442,283,101,0,0,0,0,0,2020-11-11T03:25:09Z,40.95672,R+41,Trump +41,republican,40.95672,23762,41.5,21465,28.6,nevada,2020-11-12T00:36:33.509383Z
32021,Mineral,2179,0,11,12,Merged into voters' home precincts and released with cumulative results,88,2476,88%,88% reported,edison,4,none,,2413,,,759,1343,34,33,10,0,0,0,0,0,2020-11-11T03:25:10Z,26.80128,R+27,Trump +27,republican,26.80128,1997,27.1,2035,10.66,nevada,2020-11-12T00:36:33.509383Z
32023,Nye,24021,0,33,33,Merged into voters' home precincts and released with cumulative results,99,24298,>98%,>98% reported,edison,4,unknown,,18099,,,6950,16575,212,205,79,0,0,0,0,0,2020-11-11T03:25:11Z,40.06911,R+40,Trump +40,republican,40.06911,19595,42,17522,24.23,nevada,2020-11-12T00:36:33.509383Z
32027,Pershing,2232,0,5,6,Merged into voters' home precincts and released with cumulative results,91,2458,91%,91% reported,edison,2,unknown,,1541,,,525,1668,12,20,7,0,0,0,0,0,2020-11-11T03:25:12Z,51.20968,R+51,Trump +51,republican,51.20968,1982,49.1,1884,28.4,nevada,2020-11-12T00:36:33.509383Z
32029,Storey,2874,0,14,15,Merged into voters' home precincts and released with cumulative results,91,3172,91%,91% reported,edison,4,some,,1990,,,901,1907,33,30,3,0,0,0,0,0,2020-11-11T03:25:13Z,35.00348,R+35,Trump +35,republican,35.00348,2558,33.8,2314,17.33,nevada,2020-11-12T00:36:33.509383Z
32031,Washoe,247823,0,536,563,Merged into voters' home precincts and released with cumulative results,98,252000,98%,98% reported,edison,4,some,,212214,,,126089,114600,3444,3052,638,0,0,0,0,0,2020-11-11T17:03:55Z,4.63597,D+5,Biden +5,democrat,-4.63597,209909,-1.2,187855,-3.7,nevada,2020-11-12T00:36:33.509383Z
32033,White Pine,4177,0,9,10,Merged into voters' home precincts and released with cumulative results,89,4679,89%,89% reported,edison,4,some,,3720,,,836,3238,41,41,21,0,0,0,0,0,2020-11-11T03:25:09Z,57.50539,R+58,Trump +58,republican,57.50539,3773,53.4,3704,43.68,nevada,2020-11-12T00:36:33.509383Z
