fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_westk,results_blankenshipd,results_hammonsb,results_charlesm,results_carrollb,results_kopitkek,results_la_rivag,results_de_la_fuenter,results_mchughj,results_pierceb,results_collinsp,results_jacob_fambrop,results_hunterd,results_huberb,results_kennedya,results_scottj,results_kishorej,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_westk,results_absentee_blankenshipd,results_absentee_hammonsb,results_absentee_charlesm,results_absentee_carrollb,results_absentee_kopitkek,results_absentee_la_rivag,results_absentee_de_la_fuenter,results_absentee_mchughj,results_absentee_pierceb,results_absentee_collinsp,results_absentee_jacob_fambrop,results_absentee_hunterd,results_absentee_huberb,results_absentee_kennedya,results_absentee_scottj,results_absentee_kishorej,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
08001,Adams,236735,0,260,260,Other,100,228525,>98%,>98% reported,edison,4,all,,,,,134202,95657,3731,744,729,455,264,197,160,102,90,72,60,51,46,40,38,37,24,23,13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020-11-16T15:48:00Z,16.28192,D+16,Biden +16,democrat,-16.28192,193677,-8.5,176230,-16.84,colorado,2020-11-18T00:46:21.068311Z
08003,Alamosa,7808,0,8,8,Other,95,8188,95%,95% reported,edison,4,all,,,,,3759,3813,90,23,48,22,6,11,7,3,3,5,4,3,2,0,1,1,5,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020-11-16T15:48:01Z,0.6916,R+0.69,Trump +0.69,republican,0.6916,6939,-2.1,6715,-16.47,colorado,2020-11-18T00:46:21.068311Z
08005,Arapahoe,350283,0,382,390,Other,98,357594,98%,98% reported,edison,4,some,,,,,213673,127356,5424,926,908,503,328,189,297,94,118,67,58,45,63,65,45,41,41,17,25,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020-11-16T15:48:01Z,24.64208,D+25,Biden +25,democrat,-24.64208,303048,-14.1,285516,-9.92,colorado,2020-11-18T00:46:21.068311Z
08007,Archuleta,9144,0,8,8,Other,100,8577,>98%,>98% reported,edison,6,all,,,,,3738,5189,120,19,20,20,9,6,7,2,2,0,2,5,1,3,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020-11-16T15:48:01Z,15.86833,R+16,Trump +16,republican,15.86833,7339,24,6734,17.72,colorado,2020-11-18T00:46:21.068311Z
08009,Baca,2224,0,8,9,Other,100,2193,>98%,>98% reported,edison,6,all,,,,,317,1866,26,3,4,2,0,0,3,0,0,0,0,0,1,0,0,2,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020-11-16T15:48:02Z,69.64928,R+70,Trump +70,republican,69.64928,2153,68.3,2106,51.85,colorado,2020-11-18T00:46:21.068311Z
08011,Bent,2274,0,5,5,Other,100,2131,>98%,>98% reported,edison,2,unknown,,,,,732,1503,15,6,7,5,0,0,0,0,0,3,0,1,0,0,0,1,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020-11-16T15:48:02Z,33.90501,R+34,Trump +34,republican,33.90501,1927,31,1942,13.39,colorado,2020-11-18T00:46:21.068311Z
08013,Boulder,206111,0,223,240,Other,93,222008,93%,93% reported,edison,2,some,,,,,159089,42501,2539,697,391,219,122,75,143,22,103,23,20,33,19,24,26,22,24,7,12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020-11-16T15:48:03Z,56.56564,D+57,Biden +57,democrat,-56.56564,188145,-48.3,179499,-41.84,colorado,2020-11-18T00:46:21.068311Z
08014,Broomfield,46632,0,37,37,Other,100,40958,>98%,>98% reported,edison,6,all,,,,,29077,16295,772,104,106,74,46,23,50,10,14,8,13,13,6,2,5,2,7,4,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020-11-16T15:48:00Z,27.41036,D+27,Biden +27,democrat,-27.41036,37690,-14.2,32777,-5.97,colorado,2020-11-18T00:46:21.068311Z
08015,Chaffee,13717,0,9,9,Other,100,13275,>98%,>98% reported,edison,2,unknown,,,,,7160,6222,189,46,22,20,10,11,14,3,2,2,3,1,3,4,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-16T15:48:03Z,6.83823,D+7,Biden +7,democrat,-6.83823,11250,4.5,10462,-0.15,colorado,2020-11-18T00:46:21.068311Z
08017,Cheyenne,1136,0,4,5,Other,94,1209,94%,94% reported,edison,4,some,,,,,131,993,6,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020-11-16T15:48:03Z,75.88028,R+76,Trump +76,republican,75.88028,1102,72,1093,65.6,colorado,2020-11-18T00:46:21.068311Z
