fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_kellym,results_mcsallym,results_write_ins,results_absentee_kellym,results_absentee_mcsallym,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
04001,Apache,34377,23713,44,44,Released as a separate subtotal as first report of the night,100,34397,>98%,>98% reported,edison,4,some,,14686,,,23489,10855,33,16750,6946,17,2020-11-09T18:17:35Z,36.75132,D+37,Kelly +37,democrat,arizona,2020-11-10T20:54:10.559690Z
04003,Cochise,57308,47984,46,49,Released as a separate subtotal as first report of the night,94,61000,94%,94% reported,edison,4,unknown,,40322,,,24020,33288,0,22341,25643,0,2020-11-09T22:23:34Z,16.17226,R+16,McSally +16,republican,arizona,2020-11-10T20:54:10.559690Z
04005,Coconino,72383,60284,71,71,Released as a separate subtotal as first report of the night,98,74000,98%,98% reported,edison,4,some,,37503,,,45270,27113,0,39725,20559,0,2020-11-10T00:29:34Z,25.08462,D+25,Kelly +25,democrat,arizona,2020-11-10T20:54:10.559690Z
04007,Gila,27583,22671,39,39,Released as a separate subtotal as first report of the night,99,27773,>98%,>98% reported,edison,4,all,,22311,,,9648,17887,48,8031,14640,0,2020-11-06T23:14:38Z,29.86985,R+30,McSally +30,republican,arizona,2020-11-10T20:54:10.559690Z
04009,Graham,14842,10242,21,22,Released separately AFTER election night,99,15001,>98%,>98% reported,edison,4,unknown,,9380,,,4506,10301,35,3237,7005,0,2020-11-05T19:49:33Z,39.0446,R+39,McSally +39,republican,arizona,2020-11-10T20:54:10.559690Z
04011,Greenlee,3628,2572,7,8,Released as a separate subtotal as first report of the night,98,3690,98%,98% reported,edison,4,unknown,,2450,,,1403,2225,0,1150,1422,0,2020-11-05T19:45:33Z,22.65711,R+23,McSally +23,republican,arizona,2020-11-10T20:54:10.559690Z
04012,La Paz,7337,4427,11,11,Merged into voters' home precincts and released with cumulative results,98,7458,98%,98% reported,edison,6,none,,3932,,,2492,4835,10,1652,2765,10,2020-11-09T21:05:35Z,31.93403,R+32,McSally +32,republican,arizona,2020-11-10T20:54:10.559690Z
04013,Maricopa,2030585,1865537,743,743,Released as a separate subtotal as first report of the night,98,2069000,98%,98% reported,edison,4,some,,1489023,,,1053787,972453,4345,991932,873605,0,2020-11-10T02:01:40Z,4.00545,D+4,Kelly +4,democrat,arizona,2020-11-10T20:54:10.559690Z
04015,Mohave,102667,78249,24,24,Released as a separate subtotal as first report of the night,97,105090,97%,97% reported,edison,4,some,,66610,,,27334,75072,261,23631,54618,0,2020-11-09T23:54:38Z,46.4979,R+46,McSally +46,republican,arizona,2020-11-10T20:54:10.559690Z
04017,Navajo,51419,35978,14,14,Merged into voters' home precincts and released with cumulative results,99,51774,>98%,>98% reported,edison,4,unknown,,28592,,,24361,26925,133,17567,18315,96,2020-11-10T20:11:42Z,4.98648,R+5,McSally +5,republican,arizona,2020-11-10T20:54:10.559690Z
04019,Pima,497033,447501,242,249,Released as a separate subtotal as first report of the night,96,519758,96%,96% reported,edison,4,some,,406810,,,298731,197220,1082,282627,163936,938,2020-11-06T23:13:35Z,20.42339,D+20,Kelly +20,democrat,arizona,2020-11-10T20:54:10.559690Z
04021,Pinal,182739,146546,102,102,Released as a separate subtotal as first report of the night,98,186367,98%,98% reported,edison,4,all,,88536,,,78752,103395,592,68030,78036,480,2020-11-09T18:32:33Z,13.48535,R+13,McSally +13,republican,arizona,2020-11-10T20:54:10.559690Z
04023,Santa Cruz,19419,15561,23,24,Released as a separate subtotal as first report of the night,99,19557,>98%,>98% reported,edison,4,unknown,,11041,,,13689,5685,45,11401,4120,40,2020-11-09T18:02:35Z,41.21736,D+41,Kelly +41,democrat,arizona,2020-11-10T20:54:10.559690Z
04025,Yavapai,140677,123054,45,45,Released as a separate subtotal as first report of the night,98,143876,98%,98% reported,edison,4,all,,100553,,,51366,89101,210,48344,74710,0,2020-11-10T00:45:38Z,26.82386,R+27,McSally +27,republican,arizona,2020-11-10T20:54:10.559690Z
04027,Yuma,67696,58428,44,44,Released as a separate subtotal as first report of the night,96,70582,96%,96% reported,edison,4,unknown,,37798,,,33257,34439,0,29398,29030,0,2020-11-07T15:54:42Z,1.74604,R+1.7,McSally +1.7,republican,arizona,2020-11-10T20:54:10.559690Z
