fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bookerc,results_mehtar,results_fernandezv,results_hoffmanm,results_burked,results_write_ins,results_absentee_bookerc,results_absentee_mehtar,results_absentee_fernandezv,results_absentee_hoffmanm,results_absentee_burked,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
34001,Atlantic,135503,111152,151,151,Released separately AFTER election night,100,134885,>98%,>98% reported,edison,2,some,,14118,,,71245,61483,1713,531,435,96,59095,50082,1167,404,332,72,2020-11-24T13:24:27Z,7.20427,D+7,Booker +7,democrat,new-jersey,2020-11-28T00:49:35.000205Z
34003,Bergen,483340,417177,509,561,Merged into voters' home precincts AFTER election night,100,482190,>98%,>98% reported,edison,2,some,,45653,,,279907,195059,3583,2816,1702,273,244619,165903,2675,2358,1349,273,2020-11-24T13:24:28Z,17.55452,D+18,Booker +18,democrat,new-jersey,2020-11-28T00:49:35.000205Z
34005,Burlington,255698,198907,365,365,Merged into voters' home precincts and released with cumulative results,100,251784,>98%,>98% reported,edison,2,some,,31397,,,150145,102117,1000,1768,482,186,122088,74541,666,1220,305,87,2020-11-24T13:24:28Z,18.7831,D+19,Booker +19,democrat,new-jersey,2020-11-28T00:49:35.000205Z
34007,Camden,260915,0,345,345,Released separately AFTER election night,100,260581,>98%,>98% reported,edison,2,unknown,,59568,,,172802,85219,726,1673,295,200,0,0,0,0,0,0,2020-11-24T13:24:28Z,33.56764,D+34,Booker +34,democrat,new-jersey,2020-11-28T00:49:35.000205Z
34009,Cape May,55262,47415,125,127,Merged into voters' home precincts and released with cumulative results,99,56030,>98%,>98% reported,edison,4,some,,9231,,,22952,31317,399,413,133,48,20209,26468,288,323,88,39,2020-11-24T13:24:28Z,15.13698,R+15,Mehta +15,republican,new-jersey,2020-11-28T00:49:35.000205Z
34011,Cumberland,60779,17100,90,92,Released separately AFTER election night,96,63586,96%,96% reported,edison,4,some,,5984,,,31992,26626,1407,398,297,59,10821,5797,279,97,94,12,2020-11-24T13:24:29Z,8.82871,D+9,Booker +9,democrat,new-jersey,2020-11-28T00:49:35.000205Z
34013,Essex,335069,0,515,550,Released as a separate subtotal as first report of the night,94,357574,94%,94% reported,edison,2,unknown,,24131,,,260604,69750,1842,2417,456,,0,0,0,0,0,,2020-11-24T13:24:29Z,56.95961,D+57,Booker +57,democrat,new-jersey,2020-11-28T00:49:35.000205Z
34015,Gloucester,170114,146750,229,229,Merged into voters' home precincts and released with cumulative results,100,160473,>98%,>98% reported,edison,4,some,,25391,,,85489,80943,952,2249,286,195,75604,68245,715,1809,226,151,2020-11-24T13:24:30Z,2.67233,D+3,Booker +3,democrat,new-jersey,2020-11-28T00:49:35.000205Z
34017,Hudson,240223,0,432,454,Released as a separate subtotal as first report of the night,95,252281,95%,95% reported,edison,2,some,,14745,,,176658,56917,3848,1879,811,110,0,0,0,0,0,0,2020-11-24T13:24:30Z,49.84577,D+50,Booker +50,democrat,new-jersey,2020-11-28T00:49:35.000205Z
34019,Hunterdon,82867,71243,116,116,Released as a separate subtotal as first report of the night,100,81461,>98%,>98% reported,edison,4,some,,13401,,,36728,43951,391,1470,180,147,32877,36658,296,1151,138,123,2020-11-24T13:24:30Z,8.71638,R+9,Mehta +9,republican,new-jersey,2020-11-28T00:49:35.000205Z
