fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_smitht,results_lewisj,results_oconnork,results_steinbergo,results_absentee_smitht,results_absentee_lewisj,results_absentee_oconnork,results_absentee_steinbergo,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
27001,Aitkin,9840,0,54,54,Merged into voters' home precincts and released with cumulative results,98,10025,98%,98% reported,edison,10,unknown,,2973,,,3474,5761,462,143,0,0,0,0,2020-11-26T18:21:27Z,23.24187,R+23,Lewis +23,republican,minnesota,2020-11-28T00:49:22.247412Z
27003,Anoka,206686,0,128,128,Merged into voters' home precincts and released with cumulative results,98,211132,98%,98% reported,edison,10,all,,34809,,,89416,98043,15385,3842,0,0,0,0,2020-11-26T18:20:45Z,4.17396,R+4,Lewis +4,republican,minnesota,2020-11-28T00:49:22.247412Z
27005,Becker,19010,6167,48,48,Merged into voters' home precincts and released with cumulative results,100,19025,>98%,>98% reported,edison,6,all,,4508,,,6370,11274,1069,297,3298,2586,220,63,2020-11-26T18:22:23Z,25.79695,R+26,Lewis +26,republican,minnesota,2020-11-28T00:49:22.247412Z
27007,Beltrami,23823,0,63,63,Merged into voters' home precincts and released with cumulative results,94,25461,94%,94% reported,edison,2,unknown,,4845,,,9987,11468,1804,564,0,0,0,0,2020-11-26T18:23:18Z,6.21668,R+6,Lewis +6,republican,minnesota,2020-11-28T00:49:22.247412Z
27009,Benton,21754,0,27,27,Merged into voters' home precincts and released with cumulative results,98,22088,98%,98% reported,edison,2,unknown,,3225,,,6835,12915,1539,465,0,0,0,0,2020-11-26T18:24:10Z,27.94888,R+28,Lewis +28,republican,minnesota,2020-11-28T00:49:22.247412Z
27011,Big Stone,2945,0,23,23,Merged into voters' home precincts and released with cumulative results,99,2987,>98%,>98% reported,edison,4,unknown,,612,,,1106,1637,163,39,0,0,0,0,2020-11-26T18:24:45Z,18.03056,R+18,Lewis +18,republican,minnesota,2020-11-28T00:49:22.247412Z
27013,Blue Earth,35285,0,54,54,Merged into voters' home precincts and released with cumulative results,89,39485,89%,89% reported,edison,4,unknown,,5756,,,16527,15040,2847,871,0,0,0,0,2020-11-26T18:25:32Z,4.21426,D+4,Smith +4,democrat,minnesota,2020-11-28T00:49:22.247412Z
27015,Brown,14458,0,32,32,Merged into voters' home precincts and released with cumulative results,97,14847,97%,97% reported,edison,4,unknown,,2808,,,4808,8736,690,224,0,0,0,0,2020-11-26T18:26:11Z,27.16835,R+27,Lewis +27,republican,minnesota,2020-11-28T00:49:22.247412Z
27017,Carlton,19936,0,38,38,Merged into voters' home precincts and released with cumulative results,98,20361,98%,98% reported,edison,6,all,,3884,,,9577,8906,1092,361,0,0,0,0,2020-11-27T04:30:37Z,3.36577,D+3,Smith +3,democrat,minnesota,2020-11-28T00:49:22.247412Z
27019,Carver,65459,0,35,35,Merged into voters' home precincts and released with cumulative results,100,65382,>98%,>98% reported,edison,6,all,,12048,,,27616,33623,3292,928,0,0,0,0,2020-11-26T18:29:00Z,9.17674,R+9,Lewis +9,republican,minnesota,2020-11-28T00:49:22.247412Z
