fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_hagertyb,results_bradshawm,results_mcleode,results_faparusiy,results_morgank,results_henleyr,results_stansberrye,results_grunauj,results_hilld,results_jamesa,results_hoopers,results_absentee_hagertyb,results_absentee_bradshawm,results_absentee_mcleode,results_absentee_faparusiy,results_absentee_morgank,results_absentee_henleyr,results_absentee_stansberrye,results_absentee_grunauj,results_absentee_hilld,results_absentee_jamesa,results_absentee_hoopers,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
47171,Unicoi,7890,0,8,8,Released as a separate subtotal as first report of the night,91,8648,91%,91% reported,edison,2,unknown,,5666,,,6262,1444,44,17,29,27,17,11,16,13,10,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:26:13Z,61.06464,R+61,Hagerty +61,republican,tennessee,2020-11-14T00:45:46.362289Z
47173,Union,7579,0,9,9,Released as a separate subtotal as first report of the night,100,7247,>98%,>98% reported,edison,2,unknown,,2568,,,6339,1086,32,16,24,23,18,9,12,12,8,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:26:14Z,69.30994,R+69,Hagerty +69,republican,tennessee,2020-11-14T00:45:46.362289Z
47175,Van Buren,2692,0,7,7,Released as a separate subtotal as first report of the night,96,2806,96%,96% reported,edison,2,unknown,,1663,,,2151,468,17,9,7,11,7,2,6,5,9,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:26:15Z,62.51857,R+63,Hagerty +63,republican,tennessee,2020-11-14T00:45:46.362289Z
47177,Warren,15575,0,20,20,Released as a separate subtotal as first report of the night,95,16361,95%,95% reported,edison,2,unknown,,9152,,,11449,3586,86,57,92,92,33,38,39,25,78,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:55Z,50.48475,R+50,Hagerty +50,republican,tennessee,2020-11-14T00:45:46.362289Z
47179,Washington,57228,3566,35,35,Other,96,59430,96%,96% reported,edison,6,some,,36497,,,39197,16645,339,198,157,135,118,68,121,153,97,1648,1853,17,14,3,5,8,0,7,7,4,2020-11-11T03:26:09Z,39.40728,R+39,Hagerty +39,republican,tennessee,2020-11-14T00:45:46.362289Z
47181,Wayne,6166,0,13,14,Released as a precinct as first report of the night,91,6794,91%,91% reported,edison,2,unknown,,3409,,,5351,673,18,16,14,39,14,5,10,11,15,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:26:09Z,75.86766,R+76,Hagerty +76,republican,tennessee,2020-11-14T00:45:46.362289Z
47183,Weakley,13321,0,9,10,Other,87,15306,87%,87% reported,edison,2,unknown,,7542,,,10115,2678,76,26,52,58,51,17,26,49,173,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:26:10Z,55.82914,R+56,Hagerty +56,republican,tennessee,2020-11-14T00:45:46.362289Z
47185,White,11678,0,11,11,Released as a separate subtotal as first report of the night,100,11395,>98%,>98% reported,edison,2,unknown,,6831,,,9459,1984,55,22,36,31,17,9,20,18,27,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:26:10Z,64.00925,R+64,Hagerty +64,republican,tennessee,2020-11-14T00:45:46.362289Z
47187,Williamson,137666,109305,25,25,Released as a separate subtotal as first report of the night,100,123265,>98%,>98% reported,edison,2,some,,104306,,,91155,43432,1315,655,104,240,30,139,133,168,295,73025,33980,1007,459,71,183,15,98,104,118,245,2020-11-11T03:26:11Z,34.66579,R+35,Hagerty +35,republican,tennessee,2020-11-14T00:45:46.362289Z
47189,Wilson,72663,0,18,18,None,98,74092,98%,98% reported,edison,6,none,,50009,,,50455,20004,452,230,306,211,166,93,109,314,323,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:26:12Z,41.90716,R+42,Hagerty +42,republican,tennessee,2020-11-14T00:45:46.362289Z
