fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bookerc,results_mehtar,results_fernandezv,results_hoffmanm,results_burked,results_write_ins,results_absentee_bookerc,results_absentee_mehtar,results_absentee_fernandezv,results_absentee_hoffmanm,results_absentee_burked,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
34001,Atlantic,127811,111152,143,151,Released separately AFTER election night,95,134885,95%,95% reported,edison,2,some,,14118,,,66812,58525,1493,502,393,86,59095,50082,1167,404,332,72,2020-11-11T03:26:04Z,6.48379,D+6,Booker +6,democrat,new-jersey,2020-11-14T00:45:26.937765Z
34003,Bergen,437227,417177,509,561,Merged into voters' home precincts AFTER election night,91,482190,91%,91% reported,edison,2,some,,45653,,,253970,176130,2885,2510,1459,273,244619,165903,2675,2358,1349,273,2020-11-11T03:26:05Z,17.80311,D+18,Booker +18,democrat,new-jersey,2020-11-14T00:45:26.937765Z
34005,Burlington,240495,198907,343,365,Merged into voters' home precincts and released with cumulative results,96,251784,96%,96% reported,edison,2,some,,31397,,,141654,95786,914,1618,436,87,122088,74541,666,1220,305,87,2020-11-13T13:54:17Z,19.07233,D+19,Booker +19,democrat,new-jersey,2020-11-14T00:45:26.937765Z
34007,Camden,239384,0,317,345,Released separately AFTER election night,92,260581,92%,92% reported,edison,2,unknown,,59568,,,158501,78242,634,1549,263,195,0,0,0,0,0,0,2020-11-11T03:26:07Z,33.5273,D+34,Booker +34,democrat,new-jersey,2020-11-14T00:45:26.937765Z
34009,Cape May,54430,47376,123,127,Merged into voters' home precincts and released with cumulative results,97,56030,97%,97% reported,edison,4,some,,9231,,,22570,30937,393,404,126,,20209,26468,288,323,88,,2020-11-11T03:26:07Z,15.37204,R+15,Mehta +15,republican,new-jersey,2020-11-14T00:45:26.937765Z
34011,Cumberland,56697,17100,83,92,Released separately AFTER election night,89,63586,89%,89% reported,edison,4,some,,5984,,,29546,25253,1198,368,278,54,10821,5797,279,97,94,12,2020-11-11T03:50:43Z,7.57183,D+8,Booker +8,democrat,new-jersey,2020-11-14T00:45:26.937765Z
34013,Essex,300326,0,461,550,Released as a separate subtotal as first report of the night,84,357574,84%,84% reported,edison,2,unknown,,24131,,,232299,63931,1525,2190,381,,0,0,0,0,0,,2020-11-11T20:19:43Z,56.06175,D+56,Booker +56,democrat,new-jersey,2020-11-14T00:45:26.937765Z
34015,Gloucester,169973,146750,229,229,Merged into voters' home precincts and released with cumulative results,100,160473,>98%,>98% reported,edison,4,some,,25391,,,85376,80917,952,2248,286,194,75604,68245,715,1809,226,151,2020-11-12T18:32:44Z,2.62336,D+3,Booker +3,democrat,new-jersey,2020-11-14T00:45:26.937765Z
34017,Hudson,206083,0,371,454,Released as a separate subtotal as first report of the night,82,252281,82%,82% reported,edison,2,some,,14745,,,153645,46961,3012,1696,666,103,0,0,0,0,0,0,2020-11-11T03:26:10Z,51.76749,D+52,Booker +52,democrat,new-jersey,2020-11-14T00:45:26.937765Z
34019,Hunterdon,81123,71243,110,116,Released as a separate subtotal as first report of the night,100,81461,>98%,>98% reported,edison,4,some,,13401,,,35964,43042,375,1419,176,147,32877,36658,296,1151,138,123,2020-11-12T21:14:56Z,8.72502,R+9,Mehta +9,republican,new-jersey,2020-11-14T00:45:26.937765Z
34021,Mercer,159428,0,215,243,None,89,180008,89%,89% reported,edison,4,unknown,,21542,,,108436,48643,939,1100,227,83,0,0,0,0,0,0,2020-11-13T20:56:00Z,37.5047,D+38,Booker +38,democrat,new-jersey,2020-11-14T00:45:26.937765Z
34023,Middlesex,291579,0,478,615,Other,78,375017,78%,78% reported,edison,4,some,,56703,,,181132,104138,2103,2625,1464,117,0,0,0,0,0,0,2020-11-11T16:48:51Z,26.40588,D+26,Booker +26,democrat,new-jersey,2020-11-14T00:45:26.937765Z
34025,Monmouth,360438,0,511,511,Merged into voters' home precincts and released with cumulative results,100,361534,>98%,>98% reported,edison,2,unknown,,47571,,,167641,186100,1574,4254,824,45,0,0,0,0,0,0,2020-11-13T20:54:46Z,5.12127,R+5,Mehta +5,republican,new-jersey,2020-11-14T00:45:26.937765Z
34027,Morris,274589,0,377,396,Merged into voters' home precincts and released with cumulative results,95,287978,95%,95% reported,edison,2,unknown,,33525,,,137832,133382,1037,1596,512,230,0,0,0,0,0,0,2020-11-13T21:33:43Z,1.6206,D+1.6,Booker +1.6,democrat,new-jersey,2020-11-14T00:45:26.937765Z
34029,Ocean,310062,260531,406,413,Released as a separate subtotal as first report of the night,98,315516,98%,98% reported,edison,4,unknown,,43803,,,109833,194849,1987,2555,485,353,96301,160141,1508,1938,376,267,2020-11-11T03:26:13Z,27.41903,R+27,Mehta +27,republican,new-jersey,2020-11-14T00:45:26.937765Z
34031,Passaic,201349,109504,243,284,None,90,224022,90%,90% reported,edison,2,some,,17333,,,120016,75666,2436,2286,805,140,67838,39132,1037,1062,371,64,2020-11-13T01:24:44Z,22.02643,D+22,Booker +22,democrat,new-jersey,2020-11-14T00:45:26.937765Z
34033,Salem,31483,0,42,45,None,93,33926,93%,93% reported,edison,4,some,,3501,,,13493,16960,353,472,158,47,0,0,0,0,0,0,2020-11-11T16:57:07Z,11.01229,R+11,Mehta +11,republican,new-jersey,2020-11-14T00:45:26.937765Z
34035,Somerset,172116,0,252,265,Released as a separate subtotal as first report of the night,95,180656,95%,95% reported,edison,2,some,,24227,,,98721,71017,559,1455,236,128,0,0,0,0,0,0,2020-11-13T20:05:12Z,16.09612,D+16,Booker +16,democrat,new-jersey,2020-11-14T00:45:26.937765Z
34037,Sussex,83089,75184,116,119,Merged into voters' home precincts and released with cumulative results,97,85245,97%,97% reported,edison,4,some,,9122,,,32575,48004,575,1540,225,170,30271,42755,482,1336,196,144,2020-11-11T17:51:42Z,18.56925,R+19,Mehta +19,republican,new-jersey,2020-11-14T00:45:26.937765Z
34039,Union,224789,120577,379,431,Merged into voters' home precincts and released with cumulative results,100,147759,>98%,>98% reported,edison,6,all,,25247,,,150550,70641,1573,1412,444,169,86793,32261,612,641,195,75,2020-11-13T23:04:45Z,35.54845,D+36,Booker +36,democrat,new-jersey,2020-11-14T00:45:26.937765Z
34041,Warren,54688,52262,21,22,Merged into voters' home precincts and released with cumulative results,97,56621,97%,97% reported,edison,4,some,,7469,,,22318,30880,402,848,162,78,21563,29305,370,797,155,72,2020-11-13T00:20:13Z,15.65609,R+16,Mehta +16,republican,new-jersey,2020-11-14T00:45:26.937765Z
