fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_sullivand,results_grossa,results_howej,results_absentee_sullivand,results_absentee_grossa,results_absentee_howej,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
02901,ED 1,7013,3415,8,9,Released as a separate subtotal as first report of the night,92,7634,92%,92% reported,edison,2,unknown,,4000,,,3393,3218,402,1329,1935,151,2020-11-11T13:18:16Z,2.49537,R+2,Sullivan +2,republican,alaska,2020-11-14T00:44:40.604211Z
02910,ED 10,10179,4765,10,11,Released as a separate subtotal as first report of the night,98,10396,98%,98% reported,edison,2,unknown,,4000,,,7080,2550,549,2906,1679,180,2020-11-13T13:57:00Z,44.50339,R+45,Sullivan +45,republican,alaska,2020-11-14T00:44:40.604211Z
02911,ED 11,10062,5417,8,9,Released as a separate subtotal as first report of the night,90,11142,90%,90% reported,edison,2,unknown,,4000,,,6726,2893,443,3194,2030,193,2020-11-13T13:56:59Z,38.09382,R+38,Sullivan +38,republican,alaska,2020-11-14T00:44:40.604211Z
02912,ED 12,10337,4901,6,7,Released as a separate subtotal as first report of the night,94,10974,94%,94% reported,edison,2,unknown,,4000,,,7335,2615,387,2940,1813,148,2020-11-13T13:56:59Z,45.66122,R+46,Sullivan +46,republican,alaska,2020-11-14T00:44:40.604211Z
02913,ED 13,6657,3561,5,6,Released as a separate subtotal as first report of the night,89,7513,89%,89% reported,edison,2,unknown,,4000,,,4169,2152,336,1905,1501,155,2020-11-13T13:56:58Z,30.29893,R+30,Sullivan +30,republican,alaska,2020-11-14T00:44:40.604211Z
02914,ED 14,10140,5898,5,7,Released as a separate subtotal as first report of the night,85,11983,85%,85% reported,edison,2,unknown,,4000,,,6284,3507,349,3121,2626,151,2020-11-12T16:41:28Z,27.38659,R+27,Sullivan +27,republican,alaska,2020-11-14T00:44:40.604211Z
02915,ED 15,4840,2616,4,5,Released as a separate subtotal as first report of the night,84,5729,84%,84% reported,edison,2,unknown,,4000,,,2376,2187,277,1133,1358,125,2020-11-12T16:41:27Z,3.90496,R+4,Sullivan +4,republican,alaska,2020-11-14T00:44:40.604211Z
02916,ED 16,7521,4062,6,7,Released as a separate subtotal as first report of the night,88,8551,88%,88% reported,edison,2,unknown,,4000,,,3324,3821,376,1355,2553,154,2020-11-13T13:56:57Z,6.60816,D+7,Gross +7,democrat,alaska,2020-11-14T00:44:40.604211Z
02917,ED 17,6575,3897,5,7,Released as a separate subtotal as first report of the night,84,7806,84%,84% reported,edison,2,unknown,,4000,,,2673,3628,274,1219,2576,102,2020-11-13T13:56:56Z,14.52471,D+15,Gross +15,democrat,alaska,2020-11-14T00:44:40.604211Z
02918,ED 18,7089,4533,8,10,Released as a separate subtotal as first report of the night,83,8512,83%,83% reported,edison,2,unknown,,4000,,,2578,4255,256,1301,3130,102,2020-11-13T13:56:56Z,23.65637,D+24,Gross +24,democrat,alaska,2020-11-14T00:44:40.604211Z
02919,ED 19,4867,2510,5,6,Released as a separate subtotal as first report of the night,88,5511,88%,88% reported,edison,2,unknown,,4000,,,1747,2827,293,644,1766,100,2020-11-13T13:56:55Z,22.19026,D+22,Gross +22,democrat,alaska,2020-11-14T00:44:40.604211Z
02902,ED 2,5515,2503,3,4,Released as a separate subtotal as first report of the night,87,6316,87%,87% reported,edison,2,unknown,,4000,,,3308,1847,360,1246,1144,113,2020-11-11T13:18:16Z,26.49139,R+26,Sullivan +26,republican,alaska,2020-11-14T00:44:40.604211Z
02920,ED 20,6792,4675,7,9,Released as a separate subtotal as first report of the night,83,8211,83%,83% reported,edison,2,unknown,,4000,,,2286,4296,210,1276,3296,103,2020-11-13T13:56:54Z,29.59364,D+30,Gross +30,democrat,alaska,2020-11-14T00:44:40.604211Z
02921,ED 21,8641,5182,7,8,Released as a separate subtotal as first report of the night,87,9944,87%,87% reported,edison,2,unknown,,4000,,,3657,4732,252,1620,3463,99,2020-11-11T13:18:15Z,12.44069,D+12,Gross +12,democrat,alaska,2020-11-14T00:44:40.604211Z
02922,ED 22,8526,4566,6,7,Released as a separate subtotal as first report of the night,89,9628,89%,89% reported,edison,2,unknown,,4000,,,4483,3767,276,1812,2638,116,2020-11-13T13:57:06Z,8.39784,R+8,Sullivan +8,republican,alaska,2020-11-14T00:44:40.604211Z
02923,ED 23,7159,3661,7,8,Released as a separate subtotal as first report of the night,90,7963,90%,90% reported,edison,2,unknown,,4000,,,3502,3349,308,1367,2188,106,2020-11-12T16:41:39Z,2.13717,R+2,Sullivan +2,republican,alaska,2020-11-14T00:44:40.604211Z
02924,ED 24,9650,5540,6,7,Released as a separate subtotal as first report of the night,90,10684,90%,90% reported,edison,2,unknown,,4000,,,5377,4071,202,2427,3029,84,2020-11-13T13:57:04Z,13.53368,R+14,Sullivan +14,republican,alaska,2020-11-14T00:44:40.604211Z
02925,ED 25,8642,4710,6,7,Released as a separate subtotal as first report of the night,92,9346,92%,92% reported,edison,2,unknown,,4000,,,4239,4085,318,1692,2890,128,2020-11-12T16:41:38Z,1.78199,R+1.8,Sullivan +1.8,republican,alaska,2020-11-14T00:44:40.604211Z
02926,ED 26,9223,5334,7,8,Released as a separate subtotal as first report of the night,90,10241,90%,90% reported,edison,2,unknown,,4000,,,5187,3810,226,2434,2783,117,2020-11-12T16:41:37Z,14.93007,R+15,Sullivan +15,republican,alaska,2020-11-14T00:44:40.604211Z
02927,ED 27,8829,4922,6,8,Released as a separate subtotal as first report of the night,87,10100,87%,87% reported,edison,2,unknown,,4000,,,4257,4256,316,1816,2998,108,2020-11-13T13:57:01Z,0.01133,R+0.01,Sullivan +0.01,republican,alaska,2020-11-14T00:44:40.604211Z
02928,ED 28,11916,7053,8,9,Released as a separate subtotal as first report of the night,91,13141,91%,91% reported,edison,2,unknown,,4000,,,6267,5433,216,2979,3985,89,2020-11-13T13:57:00Z,6.99899,R+7,Sullivan +7,republican,alaska,2020-11-14T00:44:40.604211Z
02929,ED 29,8687,2807,8,11,Released as a separate subtotal as first report of the night,80,10803,80%,80% reported,edison,2,unknown,,4000,,,5983,2298,406,1444,1293,70,2020-11-11T13:18:21Z,42.41971,R+42,Sullivan +42,republican,alaska,2020-11-14T00:44:40.604211Z
02903,ED 3,8165,2972,5,5,Released as a separate subtotal as first report of the night,93,8755,93%,93% reported,edison,2,unknown,,4000,,,5923,1778,464,1778,1054,140,2020-11-12T16:41:26Z,50.76546,R+51,Sullivan +51,republican,alaska,2020-11-14T00:44:40.604211Z
02930,ED 30,9633,4668,5,6,Released as a separate subtotal as first report of the night,94,10293,94%,94% reported,edison,2,unknown,,4000,,,6754,2418,461,2859,1674,135,2020-11-13T13:56:59Z,45.01194,R+45,Sullivan +45,republican,alaska,2020-11-14T00:44:40.604211Z
02931,ED 31,10920,5321,8,9,Released as a separate subtotal as first report of the night,93,11709,93%,93% reported,edison,2,unknown,,4000,,,5967,4536,417,1997,3192,132,2020-11-13T13:56:58Z,13.1044,R+13,Sullivan +13,republican,alaska,2020-11-14T00:44:40.604211Z
02932,ED 32,7311,0,11,14,Released as a separate subtotal as first report of the night,85,8593,85%,85% reported,edison,2,unknown,,4000,,,3859,3128,324,0,0,0,2020-11-13T13:56:58Z,9.99863,R+10,Sullivan +10,republican,alaska,2020-11-14T00:44:40.604211Z
02933,ED 33,10023,6892,9,11,Released as a separate subtotal as first report of the night,88,11424,88%,88% reported,edison,2,unknown,,4000,,,2806,6922,295,1419,5343,130,2020-11-13T13:56:57Z,41.06555,D+41,Gross +41,democrat,alaska,2020-11-14T00:44:40.604211Z
02934,ED 34,9936,7209,6,7,Released as a separate subtotal as first report of the night,92,10846,92%,92% reported,edison,2,unknown,,4000,,,4326,5225,385,2667,4320,222,2020-11-11T13:18:18Z,9.04791,D+9,Gross +9,democrat,alaska,2020-11-14T00:44:40.604211Z
02935,ED 35,9350,5158,12,14,Released as a separate subtotal as first report of the night,90,10398,90%,90% reported,edison,2,unknown,,4000,,,4069,4735,546,1786,3189,183,2020-11-12T16:41:31Z,7.12299,D+7,Gross +7,democrat,alaska,2020-11-14T00:44:40.604211Z
02936,ED 36,5096,1,5,10,Released as a separate subtotal as first report of the night,54,9504,54%,54% reported,edison,2,unknown,,4000,,,3185,1601,310,0,1,0,2020-11-11T03:25:57Z,31.0832,R+31,Sullivan +31,republican,alaska,2020-11-14T00:44:40.604211Z
02937,ED 37,3124,0,19,35,Released as a separate subtotal as first report of the night,54,5821,54%,54% reported,edison,2,unknown,,4000,,,1555,1325,244,0,0,0,2020-11-11T03:25:57Z,7.36236,R+7,Sullivan +7,republican,alaska,2020-11-14T00:44:40.604211Z
02938,ED 38,3822,0,20,31,Released as a separate subtotal as first report of the night,65,5859,65%,65% reported,edison,2,unknown,,4000,,,1270,2025,527,0,0,0,2020-11-11T03:25:58Z,19.75406,D+20,Gross +20,democrat,alaska,2020-11-14T00:44:40.604211Z
02939,ED 39,4831,282,25,33,Released as a separate subtotal as first report of the night,74,6485,74%,74% reported,edison,2,unknown,,4000,,,2014,2175,642,106,162,14,2020-11-12T16:41:29Z,3.33264,D+3,Gross +3,democrat,alaska,2020-11-14T00:44:40.604211Z
02904,ED 4,10947,6244,6,7,Released as a separate subtotal as first report of the night,100,10949,>98%,>98% reported,edison,2,unknown,,4000,,,4842,5726,379,2025,4087,132,2020-11-11T13:18:24Z,8.07527,D+8,Gross +8,democrat,alaska,2020-11-14T00:44:40.604211Z
02940,ED 40,3933,0,17,23,Released as a separate subtotal as first report of the night,74,5302,74%,74% reported,edison,2,unknown,,4000,,,1969,1437,527,0,0,0,2020-11-13T13:56:54Z,13.52657,R+14,Sullivan +14,republican,alaska,2020-11-14T00:44:40.604211Z
02905,ED 5,8457,4334,8,9,Released as a separate subtotal as first report of the night,93,9092,93%,93% reported,edison,2,unknown,,4000,,,4125,4007,325,1553,2677,104,2020-11-12T16:41:34Z,1.39529,R+1.4,Sullivan +1.4,republican,alaska,2020-11-14T00:44:40.604211Z
02906,ED 6,8825,4,29,33,Released as a separate subtotal as first report of the night,91,9729,91%,91% reported,edison,2,unknown,,4000,,,5405,2924,496,1,3,0,2020-11-12T16:41:33Z,28.11331,R+28,Sullivan +28,republican,alaska,2020-11-14T00:44:40.604211Z
02907,ED 7,9002,5066,6,7,Released as a separate subtotal as first report of the night,94,9538,94%,94% reported,edison,2,unknown,,4000,,,6423,2057,522,3390,1443,233,2020-11-13T13:57:03Z,48.50033,R+49,Sullivan +49,republican,alaska,2020-11-14T00:44:40.604211Z
02908,ED 8,9297,3914,6,6,Released as a separate subtotal as first report of the night,100,9284,>98%,>98% reported,edison,2,unknown,,4000,,,6900,1873,524,2571,1184,159,2020-11-13T13:57:02Z,54.07121,R+54,Sullivan +54,republican,alaska,2020-11-14T00:44:40.604211Z
02909,ED 9,10393,4,11,11,Released as a separate subtotal as first report of the night,100,10297,>98%,>98% reported,edison,2,unknown,,4000,,,7262,2631,500,2,2,0,2020-11-13T13:57:01Z,44.55884,R+45,Sullivan +45,republican,alaska,2020-11-14T00:44:40.604211Z
