fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_tillist,results_cunninghamc,results_brays,results_hayesk,results_absentee_tillist,results_absentee_cunninghamc,results_absentee_brays,results_absentee_hayesk,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
37001,Alamance,84291,67794,36,38,Released as a separate subtotal as first report of the night,98,85941,98%,98% reported,edison,10,none,,62360,,,43714,37444,2233,900,33367,32168,1632,627,2020-11-13T17:59:30Z,7.43852,R+7,Tillis +7,republican,north-carolina,2020-11-14T00:45:31.775372Z
37003,Alexander,19940,16684,9,10,Released as a separate subtotal as first report of the night,99,20234,>98%,>98% reported,edison,10,some,,15384,,,14675,4257,559,449,12206,3673,430,375,2020-11-13T17:45:13Z,52.24674,R+52,Tillis +52,republican,north-carolina,2020-11-14T00:45:31.775372Z
37005,Alleghany,5971,4963,4,4,Released as a separate subtotal as first report of the night,98,6076,98%,98% reported,edison,10,all,,5206,,,4060,1577,188,146,3310,1386,145,122,2020-11-13T16:14:41Z,41.58432,R+42,Tillis +42,republican,north-carolina,2020-11-14T00:45:31.775372Z
37007,Anson,11107,7865,8,9,Released as a precinct as first report of the night,99,11205,>98%,>98% reported,edison,10,unknown,,10515,,,4981,5755,204,167,3026,4595,145,99,2020-11-13T16:53:21Z,6.96858,D+7,Cunningham +7,democrat,north-carolina,2020-11-14T00:45:31.775372Z
37009,Ashe,15539,11132,16,17,"As a precinct in the FIRST cumulative report, along with regular precincts",98,15791,98%,98% reported,edison,10,unknown,,9733,,,10552,4263,450,274,7163,3488,308,173,2020-11-13T00:50:46Z,40.47236,R+40,Tillis +40,republican,north-carolina,2020-11-14T00:45:31.775372Z
37011,Avery,9221,5895,17,19,Released as a separate subtotal as first report of the night,98,9442,98%,98% reported,edison,10,unknown,,4091,,,6792,2063,239,127,4080,1581,157,77,2020-11-13T18:20:17Z,51.28511,R+51,Tillis +51,republican,north-carolina,2020-11-14T00:45:31.775372Z
37013,Beaufort,25904,20174,18,21,Released as a precinct as first report of the night,99,26274,>98%,>98% reported,edison,10,all,,22376,,,15369,9390,699,446,11305,8010,537,322,2020-11-13T16:46:45Z,23.08138,R+23,Tillis +23,republican,north-carolina,2020-11-14T00:45:31.775372Z
37015,Bertie,9562,7680,10,12,Merged into voters' home precincts and released with cumulative results,97,9808,97%,97% reported,edison,10,all,,9773,,,3563,5730,156,113,2588,4877,122,93,2020-11-13T20:02:14Z,22.66262,D+23,Cunningham +23,democrat,north-carolina,2020-11-14T00:45:31.775372Z
37017,Bladen,16784,13595,14,17,Released as a precinct as first report of the night,98,17108,98%,98% reported,edison,10,unknown,,16846,,,8919,7236,394,235,6973,6145,303,174,2020-11-13T16:36:54Z,10.02741,R+10,Tillis +10,republican,north-carolina,2020-11-14T00:45:31.775372Z
37019,Brunswick,88408,78235,25,25,Released as a separate subtotal as first report of the night,99,89183,>98%,>98% reported,edison,6,unknown,,65557,,,52558,31875,2818,1157,45373,29588,2288,986,2020-11-11T03:26:44Z,23.39494,R+23,Tillis +23,republican,north-carolina,2020-11-14T00:45:31.775372Z
37021,Buncombe,159748,140498,74,80,Released as a precinct as first report of the night,99,160855,>98%,>98% reported,edison,6,some,,142646,,,60547,92534,5037,1630,49463,85859,3926,1250,2020-11-11T03:26:44Z,20.02341,D+20,Cunningham +20,democrat,north-carolina,2020-11-14T00:45:31.775372Z
37023,Burke,43826,36243,30,33,Released as a separate subtotal as first report of the night,98,44533,98%,98% reported,edison,10,unknown,,37205,,,28757,12981,1280,808,23461,11200,979,603,2020-11-13T00:43:22Z,35.9969,R+36,Tillis +36,republican,north-carolina,2020-11-14T00:45:31.775372Z
37025,Cabarrus,115622,96419,39,39,Released as a precinct as first report of the night,99,117227,>98%,>98% reported,edison,10,all,,66450,,,60993,48683,4228,1718,48859,43005,3253,1302,2020-11-13T19:14:45Z,10.64676,R+11,Tillis +11,republican,north-carolina,2020-11-14T00:45:31.775372Z
37027,Caldwell,41977,35254,18,20,Released as a precinct as first report of the night,98,42828,98%,98% reported,edison,10,unknown,,37674,,,29760,10147,1281,789,24794,8807,1018,635,2020-11-13T16:42:09Z,46.72321,R+47,Tillis +47,republican,north-carolina,2020-11-14T00:45:31.775372Z
37029,Camden,5838,4393,3,3,Released as a precinct as first report of the night,98,5953,98%,98% reported,edison,10,all,,4042,,,4181,1403,183,71,3021,1209,109,54,2020-11-11T03:26:45Z,47.58479,R+48,Tillis +48,republican,north-carolina,2020-11-14T00:45:31.775372Z
37031,Carteret,41985,34217,23,26,Released as a separate subtotal as first report of the night,98,42695,98%,98% reported,edison,10,all,,34930,,,28361,11736,1292,596,22435,10361,967,454,2020-11-13T01:02:12Z,39.59748,R+40,Tillis +40,republican,north-carolina,2020-11-14T00:45:31.775372Z
37033,Caswell,11885,8306,8,9,Released as a precinct as first report of the night,99,12040,>98%,>98% reported,edison,10,all,,9422,,,6600,4885,277,123,4145,3920,173,68,2020-11-13T16:42:45Z,14.42995,R+14,Tillis +14,republican,north-carolina,2020-11-14T00:45:31.775372Z
37035,Catawba,82235,67601,36,40,"As a precinct in the FIRST cumulative report, along with regular precincts",99,83418,>98%,>98% reported,edison,10,none,,67210,,,53657,24608,2514,1456,43473,21107,1896,1125,2020-11-13T16:47:42Z,35.32438,R+35,Tillis +35,republican,north-carolina,2020-11-14T00:45:31.775372Z
37037,Chatham,48049,43376,17,18,Released as a precinct as first report of the night,99,48598,>98%,>98% reported,edison,10,unknown,,39498,,,20906,25563,1156,424,17700,24352,977,347,2020-11-13T17:28:53Z,9.69219,D+10,Cunningham +10,democrat,north-carolina,2020-11-14T00:45:31.775372Z
37039,Cherokee,16207,11326,15,16,Released as a precinct as first report of the night,99,16423,>98%,>98% reported,edison,10,unknown,,10581,,,11991,3573,404,239,8063,2871,235,157,2020-11-13T16:11:43Z,51.94052,R+52,Tillis +52,republican,north-carolina,2020-11-14T00:45:31.775372Z
37041,Chowan,7660,6562,5,6,Released as a precinct as first report of the night,98,7784,98%,98% reported,edison,10,all,,8195,,,4338,3112,137,73,3636,2768,98,60,2020-11-13T19:02:50Z,16.00522,R+16,Tillis +16,republican,north-carolina,2020-11-14T00:45:31.775372Z
37043,Clay,6760,5170,8,9,Released as a precinct as first report of the night,98,6892,98%,98% reported,edison,10,all,,5792,,,4864,1662,138,96,3591,1426,90,63,2020-11-13T18:00:41Z,47.36686,R+47,Tillis +47,republican,north-carolina,2020-11-14T00:45:31.775372Z
37045,Cleveland,50570,41162,19,21,Released as a precinct as first report of the night,99,51308,>98%,>98% reported,edison,10,all,,35936,,,31899,16681,1230,760,25347,14311,924,580,2020-11-13T18:26:52Z,30.09294,R+30,Tillis +30,republican,north-carolina,2020-11-14T00:45:31.775372Z
37047,Columbus,25905,18863,23,26,Released as a precinct as first report of the night,99,26243,>98%,>98% reported,edison,6,unknown,,20755,,,15445,9527,511,422,10542,7683,351,287,2020-11-11T03:25:21Z,22.84501,R+23,Tillis +23,republican,north-carolina,2020-11-14T00:45:31.775372Z
37049,Craven,52381,44404,19,21,Released as a precinct as first report of the night,99,52974,>98%,>98% reported,edison,6,unknown,,49498,,,29460,20372,1760,789,24405,18041,1353,605,2020-11-13T18:02:50Z,17.3498,R+17,Tillis +17,republican,north-carolina,2020-11-14T00:45:31.775372Z
37051,Cumberland,145130,121466,68,75,Released as a separate subtotal as first report of the night,99,146828,>98%,>98% reported,edison,10,unknown,,132574,,,56917,80679,5335,2199,44986,70715,4073,1692,2020-11-13T18:01:45Z,16.37291,D+16,Cunningham +16,democrat,north-carolina,2020-11-14T00:45:31.775372Z
37053,Currituck,15812,10079,11,11,Released as a precinct as first report of the night,98,16147,98%,98% reported,edison,10,unknown,,6061,,,11280,3812,546,174,6788,2909,295,87,2020-11-13T16:13:51Z,47.22995,R+47,Tillis +47,republican,north-carolina,2020-11-14T00:45:31.775372Z
37055,Dare,23658,18762,15,16,Released as a separate subtotal as first report of the night,98,24242,98%,98% reported,edison,10,all,,12962,,,13485,9218,753,202,10013,8102,517,130,2020-11-13T17:37:56Z,18.03618,R+18,Tillis +18,republican,north-carolina,2020-11-14T00:45:31.775372Z
37057,Davidson,84500,66468,39,43,Released as a precinct as first report of the night,95,88503,95%,95% reported,edison,10,unknown,,62552,,,58435,22431,2364,1270,45679,18195,1671,923,2020-11-13T17:37:19Z,42.60828,R+43,Tillis +43,republican,north-carolina,2020-11-14T00:45:31.775372Z
