fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_sasseb,results_janicekc,results_siadekg,results_write_ins,results_absentee_sasseb,results_absentee_janicekc,results_absentee_siadekg,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
31033,Cheyenne,4546,0,9,10,Released as a precinct as first report of the night,86,5276,86%,86% reported,edison,2,unknown,,1955,,,3505,718,323,,0,0,0,,2020-11-11T03:25:50Z,61.30664,R+61,Sasse +61,republican,nebraska,2020-11-14T00:45:21.971231Z
31035,Clay,3335,0,12,12,Released as a precinct as first report of the night,93,3600,93%,93% reported,edison,2,unknown,,699,,,2660,432,243,,0,0,0,,2020-11-11T03:25:50Z,66.8066,R+67,Sasse +67,republican,nebraska,2020-11-14T00:45:21.971231Z
31037,Colfax,3619,1465,6,6,"Released as first report, then NOT included in cumulative results",100,3600,>98%,>98% reported,edison,2,some,,1195,,,2651,746,156,66,965,368,78,54,2020-11-11T03:25:52Z,52.63885,R+53,Sasse +53,republican,nebraska,2020-11-14T00:45:21.971231Z
31039,Cuming,4273,0,7,8,None,94,4563,94%,94% reported,edison,2,unknown,,1174,,,3566,509,198,,0,0,0,,2020-11-14T00:00:56Z,71.54224,R+72,Sasse +72,republican,nebraska,2020-11-14T00:45:21.971231Z
31041,Custer,5608,0,27,30,Released as a precinct in the middle of the night,89,6330,89%,89% reported,edison,2,unknown,,1726,,,4733,522,353,,0,0,0,,2020-11-11T03:25:03Z,75.08916,R+75,Sasse +75,republican,nebraska,2020-11-14T00:45:21.971231Z
31043,Dakota,6426,0,13,14,Released as a precinct as first report of the night,91,7032,91%,91% reported,edison,2,unknown,,2150,,,3951,2235,240,,0,0,0,,2020-11-11T03:25:04Z,26.70401,R+27,Sasse +27,republican,nebraska,2020-11-14T00:45:21.971231Z
31045,Dawes,3918,0,11,12,"As a precinct in the FIRST cumulative report, along with regular precincts",94,4156,94%,94% reported,edison,2,unknown,,2669,,,2883,785,250,,0,0,0,,2020-11-11T03:25:04Z,53.54773,R+54,Sasse +54,republican,nebraska,2020-11-14T00:45:21.971231Z
31047,Dawson,8888,3288,19,21,Released as a precinct as first report of the night,92,9671,92%,92% reported,edison,2,some,,2261,,,6429,1819,475,165,2139,879,153,117,2020-11-11T03:25:05Z,51.86769,R+52,Sasse +52,republican,nebraska,2020-11-14T00:45:21.971231Z
31049,Deuel,1003,0,3,3,None,89,1133,89%,89% reported,edison,2,unknown,,274,,,837,104,62,0,0,0,0,0,2020-11-11T19:23:05Z,73.08076,R+73,Sasse +73,republican,nebraska,2020-11-14T00:45:21.971231Z
31051,Dixon,2913,0,12,13,Other,93,3116,93%,93% reported,edison,2,unknown,,3510,,,2206,501,206,,0,0,0,,2020-11-11T03:25:06Z,58.53072,R+59,Sasse +59,republican,nebraska,2020-11-14T00:45:21.971231Z
31053,Dodge,15847,0,31,34,"As a precinct in the FIRST cumulative report, along with regular precincts",91,17392,91%,91% reported,edison,4,unknown,,4152,,,11383,3396,1068,,0,0,0,,2020-11-11T03:25:08Z,50.40071,R+50,Sasse +50,republican,nebraska,2020-11-14T00:45:21.971231Z
31055,Douglas,263263,0,232,237,Released separately AFTER election night,98,269285,98%,98% reported,edison,2,unknown,,125011,,,134032,84772,15627,28832,0,0,0,0,2020-11-11T03:25:09Z,18.71133,R+19,Sasse +19,republican,nebraska,2020-11-14T00:45:21.971231Z
31057,Dundy,960,0,4,4,Released as a separate subtotal as first report of the night,87,1100,87%,87% reported,edison,2,unknown,,334,,,835,77,48,,0,0,0,,2020-11-11T03:25:10Z,78.95833,R+79,Sasse +79,republican,nebraska,2020-11-14T00:45:21.971231Z
31059,Fillmore,3009,0,9,10,"As a precinct in the FIRST cumulative report, along with regular precincts",91,3294,91%,91% reported,edison,2,unknown,,917,,,2418,435,156,,0,0,0,,2020-11-11T03:25:11Z,65.90229,R+66,Sasse +66,republican,nebraska,2020-11-14T00:45:21.971231Z
31061,Franklin,1656,0,4,5,Released as a precinct as first report of the night,88,1874,88%,88% reported,edison,2,unknown,,590,,,1395,190,71,,0,0,0,,2020-11-11T03:25:11Z,72.7657,R+73,Sasse +73,republican,nebraska,2020-11-14T00:45:21.971231Z
31063,Frontier,1385,0,5,5,Merged into voters' home precincts and released with cumulative results,93,1487,93%,93% reported,edison,2,unknown,,342,,,1183,129,73,,0,0,0,,2020-11-11T03:25:12Z,76.10108,R+76,Sasse +76,republican,nebraska,2020-11-14T00:45:21.971231Z
31065,Furnas,2517,0,8,8,None,96,2621,96%,96% reported,edison,2,unknown,,478,,,2079,277,161,,0,0,0,,2020-11-11T03:25:13Z,71.59317,R+72,Sasse +72,republican,nebraska,2020-11-14T00:45:21.971231Z
31067,Gage,10516,0,10,11,None,93,11254,93%,93% reported,edison,4,all,,6456,,,7656,2240,620,,0,0,0,,2020-11-11T03:25:13Z,51.50247,R+52,Sasse +52,republican,nebraska,2020-11-14T00:45:21.971231Z
31069,Garden,1139,0,1,1,Merged into voters' home precincts and released with cumulative results,93,1219,93%,93% reported,edison,2,unknown,,403,,,938,127,74,,0,0,0,,2020-11-11T03:25:05Z,71.20281,R+71,Sasse +71,republican,nebraska,2020-11-14T00:45:21.971231Z
31071,Garfield,1004,0,3,3,"As a precinct in the FIRST cumulative report, along with regular precincts",91,1098,91%,91% reported,edison,2,unknown,,302,,,863,91,50,,0,0,0,,2020-11-11T03:25:05Z,76.89243,R+77,Sasse +77,republican,nebraska,2020-11-14T00:45:21.971231Z
31073,Gosper,1070,0,4,4,Merged into voters' home precincts and released with cumulative results,95,1131,95%,95% reported,edison,2,unknown,,282,,,900,111,59,,0,0,0,,2020-11-11T03:25:06Z,73.73832,R+74,Sasse +74,republican,nebraska,2020-11-14T00:45:21.971231Z
31075,Grant,360,0,1,1,Merged into voters' home precincts AFTER election night,79,454,79%,79% reported,edison,2,unknown,,133,,,321,14,25,,0,0,0,,2020-11-11T03:25:06Z,82.22222,R+82,Sasse +82,republican,nebraska,2020-11-14T00:45:21.971231Z
31077,Greeley,1160,0,4,5,Released as a precinct at the end of tabulation,88,1323,88%,88% reported,edison,2,unknown,,282,,,938,166,56,,0,0,0,,2020-11-11T03:25:08Z,66.55172,R+67,Sasse +67,republican,nebraska,2020-11-14T00:45:21.971231Z
31079,Hall,22900,0,25,27,Released as a precinct at the end of tabulation,93,24707,93%,93% reported,edison,2,unknown,,9026,,,16231,5180,1489,,0,0,0,,2020-11-11T03:25:09Z,48.25764,R+48,Sasse +48,republican,nebraska,2020-11-14T00:45:21.971231Z
31081,Hamilton,5153,0,11,12,Released as a precinct as first report of the night,92,5604,92%,92% reported,edison,2,unknown,,5243,,,4103,677,373,,0,0,0,,2020-11-11T03:25:10Z,66.48554,R+66,Sasse +66,republican,nebraska,2020-11-14T00:45:21.971231Z
31083,Harlan,1842,0,8,9,Released separately AFTER election night,90,2052,90%,90% reported,edison,2,unknown,,466,,,1529,208,105,,0,0,0,,2020-11-11T03:25:11Z,71.71553,R+72,Sasse +72,republican,nebraska,2020-11-14T00:45:21.971231Z
31085,Hayes,510,0,4,4,Released separately AFTER election night,84,604,84%,84% reported,edison,2,unknown,,277,,,457,30,23,,0,0,0,,2020-11-11T03:25:12Z,83.72549,R+84,Sasse +84,republican,nebraska,2020-11-14T00:45:21.971231Z
31087,Hitchcock,1432,0,4,5,Released as a precinct as first report of the night,86,1671,86%,86% reported,edison,2,unknown,,448,,,1179,144,109,,0,0,0,,2020-11-11T03:25:12Z,72.27654,R+72,Sasse +72,republican,nebraska,2020-11-14T00:45:21.971231Z
31089,Holt,5141,0,13,14,Released as a precinct as first report of the night,90,5732,90%,90% reported,edison,2,unknown,,1792,,,4165,603,373,,0,0,0,,2020-11-14T00:00:56Z,69.28613,R+69,Sasse +69,republican,nebraska,2020-11-14T00:45:21.971231Z
31091,Hooker,414,0,1,1,Merged into voters' home precincts and released with cumulative results,89,467,89%,89% reported,edison,2,unknown,,109,,,349,48,17,,0,0,0,,2020-11-11T03:25:14Z,72.70531,R+73,Sasse +73,republican,nebraska,2020-11-14T00:45:21.971231Z
31093,Howard,3313,0,9,9,Released as a separate subtotal as first report of the night,99,3353,>98%,>98% reported,edison,2,unknown,,934,,,2660,446,207,,0,0,0,,2020-11-11T03:25:15Z,66.82765,R+67,Sasse +67,republican,nebraska,2020-11-14T00:45:21.971231Z
31095,Jefferson,3619,0,10,11,None,92,3913,92%,92% reported,edison,2,unknown,,1011,,,2764,664,191,,0,0,0,,2020-11-11T03:25:15Z,58.02708,R+58,Sasse +58,republican,nebraska,2020-11-14T00:45:21.971231Z
31097,Johnson,2118,0,5,6,Released as a precinct as first report of the night,91,2340,91%,91% reported,edison,2,unknown,,685,,,1576,417,125,,0,0,0,,2020-11-14T00:00:55Z,54.72144,R+55,Sasse +55,republican,nebraska,2020-11-14T00:45:21.971231Z
31099,Kearney,3422,0,11,12,Released as a precinct as first report of the night,93,3692,93%,93% reported,edison,2,unknown,,765,,,2790,412,220,,0,0,0,,2020-11-11T03:25:18Z,69.49153,R+69,Sasse +69,republican,nebraska,2020-11-14T00:45:21.971231Z
31101,Keith,4162,0,11,12,Merged into voters' home precincts and released with cumulative results,92,4528,92%,92% reported,edison,2,unknown,,1515,,,3355,553,254,,0,0,0,,2020-11-11T03:25:19Z,67.3234,R+67,Sasse +67,republican,nebraska,2020-11-14T00:45:21.971231Z
31103,Keya Paha,502,0,3,3,Released as a precinct as first report of the night,86,581,86%,86% reported,edison,2,unknown,,301,,,427,41,34,,0,0,0,,2020-11-11T03:25:19Z,76.89243,R+77,Sasse +77,republican,nebraska,2020-11-14T00:45:21.971231Z
31105,Kimball,1800,0,6,6,"As a precinct in the FIRST cumulative report, along with regular precincts",96,1884,96%,96% reported,edison,2,unknown,,544,,,1448,242,110,,0,0,0,,2020-11-11T03:25:20Z,67,R+67,Sasse +67,republican,nebraska,2020-11-14T00:45:21.971231Z
31107,Knox,4372,0,8,8,Released as a separate subtotal as first report of the night,93,4700,93%,93% reported,edison,2,unknown,,1126,,,3376,708,288,,0,0,0,,2020-11-14T00:00:55Z,61.0247,R+61,Sasse +61,republican,nebraska,2020-11-14T00:45:21.971231Z
31109,Lancaster,136597,0,178,199,Released as a precinct at the end of tabulation,90,152570,90%,90% reported,edison,2,some,,53608,,,79436,48756,8405,,0,0,0,,2020-11-14T00:00:55Z,22.46023,R+22,Sasse +22,republican,nebraska,2020-11-14T00:45:21.971231Z
31111,Lincoln,16418,7609,23,25,Released as a precinct as first report of the night,91,18067,91%,91% reported,edison,2,all,,6886,,,12679,2626,1113,,5464,1655,490,,2020-11-11T03:25:22Z,61.23158,R+61,Sasse +61,republican,nebraska,2020-11-14T00:45:21.971231Z
31113,Logan,427,0,2,2,Released as a precinct at the end of tabulation,84,507,84%,84% reported,edison,2,unknown,,219,,,369,36,22,,0,0,0,,2020-11-11T03:25:23Z,77.98595,R+78,Sasse +78,republican,nebraska,2020-11-14T00:45:21.971231Z
31115,Loup,419,0,2,2,Released as a precinct at the end of tabulation,97,431,97%,97% reported,edison,2,unknown,,130,,,370,28,21,,0,0,0,,2020-11-11T03:25:23Z,81.62291,R+82,Sasse +82,republican,nebraska,2020-11-14T00:45:21.971231Z
31119,Madison,14561,0,21,23,Released as a precinct as first report of the night,91,15924,91%,91% reported,edison,2,unknown,,4174,,,11309,2336,916,,0,0,0,,2020-11-11T03:25:26Z,61.62351,R+62,Sasse +62,republican,nebraska,2020-11-14T00:45:21.971231Z
31117,McPherson,294,0,1,1,Other,98,301,98%,98% reported,edison,6,unknown,,138,,,259,12,19,4,0,0,0,0,2020-11-11T03:25:25Z,81.63265,R+82,Sasse +82,republican,nebraska,2020-11-14T00:45:21.971231Z
31121,Merrick,4093,0,14,15,Released as a precinct as first report of the night,96,4243,96%,96% reported,edison,2,unknown,,3923,,,3230,509,267,87,0,0,0,0,2020-11-11T03:25:26Z,66.47935,R+66,Sasse +66,republican,nebraska,2020-11-14T00:45:21.971231Z
31123,Morrill,2416,0,10,10,Released as a precinct as first report of the night,98,2474,98%,98% reported,edison,2,unknown,,1216,,,1870,325,221,,0,0,0,,2020-11-11T03:25:27Z,63.94868,R+64,Sasse +64,republican,nebraska,2020-11-14T00:45:21.971231Z
31125,Nance,1685,0,6,7,Released as a precinct at the end of tabulation,93,1816,93%,93% reported,edison,2,unknown,,643,,,1353,242,90,,0,0,0,,2020-11-11T03:25:28Z,65.93472,R+66,Sasse +66,republican,nebraska,2020-11-14T00:45:21.971231Z
31127,Nemaha,3241,0,8,9,Released as a precinct as first report of the night,90,3585,90%,90% reported,edison,2,unknown,,1205,,,2511,524,206,,0,0,0,,2020-11-11T03:25:28Z,61.30824,R+61,Sasse +61,republican,nebraska,2020-11-14T00:45:21.971231Z
31129,Nuckolls,2218,0,8,9,Released as a precinct as first report of the night,90,2470,90%,90% reported,edison,2,unknown,,470,,,1856,255,107,,0,0,0,,2020-11-14T00:00:55Z,72.18215,R+72,Sasse +72,republican,nebraska,2020-11-14T00:45:21.971231Z
31131,Otoe,8102,3759,14,14,Released as a precinct as first report of the night,98,8306,98%,98% reported,edison,6,all,,2920,,,5925,1495,453,229,2439,925,210,185,2020-11-11T03:25:30Z,54.67786,R+55,Sasse +55,republican,nebraska,2020-11-14T00:45:21.971231Z
31133,Pawnee,1354,0,5,6,Merged into voters' home precincts AFTER election night,90,1497,90%,90% reported,edison,2,unknown,,504,,,1072,217,65,,0,0,0,,2020-11-11T03:25:30Z,63.14623,R+63,Sasse +63,republican,nebraska,2020-11-14T00:45:21.971231Z
31135,Perkins,1486,829,4,4,Released as a precinct as first report of the night,91,1630,91%,91% reported,edison,2,some,,912,,,1265,138,69,14,666,111,40,12,2020-11-11T03:25:31Z,75.84118,R+76,Sasse +76,republican,nebraska,2020-11-14T00:45:21.971231Z
31137,Phelps,4708,0,13,14,Released as a precinct as first report of the night,90,5258,90%,90% reported,edison,2,unknown,,1421,,,3896,488,324,,0,0,0,,2020-11-11T03:25:32Z,72.38743,R+72,Sasse +72,republican,nebraska,2020-11-14T00:45:21.971231Z
31139,Pierce,3818,0,6,6,Released as a precinct as first report of the night,94,4066,94%,94% reported,edison,2,unknown,,1102,,,3261,353,204,,0,0,0,,2020-11-11T03:25:33Z,76.16553,R+76,Sasse +76,republican,nebraska,2020-11-14T00:45:21.971231Z
31141,Platte,14558,0,29,32,Released as a precinct as first report of the night,90,16165,90%,90% reported,edison,2,unknown,,5291,,,11710,2143,705,,0,0,0,,2020-11-11T03:25:33Z,65.71644,R+66,Sasse +66,republican,nebraska,2020-11-14T00:45:21.971231Z
31143,Polk,2756,0,6,6,Merged into voters' home precincts and released with cumulative results,95,2892,95%,95% reported,edison,2,unknown,,954,,,2272,353,131,,0,0,0,,2020-11-11T03:25:34Z,69.6299,R+70,Sasse +70,republican,nebraska,2020-11-14T00:45:21.971231Z
31145,Red Willow,5204,0,13,14,Merged into voters' home precincts and released with cumulative results,90,5790,90%,90% reported,edison,2,unknown,,1754,,,4290,574,340,,0,0,0,,2020-11-11T03:25:35Z,71.40661,R+71,Sasse +71,republican,nebraska,2020-11-14T00:45:21.971231Z
31147,Richardson,3899,0,13,15,Released as a separate subtotal as first report of the night,91,4262,91%,91% reported,edison,2,unknown,,1536,,,3023,680,196,,0,0,0,,2020-11-14T00:00:55Z,60.09233,R+60,Sasse +60,republican,nebraska,2020-11-14T00:45:21.971231Z
31149,Rock,790,0,2,2,Released as a precinct as first report of the night,88,894,88%,88% reported,edison,2,unknown,,381,,,699,43,48,,0,0,0,,2020-11-11T03:25:37Z,82.40506,R+82,Sasse +82,republican,nebraska,2020-11-14T00:45:21.971231Z
31151,Saline,5465,0,12,13,Merged into voters' home precincts and released with cumulative results,95,5752,95%,95% reported,edison,2,unknown,,1309,,,3675,1410,380,,0,0,0,,2020-11-11T03:25:37Z,41.44556,R+41,Sasse +41,republican,nebraska,2020-11-14T00:45:21.971231Z
31153,Sarpy,93221,0,52,52,Merged into voters' home precincts and released with cumulative results,100,90250,>98%,>98% reported,edison,2,unknown,,41779,,,57315,23309,5763,6834,0,0,0,0,2020-11-11T03:25:38Z,36.4789,R+36,Sasse +36,republican,nebraska,2020-11-14T00:45:21.971231Z
31155,Saunders,11975,0,19,19,"As a precinct in the FIRST cumulative report, along with regular precincts",98,12163,98%,98% reported,edison,2,unknown,,3181,,,9210,1997,768,,0,0,0,,2020-11-14T00:00:55Z,60.23382,R+60,Sasse +60,republican,nebraska,2020-11-14T00:45:21.971231Z
31157,Scotts Bluff,14906,0,30,30,Released as a precinct as first report of the night,93,16035,93%,93% reported,edison,2,some,,6589,,,10689,2987,943,287,0,0,0,0,2020-11-11T03:25:39Z,51.67047,R+52,Sasse +52,republican,nebraska,2020-11-14T00:45:21.971231Z
31159,Seward,8637,0,16,16,Released as a precinct as first report of the night,97,8873,97%,97% reported,edison,2,unknown,,2013,,,6718,1464,455,,0,0,0,,2020-11-11T03:25:39Z,60.83131,R+61,Sasse +61,republican,nebraska,2020-11-14T00:45:21.971231Z
31161,Sheridan,2541,0,8,9,Released as a precinct as first report of the night,87,2921,87%,87% reported,edison,2,unknown,,739,,,2042,290,209,,0,0,0,,2020-11-11T03:25:40Z,68.94923,R+69,Sasse +69,republican,nebraska,2020-11-14T00:45:21.971231Z
31163,Sherman,1608,0,6,7,Released separately AFTER election night,91,1762,91%,91% reported,edison,2,unknown,,421,,,1233,247,128,,0,0,0,,2020-11-11T03:25:41Z,61.31841,R+61,Sasse +61,republican,nebraska,2020-11-14T00:45:21.971231Z
31165,Sioux,696,0,3,3,Released separately AFTER election night,84,824,84%,84% reported,edison,2,unknown,,291,,,597,52,47,,0,0,0,,2020-11-11T03:25:41Z,78.3046,R+78,Sasse +78,republican,nebraska,2020-11-14T00:45:21.971231Z
31167,Stanton,2920,0,15,16,Released as a precinct as first report of the night,93,3137,93%,93% reported,edison,2,unknown,,1576,,,2304,374,242,,0,0,0,,2020-11-11T03:25:42Z,66.09589,R+66,Sasse +66,republican,nebraska,2020-11-14T00:45:21.971231Z
31169,Thayer,2851,0,8,8,Released as a precinct as first report of the night,95,3013,95%,95% reported,edison,2,unknown,,773,,,2356,372,123,,0,0,0,,2020-11-14T00:00:54Z,69.58962,R+70,Sasse +70,republican,nebraska,2020-11-14T00:45:21.971231Z
31171,Thomas,390,0,1,1,Released as a separate subtotal at the end of tabulation,85,457,85%,85% reported,edison,2,unknown,,242,,,329,40,21,,0,0,0,,2020-11-11T03:25:44Z,74.10256,R+74,Sasse +74,republican,nebraska,2020-11-14T00:45:21.971231Z
31173,Thurston,2177,0,8,9,"As a precinct in the FIRST cumulative report, along with regular precincts",88,2472,88%,88% reported,edison,2,unknown,,363,,,1218,885,74,,0,0,0,,2020-11-14T00:00:54Z,15.29628,R+15,Sasse +15,republican,nebraska,2020-11-14T00:45:21.971231Z
31175,Valley,2252,0,7,8,"As a precinct in the FIRST cumulative report, along with regular precincts",91,2470,91%,91% reported,edison,2,unknown,,581,,,1812,278,122,40,0,0,0,0,2020-11-11T03:25:45Z,68.11723,R+68,Sasse +68,republican,nebraska,2020-11-14T00:45:21.971231Z
31177,Washington,11550,0,15,16,Released as a precinct as first report of the night,95,12132,95%,95% reported,edison,2,unknown,,4096,,,8808,1981,761,,0,0,0,,2020-11-11T03:25:46Z,59.10823,R+59,Sasse +59,republican,nebraska,2020-11-14T00:45:21.971231Z
31179,Wayne,3914,0,10,11,Released as a precinct as first report of the night,93,4229,93%,93% reported,edison,2,unknown,,1347,,,3000,638,276,,0,0,0,,2020-11-11T03:25:46Z,60.34747,R+60,Sasse +60,republican,nebraska,2020-11-14T00:45:21.971231Z
31181,Webster,1762,0,6,6,Released separately AFTER election night,91,1945,91%,91% reported,edison,2,unknown,,499,,,1443,230,89,,0,0,0,,2020-11-11T03:25:47Z,68.84222,R+69,Sasse +69,republican,nebraska,2020-11-14T00:45:21.971231Z
31183,Wheeler,472,0,2,2,Released separately AFTER election night,91,521,91%,91% reported,edison,2,unknown,,160,,,387,49,36,,0,0,0,,2020-11-11T03:25:48Z,71.61017,R+72,Sasse +72,republican,nebraska,2020-11-14T00:45:21.971231Z
31185,York,6749,0,12,13,Released as a precinct as first report of the night,94,7147,94%,94% reported,edison,2,unknown,,2483,,,5366,1008,375,,0,0,0,,2020-11-11T03:25:48Z,64.57253,R+65,Sasse +65,republican,nebraska,2020-11-14T00:45:21.971231Z
