fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_grahaml,results_harrisonj,results_bledsoeb,results_absentee_grahaml,results_absentee_harrisonj,results_absentee_bledsoeb,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
45001,Abbeville,12439,6846,16,16,Merged into voters' home precincts and released with cumulative results,100,12439,>98%,>98% reported,edison,10,unknown,,3221,,,8025,4232,182,3824,2943,79,2020-11-12T15:31:06Z,30.4928,R+30,Graham +30,republican,south-carolina,2020-11-14T00:45:41.616383Z
45003,Aiken,85164,44583,84,84,"As a precinct in the FIRST cumulative report, along with regular precincts",100,85185,>98%,>98% reported,edison,10,all,,20973,,,51080,32829,1255,23821,20375,387,2020-11-12T15:26:52Z,21.43042,R+21,Graham +21,republican,south-carolina,2020-11-14T00:45:41.616383Z
45005,Allendale,3625,2431,8,8,Released as a precinct as first report of the night,100,3625,>98%,>98% reported,edison,10,unknown,,2170,,,833,2773,19,391,2031,9,2020-11-12T15:26:54Z,53.51724,D+54,Harrison +54,democrat,south-carolina,2020-11-14T00:45:41.616383Z
45007,Anderson,96035,31149,79,79,Released as a precinct at the end of tabulation,100,96093,>98%,>98% reported,edison,10,all,,15738,,,66655,28075,1305,17564,13326,259,2020-11-11T03:25:06Z,40.17285,R+40,Graham +40,republican,south-carolina,2020-11-14T00:45:41.616383Z
45009,Bamberg,6477,3648,13,13,Released as a separate subtotal at the end of tabulation,100,6482,>98%,>98% reported,edison,10,all,,1944,,,2373,4060,44,1043,2593,12,2020-11-12T15:27:04Z,26.04601,D+26,Harrison +26,democrat,south-carolina,2020-11-14T00:45:41.616383Z
45011,Barnwell,10312,5604,15,15,"As a precinct in the FIRST cumulative report, along with regular precincts",100,10321,>98%,>98% reported,edison,10,unknown,,2475,,,5378,4806,128,2582,2975,47,2020-11-12T15:27:13Z,5.54694,R+6,Graham +6,republican,south-carolina,2020-11-14T00:45:41.616383Z
45013,Beaufort,97915,56478,95,95,Released as a precinct at the end of tabulation,100,97915,>98%,>98% reported,edison,10,all,,27701,,,53575,43489,851,26492,29697,289,2020-11-11T03:25:12Z,10.30077,R+10,Graham +10,republican,south-carolina,2020-11-14T00:45:41.616383Z
45015,Berkeley,104391,57049,96,96,"As a precinct in the FIRST cumulative report, along with regular precincts",100,104458,>98%,>98% reported,edison,10,all,,19053,,,56358,46233,1800,26522,29906,621,2020-11-11T03:25:14Z,9.69911,R+10,Graham +10,republican,south-carolina,2020-11-14T00:45:41.616383Z
45017,Calhoun,8299,4334,12,12,Released as a precinct as first report of the night,100,8299,>98%,>98% reported,edison,10,unknown,,2608,,,4201,3975,123,1593,2702,39,2020-11-12T15:27:12Z,2.72322,R+3,Graham +3,republican,south-carolina,2020-11-14T00:45:41.616383Z
45019,Charleston,219114,161511,182,182,Released as a precinct as first report of the night,100,219114,>98%,>98% reported,edison,10,unknown,,54234,,,95401,121517,2196,65652,94679,1180,2020-11-12T15:38:13Z,11.91891,D+12,Harrison +12,democrat,south-carolina,2020-11-14T00:45:41.616383Z
45021,Cherokee,25231,10572,29,29,"As a precinct in the FIRST cumulative report, along with regular precincts",100,25270,>98%,>98% reported,edison,10,unknown,,4510,,,17481,7265,485,6373,4056,143,2020-11-12T15:27:18Z,40.48987,R+40,Graham +40,republican,south-carolina,2020-11-14T00:45:41.616383Z
45023,Chester,15742,8183,21,21,Merged into voters' home precincts and released with cumulative results,100,15757,>98%,>98% reported,edison,10,unknown,,7206,,,8247,7225,270,3517,4589,77,2020-11-12T15:29:32Z,6.49219,R+6,Graham +6,republican,south-carolina,2020-11-14T00:45:41.616383Z
45025,Chesterfield,18859,8895,25,25,Released separately AFTER election night,100,18876,>98%,>98% reported,edison,10,unknown,,3936,,,10878,7706,275,4296,4523,76,2020-11-12T15:27:25Z,16.81956,R+17,Graham +17,republican,south-carolina,2020-11-14T00:45:41.616383Z
45027,Clarendon,16704,10220,25,25,None,100,16733,>98%,>98% reported,edison,10,unknown,,7824,,,8141,8391,172,3945,6205,70,2020-11-12T15:27:31Z,1.49665,D+1.5,Harrison +1.5,democrat,south-carolina,2020-11-14T00:45:41.616383Z
45029,Colleton,19271,10101,32,32,"As a precinct in the FIRST cumulative report, along with regular precincts",100,19283,>98%,>98% reported,edison,10,all,,6733,,,10068,8839,364,4227,5761,113,2020-11-12T15:27:36Z,6.37746,R+6,Graham +6,republican,south-carolina,2020-11-14T00:45:41.616383Z
45031,Darlington,32414,18683,32,32,Released as a precinct as first report of the night,100,32417,>98%,>98% reported,edison,10,unknown,,9811,,,16456,15563,395,7908,10640,135,2020-11-12T15:29:40Z,2.75498,R+3,Graham +3,republican,south-carolina,2020-11-14T00:45:41.616383Z
45033,Dillon,13090,5980,19,19,Other,100,13101,>98%,>98% reported,edison,10,unknown,,4576,,,6297,6663,130,2285,3651,44,2020-11-12T15:27:41Z,2.79603,D+3,Harrison +3,democrat,south-carolina,2020-11-14T00:45:41.616383Z
