fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_cottont,results_harringtonr,results_absentee_cottont,results_absentee_harringtonr,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
05031,Craighead,37930,28063,50,53,Released as a precinct as first report of the night,99,38364,>98%,>98% reported,edison,6,all,,28910,,,26342,11588,19007,9056,2020-11-13T16:56:42Z,38.89797,R+39,Cotton +39,republican,arkansas,2020-11-14T00:44:42.930808Z
05033,Crawford,24041,18740,41,43,Released as a precinct as first report of the night,96,25144,96%,96% reported,edison,4,some,,10542,,,18825,5216,14511,4229,2020-11-14T00:04:48Z,56.60746,R+57,Cotton +57,republican,arkansas,2020-11-14T00:44:42.930808Z
05035,Crittenden,14867,12375,18,22,Released as a precinct as first report of the night,79,18722,79%,79% reported,edison,2,unknown,,16062,,,7867,7000,6668,5707,2020-11-11T03:26:21Z,5.83171,R+6,Cotton +6,republican,arkansas,2020-11-14T00:44:42.930808Z
05037,Cross,6731,5405,18,21,Released as a precinct as first report of the night,95,7090,95%,95% reported,edison,2,unknown,,6533,,,5067,1664,4045,1360,2020-11-11T03:26:22Z,50.55712,R+51,Cotton +51,republican,arkansas,2020-11-14T00:44:42.930808Z
05039,Dallas,2540,1618,7,9,Released as a precinct as first report of the night,74,3454,74%,74% reported,edison,2,unknown,,2288,,,1730,810,1023,595,2020-11-11T03:26:15Z,36.22047,R+36,Cotton +36,republican,arkansas,2020-11-14T00:44:42.930808Z
05041,Desha,4003,3053,18,21,Released as a precinct as first report of the night,81,4950,81%,81% reported,edison,2,unknown,,1597,,,2299,1704,1755,1298,2020-11-12T16:43:42Z,14.86385,R+15,Cotton +15,republican,arkansas,2020-11-14T00:44:42.930808Z
05043,Drew,6686,5253,17,19,Released as a precinct as first report of the night,98,6841,98%,98% reported,edison,2,some,,5899,,,4553,2133,3538,1715,2020-11-11T03:26:16Z,36.19503,R+36,Cotton +36,republican,arkansas,2020-11-14T00:44:42.930808Z
05045,Faulkner,53329,45979,51,51,Released as a precinct as first report of the night,99,54000,>98%,>98% reported,edison,4,some,,39644,,,35197,18132,30028,15951,2020-11-11T03:26:17Z,31.99947,R+32,Cotton +32,republican,arkansas,2020-11-14T00:44:42.930808Z
05047,Franklin,7059,5426,36,39,Merged into voters' home precincts and released with cumulative results,100,6982,>98%,>98% reported,edison,2,unknown,,4789,,,5645,1414,4300,1126,2020-11-13T20:42:43Z,59.93767,R+60,Cotton +60,republican,arkansas,2020-11-14T00:44:42.930808Z
05049,Fulton,4961,3451,9,10,Released as a precinct in the middle of the night,97,5098,97%,97% reported,edison,6,some,,3222,,,4012,949,2710,741,2020-11-11T03:26:18Z,61.74158,R+62,Cotton +62,republican,arkansas,2020-11-14T00:44:42.930808Z
05051,Garland,43756,37987,54,56,"As a subtotal in the FIRST cumulative report, along with regular precincts",96,45702,96%,96% reported,edison,2,some,,38437,,,30420,13336,26077,11910,2020-11-13T17:23:42Z,39.04379,R+39,Cotton +39,republican,arkansas,2020-11-14T00:44:42.930808Z
05053,Grant,8161,5991,18,18,Released as a precinct as first report of the night,100,8197,>98%,>98% reported,edison,6,all,,3816,,,6883,1278,4980,1011,2020-11-11T03:26:11Z,68.68031,R+69,Cotton +69,republican,arkansas,2020-11-14T00:44:42.930808Z
05055,Greene,15805,13007,64,66,Released separately AFTER election night,97,16352,97%,97% reported,edison,2,unknown,,12003,,,12809,2996,10485,2522,2020-11-11T03:26:12Z,62.08795,R+62,Cotton +62,republican,arkansas,2020-11-14T00:44:42.930808Z
05057,Hempstead,6611,4485,24,24,Released as a separate subtotal as first report of the night,91,7270,91%,91% reported,edison,4,all,,4430,,,4735,1876,3027,1458,2020-11-11T03:26:12Z,43.2461,R+43,Cotton +43,republican,arkansas,2020-11-14T00:44:42.930808Z
05059,Hot Spring,12381,10311,29,31,Released as a separate subtotal as first report of the night,93,13377,93%,93% reported,edison,2,unknown,,6128,,,9388,2993,7755,2556,2020-11-13T18:12:43Z,51.65172,R+52,Cotton +52,republican,arkansas,2020-11-14T00:44:42.930808Z
05061,Howard,4696,4379,32,36,Merged into voters' home precincts AFTER election night,97,4821,97%,97% reported,edison,2,unknown,,3030,,,3549,1147,3354,1025,2020-11-13T16:56:47Z,51.14991,R+51,Cotton +51,republican,arkansas,2020-11-14T00:44:42.930808Z
05063,Independence,14226,10797,32,34,Released as a separate subtotal at the end of tabulation,100,14041,>98%,>98% reported,edison,2,unknown,,7256,,,11512,2714,8607,2190,2020-11-11T03:26:07Z,61.84451,R+62,Cotton +62,republican,arkansas,2020-11-14T00:44:42.930808Z
05065,Izard,5681,4044,44,47,"As a precinct in the FIRST cumulative report, along with regular precincts",100,5619,>98%,>98% reported,edison,2,unknown,,3837,,,4709,972,3280,764,2020-11-11T03:26:08Z,65.78067,R+66,Cotton +66,republican,arkansas,2020-11-14T00:44:42.930808Z
05067,Jackson,4914,3387,38,45,Released as a precinct at the end of tabulation,97,5076,97%,97% reported,edison,6,all,,4320,,,3732,1182,2467,920,2020-11-13T16:07:48Z,51.89255,R+52,Cotton +52,republican,arkansas,2020-11-14T00:44:42.930808Z
05069,Jefferson,24000,15558,141,170,Released as a separate subtotal as first report of the night,78,30669,78%,78% reported,edison,2,unknown,,18848,,,11264,12736,6163,9395,2020-11-11T03:26:09Z,6.13333,L+6,Harrington +6,libertarian,arkansas,2020-11-14T00:44:42.930808Z
05071,Johnson,9297,6355,20,22,Released as a separate subtotal as first report of the night,99,9397,>98%,>98% reported,edison,2,unknown,,5392,,,6973,2324,4597,1758,2020-11-11T03:26:09Z,50.00538,R+50,Cotton +50,republican,arkansas,2020-11-14T00:44:42.930808Z
05073,Lafayette,2544,2222,20,25,Released as a separate subtotal as first report of the night,78,3280,78%,78% reported,edison,2,unknown,,2162,,,1836,708,1632,590,2020-11-11T03:26:10Z,44.33962,R+44,Cotton +44,republican,arkansas,2020-11-14T00:44:42.930808Z
05075,Lawrence,5771,3926,25,28,Released as a precinct as first report of the night,98,5863,98%,98% reported,edison,2,unknown,,3298,,,4768,1003,3178,748,2020-11-11T03:26:03Z,65.23999,R+65,Cotton +65,republican,arkansas,2020-11-14T00:44:42.930808Z
05077,Lee,2545,1867,7,9,"As a subtotal in the FIRST cumulative report, along with regular precincts",66,3835,66%,66% reported,edison,2,unknown,,2378,,,1410,1135,954,913,2020-11-11T03:26:04Z,10.8055,R+11,Cotton +11,republican,arkansas,2020-11-14T00:44:42.930808Z
05079,Lincoln,3795,2220,23,26,Released as a separate subtotal as first report of the night,98,3870,98%,98% reported,edison,6,unknown,,2160,,,2902,893,1715,505,2020-11-11T03:26:04Z,52.93808,R+53,Cotton +53,republican,arkansas,2020-11-14T00:44:42.930808Z
05081,Little River,5022,4002,19,22,Merged into voters' home precincts AFTER election night,97,5178,97%,97% reported,edison,6,all,,2893,,,3885,1137,3057,945,2020-11-11T03:26:05Z,54.71924,R+55,Cotton +55,republican,arkansas,2020-11-14T00:44:42.930808Z
05083,Logan,8175,5761,33,36,Merged into voters' home precincts and released with cumulative results,100,8170,>98%,>98% reported,edison,2,unknown,,4488,,,6521,1654,4527,1234,2020-11-11T03:26:05Z,59.53517,R+60,Cotton +60,republican,arkansas,2020-11-14T00:44:42.930808Z
05085,Lonoke,30389,26254,55,55,Released as a separate subtotal as first report of the night,100,30352,>98%,>98% reported,edison,2,unknown,,20792,,,23504,6885,20305,5949,2020-11-11T03:26:06Z,54.68755,R+55,Cotton +55,republican,arkansas,2020-11-14T00:44:42.930808Z
05087,Madison,7177,4332,9,10,Released as a precinct as first report of the night,98,7315,98%,98% reported,edison,6,all,,3048,,,5601,1576,3195,1137,2020-11-11T03:25:58Z,56.08193,R+56,Cotton +56,republican,arkansas,2020-11-14T00:44:42.930808Z
05089,Marion,7370,5210,29,31,Released as a separate subtotal as first report of the night,99,7481,>98%,>98% reported,edison,6,all,,5478,,,5928,1442,4095,1115,2020-11-13T18:36:43Z,60.86839,R+61,Cotton +61,republican,arkansas,2020-11-14T00:44:42.930808Z
05091,Miller,16007,12465,17,19,Released as a separate subtotal as first report of the night,89,18022,89%,89% reported,edison,2,unknown,,11867,,,12237,3770,9402,3063,2020-11-11T03:26:00Z,52.89561,R+53,Cotton +53,republican,arkansas,2020-11-14T00:44:42.930808Z
05093,Mississippi,11637,8767,14,18,Released as a separate subtotal as first report of the night,84,13794,84%,84% reported,edison,2,unknown,,13013,,,7768,3869,5644,3123,2020-11-11T03:26:01Z,33.5052,R+34,Cotton +34,republican,arkansas,2020-11-14T00:44:42.930808Z
05095,Monroe,2722,1722,7,8,Released as a separate subtotal as first report of the night,75,3618,75%,75% reported,edison,2,unknown,,1656,,,1717,1005,1111,611,2020-11-11T03:26:02Z,26.15724,R+26,Cotton +26,republican,arkansas,2020-11-14T00:44:42.930808Z
05097,Montgomery,3785,2734,15,16,"As a subtotal in the FIRST cumulative report, along with regular precincts",100,3671,>98%,>98% reported,edison,2,unknown,,2037,,,3091,694,2169,565,2020-11-11T03:26:02Z,63.32893,R+63,Cotton +63,republican,arkansas,2020-11-14T00:44:42.930808Z
05099,Nevada,3225,1715,13,15,Released as a separate subtotal as first report of the night,96,3358,96%,96% reported,edison,6,unknown,,1874,,,2292,933,1193,522,2020-11-11T03:26:00Z,42.13953,R+42,Cotton +42,republican,arkansas,2020-11-14T00:44:42.930808Z
05101,Newton,3883,2030,18,19,Released as a separate subtotal at the end of tabulation,100,3870,>98%,>98% reported,edison,2,unknown,,2074,,,3155,728,1537,493,2020-11-11T03:26:01Z,62.50322,R+63,Cotton +63,republican,arkansas,2020-11-14T00:44:42.930808Z
05103,Ouachita,9316,7465,15,19,Released as a separate subtotal as first report of the night,81,11553,81%,81% reported,edison,2,unknown,,8051,,,5787,3529,4479,2986,2020-11-12T14:56:55Z,24.23787,R+24,Cotton +24,republican,arkansas,2020-11-14T00:44:42.930808Z
05105,Perry,4567,3231,16,17,"As a precinct in the FIRST cumulative report, along with regular precincts",99,4607,>98%,>98% reported,edison,6,all,,2160,,,3553,1014,2476,755,2020-11-14T00:04:48Z,55.59448,R+56,Cotton +56,republican,arkansas,2020-11-14T00:44:42.930808Z
05107,Phillips,5587,3693,11,16,Released as a separate subtotal as first report of the night,91,6155,91%,91% reported,edison,6,all,,6973,,,2750,2837,1546,2147,2020-11-11T03:26:03Z,1.55719,L+1.6,Harrington +1.6,libertarian,arkansas,2020-11-14T00:44:42.930808Z
05109,Pike,4205,3212,10,11,Merged into voters' home precincts and released with cumulative results,99,4240,>98%,>98% reported,edison,6,all,,2610,,,3594,611,2712,500,2020-11-11T03:26:03Z,70.93936,R+71,Cotton +71,republican,arkansas,2020-11-14T00:44:42.930808Z
05111,Poinsett,7318,4185,8,9,Released as a separate subtotal as first report of the night,92,7964,92%,92% reported,edison,2,unknown,,2501,,,6022,1296,3396,789,2020-11-11T03:26:04Z,64.58049,R+65,Cotton +65,republican,arkansas,2020-11-14T00:44:42.930808Z
05113,Polk,8407,6247,15,17,Released as a separate subtotal as first report of the night,99,8489,>98%,>98% reported,edison,2,unknown,,5582,,,7083,1324,5179,1068,2020-11-13T16:07:44Z,68.50244,R+69,Cotton +69,republican,arkansas,2020-11-14T00:44:42.930808Z
05115,Pope,24091,20426,52,55,Released as a separate subtotal as first report of the night,95,25277,95%,95% reported,edison,4,all,,17896,,,18367,5724,15475,4951,2020-11-11T03:26:05Z,52.48018,R+52,Cotton +52,republican,arkansas,2020-11-14T00:44:42.930808Z
05117,Prairie,3360,1969,22,25,Merged into voters' home precincts and released with cumulative results,95,3552,95%,95% reported,edison,2,unknown,,1421,,,2827,533,1605,364,2020-11-11T03:26:06Z,68.27381,R+68,Cotton +68,republican,arkansas,2020-11-14T00:44:42.930808Z
05119,Pulaski,161503,127926,124,137,Released as a separate subtotal as first report of the night,90,178949,90%,90% reported,edison,4,all,,127309,,,70362,91141,51569,76357,2020-11-11T03:26:06Z,12.86601,L+13,Harrington +13,libertarian,arkansas,2020-11-14T00:44:42.930808Z
05121,Randolph,6686,4989,27,29,Released as a separate subtotal as first report of the night,99,6769,>98%,>98% reported,edison,6,all,,5349,,,5487,1199,4030,959,2020-11-14T00:04:47Z,64.13401,R+64,Cotton +64,republican,arkansas,2020-11-14T00:44:42.930808Z
05123,Saint Francis,6479,4519,12,15,Released as a separate subtotal as first report of the night,69,9365,69%,69% reported,edison,2,unknown,,5859,,,3606,2873,2358,2161,2020-11-14T00:04:47Z,11.31347,R+11,Cotton +11,republican,arkansas,2020-11-14T00:44:42.930808Z
05125,Saline,56461,47429,41,42,Released as a separate subtotal as first report of the night,99,56903,>98%,>98% reported,edison,6,all,,38510,,,41402,15059,34250,13179,2020-11-11T03:26:08Z,46.65698,R+47,Cotton +47,republican,arkansas,2020-11-14T00:44:42.930808Z
05127,Scott,3525,2121,23,26,Released as a separate subtotal as first report of the night,94,3754,94%,94% reported,edison,2,unknown,,1949,,,3017,508,1753,368,2020-11-11T03:26:09Z,71.1773,R+71,Cotton +71,republican,arkansas,2020-11-14T00:44:42.930808Z
05129,Searcy,3935,2819,14,15,Released as a precinct as first report of the night,100,3845,>98%,>98% reported,edison,2,unknown,,3016,,,3337,598,2365,454,2020-11-11T03:26:09Z,69.6061,R+70,Cotton +70,republican,arkansas,2020-11-14T00:44:42.930808Z
05131,Sebastian,46501,37215,109,117,Released as a separate subtotal as first report of the night,93,49993,93%,93% reported,edison,2,all,,30462,,,31809,14692,24975,12240,2020-11-11T03:26:10Z,36.80996,R+37,Cotton +37,republican,arkansas,2020-11-14T00:44:42.930808Z
05133,Sevier,5109,3397,17,17,Released as a separate subtotal as first report of the night,100,4705,>98%,>98% reported,edison,2,unknown,,2310,,,4105,1004,2669,728,2020-11-11T03:26:11Z,60.69681,R+61,Cotton +61,republican,arkansas,2020-11-14T00:44:42.930808Z
05135,Sharp,7412,5741,23,25,Released as a separate subtotal as first report of the night,99,7511,>98%,>98% reported,edison,2,unknown,,5603,,,6092,1320,4652,1089,2020-11-12T20:12:47Z,64.38208,R+64,Cotton +64,republican,arkansas,2020-11-14T00:44:42.930808Z
05137,Stone,5846,4033,18,19,Released as a precinct in the middle of the night,99,5919,>98%,>98% reported,edison,6,all,,4534,,,4637,1209,3124,909,2020-11-11T03:26:12Z,58.63839,R+59,Cotton +59,republican,arkansas,2020-11-14T00:44:42.930808Z
05139,Union,15968,9730,24,28,Released as a separate subtotal as first report of the night,90,17715,90%,90% reported,edison,2,unknown,,12974,,,11253,4715,6453,3277,2020-11-11T03:26:12Z,40.94439,R+41,Cotton +41,republican,arkansas,2020-11-14T00:44:42.930808Z
05141,Van Buren,7654,6002,19,21,Released as a precinct as first report of the night,100,7569,>98%,>98% reported,edison,2,unknown,,4338,,,6135,1519,4727,1275,2020-11-14T00:02:42Z,60.30834,R+60,Cotton +60,republican,arkansas,2020-11-14T00:44:42.930808Z
05143,Washington,92566,73146,154,154,Released as a separate subtotal as first report of the night,100,91684,>98%,>98% reported,edison,2,unknown,,43475,,,49361,43205,37062,36084,2020-11-14T00:04:47Z,6.65039,R+7,Cotton +7,republican,arkansas,2020-11-14T00:44:42.930808Z
05145,White,30568,21856,91,93,Merged into voters' home precincts and released with cumulative results,97,31359,97%,97% reported,edison,2,unknown,,18262,,,24753,5815,17412,4444,2020-11-11T03:26:15Z,61.95368,R+62,Cotton +62,republican,arkansas,2020-11-14T00:44:42.930808Z
05147,Woodruff,2419,1354,17,20,Merged into voters' home precincts and released with cumulative results,87,2769,87%,87% reported,edison,2,unknown,,1078,,,1694,725,897,457,2020-11-12T20:05:43Z,40.05788,R+40,Cotton +40,republican,arkansas,2020-11-14T00:44:42.930808Z
05149,Yell,6655,4819,26,28,Released as a precinct as first report of the night,100,6641,>98%,>98% reported,edison,2,unknown,,3608,,,5339,1316,3798,1021,2020-11-11T03:26:17Z,60.45079,R+60,Cotton +60,republican,arkansas,2020-11-14T00:44:42.930808Z
