fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_cottont,results_harringtonr,results_absentee_cottont,results_absentee_harringtonr,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
05001,Arkansas,6063,5331,26,30,Released as a precinct as first report of the night,91,6697,91%,91% reported,edison,2,unknown,,6286,,,4564,1499,4015,1316,2020-11-11T03:26:34Z,50.55253,R+51,Cotton +51,republican,arkansas,2020-11-14T00:44:42.930808Z
05003,Ashley,7750,7739,26,30,Released as a separate subtotal as first report of the night,98,7911,98%,98% reported,edison,6,unknown,,5934,,,5801,1949,5793,1946,2020-11-11T03:26:27Z,49.70323,R+50,Cotton +50,republican,arkansas,2020-11-14T00:44:42.930808Z
05005,Baxter,20386,17331,40,43,Merged into voters' home precincts and released with cumulative results,92,22138,92%,92% reported,edison,4,some,,16848,,,16094,4292,13584,3747,2020-11-14T00:04:48Z,57.89267,R+58,Cotton +58,republican,arkansas,2020-11-14T00:44:42.930808Z
05007,Benton,117485,100574,117,117,Released as a separate subtotal as first report of the night,100,117000,>98%,>98% reported,edison,4,some,,64995,,,76068,41417,64334,36240,2020-11-14T00:04:48Z,29.49398,R+29,Cotton +29,republican,arkansas,2020-11-14T00:44:42.930808Z
05009,Boone,16807,12536,28,30,Released as a separate subtotal as first report of the night,98,17103,98%,98% reported,edison,6,all,,15309,,,13753,3054,10042,2494,2020-11-13T19:45:49Z,63.658,R+64,Cotton +64,republican,arkansas,2020-11-14T00:44:42.930808Z
05011,Bradley,3555,2467,12,14,Released as a precinct as first report of the night,94,3767,94%,94% reported,edison,2,unknown,,2557,,,2482,1073,1656,811,2020-11-11T03:26:28Z,39.63432,R+40,Cotton +40,republican,arkansas,2020-11-14T00:44:42.930808Z
05013,Calhoun,2142,1378,17,20,Released as a precinct as first report of the night,92,2340,92%,92% reported,edison,2,unknown,,1190,,,1714,428,1081,297,2020-11-13T19:45:48Z,60.03735,R+60,Cotton +60,republican,arkansas,2020-11-14T00:44:42.930808Z
05015,Carroll,11592,9135,12,13,Other,100,11095,>98%,>98% reported,edison,4,all,,6619,,,7676,3916,5727,3408,2020-11-14T00:04:48Z,32.43616,R+32,Cotton +32,republican,arkansas,2020-11-14T00:44:42.930808Z
05017,Chicot,3654,2582,10,13,Released as a precinct as first report of the night,75,4884,75%,75% reported,edison,2,unknown,,2805,,,1945,1709,1491,1091,2020-11-13T19:45:48Z,6.45868,R+6,Cotton +6,republican,arkansas,2020-11-14T00:44:42.930808Z
05019,Clark,8029,5523,27,27,Merged into voters' home precincts and released with cumulative results,96,8358,96%,96% reported,edison,6,all,,6814,,,5074,2955,3395,2128,2020-11-11T22:20:22Z,26.39183,R+26,Cotton +26,republican,arkansas,2020-11-14T00:44:42.930808Z
05021,Clay,5099,1375,15,17,Other,95,5363,95%,95% reported,edison,2,unknown,,3371,,,4196,903,1108,267,2020-11-13T14:49:42Z,64.58129,R+65,Cotton +65,republican,arkansas,2020-11-14T00:44:42.930808Z
05023,Cleburne,12515,8380,31,34,Other,99,12617,>98%,>98% reported,edison,6,some,,7784,,,10563,1952,6877,1503,2020-11-11T03:26:24Z,68.80543,R+69,Cotton +69,republican,arkansas,2020-11-14T00:44:42.930808Z
05025,Cleveland,3557,2134,16,17,"As a subtotal in the FIRST cumulative report, along with regular precincts",100,3459,>98%,>98% reported,edison,2,unknown,,1656,,,2987,570,1734,400,2020-11-13T15:00:46Z,67.95052,R+68,Cotton +68,republican,arkansas,2020-11-14T00:44:42.930808Z
05027,Columbia,8042,6879,11,14,"As a precinct in the FIRST cumulative report, along with regular precincts",94,8550,94%,94% reported,edison,6,all,,9640,,,5750,2292,4942,1937,2020-11-11T03:26:19Z,42.99925,R+43,Cotton +43,republican,arkansas,2020-11-14T00:44:42.930808Z
05029,Conway,8498,5823,30,31,Released as a precinct as first report of the night,98,8641,98%,98% reported,edison,6,all,,5139,,,5911,2587,3792,2031,2020-11-11T03:26:20Z,39.11509,R+39,Cotton +39,republican,arkansas,2020-11-14T00:44:42.930808Z
