fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_westk,results_carrollb,results_simmonsj,results_blankenshipd,results_boddiep,results_hammonsb,results_hoeflingt,results_pierceb,results_la_rivag,results_kennedya,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_westk,results_absentee_carrollb,results_absentee_simmonsj,results_absentee_blankenshipd,results_absentee_boddiep,results_absentee_hammonsb,results_absentee_hoeflingt,results_absentee_pierceb,results_absentee_la_rivag,results_absentee_kennedya,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
22059,LaSalle,7077,3272,24,24,Released as a separate subtotal as first report of the night,100,7077,>98%,>98% reported,edison,10,all,,2909,,,6378,638,39,5,4,1,4,1,1,3,1,2,0,2925,323,13,2,1,0,3,1,1,2,0,1,0,2020-11-22T20:00:34Z,81.10781,R+81,Trump +81,republican,81.10781,6569,79.6,6572,75.5,louisiana,2020-11-23T00:44:26.001880Z
22055,Lafayette,114521,48788,127,127,Released as a separate subtotal as first report of the night,100,114521,>98%,>98% reported,edison,10,all,,17606,,,72519,39685,1512,256,168,95,36,37,32,32,47,73,29,27067,21060,391,52,58,34,15,16,17,21,15,32,10,2020-11-20T16:22:45Z,28.67072,R+29,Trump +29,republican,28.67072,105603,33.6,98642,33.68,louisiana,2020-11-23T00:44:26.001880Z
22057,Lafourche,45388,20764,73,73,Released as a separate subtotal as first report of the night,100,45388,>98%,>98% reported,edison,10,all,,11030,,,36024,8672,424,80,54,21,21,19,18,12,17,18,8,16276,4231,159,13,22,7,11,11,6,6,9,10,3,2020-11-22T20:12:23Z,60.26262,R+60,Trump +60,republican,60.26262,41645,56.5,39075,48.55,louisiana,2020-11-23T00:44:26.001880Z
22061,Lincoln,19275,9128,57,57,Released as a separate subtotal as first report of the night,100,19275,>98%,>98% reported,edison,10,all,,7274,,,11311,7559,276,40,27,16,3,9,11,9,4,8,2,4694,4303,87,10,10,2,1,5,3,6,3,4,0,2020-11-22T20:01:14Z,19.46563,R+19,Trump +19,republican,19.46563,18669,19.6,18993,14.65,louisiana,2020-11-23T00:44:26.001880Z
22063,Livingston,65230,30875,79,79,Released as a separate subtotal as first report of the night,100,65230,>98%,>98% reported,edison,10,all,,13622,,,54877,9249,817,98,51,29,22,9,17,21,13,15,12,25348,5150,269,20,24,14,12,8,5,9,5,5,6,2020-11-22T20:12:46Z,69.94941,R+70,Trump +70,republican,69.94941,57730,72.5,54062,70.4,louisiana,2020-11-23T00:44:26.001880Z
22065,Madison,4670,2257,26,26,Released as a separate subtotal as first report of the night,100,4670,>98%,>98% reported,edison,10,all,,2077,,,1930,2654,23,12,11,8,4,10,6,1,7,1,3,813,1408,4,5,3,4,1,8,4,1,4,0,2,2020-11-22T20:01:56Z,15.50321,D+16,Biden +16,democrat,-15.50321,4732,-17.3,5187,-22.25,louisiana,2020-11-23T00:44:26.001880Z
22067,Morehouse,11574,7005,43,43,Released as a separate subtotal as first report of the night,100,11574,>98%,>98% reported,edison,10,all,,5808,,,6510,4946,56,8,8,11,5,9,4,5,3,4,5,3938,3017,21,3,1,6,2,6,1,4,2,3,1,2020-11-22T20:02:31Z,13.51305,R+14,Trump +14,republican,13.51305,11852,11.4,12614,5.57,louisiana,2020-11-23T00:44:26.001880Z
22069,Natchitoches,16554,7138,50,50,Released as a separate subtotal as first report of the night,100,16554,>98%,>98% reported,edison,10,all,,6918,,,9358,6896,172,28,23,22,12,12,4,5,6,7,9,3578,3456,60,4,6,8,7,4,1,2,1,4,7,2020-11-20T16:35:04Z,14.87254,R+15,Trump +15,republican,14.87254,16621,11,17258,6.58,louisiana,2020-11-23T00:44:26.001880Z
22071,Orleans,177819,100604,351,351,Released as a separate subtotal as first report of the night,100,177819,>98%,>98% reported,edison,10,all,,48486,,,26664,147854,1603,708,178,132,42,100,52,37,76,262,111,10053,89458,483,195,51,46,18,64,19,14,28,125,50,2020-11-20T13:41:54Z,68.15357,D+68,Biden +68,democrat,-68.15357,165812,-66.2,157813,-62.55,louisiana,2020-11-23T00:44:26.001880Z
22073,Ouachita,69166,29276,87,87,Released as a separate subtotal as first report of the night,100,69166,>98%,>98% reported,edison,10,all,,21843,,,42255,25913,624,125,69,48,22,33,14,19,15,18,11,16987,12036,145,22,24,14,10,11,5,6,6,6,4,2020-11-22T20:03:11Z,23.62722,R+24,Trump +24,republican,23.62722,68017,25.4,68474,20.89,louisiana,2020-11-23T00:44:26.001880Z
22075,Plaquemines,11014,7026,16,16,Released as a separate subtotal as first report of the night,100,11014,>98%,>98% reported,edison,10,all,,5386,,,7412,3414,103,31,17,6,2,7,5,6,6,4,1,4986,1953,46,12,7,3,2,4,2,3,4,4,0,2020-11-20T13:00:39Z,36.29926,R+36,Trump +36,republican,36.29926,10573,33.6,10239,28.05,louisiana,2020-11-23T00:44:26.001880Z
22077,Pointe Coupee,12371,4882,28,28,Released as a separate subtotal as first report of the night,100,12371,>98%,>98% reported,edison,10,all,,3397,,,7503,4683,94,21,17,7,5,11,11,6,6,2,5,2676,2151,28,2,3,1,3,5,5,4,1,0,3,2020-11-22T20:13:07Z,22.79525,R+23,Trump +23,republican,22.79525,11761,17.2,12147,9.15,louisiana,2020-11-23T00:44:26.001880Z
22079,Rapides,58865,23998,113,113,Released as a separate subtotal as first report of the night,100,58865,>98%,>98% reported,edison,10,all,,15102,,,38347,19475,693,125,48,47,23,22,16,16,18,20,15,14235,9461,189,33,11,17,12,10,7,6,6,7,4,2020-11-22T20:03:58Z,32.0598,R+32,Trump +32,republican,32.0598,56844,32.5,58019,29.56,louisiana,2020-11-23T00:44:26.001880Z
22081,Red River,4132,1928,18,18,Released as a separate subtotal as first report of the night,100,4132,>98%,>98% reported,edison,10,all,,2171,,,2413,1644,31,10,5,4,4,10,1,3,1,2,4,971,926,7,5,2,2,2,6,1,2,1,1,2,2020-11-20T16:35:34Z,18.61084,R+19,Trump +19,republican,18.61084,4422,10.2,4807,4.78,louisiana,2020-11-23T00:44:26.001880Z
22083,Richland,9940,4690,23,23,Released as a separate subtotal as first report of the night,100,9940,>98%,>98% reported,edison,10,all,,3563,,,6607,3225,53,12,11,4,5,11,1,3,3,3,2,3110,1538,21,3,1,1,2,6,1,3,1,2,1,2020-11-22T20:04:40Z,34.02414,R+34,Trump +34,republican,34.02414,9597,32.6,9329,26.36,louisiana,2020-11-23T00:44:26.001880Z
22085,Sabine,10596,3856,39,39,Released as a separate subtotal as first report of the night,100,10596,>98%,>98% reported,edison,10,all,,3214,,,8776,1731,49,8,8,6,3,4,3,3,2,2,1,3191,639,17,1,1,2,1,0,2,1,0,0,1,2020-11-20T16:35:54Z,66.48735,R+66,Trump +66,republican,66.48735,9787,63.1,10053,55.15,louisiana,2020-11-23T00:44:26.001880Z
22087,St. Bernard,17650,9004,31,31,Released as a separate subtotal as first report of the night,100,17650,>98%,>98% reported,edison,10,all,,4363,,,11179,6151,188,49,12,15,8,16,6,7,6,8,5,5343,3536,68,17,6,5,5,12,1,2,2,5,2,2020-11-20T13:05:04Z,28.48725,R+28,Trump +28,republican,28.48725,15815,33.4,13955,24.66,louisiana,2020-11-23T00:44:26.001880Z
22089,St. Charles,28517,14938,45,45,Released as a separate subtotal as first report of the night,100,28517,>98%,>98% reported,edison,10,all,,7869,,,18233,9800,294,63,38,23,14,3,11,12,13,9,4,9121,5622,121,28,12,5,7,2,4,7,2,5,2,2020-11-22T20:13:28Z,29.57183,R+30,Trump +30,republican,29.57183,26192,30.8,25333,27.79,louisiana,2020-11-23T00:44:26.001880Z
22091,St. Helena,6158,2739,11,11,Released as a separate subtotal as first report of the night,100,6158,>98%,>98% reported,edison,10,all,,2034,,,2714,3346,43,10,14,2,7,11,3,2,2,4,0,1005,1708,8,4,3,0,4,5,1,0,0,1,0,2020-11-22T20:13:46Z,10.26307,D+10,Biden +10,democrat,-10.26307,5964,-14.4,6394,-19.57,louisiana,2020-11-23T00:44:26.001880Z
22093,St. James,12590,6748,30,30,Released as a separate subtotal as first report of the night,100,12590,>98%,>98% reported,edison,10,all,,4059,,,5954,6510,47,23,12,7,10,14,3,1,5,3,1,3221,3480,15,7,4,3,7,9,1,0,1,0,0,2020-11-20T13:42:49Z,4.4162,D+4,Biden +4,democrat,-4.4162,12085,-8,12395,-14.93,louisiana,2020-11-23T00:44:26.001880Z
22095,St. John the Baptist,21432,11067,39,39,Released as a separate subtotal as first report of the night,100,21432,>98%,>98% reported,edison,10,all,,7978,,,7538,13582,118,63,28,20,9,34,9,2,16,7,6,3179,7781,40,20,6,7,6,18,3,1,1,3,2,2020-11-22T20:14:07Z,28.20082,D+28,Biden +28,democrat,-28.20082,20743,-24.5,21123,-26.32,louisiana,2020-11-23T00:44:26.001880Z
22097,St. Landry,41154,13471,92,92,Released as a separate subtotal as first report of the night,100,41154,>98%,>98% reported,edison,10,all,,8342,,,23171,17372,301,78,55,55,25,37,15,9,17,10,9,6267,7050,64,18,8,16,10,13,7,2,5,3,8,2020-11-22T20:05:48Z,14.09098,R+14,Trump +14,republican,14.09098,39977,11.9,41647,4.34,louisiana,2020-11-23T00:44:26.001880Z
22099,St. Martin,27038,13534,51,51,Released as a separate subtotal as first report of the night,100,27038,>98%,>98% reported,edison,10,all,,7030,,,18203,8439,205,55,34,16,16,23,11,2,12,11,11,8977,4418,69,15,12,6,10,6,6,1,5,4,5,2020-11-20T16:23:39Z,36.11214,R+36,Trump +36,republican,36.11214,25750,33.4,25433,24.5,louisiana,2020-11-23T00:44:26.001880Z
22101,St. Mary,23186,11021,51,51,Released as a separate subtotal as first report of the night,100,23186,>98%,>98% reported,edison,10,all,,8451,,,14811,8055,173,52,31,13,6,16,3,11,7,4,4,7057,3866,54,12,9,3,1,7,1,6,2,2,1,2020-11-20T16:24:19Z,29.13827,R+29,Trump +29,republican,29.13827,22877,27.6,23640,18.76,louisiana,2020-11-23T00:44:26.001880Z
22103,St. Tammany,140110,75329,169,169,Released as a separate subtotal as first report of the night,100,140110,>98%,>98% reported,edison,10,all,,44325,,,99666,37746,1868,287,152,81,56,34,54,43,45,47,31,49934,24294,749,87,57,37,33,23,27,26,23,19,20,2020-11-20T13:11:02Z,44.19385,R+44,Trump +44,republican,44.19385,124392,50.8,112902,52.25,louisiana,2020-11-23T00:44:26.001880Z
22105,Tangipahoa,57661,22421,87,87,Released as a separate subtotal as first report of the night,100,57661,>98%,>98% reported,edison,10,all,,14341,,,37806,18887,589,136,63,42,14,37,17,24,17,17,12,13929,8241,148,25,11,12,7,12,5,13,5,8,5,2020-11-22T20:06:24Z,32.81074,R+33,Trump +33,republican,32.81074,52416,32.6,50099,27.68,louisiana,2020-11-23T00:44:26.001880Z
22107,Tensas,2554,1494,16,16,Released as a separate subtotal as first report of the night,100,2554,>98%,>98% reported,edison,10,all,,1576,,,1197,1329,11,4,4,2,0,2,2,2,0,1,0,734,746,4,3,3,1,0,1,0,2,0,0,0,2020-11-22T20:06:52Z,5.16836,D+5,Biden +5,democrat,-5.16836,2548,-5.9,2812,-11.88,louisiana,2020-11-23T00:44:26.001880Z
22109,Terrebonne,46240,19024,92,92,Released as a separate subtotal as first report of the night,100,46240,>98%,>98% reported,edison,10,all,,8712,,,34339,11198,434,81,51,25,17,27,11,16,15,17,9,13750,5083,120,13,14,6,1,10,5,7,6,5,4,2020-11-22T20:14:27Z,50.04542,R+50,Trump +50,republican,50.04542,43896,48.4,42341,41.16,louisiana,2020-11-23T00:44:26.001880Z
22111,Union,11201,4605,29,29,Released as a separate subtotal as first report of the night,100,11201,>98%,>98% reported,edison,10,all,,3944,,,8407,2654,76,14,12,5,5,11,3,2,3,5,4,3306,1264,12,4,0,4,1,6,1,2,1,2,2,2020-11-20T16:37:00Z,51.36149,R+51,Trump +51,republican,51.36149,10894,48.5,10766,41.67,louisiana,2020-11-23T00:44:26.001880Z
22113,Vermilion,27324,10512,44,55,Released as a separate subtotal as first report of the night,100,27324,>98%,>98% reported,edison,10,all,,6541,,,21930,5009,228,45,36,17,10,6,6,7,12,9,9,8119,2285,61,10,9,6,3,2,1,5,3,3,5,2020-11-20T16:24:46Z,61.92724,R+62,Trump +62,republican,61.92724,25632,59.3,24987,52.79,louisiana,2020-11-23T00:44:26.001880Z
22115,Vernon,17268,7095,73,73,Released as a separate subtotal as first report of the night,100,17268,>98%,>98% reported,edison,10,all,,6008,,,14107,2898,188,18,8,16,11,4,4,5,3,2,4,5230,1764,68,9,5,5,4,2,1,2,2,2,1,2020-11-20T16:37:21Z,64.91198,R+65,Trump +65,republican,64.91198,16633,65,15610,57.51,louisiana,2020-11-23T00:44:26.001880Z
22117,Washington,19513,9501,41,41,Released as a separate subtotal as first report of the night,100,19513,>98%,>98% reported,edison,10,all,,6894,,,13307,5970,120,40,28,16,5,4,4,9,3,4,3,6141,3267,46,11,6,6,2,3,3,9,3,3,1,2020-11-22T20:07:33Z,37.60057,R+38,Trump +38,republican,37.60057,18628,36.8,18581,28.7,louisiana,2020-11-23T00:44:26.001880Z
22119,Webster,18216,8546,39,39,Released as a separate subtotal as first report of the night,100,18216,>98%,>98% reported,edison,10,all,,5992,,,11830,6172,119,24,9,17,6,9,10,3,5,7,5,4990,3474,39,7,2,5,5,8,4,2,2,6,2,2020-11-20T16:37:47Z,31.06061,R+31,Trump +31,republican,31.06061,18145,29.1,18416,24.97,louisiana,2020-11-23T00:44:26.001880Z
22121,West Baton Rouge,14097,6564,29,29,Released as a separate subtotal as first report of the night,100,14097,>98%,>98% reported,edison,10,all,,5213,,,7684,6200,122,42,10,8,2,7,4,2,5,8,3,3337,3159,37,8,5,1,1,5,1,2,1,5,2,2020-11-22T20:14:50Z,10.52706,R+11,Trump +11,republican,10.52706,12712,12.1,12774,9.63,louisiana,2020-11-23T00:44:26.001880Z
22123,West Carroll,5052,2698,17,17,Released as a separate subtotal as first report of the night,100,5052,>98%,>98% reported,edison,10,all,,2541,,,4317,710,12,3,3,3,0,1,0,1,1,0,1,2346,343,5,1,0,1,0,0,0,1,1,0,0,2020-11-22T20:08:03Z,71.39747,R+71,Trump +71,republican,71.39747,4759,68.4,4548,61.02,louisiana,2020-11-23T00:44:26.001880Z
22125,West Feliciana,6268,3334,35,35,Released as a separate subtotal as first report of the night,100,6268,>98%,>98% reported,edison,10,all,,2666,,,3863,2298,66,15,6,3,4,4,2,5,1,1,0,1995,1285,32,7,3,2,3,4,0,2,1,0,0,2020-11-22T20:08:40Z,24.96809,R+25,Trump +25,republican,24.96809,5799,19.7,5777,14.12,louisiana,2020-11-23T00:44:26.001880Z
22127,Winn,6225,2791,31,31,Released as a separate subtotal as first report of the night,100,6225,>98%,>98% reported,edison,10,all,,2606,,,4619,1543,36,4,3,4,5,2,2,0,3,4,0,1987,780,9,1,3,2,3,0,1,0,1,4,0,2020-11-22T20:09:14Z,49.41365,R+49,Trump +49,republican,49.41365,6372,46.5,6534,40.13,louisiana,2020-11-23T00:44:26.001880Z
