fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_la_rivag,results_kennedya,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_la_rivag,results_absentee_kennedya,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
53001,Adams,5784,0,31,31,None,100,5784,>98%,>98% reported,edison,8,all,,,,,1789,3881,82,18,9,5,,0,0,0,0,0,0,,2020-11-16T15:47:54Z,36.16874,R+36,Trump +36,republican,36.16874,4782,37.3,4793,34.03,washington,2020-11-23T00:44:46.095656Z
53003,Asotin,11795,0,26,26,None,100,11795,>98%,>98% reported,edison,8,all,,,,,4233,7259,254,35,9,5,,0,0,0,0,0,0,,2020-11-16T15:47:54Z,25.65494,R+26,Trump +26,republican,25.65494,9974,26.1,9901,16.68,washington,2020-11-23T00:44:46.095656Z
53005,Benton,102199,0,245,245,None,100,101965,>98%,>98% reported,edison,8,unknown,,,,,38664,60301,2704,354,119,57,,0,0,0,0,0,0,,2020-11-20T00:30:49Z,21.17144,R+21,Trump +21,republican,21.17144,83592,24.9,79559,26.79,washington,2020-11-23T00:44:46.095656Z
53007,Chelan,42387,0,91,91,None,100,42387,>98%,>98% reported,edison,8,unknown,,,,,19005,22476,697,145,43,21,,0,0,0,0,0,0,,2020-11-16T15:47:56Z,8.18883,R+8,Trump +8,republican,8.18883,34433,14.8,32250,16.4,washington,2020-11-23T00:44:46.095656Z
53009,Clallam,48953,0,67,67,None,100,48881,>98%,>98% reported,edison,8,unknown,,,,,24687,23029,892,240,63,42,,0,0,0,0,0,0,,2020-11-21T00:40:53Z,3.38692,D+3,Biden +3,democrat,-3.38692,40533,2.8,38066,-0.38,washington,2020-11-23T00:44:46.095656Z
53011,Clark,272978,0,314,314,None,100,272978,>98%,>98% reported,edison,8,unknown,,,,,140095,126079,5307,1121,237,139,,0,0,0,0,0,0,,2020-11-18T00:10:50Z,5.13448,D+5,Biden +5,democrat,-5.13448,208485,-0.2,190805,-0.23,washington,2020-11-23T00:44:46.095656Z
53013,Columbia,2482,0,13,13,None,100,2482,>98%,>98% reported,edison,8,unknown,,,,,668,1754,51,5,1,3,,0,0,0,0,0,0,,2020-11-16T15:47:58Z,43.75504,R+44,Trump +44,republican,43.75504,2229,43.6,2259,40.86,washington,2020-11-23T00:44:46.095656Z
53015,Cowlitz,59945,0,78,78,None,100,59805,>98%,>98% reported,edison,8,unknown,,,,,23933,34408,1271,243,45,45,,0,0,0,0,0,0,,2020-11-21T00:40:52Z,17.47435,R+17,Trump +17,republican,17.47435,47142,13.3,44620,-4.44,washington,2020-11-23T00:44:46.095656Z
53017,Douglas,21110,0,47,47,None,100,21110,>98%,>98% reported,edison,8,unknown,,,,,7787,12908,334,56,13,12,,0,0,0,0,0,0,,2020-11-16T15:47:59Z,24.25865,R+24,Trump +24,republican,24.25865,15901,29.5,14942,28.5,washington,2020-11-23T00:44:46.095656Z
53019,Ferry,4292,0,19,19,None,100,4292,>98%,>98% reported,edison,8,some,,,,,1465,2735,74,10,5,3,,0,0,0,0,0,0,,2020-11-16T15:48:00Z,29.58993,R+30,Trump +30,republican,29.58993,3644,30.3,3440,20.38,washington,2020-11-23T00:44:46.095656Z
