fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
31085,Hayes,534,0,4,4,Released separately AFTER election night,88,604,88%,88% reported,edison,2,unknown,,277,,,494,34,6,,0,0,0,,2020-11-16T15:48:09Z,86.14232,R+86,Trump +86,republican,86.14232,514,86,539,78.85,nebraska,2020-11-23T00:45:08.962346Z
31087,Hitchcock,1469,0,4,5,Released as a precinct as first report of the night,88,1671,88%,88% reported,edison,2,unknown,,448,,,1264,175,30,,0,0,0,,2020-11-16T15:48:09Z,74.13206,R+74,Trump +74,republican,74.13206,1468,73,1495,60.47,nebraska,2020-11-23T00:45:08.962346Z
31089,Holt,5537,0,14,14,Released as a precinct as first report of the night,97,5732,97%,97% reported,edison,2,unknown,,1792,,,4769,686,82,,0,0,0,,2020-11-16T15:48:10Z,73.74029,R+74,Trump +74,republican,73.74029,5118,74.7,4939,61.55,nebraska,2020-11-23T00:45:08.962346Z
31091,Hooker,442,0,1,1,Merged into voters' home precincts and released with cumulative results,95,467,95%,95% reported,edison,2,unknown,,109,,,376,59,7,,0,0,0,,2020-11-16T15:48:10Z,71.71946,R+72,Trump +72,republican,71.71946,417,75.5,395,68.61,nebraska,2020-11-23T00:45:08.962346Z
31093,Howard,3501,0,9,9,Released as a separate subtotal as first report of the night,100,3353,>98%,>98% reported,edison,2,unknown,,934,,,2786,648,67,,0,0,0,,2020-11-16T15:48:11Z,61.06827,R+61,Trump +61,republican,61.06827,2994,58.1,2870,34.01,nebraska,2020-11-23T00:45:08.962346Z
31095,Jefferson,3716,0,10,11,None,95,3913,95%,95% reported,edison,2,unknown,,1011,,,2616,1016,84,,0,0,0,,2020-11-16T15:48:11Z,43.05705,R+43,Trump +43,republican,43.05705,3494,44.7,3446,28.18,nebraska,2020-11-23T00:45:08.962346Z
31097,Johnson,2229,0,6,6,Released as a precinct as first report of the night,95,2340,95%,95% reported,edison,2,unknown,,685,,,1518,647,64,,0,0,0,,2020-11-16T15:48:11Z,39.07582,R+39,Trump +39,republican,39.07582,2089,37.9,2063,21.09,nebraska,2020-11-23T00:45:08.962346Z
31099,Kearney,3604,0,12,12,Released as a precinct as first report of the night,98,3692,98%,98% reported,edison,2,unknown,,765,,,2822,701,81,,0,0,0,,2020-11-16T15:48:12Z,58.85128,R+59,Trump +59,republican,58.85128,3296,60.1,3180,49.56,nebraska,2020-11-23T00:45:08.962346Z
31101,Keith,4364,0,12,12,Merged into voters' home precincts and released with cumulative results,96,4528,96%,96% reported,edison,2,unknown,,1515,,,3544,763,57,,0,0,0,,2020-11-16T15:48:12Z,63.72594,R+64,Trump +64,republican,63.72594,4034,66,4058,52.14,nebraska,2020-11-23T00:45:08.962346Z
31103,Keya Paha,529,0,3,3,Released as a precinct as first report of the night,91,581,91%,91% reported,edison,2,unknown,,301,,,476,49,4,,0,0,0,,2020-11-16T15:48:12Z,80.71834,R+81,Trump +81,republican,80.71834,519,80.9,484,64.67,nebraska,2020-11-23T00:45:08.962346Z
31105,Kimball,1874,0,6,6,"As a precinct in the FIRST cumulative report, along with regular precincts",99,1884,>98%,>98% reported,edison,2,unknown,,544,,,1563,268,43,,0,0,0,,2020-11-21T00:00:41Z,69.10352,R+69,Trump +69,republican,69.10352,1677,65.6,1687,49.79,nebraska,2020-11-23T00:45:08.962346Z
31107,Knox,4697,0,8,8,Released as a separate subtotal as first report of the night,100,4700,>98%,>98% reported,edison,2,unknown,,1126,,,3721,905,71,,0,0,0,,2020-11-16T15:47:44Z,59.95316,R+60,Trump +60,republican,59.95316,4115,60,4036,45.24,nebraska,2020-11-23T00:45:08.962346Z
31109,Lancaster,156091,84001,199,199,Released as a precinct at the end of tabulation,100,152570,>98%,>98% reported,edison,2,some,,53608,,,70092,82293,3706,,27050,55341,1610,,2020-11-16T15:47:44Z,7.81659,D+8,Biden +8,democrat,-7.81659,136223,-0.2,127355,0.33,nebraska,2020-11-23T00:45:08.962346Z
31111,Lincoln,17107,8050,24,25,Released as a precinct as first report of the night,95,18067,95%,95% reported,edison,2,all,,6886,,,13071,3692,344,,5310,2590,150,,2020-11-16T15:47:45Z,54.82551,R+55,Trump +55,republican,54.82551,16131,57.3,15655,40.1,nebraska,2020-11-23T00:45:08.962346Z
31113,Logan,450,0,2,2,Released as a precinct at the end of tabulation,89,507,89%,89% reported,edison,2,unknown,,219,,,407,38,5,,0,0,0,,2020-11-16T15:47:45Z,82,R+82,Trump +82,republican,82,453,81.2,431,66.82,nebraska,2020-11-23T00:45:08.962346Z
31115,Loup,454,0,2,2,Released as a precinct at the end of tabulation,100,431,>98%,>98% reported,edison,2,unknown,,130,,,370,75,9,,0,0,0,,2020-11-16T15:47:46Z,64.97797,R+65,Trump +65,republican,64.97797,385,71.4,358,63.69,nebraska,2020-11-23T00:45:08.962346Z
