fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_westk,results_hawkinsh,results_blankenshipd,results_la_rivag,results_mchughj,results_pierceb,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_westk,results_absentee_hawkinsh,results_absentee_blankenshipd,results_absentee_la_rivag,results_absentee_mchughj,results_absentee_pierceb,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
49001,Beaver,3100,0,9,9,"As a subtotal in the FIRST cumulative report, along with regular precincts",100,3021,>98%,>98% reported,edison,2,unknown,,2092,,,2695,357,23,7,6,4,4,3,1,,0,0,0,0,0,0,0,0,0,,2020-11-17T00:27:46Z,75.41935,R+75,Trump +75,republican,75.41935,2505,60.5,2560,71.41,utah,2020-11-23T00:46:06.464961Z
49003,Box Elder,27023,14719,53,53,Released as a separate subtotal as first report of the night,100,23287,>98%,>98% reported,edison,4,unknown,,21942,,,21548,4473,614,112,55,134,18,33,36,,11361,2883,285,56,22,64,10,20,18,,2020-11-17T19:50:43Z,63.18691,R+63,Trump +63,republican,63.18691,19878,40.1,19408,77.89,utah,2020-11-23T00:46:06.464961Z
49005,Cache,57534,0,91,91,Merged into voters' home precincts and released with cumulative results,100,54465,>98%,>98% reported,edison,4,all,,32212,,,38032,16650,1796,230,217,351,54,98,106,,0,0,0,0,0,0,0,0,0,,2020-11-17T22:00:51Z,37.16411,R+37,Trump +37,republican,37.16411,46718,15.9,42293,68.08,utah,2020-11-23T00:46:06.464961Z
49007,Carbon,9369,0,19,20,Released as a separate subtotal as first report of the night,100,9383,>98%,>98% reported,edison,2,unknown,,7692,,,6693,2392,151,44,18,22,5,19,25,,0,0,0,0,0,0,0,0,0,,2020-11-17T19:20:53Z,45.90671,R+46,Trump +46,republican,45.90671,7999,44.5,7567,37.2,utah,2020-11-23T00:46:06.464961Z
49009,Daggett,619,0,3,3,Released as a separate subtotal at the end of tabulation,100,614,>98%,>98% reported,edison,2,unknown,,562,,,496,111,7,2,0,2,0,0,1,,0,0,0,0,0,0,0,0,0,,2020-11-18T16:20:51Z,62.19709,R+62,Trump +62,republican,62.19709,477,53.2,520,60,utah,2020-11-23T00:46:06.464961Z
49011,Davis,169814,0,224,224,Merged into voters' home precincts and released with cumulative results,100,163325,>98%,>98% reported,edison,2,unknown,,123145,,,104135,57411,5004,1012,597,827,118,330,380,,0,0,0,0,0,0,0,0,0,,2020-11-19T19:50:50Z,27.51481,R+28,Trump +28,republican,27.51481,140288,16,121069,61.93,utah,2020-11-23T00:46:06.464961Z
49013,Duchesne,8524,0,34,34,Released with cumulative results periodically election night,100,8192,>98%,>98% reported,edison,2,unknown,,2795,,,7513,843,107,18,9,21,3,4,6,,0,0,0,0,0,0,0,0,0,,2020-11-16T22:57:48Z,78.24965,R+78,Trump +78,republican,78.24965,6988,68.4,6379,80.22,utah,2020-11-23T00:46:06.464961Z
49015,Emery,4865,0,11,12,Merged into voters' home precincts and released with cumulative results,93,5250,93%,93% reported,edison,2,unknown,,2072,,,4207,572,47,15,8,4,2,4,6,,0,0,0,0,0,0,0,0,0,,2020-11-17T00:06:46Z,74.71737,R+75,Trump +75,republican,74.71737,4315,70.6,4449,72.11,utah,2020-11-23T00:46:06.464961Z
49017,Garfield,2732,0,11,11,Merged into voters' home precincts and released with cumulative results,99,2766,>98%,>98% reported,edison,2,unknown,,1560,,,2158,514,37,2,11,3,1,3,3,,0,0,0,0,0,0,0,0,0,,2020-11-16T15:48:36Z,60.1757,R+60,Trump +60,republican,60.1757,2363,52.8,2182,69.84,utah,2020-11-23T00:46:06.464961Z
49019,Grand,5185,0,17,18,Merged into voters' home precincts and released with cumulative results,97,5349,97%,97% reported,edison,2,unknown,,3890,,,2248,2806,62,19,23,5,1,6,15,,0,0,0,0,0,0,0,0,0,,2020-11-17T19:20:53Z,10.76181,D+11,Biden +11,democrat,-10.76181,4601,0.3,3950,6.81,utah,2020-11-23T00:46:06.464961Z
