fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_blankenshipd,results_write_ins,results_carrollb,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_blankenshipd,results_absentee_write_ins,results_absentee_carrollb,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
55095,Polk,26371,0,36,36,Merged into voters' home precincts and released with cumulative results,100,26371,>98%,>98% reported,edison,10,unknown,,3181,,,9370,16611,289,53,12,36,0,0,0,0,0,0,2020-11-16T15:47:45Z,27.45819,R+27,Trump +27,republican,27.45819,22745,27.5,22573,8.95,wisconsin,2020-11-24T00:45:52.467869Z
55097,Portage,40603,0,47,47,None,100,40603,>98%,>98% reported,edison,10,unknown,,14091,,,20428,19299,640,67,102,67,0,0,0,0,0,0,2020-11-16T15:47:46Z,2.78058,D+3,Biden +3,democrat,-2.78058,38589,-3.2,39337,-13.88,wisconsin,2020-11-24T00:45:52.467869Z
55099,Price,8546,0,23,23,Merged into voters' home precincts and released with cumulative results,100,8546,>98%,>98% reported,edison,10,unknown,,1569,,,3032,5394,98,14,3,5,0,0,0,0,0,0,2020-11-16T15:47:46Z,27.63866,R+28,Trump +28,republican,27.63866,7568,25,7901,-0.04,wisconsin,2020-11-24T00:45:52.467869Z
55101,Racine,106451,0,64,64,Merged into voters' home precincts and released with cumulative results,100,106451,>98%,>98% reported,edison,10,unknown,,50558,,,50159,54479,1200,169,294,150,0,0,0,0,0,0,2020-11-16T15:47:46Z,4.05821,R+4,Trump +4,republican,4.05821,94302,4.3,103364,-3.54,wisconsin,2020-11-24T00:45:52.467869Z
55103,Richland,9014,0,34,34,Merged into voters' home precincts and released with cumulative results,100,9014,>98%,>98% reported,edison,10,all,,1485,,,3995,4871,102,20,12,14,0,0,0,0,0,0,2020-11-16T19:44:05Z,9.71822,R+10,Trump +10,republican,9.71822,8069,5.5,8655,-16.13,wisconsin,2020-11-24T00:45:52.467869Z
55105,Rock,85360,0,100,100,Merged into voters' home precincts and released with cumulative results,100,85360,>98%,>98% reported,edison,10,unknown,,26755,,,46658,37138,1094,152,196,122,0,0,0,0,0,0,2020-11-16T23:13:08Z,11.15276,D+11,Biden +11,democrat,-11.15276,76074,-10.3,80690,-23.18,wisconsin,2020-11-24T00:45:52.467869Z
55107,Rusk,7886,0,33,33,Released as a separate subtotal at the end of tabulation,100,7886,>98%,>98% reported,edison,10,unknown,,1175,,,2517,5257,85,12,7,8,0,0,0,0,0,0,2020-11-16T15:47:48Z,34.74512,R+35,Trump +35,republican,34.74512,7088,33.8,7191,3.88,wisconsin,2020-11-24T00:45:52.467869Z
55111,Sauk,36203,0,41,41,Merged into voters' home precincts and released with cumulative results,100,36203,>98%,>98% reported,edison,10,unknown,,9943,,,18108,17493,441,50,22,89,0,0,0,0,0,0,2020-11-16T15:47:50Z,1.69875,D+1.7,Biden +1.7,democrat,-1.69875,31357,0.3,31927,-18.47,wisconsin,2020-11-24T00:45:52.467869Z
55113,Sawyer,10510,0,21,21,Merged into voters' home precincts and released with cumulative results,100,10510,>98%,>98% reported,edison,10,unknown,,2219,,,4498,5909,62,15,18,8,0,0,0,0,0,0,2020-11-16T19:46:25Z,13.42531,R+13,Trump +13,republican,13.42531,9137,18.4,9025,-0.49,wisconsin,2020-11-24T00:45:52.467869Z
55115,Shawano,22607,0,43,43,Merged into voters' home precincts and released with cumulative results,100,22607,>98%,>98% reported,edison,10,unknown,,4344,,,7131,15173,253,33,0,17,0,0,0,0,0,0,2020-11-16T15:47:50Z,35.57305,R+36,Trump +36,republican,35.57305,19810,33.8,20279,9.97,wisconsin,2020-11-24T00:45:52.467869Z
55117,Sheboygan,66003,0,54,54,None,100,66003,>98%,>98% reported,edison,10,unknown,,15814,,,27101,37609,896,133,174,90,0,0,0,0,0,0,2020-11-16T15:47:51Z,15.92049,R+16,Trump +16,republican,15.92049,59766,15.9,62651,9.82,wisconsin,2020-11-24T00:45:52.467869Z
55109,St. Croix,56707,0,42,42,Merged into voters' home precincts and released with cumulative results,100,56707,>98%,>98% reported,edison,10,unknown,,11700,,,23190,32199,878,115,156,169,0,0,0,0,0,0,2020-11-16T15:47:49Z,15.88693,R+16,Trump +16,republican,15.88693,47508,18.4,46225,12.1,wisconsin,2020-11-24T00:45:52.467869Z
55119,Taylor,10684,0,27,27,Merged into voters' home precincts and released with cumulative results,100,10685,>98%,>98% reported,edison,10,unknown,,1742,,,2693,7655,113,31,7,185,0,0,0,0,0,0,2020-11-16T19:48:29Z,46.44328,R+46,Trump +46,republican,46.44328,9471,44.2,9512,19.32,wisconsin,2020-11-24T00:45:52.467869Z
55121,Trempealeau,15220,0,26,26,Merged into voters' home precincts and released with cumulative results,100,15220,>98%,>98% reported,edison,10,unknown,,1841,,,6285,8833,17,38,26,21,0,0,0,0,0,0,2020-11-16T19:49:54Z,16.74113,R+17,Trump +17,republican,16.74113,13687,12.6,13481,-14.08,wisconsin,2020-11-24T00:45:52.467869Z
55123,Vernon,15914,0,33,33,Merged into voters' home precincts and released with cumulative results,100,15914,>98%,>98% reported,edison,10,unknown,,2379,,,7457,8218,182,29,4,24,0,0,0,0,0,0,2020-11-16T15:47:52Z,4.78195,R+5,Trump +5,republican,4.78195,14275,4.4,14269,-14.73,wisconsin,2020-11-24T00:45:52.467869Z
55125,Vilas,15369,0,15,15,Released as a separate subtotal at the end of tabulation,100,15369,>98%,>98% reported,edison,10,unknown,,3774,,,5903,9261,138,22,31,14,0,0,0,0,0,0,2020-11-16T15:47:53Z,21.84918,R+22,Trump +22,republican,21.84918,13611,25,13842,12.99,wisconsin,2020-11-24T00:45:52.467869Z
55127,Walworth,57600,0,42,42,Merged into voters' home precincts and released with cumulative results,100,57600,>98%,>98% reported,edison,10,unknown,,15985,,,22789,33851,641,98,146,75,0,0,0,0,0,0,2020-11-16T23:12:25Z,19.20486,R+19,Trump +19,republican,19.20486,51391,19.8,52303,12.34,wisconsin,2020-11-24T00:45:52.467869Z
55129,Washburn,10378,0,25,25,Merged into voters' home precincts and released with cumulative results,100,10378,>98%,>98% reported,edison,10,unknown,,1629,,,3867,6334,123,19,22,13,0,0,0,0,0,0,2020-11-16T19:53:22Z,23.77144,R+24,Trump +24,republican,23.77144,9193,23.4,9287,2.71,wisconsin,2020-11-24T00:45:52.467869Z
55131,Washington,88070,0,45,45,Merged into voters' home precincts and released with cumulative results,100,88070,>98%,>98% reported,edison,10,unknown,,37698,,,26650,60237,941,125,39,78,0,0,0,0,0,0,2020-11-16T15:47:54Z,38.13671,R+38,Trump +38,republican,38.13671,76757,40.2,78742,40.13,wisconsin,2020-11-24T00:45:52.467869Z
55133,Waukesha,267996,0,213,213,Merged into voters' home precincts and released with cumulative results,100,267996,>98%,>98% reported,edison,10,unknown,,137354,,,103906,159649,3023,305,782,331,0,0,0,0,0,0,2020-11-16T23:12:33Z,20.79994,R+21,Trump +21,republican,20.79994,237593,26.7,243856,34.45,wisconsin,2020-11-24T00:45:52.467869Z
55135,Waupaca,29130,0,39,39,Merged into voters' home precincts and released with cumulative results,100,29130,>98%,>98% reported,edison,10,unknown,,6316,,,9703,18952,357,48,41,29,0,0,0,0,0,0,2020-11-16T15:47:56Z,31.75077,R+32,Trump +32,republican,31.75077,26095,29.7,25840,9.38,wisconsin,2020-11-24T00:45:52.467869Z
55137,Waushara,13568,0,26,26,Merged into voters' home precincts and released with cumulative results,100,13568,>98%,>98% reported,edison,10,unknown,,2251,,,4388,9016,115,30,0,19,0,0,0,0,0,0,2020-11-16T15:47:57Z,34.10967,R+34,Trump +34,republican,34.10967,12074,32.1,12048,10.18,wisconsin,2020-11-24T00:45:52.467869Z
55139,Winnebago,94160,0,90,90,Merged into voters' home precincts and released with cumulative results,100,94160,>98%,>98% reported,edison,10,unknown,,37481,,,44060,47796,1629,168,369,138,0,0,0,0,0,0,2020-11-16T15:47:57Z,3.96771,R+4,Trump +4,republican,3.96771,87135,7.3,89173,-3.73,wisconsin,2020-11-24T00:45:52.467869Z
55141,Wood,41298,0,44,44,Merged into voters' home precincts and released with cumulative results,100,41298,>98%,>98% reported,edison,10,unknown,,11250,,,16365,24308,403,79,94,49,0,0,0,0,0,0,2020-11-16T23:11:06Z,19.23338,R+19,Trump +19,republican,19.23338,37818,19.2,38900,2.89,wisconsin,2020-11-24T00:45:52.467869Z
