fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_slotkine,results_jungep,results_hartmanj,results_absentee_slotkine,results_absentee_jungep,results_absentee_hartmanj,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
26065,Ingham,143150,0,110,115,Merged into voters' home precincts and released with cumulative results,100,143152,>98%,>98% reported,edison,6,unknown,39987,96392,44024,2734,0,0,0,2020-11-24T13:22:55Z,36.58261,D+37,Slotkin +37,democrat,MI-G-H-8-2020-11-03,mi-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-michigan-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-michigan.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-michigan.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-michigan.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,lean-dem,8,District 8,MI,michigan,Michigan,Mich.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",428344,174034,2,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,298,303,98% reporting,98%,98,443000,edison,98%,98% reported,edison,democrat,FALSE,2020-11-24T13:21:47Z,TRUE,3.59454,15397,D+4,Slotkin +4,democrat,FALSE,"","",0,-1,1604516013038
26093,Livingston,124996,75143,80,80,Merged into voters' home precincts and released with cumulative results,100,124993,>98%,>98% reported,edison,6,all,28208,50070,72590,2336,38180,35912,1051,2020-11-24T13:22:57Z,18.01658,R+18,Junge +18,republican,MI-G-H-8-2020-11-03,mi-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-michigan-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-michigan.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-michigan.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-michigan.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,lean-dem,8,District 8,MI,michigan,Michigan,Mich.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",428344,174034,2,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,298,303,98% reporting,98%,98,443000,edison,98%,98% reported,edison,democrat,FALSE,2020-11-24T13:21:47Z,TRUE,3.59454,15397,D+4,Slotkin +4,democrat,FALSE,"","",0,-1,1604516013038
26125,Oakland,160198,98891,108,108,Merged into voters' home precincts and released with cumulative results,98,163582,98%,98% reported,edison,4,some,185030,71460,85911,2827,55110,42518,1263,2020-11-24T13:22:58Z,9.02071,R+9,Junge +9,republican,MI-G-H-8-2020-11-03,mi-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-michigan-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-michigan.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-michigan.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-michigan.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,lean-dem,8,District 8,MI,michigan,Michigan,Mich.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",428344,174034,2,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,298,303,98% reporting,98%,98,443000,edison,98%,98% reported,edison,democrat,FALSE,2020-11-24T13:21:47Z,TRUE,3.59454,15397,D+4,Slotkin +4,democrat,FALSE,"","",0,-1,1604516013038
