fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_penceg,results_lakej,results_ferkinhofft,results_absentee_penceg,results_absentee_lakej,results_absentee_ferkinhofft,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
18005,Bartholomew,35865,26976,67,68,Merged into voters' home precincts and released with cumulative results,100,34818,>98%,>98% reported,edison,4,unknown,15848,22705,11977,1183,16018,10242,716,2020-11-24T13:22:39Z,29.91217,R+30,Pence +30,republican,IN-G-H-6-2020-11-03,in-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",328214,90474,10,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,586,602,97% reporting,97%,97,338000,edison,97%,97% reported,edison,republican,FALSE,2020-11-24T13:23:20Z,TRUE,40.89192,134213,R+41,Pence +41,republican,FALSE,"","",0,0,1604455416866
18029,Dearborn,25231,0,42,45,Merged into voters' home precincts and released with cumulative results,94,26783,94%,94% reported,edison,4,none,6893,19335,5145,751,0,0,0,2020-11-24T13:22:41Z,56.24034,R+56,Pence +56,republican,IN-G-H-6-2020-11-03,in-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",328214,90474,10,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,586,602,97% reporting,97%,97,338000,edison,97%,97% reported,edison,republican,FALSE,2020-11-24T13:23:20Z,TRUE,40.89192,134213,R+41,Pence +41,republican,FALSE,"","",0,0,1604455416866
18031,Decatur,12205,0,22,22,None,98,12430,98%,98% reported,edison,4,all,5907,9518,2279,408,0,0,0,2020-11-24T13:22:42Z,59.31176,R+59,Pence +59,republican,IN-G-H-6-2020-11-03,in-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",328214,90474,10,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,586,602,97% reporting,97%,97,338000,edison,97%,97% reported,edison,republican,FALSE,2020-11-24T13:23:20Z,TRUE,40.89192,134213,R+41,Pence +41,republican,FALSE,"","",0,0,1604455416866
18035,Delaware,47587,19803,74,78,Merged into voters' home precincts and released with cumulative results,95,50180,95%,95% reported,edison,2,some,20448,26240,19646,1701,8672,10583,548,2020-11-24T13:22:43Z,13.85673,R+14,Pence +14,republican,IN-G-H-6-2020-11-03,in-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",328214,90474,10,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,586,602,97% reporting,97%,97,338000,edison,97%,97% reported,edison,republican,FALSE,2020-11-24T13:23:20Z,TRUE,40.89192,134213,R+41,Pence +41,republican,FALSE,"","",0,0,1604455416866
18041,Fayette,10000,4824,28,28,Released as a separate subtotal as first report of the night,94,10674,94%,94% reported,edison,4,all,7320,7652,2138,210,3556,1205,63,2020-11-24T13:22:45Z,55.14,R+55,Pence +55,republican,IN-G-H-6-2020-11-03,in-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",328214,90474,10,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,586,602,97% reporting,97%,97,338000,edison,97%,97% reported,edison,republican,FALSE,2020-11-24T13:23:20Z,TRUE,40.89192,134213,R+41,Pence +41,republican,FALSE,"","",0,0,1604455416866
18047,Franklin,11803,4717,23,23,None,100,11803,>98%,>98% reported,edison,6,all,3908,9352,1988,463,3398,1169,150,2020-11-24T13:22:45Z,62.39092,R+62,Pence +62,republican,IN-G-H-6-2020-11-03,in-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",328214,90474,10,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,586,602,97% reporting,97%,97,338000,edison,97%,97% reported,edison,republican,FALSE,2020-11-24T13:23:20Z,TRUE,40.89192,134213,R+41,Pence +41,republican,FALSE,"","",0,0,1604455416866
18059,Hancock,42561,0,50,50,Released as a separate subtotal as first report of the night,100,40382,>98%,>98% reported,edison,2,unknown,18729,29028,11709,1824,0,0,0,2020-11-24T13:22:53Z,40.69218,R+41,Pence +41,republican,IN-G-H-6-2020-11-03,in-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",328214,90474,10,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,586,602,97% reporting,97%,97,338000,edison,97%,97% reported,edison,republican,FALSE,2020-11-24T13:23:20Z,TRUE,40.89192,134213,R+41,Pence +41,republican,FALSE,"","",0,0,1604455416866
18065,Henry,20916,0,38,41,Released as a precinct as first report of the night,100,18131,>98%,>98% reported,edison,6,all,6212,14740,5287,889,0,0,0,2020-11-24T13:22:47Z,45.19507,R+45,Pence +45,republican,IN-G-H-6-2020-11-03,in-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",328214,90474,10,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,586,602,97% reporting,97%,97,338000,edison,97%,97% reported,edison,republican,FALSE,2020-11-24T13:23:20Z,TRUE,40.89192,134213,R+41,Pence +41,republican,FALSE,"","",0,0,1604455416866
18077,Jefferson,14441,7679,26,26,Merged into voters' home precincts and released with cumulative results,100,14437,>98%,>98% reported,edison,6,all,7155,9465,4546,430,4391,3113,175,2020-11-24T13:22:56Z,34.06274,R+34,Pence +34,republican,IN-G-H-6-2020-11-03,in-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",328214,90474,10,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,586,602,97% reporting,97%,97,338000,edison,97%,97% reported,edison,republican,FALSE,2020-11-24T13:23:20Z,TRUE,40.89192,134213,R+41,Pence +41,republican,FALSE,"","",0,0,1604455416866
18079,Jennings,12082,4946,24,25,Merged into voters' home precincts and released with cumulative results,100,12077,>98%,>98% reported,edison,6,all,6188,9162,2540,380,3407,1425,114,2020-11-24T13:22:58Z,54.80881,R+55,Pence +55,republican,IN-G-H-6-2020-11-03,in-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",328214,90474,10,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,586,602,97% reporting,97%,97,338000,edison,97%,97% reported,edison,republican,FALSE,2020-11-24T13:23:20Z,TRUE,40.89192,134213,R+41,Pence +41,republican,FALSE,"","",0,0,1604455416866
