fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_bergmanj,results_fergusond,results_borenb,results_absentee_bergmanj,results_absentee_fergusond,results_absentee_borenb,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
26041,Delta,20874,0,27,27,Merged into voters' home precincts and released with cumulative results,100,20872,>98%,>98% reported,edison,6,all,3134,13719,6893,262,0,0,0,2020-11-24T13:23:17Z,32.70097,R+33,Bergman +33,republican,MI-G-H-1-2020-11-03,mi-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-michigan-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-michigan.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-michigan.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-michigan.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MI,michigan,Michigan,Mich.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",416219,35152,3,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,514,517,99% reporting,99%,97,430000,edison,97%,97% reported,edison,republican,FALSE,2020-11-24T13:22:28Z,TRUE,24.80737,103253,R+25,Bergman +25,republican,FALSE,"","",0,-1,1604481470253
26043,Dickinson,14411,0,15,15,Released as a separate subtotal as first report of the night,98,14631,98%,98% reported,edison,4,unknown,1960,9893,4322,196,0,0,0,2020-11-24T13:23:18Z,38.65797,R+39,Bergman +39,republican,MI-G-H-1-2020-11-03,mi-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-michigan-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-michigan.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-michigan.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-michigan.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MI,michigan,Michigan,Mich.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",416219,35152,3,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,514,517,99% reporting,99%,97,430000,edison,97%,97% reported,edison,republican,FALSE,2020-11-24T13:22:28Z,TRUE,24.80737,103253,R+25,Bergman +25,republican,FALSE,"","",0,-1,1604481470253
26047,Emmet,21891,6420,18,18,Merged into voters' home precincts and released with cumulative results,99,22153,>98%,>98% reported,edison,2,some,4226,13069,8496,326,3062,3282,76,2020-11-24T13:23:20Z,20.88986,R+21,Bergman +21,republican,MI-G-H-1-2020-11-03,mi-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-michigan-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-michigan.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-michigan.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-michigan.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MI,michigan,Michigan,Mich.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",416219,35152,3,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,514,517,99% reporting,99%,97,430000,edison,97%,97% reported,edison,republican,FALSE,2020-11-24T13:22:28Z,TRUE,24.80737,103253,R+25,Bergman +25,republican,FALSE,"","",0,-1,1604481470253
26053,Gogebic,8117,0,11,11,Merged into voters' home precincts and released with cumulative results,100,8142,>98%,>98% reported,edison,4,unknown,543,4672,3332,113,0,0,0,2020-11-24T13:23:21Z,16.50856,R+17,Bergman +17,republican,MI-G-H-1-2020-11-03,mi-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-michigan-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-michigan.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-michigan.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-michigan.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MI,michigan,Michigan,Mich.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",416219,35152,3,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,514,517,99% reporting,99%,97,430000,edison,97%,97% reported,edison,republican,FALSE,2020-11-24T13:22:28Z,TRUE,24.80737,103253,R+25,Bergman +25,republican,FALSE,"","",0,-1,1604481470253
26055,Grand Traverse,59441,23857,55,55,Merged into voters' home precincts and released with cumulative results,98,60725,98%,98% reported,edison,2,unknown,16547,32768,25578,1095,11483,12037,337,2020-11-24T13:23:29Z,12.09603,R+12,Bergman +12,republican,MI-G-H-1-2020-11-03,mi-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-michigan-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-michigan.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-michigan.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-michigan.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MI,michigan,Michigan,Mich.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",416219,35152,3,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,514,517,99% reporting,99%,97,430000,edison,97%,97% reported,edison,republican,FALSE,2020-11-24T13:22:28Z,TRUE,24.80737,103253,R+25,Bergman +25,republican,FALSE,"","",0,-1,1604481470253
26061,Houghton,18280,0,29,29,Merged into voters' home precincts and released with cumulative results,100,17396,>98%,>98% reported,edison,4,unknown,1850,10960,6997,323,0,0,0,2020-11-24T13:23:21Z,21.67943,R+22,Bergman +22,republican,MI-G-H-1-2020-11-03,mi-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-michigan-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-michigan.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-michigan.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-michigan.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MI,michigan,Michigan,Mich.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",416219,35152,3,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,514,517,99% reporting,99%,97,430000,edison,97%,97% reported,edison,republican,FALSE,2020-11-24T13:22:28Z,TRUE,24.80737,103253,R+25,Bergman +25,republican,FALSE,"","",0,-1,1604481470253
26071,Iron,6697,0,13,13,Merged into voters' home precincts and released with cumulative results,100,6697,>98%,>98% reported,edison,6,all,608,4318,2306,73,0,0,0,2020-11-24T13:23:22Z,30.0433,R+30,Bergman +30,republican,MI-G-H-1-2020-11-03,mi-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-michigan-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-michigan.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-michigan.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-michigan.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MI,michigan,Michigan,Mich.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",416219,35152,3,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,514,517,99% reporting,99%,97,430000,edison,97%,97% reported,edison,republican,FALSE,2020-11-24T13:22:28Z,TRUE,24.80737,103253,R+25,Bergman +25,republican,FALSE,"","",0,-1,1604481470253
26079,Kalkaska,10448,0,13,13,Merged into voters' home precincts and released with cumulative results,100,10449,>98%,>98% reported,edison,6,unknown,1423,7560,2697,191,0,0,0,2020-11-24T13:23:31Z,46.54479,R+47,Bergman +47,republican,MI-G-H-1-2020-11-03,mi-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-michigan-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-michigan.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-michigan.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-michigan.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MI,michigan,Michigan,Mich.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",416219,35152,3,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,514,517,99% reporting,99%,97,430000,edison,97%,97% reported,edison,republican,FALSE,2020-11-24T13:22:28Z,TRUE,24.80737,103253,R+25,Bergman +25,republican,FALSE,"","",0,-1,1604481470253
26083,Keweenaw,1526,0,5,5,Merged into voters' home precincts and released with cumulative results,100,1526,>98%,>98% reported,edison,6,unknown,297,909,594,23,0,0,0,2020-11-24T13:23:22Z,20.6422,R+21,Bergman +21,republican,MI-G-H-1-2020-11-03,mi-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-michigan-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-michigan.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-michigan.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-michigan.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MI,michigan,Michigan,Mich.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",416219,35152,3,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,514,517,99% reporting,99%,97,430000,edison,97%,97% reported,edison,republican,FALSE,2020-11-24T13:22:28Z,TRUE,24.80737,103253,R+25,Bergman +25,republican,FALSE,"","",0,-1,1604481470253
26089,Leelanau,16727,0,12,13,Merged into voters' home precincts and released with cumulative results,96,17413,96%,96% reported,edison,2,all,3904,8710,7844,173,0,0,0,2020-11-24T13:23:30Z,5.17726,R+5,Bergman +5,republican,MI-G-H-1-2020-11-03,mi-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-michigan-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-michigan.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-michigan.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-michigan.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MI,michigan,Michigan,Mich.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",416219,35152,3,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,514,517,99% reporting,99%,97,430000,edison,97%,97% reported,edison,republican,FALSE,2020-11-24T13:22:28Z,TRUE,24.80737,103253,R+25,Bergman +25,republican,FALSE,"","",0,-1,1604481470253
