fips,name,votes,absentee_votes,reporting,precincts,eevp_display,eevp_source,results_delauror,results_streickerm,results_paglinoj,results_absentee_delauror,results_absentee_streickerm,results_absentee_paglinoj,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
09001,Fairfield,28617,13843,19,20,"",edison,17314,10965,338,10311,3334,198,2020-11-24T13:23:23Z,22.18611,D+22,DeLauro +22,democrat,CT-G-H-3-2020-11-03,ct-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-connecticut-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-connecticut.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-connecticut.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-dem,3,District 3,CT,connecticut,Connecticut,Conn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",389518,19603,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,177,180,98% reporting,98%,100,361000,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-24T13:24:27Z,TRUE,24.20479,94282,D+24,DeLauro +24,democrat,FALSE,"","",0,0,1604519219912
09007,Middlesex,27522,0,15,16,"",edison,16098,10917,507,0,0,0,2020-11-24T13:22:42Z,18.82494,D+19,DeLauro +19,democrat,CT-G-H-3-2020-11-03,ct-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-connecticut-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-connecticut.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-connecticut.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-dem,3,District 3,CT,connecticut,Connecticut,Conn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",389518,19603,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,177,180,98% reporting,98%,100,361000,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-24T13:24:27Z,TRUE,24.20479,94282,D+24,DeLauro +24,democrat,FALSE,"","",0,0,1604519219912
09009,New Haven,333379,5760,143,144,"",edison,205447,122695,5237,3849,1827,84,2020-11-24T13:22:51Z,24.8222,D+25,DeLauro +25,democrat,CT-G-H-3-2020-11-03,ct-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-connecticut-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-connecticut.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-connecticut.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-dem,3,District 3,CT,connecticut,Connecticut,Conn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",389518,19603,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,177,180,98% reporting,98%,100,361000,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-24T13:24:27Z,TRUE,24.20479,94282,D+24,DeLauro +24,democrat,FALSE,"","",0,0,1604519219912
