fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_jacksonr,results_trujillog,results_westbrookj,results_absentee_jacksonr,results_absentee_trujillog,results_absentee_westbrookj,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
48111,Dallam,1597,1023,8,10,Released as a precinct as first report of the night,80,1984,80%,80% reported,edison,2,unknown,954,1371,200,26,879,124,20,2020-11-19T21:50:56Z,73.32498,R+73,Jackson +73,republican,TX-G-H-13-2020-11-03,tx-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,solid-rep,13,District 13,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",273950,214196,40,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,361,423,85% reporting,85%,89,309000,edison,89%,89% reported,edison,republican,FALSE,2020-11-20T14:19:42Z,FALSE,63.07319,172789,R+63,Jackson +63,republican,"","",1,0,1604457624852
48117,Deaf Smith,4540,3585,4,5,Released as a precinct as first report of the night,84,5419,84%,84% reported,edison,2,some,739,3207,1268,65,2625,919,41,2020-11-19T21:51:04Z,42.70925,R+43,Jackson +43,republican,TX-G-H-13-2020-11-03,tx-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,solid-rep,13,District 13,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",273950,214196,40,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,361,423,85% reporting,85%,89,309000,edison,89%,89% reported,edison,republican,FALSE,2020-11-20T14:19:42Z,FALSE,63.07319,172789,R+63,Jackson +63,republican,"","",1,0,1604457624852
48125,Dickens,960,665,6,7,Released as a precinct as first report of the night,82,1173,82%,82% reported,edison,2,unknown,846,828,123,9,576,84,5,2020-11-19T21:51:01Z,73.4375,R+73,Jackson +73,republican,TX-G-H-13-2020-11-03,tx-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,solid-rep,13,District 13,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",273950,214196,40,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,361,423,85% reporting,85%,89,309000,edison,89%,89% reported,edison,republican,FALSE,2020-11-20T14:19:42Z,FALSE,63.07319,172789,R+63,Jackson +63,republican,"","",1,0,1604457624852
48129,Donley,1626,1143,6,7,Released as a precinct as first report of the night,86,1885,86%,86% reported,edison,2,unknown,1330,1419,178,29,1000,127,16,2020-11-16T15:47:53Z,76.32226,R+76,Jackson +76,republican,TX-G-H-13-2020-11-03,tx-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,solid-rep,13,District 13,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",273950,214196,40,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,361,423,85% reporting,85%,89,309000,edison,89%,89% reported,edison,republican,FALSE,2020-11-20T14:19:42Z,FALSE,63.07319,172789,R+63,Jackson +63,republican,"","",1,0,1604457624852
48153,Floyd,837,682,3,3,Released as a precinct as first report of the night,77,1093,77%,77% reported,edison,2,unknown,2191,688,139,10,572,105,5,2020-11-19T21:51:01Z,65.5914,R+66,Jackson +66,republican,TX-G-H-13-2020-11-03,tx-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,solid-rep,13,District 13,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",273950,214196,40,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,361,423,85% reporting,85%,89,309000,edison,89%,89% reported,edison,republican,FALSE,2020-11-20T14:19:42Z,FALSE,63.07319,172789,R+63,Jackson +63,republican,"","",1,0,1604457624852
48155,Foard,514,386,4,5,Released as a precinct as first report of the night,78,659,78%,78% reported,edison,2,unknown,398,415,95,4,312,71,3,2020-11-16T15:47:54Z,62.25681,R+62,Jackson +62,republican,TX-G-H-13-2020-11-03,tx-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,solid-rep,13,District 13,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",273950,214196,40,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,361,423,85% reporting,85%,89,309000,edison,89%,89% reported,edison,republican,FALSE,2020-11-20T14:19:42Z,FALSE,63.07319,172789,R+63,Jackson +63,republican,"","",1,0,1604457624852
48179,Gray,7684,5689,6,8,Released as a precinct as first report of the night,81,9503,81%,81% reported,edison,2,unknown,7277,6741,787,156,4999,591,99,2020-11-19T21:50:54Z,77.48568,R+77,Jackson +77,republican,TX-G-H-13-2020-11-03,tx-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,solid-rep,13,District 13,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",273950,214196,40,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,361,423,85% reporting,85%,89,309000,edison,89%,89% reported,edison,republican,FALSE,2020-11-20T14:19:42Z,FALSE,63.07319,172789,R+63,Jackson +63,republican,"","",1,0,1604457624852
48191,Hall,1135,791,4,5,Released as a precinct as first report of the night,81,1407,81%,81% reported,edison,2,unknown,871,961,157,17,667,113,11,2020-11-19T21:51:07Z,70.837,R+71,Jackson +71,republican,TX-G-H-13-2020-11-03,tx-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,solid-rep,13,District 13,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",273950,214196,40,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,361,423,85% reporting,85%,89,309000,edison,89%,89% reported,edison,republican,FALSE,2020-11-20T14:19:42Z,FALSE,63.07319,172789,R+63,Jackson +63,republican,"","",1,0,1604457624852
48195,Hansford,2013,1342,6,8,Released as a precinct as first report of the night,80,2512,80%,80% reported,edison,2,unknown,1429,1814,170,29,1209,111,22,2020-11-19T21:51:06Z,81.66915,R+82,Jackson +82,republican,TX-G-H-13-2020-11-03,tx-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,solid-rep,13,District 13,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",273950,214196,40,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,361,423,85% reporting,85%,89,309000,edison,89%,89% reported,edison,republican,FALSE,2020-11-20T14:19:42Z,FALSE,63.07319,172789,R+63,Jackson +63,republican,"","",1,0,1604457624852
48197,Hardeman,1558,1003,3,4,Released as a precinct as first report of the night,80,1949,80%,80% reported,edison,2,unknown,1239,1338,203,17,848,146,9,2020-11-16T15:47:59Z,72.84981,R+73,Jackson +73,republican,TX-G-H-13-2020-11-03,tx-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,solid-rep,13,District 13,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",273950,214196,40,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,361,423,85% reporting,85%,89,309000,edison,89%,89% reported,edison,republican,FALSE,2020-11-20T14:19:42Z,FALSE,63.07319,172789,R+63,Jackson +63,republican,"","",1,0,1604457624852
