fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_gallagherm,results_stucka,results_absentee_gallagherm,results_absentee_stucka,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
55009,Brown,142388,0,95,95,Merged into voters' home precincts and released with cumulative results,100,142388,>98%,>98% reported,edison,10,unknown,55945,87044,55344,0,0,2020-11-17T18:02:42Z,22.26311,R+22,Gallagher +22,republican,WI-G-H-8-2020-11-03,wi-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-wisconsin.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,WI,wisconsin,Wisconsin,Wis.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",417731,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,408,415,98% reporting,98%,99,417731,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:17:26Z,TRUE,28.39507,118615,R+28,Gallagher +28,republican,"","",0,0,1604467590023
55015,Calumet,30441,0,36,36,Merged into voters' home precincts and released with cumulative results,100,30441,>98%,>98% reported,edison,10,unknown,10174,20138,10303,0,0,2020-11-16T15:48:10Z,32.3084,R+32,Gallagher +32,republican,WI-G-H-8-2020-11-03,wi-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-wisconsin.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,WI,wisconsin,Wisconsin,Wis.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",417731,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,408,415,98% reporting,98%,99,417731,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:17:26Z,TRUE,28.39507,118615,R+28,Gallagher +28,republican,"","",0,0,1604467590023
55029,Door,20033,0,21,21,Merged into voters' home precincts and released with cumulative results,100,20033,>98%,>98% reported,edison,10,unknown,6534,11255,8778,0,0,2020-11-16T15:48:10Z,12.3646,R+12,Gallagher +12,republican,WI-G-H-8-2020-11-03,wi-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-wisconsin.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,WI,wisconsin,Wisconsin,Wis.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",417731,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,408,415,98% reporting,98%,99,417731,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:17:26Z,TRUE,28.39507,118615,R+28,Gallagher +28,republican,"","",0,0,1604467590023
55061,Kewaunee,12027,0,14,14,Merged into voters' home precincts and released with cumulative results,100,12027,>98%,>98% reported,edison,10,unknown,1563,8614,3413,0,0,2020-11-16T15:47:41Z,43.24437,R+43,Gallagher +43,republican,WI-G-H-8-2020-11-03,wi-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-wisconsin.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,WI,wisconsin,Wisconsin,Wis.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",417731,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,408,415,98% reporting,98%,99,417731,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:17:26Z,TRUE,28.39507,118615,R+28,Gallagher +28,republican,"","",0,0,1604467590023
55075,Marinette,22789,0,28,28,Merged into voters' home precincts and released with cumulative results,100,22789,>98%,>98% reported,edison,10,unknown,3737,16514,6275,0,0,2020-11-16T15:47:43Z,44.92957,R+45,Gallagher +45,republican,WI-G-H-8-2020-11-03,wi-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-wisconsin.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,WI,wisconsin,Wisconsin,Wis.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",417731,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,408,415,98% reporting,98%,99,417731,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:17:26Z,TRUE,28.39507,118615,R+28,Gallagher +28,republican,"","",0,0,1604467590023
55078,Menominee,1521,0,2,2,Merged into voters' home precincts and released with cumulative results,100,1521,>98%,>98% reported,edison,10,unknown,257,411,1110,0,0,2020-11-16T15:47:44Z,45.95661,D+46,Stuck +46,democrat,WI-G-H-8-2020-11-03,wi-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-wisconsin.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,WI,wisconsin,Wisconsin,Wis.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",417731,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,408,415,98% reporting,98%,99,417731,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:17:26Z,TRUE,28.39507,118615,R+28,Gallagher +28,republican,"","",0,0,1604467590023
55083,Oconto,23019,0,29,29,Merged into voters' home precincts and released with cumulative results,100,23019,>98%,>98% reported,edison,10,unknown,4978,17375,5644,0,0,2020-11-16T15:47:44Z,50.96225,R+51,Gallagher +51,republican,WI-G-H-8-2020-11-03,wi-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-wisconsin.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,WI,wisconsin,Wisconsin,Wis.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",417731,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,408,415,98% reporting,98%,99,417731,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:17:26Z,TRUE,28.39507,118615,R+28,Gallagher +28,republican,"","",0,0,1604467590023
55087,Outagamie,106675,0,94,101,Merged into voters' home precincts and released with cumulative results,100,106675,>98%,>98% reported,edison,10,unknown,38925,64985,41690,0,0,2020-11-16T15:47:44Z,21.83736,R+22,Gallagher +22,republican,WI-G-H-8-2020-11-03,wi-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-wisconsin.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,WI,wisconsin,Wisconsin,Wis.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",417731,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,408,415,98% reporting,98%,99,417731,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:17:26Z,TRUE,28.39507,118615,R+28,Gallagher +28,republican,"","",0,0,1604467590023
55115,Shawano,22349,0,43,43,Merged into voters' home precincts and released with cumulative results,100,22349,>98%,>98% reported,edison,10,unknown,4344,15970,6379,0,0,2020-11-16T15:47:44Z,42.91467,R+43,Gallagher +43,republican,WI-G-H-8-2020-11-03,wi-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-wisconsin.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,WI,wisconsin,Wisconsin,Wis.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",417731,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,408,415,98% reporting,98%,99,417731,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:17:26Z,TRUE,28.39507,118615,R+28,Gallagher +28,republican,"","",0,0,1604467590023
55135,Waupaca,28711,0,39,39,Merged into voters' home precincts and released with cumulative results,100,28711,>98%,>98% reported,edison,10,unknown,6316,20252,8459,0,0,2020-11-16T15:47:44Z,41.07485,R+41,Gallagher +41,republican,WI-G-H-8-2020-11-03,wi-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-wisconsin.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,WI,wisconsin,Wisconsin,Wis.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",417731,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,408,415,98% reporting,98%,99,417731,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:17:26Z,TRUE,28.39507,118615,R+28,Gallagher +28,republican,"","",0,0,1604467590023
