fips,name,votes,absentee_votes,reporting,precincts,eevp_display,eevp_source,absentee_count_progress,absentee_max_ballots,results_newmanm,results_fricilonem,results_absentee_newmanm,results_absentee_fricilonem,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,absentee_method,eevp,tot_exp_vote,eevp_value,turnout_stage,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
17031,Cook,250916,0,325,402,"",edison,unknown,823434,144253,106663,0,0,2020-11-16T15:48:14Z,14.98111,D+15,Newman +15,democrat,,,,,,IL-G-H-3-2020-11-03,il-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-dem,3,District 3,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",295582,26088,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,369,446,83% reporting,83%,92,320000,edison,92%,92% reported,edison,democrat,FALSE,2020-11-18T17:18:37Z,FALSE,11.60761,34310,D+12,Newman +12,democrat,Mail ballots postmarked by Election Day have two weeks to arrive in the mail. The state's election board will post the number of unreturned mail ballots on its website.,Mail ballots postmarked by Election Day have two weeks to arrive in the mail.,14,0,1604462060650
17043,DuPage,722,0,2,2,93% reported,edison,unknown,159736,383,339,0,0,2020-11-18T15:15:03Z,6.09418,D+6,Newman +6,democrat,Merged into voters' home precincts and released with cumulative results,93,773,93%,4,IL-G-H-3-2020-11-03,il-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-dem,3,District 3,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",295582,26088,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,369,446,83% reporting,83%,92,320000,edison,92%,92% reported,edison,democrat,FALSE,2020-11-18T17:18:37Z,FALSE,11.60761,34310,D+12,Newman +12,democrat,Mail ballots postmarked by Election Day have two weeks to arrive in the mail. The state's election board will post the number of unreturned mail ballots on its website.,Mail ballots postmarked by Election Day have two weeks to arrive in the mail.,14,0,1604462060650
17197,Will,43944,26088,42,42,>98% reported,edison,some,87251,20310,23634,13416,12672,2020-11-16T15:48:15Z,7.56417,R+8,Fricilone +8,republican,Merged into voters' home precincts and released with cumulative results,100,42283,>98%,6,IL-G-H-3-2020-11-03,il-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-dem,3,District 3,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",295582,26088,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,369,446,83% reporting,83%,92,320000,edison,92%,92% reported,edison,democrat,FALSE,2020-11-18T17:18:37Z,FALSE,11.60761,34310,D+12,Newman +12,democrat,Mail ballots postmarked by Election Day have two weeks to arrive in the mail. The state's election board will post the number of unreturned mail ballots on its website.,Mail ballots postmarked by Election Day have two weeks to arrive in the mail.,14,0,1604462060650
