fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_fulcherr,results_sotor,results_evansj,results_absentee_fulcherr,results_absentee_sotor,results_absentee_evansj,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
16001,Ada,137084,90737,79,79,Merged into voters' home precincts and released with cumulative results,100,115481,>98%,>98% reported,edison,6,all,80688,88400,43702,4982,52821,35156,2760,2020-11-16T15:48:34Z,32.60629,R+33,Fulcher +33,republican,ID-G-H-1-2020-11-03,id-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-idaho-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-idaho.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-idaho.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,ID,idaho,Idaho,Idaho,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",442705,230411,6,unknown,First polls close at 10 p.m. Eastern time.,First polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,445,464,96% reporting,96%,99,403000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:18:40Z,TRUE,39.03209,172797,R+39,Fulcher +39,republican,"","",0,0,1604469933058
16003,Adams,2523,0,7,7,"As a precinct in the FIRST cumulative report, along with regular precincts",100,1698,>98%,>98% reported,edison,2,none,936,1884,553,86,0,0,0,2020-11-16T15:48:34Z,52.75466,R+53,Fulcher +53,republican,ID-G-H-1-2020-11-03,id-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-idaho-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-idaho.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-idaho.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,ID,idaho,Idaho,Idaho,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",442705,230411,6,unknown,First polls close at 10 p.m. Eastern time.,First polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,445,464,96% reporting,96%,99,403000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:18:40Z,TRUE,39.03209,172797,R+39,Fulcher +39,republican,"","",0,0,1604469933058
16009,Benewah,4790,0,11,11,Merged into voters' home precincts and released with cumulative results,100,4686,>98%,>98% reported,edison,2,unknown,1083,3680,945,165,0,0,0,2020-11-16T15:48:34Z,57.09812,R+57,Fulcher +57,republican,ID-G-H-1-2020-11-03,id-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-idaho-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-idaho.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-idaho.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,ID,idaho,Idaho,Idaho,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",442705,230411,6,unknown,First polls close at 10 p.m. Eastern time.,First polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,445,464,96% reporting,96%,99,403000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:18:40Z,TRUE,39.03209,172797,R+39,Fulcher +39,republican,"","",0,0,1604469933058
16015,Boise,0,0,0,6,Released as a precinct at the end of tabulation,0,2965,0%,0% reported,edison,,unknown,1222,0,0,0,0,0,0,2020-11-16T15:48:35Z,,–,–,"",ID-G-H-1-2020-11-03,id-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-idaho-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-idaho.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-idaho.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,ID,idaho,Idaho,Idaho,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",442705,230411,6,unknown,First polls close at 10 p.m. Eastern time.,First polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,445,464,96% reporting,96%,99,403000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:18:40Z,TRUE,39.03209,172797,R+39,Fulcher +39,republican,"","",0,0,1604469933058
16017,Bonner,26721,13640,32,32,Merged into voters' home precincts and released with cumulative results,100,21782,>98%,>98% reported,edison,6,all,7483,18213,7601,907,7414,5873,353,2020-11-16T15:48:35Z,39.71408,R+40,Fulcher +40,republican,ID-G-H-1-2020-11-03,id-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-idaho-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-idaho.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-idaho.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,ID,idaho,Idaho,Idaho,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",442705,230411,6,unknown,First polls close at 10 p.m. Eastern time.,First polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,445,464,96% reporting,96%,99,403000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:18:40Z,TRUE,39.03209,172797,R+39,Fulcher +39,republican,"","",0,0,1604469933058
16021,Boundary,6196,0,7,7,Released with cumulative results periodically election night,100,5781,>98%,>98% reported,edison,2,none,2026,4855,1175,166,0,0,0,2020-11-16T15:48:35Z,59.39316,R+59,Fulcher +59,republican,ID-G-H-1-2020-11-03,id-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-idaho-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-idaho.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-idaho.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,ID,idaho,Idaho,Idaho,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",442705,230411,6,unknown,First polls close at 10 p.m. Eastern time.,First polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,445,464,96% reporting,96%,99,403000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:18:40Z,TRUE,39.03209,172797,R+39,Fulcher +39,republican,"","",0,0,1604469933058
16027,Canyon,88843,60020,64,64,Merged into voters' home precincts and released with cumulative results,100,83068,>98%,>98% reported,edison,6,all,24616,60042,25367,3434,39986,18157,1877,2020-11-16T15:48:35Z,39.02952,R+39,Fulcher +39,republican,ID-G-H-1-2020-11-03,id-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-idaho-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-idaho.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-idaho.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,ID,idaho,Idaho,Idaho,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",442705,230411,6,unknown,First polls close at 10 p.m. Eastern time.,First polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,445,464,96% reporting,96%,99,403000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:18:40Z,TRUE,39.03209,172797,R+39,Fulcher +39,republican,"","",0,0,1604469933058
16035,Clearwater,4316,0,15,15,Released as a precinct in the middle of the night,100,2957,>98%,>98% reported,edison,2,unknown,1067,3364,847,105,0,0,0,2020-11-16T15:48:35Z,58.31789,R+58,Fulcher +58,republican,ID-G-H-1-2020-11-03,id-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-idaho-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-idaho.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-idaho.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,ID,idaho,Idaho,Idaho,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",442705,230411,6,unknown,First polls close at 10 p.m. Eastern time.,First polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,445,464,96% reporting,96%,99,403000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:18:40Z,TRUE,39.03209,172797,R+39,Fulcher +39,republican,"","",0,0,1604469933058
16045,Gem,5649,0,9,14,None,91,6185,91%,91% reported,edison,2,none,3437,4164,1338,147,0,0,0,2020-11-16T15:48:35Z,50.02655,R+50,Fulcher +50,republican,ID-G-H-1-2020-11-03,id-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-idaho-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-idaho.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-idaho.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,ID,idaho,Idaho,Idaho,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",442705,230411,6,unknown,First polls close at 10 p.m. Eastern time.,First polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,445,464,96% reporting,96%,99,403000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:18:40Z,TRUE,39.03209,172797,R+39,Fulcher +39,republican,"","",0,0,1604469933058
16049,Idaho County,9362,0,28,28,Released as a precinct in the middle of the night,100,6398,>98%,>98% reported,edison,2,none,3325,7604,1508,250,0,0,0,2020-11-16T15:48:35Z,65.11429,R+65,Fulcher +65,republican,ID-G-H-1-2020-11-03,id-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-idaho-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-idaho.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-idaho.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,ID,idaho,Idaho,Idaho,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",442705,230411,6,unknown,First polls close at 10 p.m. Eastern time.,First polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,445,464,96% reporting,96%,99,403000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:18:40Z,TRUE,39.03209,172797,R+39,Fulcher +39,republican,"","",0,0,1604469933058
