fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_carterj,results_imamd,results_pattersonc,results_write_ins,results_absentee_carterj,results_absentee_imamd,results_absentee_pattersonc,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
48027,Bell,112887,92623,45,45,Released as a precinct as first report of the night,100,113434,>98%,>98% reported,edison,4,all,89466,66069,44325,2340,153,52936,37958,1616,113,2020-11-16T15:48:13Z,19.26174,R+19,Carter +19,republican,TX-G-H-31-2020-11-03,tx-house-general-district-031-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-31.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 31,U.S. House,H,lean-rep,31,District 31,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",394303,348934,2,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,103,103,100% reporting,100%,99,377000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:17:38Z,TRUE,9.22489,36374,R+9,Carter +9,republican,"","",1,0,1604461029520
48491,Williamson,281416,256311,58,58,Released as a precinct as first report of the night,100,263204,>98%,>98% reported,edison,4,all,172960,144699,130069,6479,169,129573,121379,5295,64,2020-11-16T15:48:14Z,5.19871,R+5,Carter +5,republican,TX-G-H-31-2020-11-03,tx-house-general-district-031-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-31.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 31,U.S. House,H,lean-rep,31,District 31,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",394303,348934,2,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,103,103,100% reporting,100%,99,377000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:17:38Z,TRUE,9.22489,36374,R+9,Carter +9,republican,"","",1,0,1604461029520
