fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_foxxv,results_brownd,results_gregoryj,results_absentee_foxxv,results_absentee_brownd,results_absentee_gregoryj,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
37003,Alexander,19996,16654,10,10,Released as a separate subtotal as first report of the night,100,19996,>98%,>98% reported,edison,10,all,15384,15567,3996,433,12881,3448,325,2020-11-18T03:15:56Z,57.86657,R+58,Foxx +58,republican,NC-G-H-5-2020-11-03,nc-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",385242,310935,11,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,215,215,100% reporting,100%,99,385242,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:18:14Z,TRUE,35.82086,137997,R+36,Foxx +36,republican,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604457385944
37005,Alleghany,6041,4996,4,4,Released as a separate subtotal as first report of the night,100,6041,>98%,>98% reported,edison,10,all,5206,4549,1380,112,3683,1232,81,2020-11-18T03:16:16Z,52.4582,R+52,Foxx +52,republican,NC-G-H-5-2020-11-03,nc-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",385242,310935,11,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,215,215,100% reporting,100%,99,385242,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:18:14Z,TRUE,35.82086,137997,R+36,Foxx +36,republican,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604457385944
37009,Ashe,15701,11171,17,17,"As a precinct in the FIRST cumulative report, along with regular precincts",100,15701,>98%,>98% reported,edison,10,unknown,9733,11270,4086,345,7604,3362,205,2020-11-18T03:16:57Z,45.75505,R+46,Foxx +46,republican,NC-G-H-5-2020-11-03,nc-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",385242,310935,11,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,215,215,100% reporting,100%,99,385242,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:18:14Z,TRUE,35.82086,137997,R+36,Foxx +36,republican,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604457385944
37023,Burke,43888,36044,33,33,Released as a separate subtotal as first report of the night,100,43888,>98%,>98% reported,edison,10,unknown,37205,30222,12896,770,24382,11110,552,2020-11-18T03:19:43Z,39.47776,R+39,Foxx +39,republican,NC-G-H-5-2020-11-03,nc-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",385242,310935,11,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,215,215,100% reporting,100%,99,385242,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:18:14Z,TRUE,35.82086,137997,R+36,Foxx +36,republican,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604457385944
37027,Caldwell,42067,35043,20,20,Released as a precinct as first report of the night,100,42067,>98%,>98% reported,edison,10,unknown,37674,31549,9823,695,26054,8461,528,2020-11-18T03:20:36Z,51.64618,R+52,Foxx +52,republican,NC-G-H-5-2020-11-03,nc-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",385242,310935,11,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,215,215,100% reporting,100%,99,385242,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:18:14Z,TRUE,35.82086,137997,R+36,Foxx +36,republican,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604457385944
37035,Catawba,10112,8339,7,7,"As a precinct in the FIRST cumulative report, along with regular precincts",100,10112,>98%,>98% reported,edison,10,unknown,67210,6673,3307,132,5330,2911,98,2020-11-18T03:21:59Z,33.28718,R+33,Foxx +33,republican,NC-G-H-5-2020-11-03,nc-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",385242,310935,11,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,215,215,100% reporting,100%,99,385242,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:18:14Z,TRUE,35.82086,137997,R+36,Foxx +36,republican,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604457385944
37045,Cleveland,50202,40724,21,21,Released as a precinct as first report of the night,100,50202,>98%,>98% reported,edison,10,all,35936,32270,16647,1285,25521,14271,932,2020-11-18T03:29:51Z,31.12027,R+31,Foxx +31,republican,NC-G-H-5-2020-11-03,nc-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",385242,310935,11,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,215,215,100% reporting,100%,99,385242,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:18:14Z,TRUE,35.82086,137997,R+36,Foxx +36,republican,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604457385944
37071,Gaston,110000,91607,46,46,Released as a precinct as first report of the night,100,110000,>98%,>98% reported,edison,10,some,96085,69147,38899,1954,56742,33500,1365,2020-11-18T03:34:59Z,27.49818,R+27,Foxx +27,republican,NC-G-H-5-2020-11-03,nc-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",385242,310935,11,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,215,215,100% reporting,100%,99,385242,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:18:14Z,TRUE,35.82086,137997,R+36,Foxx +36,republican,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604457385944
37161,Rutherford,20448,14928,10,10,Released as a separate subtotal as first report of the night,100,20448,>98%,>98% reported,edison,10,unknown,27253,14858,5199,391,10511,4175,242,2020-11-18T04:00:20Z,47.23689,R+47,Foxx +47,republican,NC-G-H-5-2020-11-03,nc-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",385242,310935,11,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,215,215,100% reporting,100%,99,385242,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:18:14Z,TRUE,35.82086,137997,R+36,Foxx +36,republican,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604457385944
37189,Watauga,31662,27352,20,20,Released as a precinct as first report of the night,100,31662,>98%,>98% reported,edison,10,all,26600,14693,16378,591,11844,15074,434,2020-11-18T04:06:04Z,5.32184,D+5,Brown +5,democrat,NC-G-H-5-2020-11-03,nc-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",385242,310935,11,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,215,215,100% reporting,100%,99,385242,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:18:14Z,TRUE,35.82086,137997,R+36,Foxx +36,republican,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604457385944
