fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_cuellarh,results_whittens,results_congdonb,results_absentee_cuellarh,results_absentee_whittens,results_absentee_congdonb,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
48013,Atascosa,17893,14610,25,25,Released as a precinct as first report of the night,100,17598,>98%,>98% reported,edison,2,unknown,10647,7571,10066,256,6095,8310,205,2020-11-16T15:48:00Z,13.944,R+14,Whitten +14,republican,TX-G-H-28-2020-11-03,tx-house-general-district-028-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-28.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 28,U.S. House,H,solid-dem,28,District 28,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",234038,195220,9,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,238,249,96% reporting,96%,96,244000,edison,96%,96% reported,edison,democrat,FALSE,2020-11-18T17:17:32Z,TRUE,19.36438,45320,D+19,Cuellar +19,democrat,"","",1,0,1604458341286
48029,Bexar,71527,63116,72,74,Released as a precinct as first report of the night,97,73431,97%,97% reported,edison,2,all,609654,38462,30993,2072,34515,26912,1689,2020-11-16T15:48:01Z,10.44221,D+10,Cuellar +10,democrat,TX-G-H-28-2020-11-03,tx-house-general-district-028-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-28.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 28,U.S. House,H,solid-dem,28,District 28,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",234038,195220,9,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,238,249,96% reporting,96%,96,244000,edison,96%,96% reported,edison,democrat,FALSE,2020-11-18T17:17:32Z,TRUE,19.36438,45320,D+19,Cuellar +19,democrat,"","",1,0,1604458341286
48215,Hidalgo,34131,29628,39,41,Released as a precinct as first report of the night,94,36120,94%,94% reported,edison,2,some,168180,21948,11466,717,19184,9844,600,2020-11-16T15:48:07Z,30.71108,D+31,Cuellar +31,democrat,TX-G-H-28-2020-11-03,tx-house-general-district-028-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-28.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 28,U.S. House,H,solid-dem,28,District 28,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",234038,195220,9,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,238,249,96% reporting,96%,96,244000,edison,96%,96% reported,edison,democrat,FALSE,2020-11-18T17:17:32Z,TRUE,19.36438,45320,D+19,Cuellar +19,democrat,"","",1,0,1604458341286
48283,La Salle,299,88,1,1,Released as a precinct as first report of the night,94,319,94%,94% reported,edison,2,unknown,1195,185,109,5,53,34,1,2020-11-16T15:48:02Z,25.41806,D+25,Cuellar +25,democrat,TX-G-H-28-2020-11-03,tx-house-general-district-028-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-28.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 28,U.S. House,H,solid-dem,28,District 28,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",234038,195220,9,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,238,249,96% reporting,96%,96,244000,edison,96%,96% reported,edison,democrat,FALSE,2020-11-18T17:17:32Z,TRUE,19.36438,45320,D+19,Cuellar +19,democrat,"","",1,0,1604458341286
48311,McMullen,499,355,4,5,Released as a precinct as first report of the night,78,641,78%,78% reported,edison,2,unknown,417,107,392,0,65,290,0,2020-11-16T15:48:03Z,57.11423,R+57,Whitten +57,republican,TX-G-H-28-2020-11-03,tx-house-general-district-028-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-28.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 28,U.S. House,H,solid-dem,28,District 28,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",234038,195220,9,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,238,249,96% reporting,96%,96,244000,edison,96%,96% reported,edison,democrat,FALSE,2020-11-18T17:17:32Z,TRUE,19.36438,45320,D+19,Cuellar +19,democrat,"","",1,0,1604458341286
48427,Starr,15949,13127,10,10,Released as a precinct as first report of the night,100,15145,>98%,>98% reported,edison,2,unknown,12032,11804,3912,233,9847,3082,198,2020-11-16T15:48:09Z,49.48273,D+49,Cuellar +49,democrat,TX-G-H-28-2020-11-03,tx-house-general-district-028-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-28.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 28,U.S. House,H,solid-dem,28,District 28,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",234038,195220,9,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,238,249,96% reporting,96%,96,244000,edison,96%,96% reported,edison,democrat,FALSE,2020-11-18T17:17:32Z,TRUE,19.36438,45320,D+19,Cuellar +19,democrat,"","",1,0,1604458341286
48479,Webb,67619,52753,65,70,Released as a precinct as first report of the night,92,73373,92%,92% reported,edison,2,some,48936,47436,17538,2645,37091,13574,2088,2020-11-16T15:48:04Z,44.21538,D+44,Cuellar +44,democrat,TX-G-H-28-2020-11-03,tx-house-general-district-028-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-28.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 28,U.S. House,H,solid-dem,28,District 28,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",234038,195220,9,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,238,249,96% reporting,96%,96,244000,edison,96%,96% reported,edison,democrat,FALSE,2020-11-18T17:17:32Z,TRUE,19.36438,45320,D+19,Cuellar +19,democrat,"","",1,0,1604458341286
48493,Wilson,22494,19234,15,15,Released as a precinct as first report of the night,99,22615,>98%,>98% reported,edison,2,unknown,17031,6650,15494,350,5740,13205,289,2020-11-16T15:48:04Z,39.31715,R+39,Whitten +39,republican,TX-G-H-28-2020-11-03,tx-house-general-district-028-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-28.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 28,U.S. House,H,solid-dem,28,District 28,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",234038,195220,9,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,238,249,96% reporting,96%,96,244000,edison,96%,96% reported,edison,democrat,FALSE,2020-11-18T17:17:32Z,TRUE,19.36438,45320,D+19,Cuellar +19,democrat,"","",1,0,1604458341286
48505,Zapata,3627,2309,7,8,Released as a precinct as first report of the night,89,4053,89%,89% reported,edison,2,unknown,3125,2347,1220,60,1485,783,41,2020-11-16T15:48:06Z,31.07251,D+31,Cuellar +31,democrat,TX-G-H-28-2020-11-03,tx-house-general-district-028-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-28.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 28,U.S. House,H,solid-dem,28,District 28,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",234038,195220,9,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,238,249,96% reporting,96%,96,244000,edison,96%,96% reported,edison,democrat,FALSE,2020-11-18T17:17:32Z,TRUE,19.36438,45320,D+19,Cuellar +19,democrat,"","",1,0,1604458341286
