fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_murphyg,results_farrowd,results_absentee_murphyg,results_absentee_farrowd,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
37013,Beaufort,25843,20041,21,21,Released as a precinct as first report of the night,100,25843,>98%,>98% reported,edison,10,all,22376,16751,9092,12293,7748,2020-11-18T03:17:48Z,29.63665,R+30,Murphy +30,republican,NC-G-H-3-2020-11-03,nc-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",362552,287799,17,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,228,228,100% reporting,100%,99,362552,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:18:13Z,TRUE,26.76802,97048,R+27,Murphy +27,republican,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604456669457
37029,Camden,5736,4316,3,3,Released as a precinct as first report of the night,100,5736,>98%,>98% reported,edison,10,all,4042,4269,1467,3073,1243,2020-11-18T03:20:50Z,48.84937,R+49,Murphy +49,republican,NC-G-H-3-2020-11-03,nc-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",362552,287799,17,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,228,228,100% reporting,100%,99,362552,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:18:13Z,TRUE,26.76802,97048,R+27,Murphy +27,republican,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604456669457
37031,Carteret,40163,32684,26,26,Released as a separate subtotal as first report of the night,100,40163,>98%,>98% reported,edison,10,all,34930,29395,10768,23202,9482,2020-11-18T03:21:14Z,46.37851,R+46,Murphy +46,republican,NC-G-H-3-2020-11-03,nc-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",362552,287799,17,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,228,228,100% reporting,100%,99,362552,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:18:13Z,TRUE,26.76802,97048,R+27,Murphy +27,republican,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604456669457
37041,Chowan,7646,6528,6,6,Released as a precinct as first report of the night,100,7646,>98%,>98% reported,edison,10,unknown,8195,4504,3142,3757,2771,2020-11-18T03:29:01Z,17.81324,R+18,Murphy +18,republican,NC-G-H-3-2020-11-03,nc-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",362552,287799,17,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,228,228,100% reporting,100%,99,362552,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:18:13Z,TRUE,26.76802,97048,R+27,Murphy +27,republican,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604456669457
37049,Craven,51795,43845,21,21,Released as a precinct as first report of the night,100,51795,>98%,>98% reported,edison,10,unknown,49498,32020,19775,26350,17495,2020-11-18T03:30:39Z,23.64128,R+24,Murphy +24,republican,NC-G-H-3-2020-11-03,nc-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",362552,287799,17,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,228,228,100% reporting,100%,99,362552,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:18:13Z,TRUE,26.76802,97048,R+27,Murphy +27,republican,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604456669457
37053,Currituck,15751,9979,11,11,Released as a precinct as first report of the night,100,15751,>98%,>98% reported,edison,10,some,6061,11768,3983,6993,2986,2020-11-18T03:31:24Z,49.42543,R+49,Murphy +49,republican,NC-G-H-3-2020-11-03,nc-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",362552,287799,17,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,228,228,100% reporting,100%,99,362552,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:18:13Z,TRUE,26.76802,97048,R+27,Murphy +27,republican,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604456669457
37055,Dare,23281,18384,16,16,Released as a separate subtotal as first report of the night,100,23281,>98%,>98% reported,edison,10,unknown,12962,13919,9362,10263,8121,2020-11-18T03:31:46Z,19.5739,R+20,Murphy +20,republican,NC-G-H-3-2020-11-03,nc-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",362552,287799,17,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,228,228,100% reporting,100%,99,362552,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:18:13Z,TRUE,26.76802,97048,R+27,Murphy +27,republican,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604456669457
37061,Duplin,22086,16391,19,19,Released as a precinct as first report of the night,100,22086,>98%,>98% reported,edison,10,all,15685,13634,8452,9484,6907,2020-11-18T03:33:01Z,23.46283,R+23,Murphy +23,republican,NC-G-H-3-2020-11-03,nc-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",362552,287799,17,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,228,228,100% reporting,100%,99,362552,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:18:13Z,TRUE,26.76802,97048,R+27,Murphy +27,republican,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604456669457
37095,Hyde,2430,1212,7,7,"As a subtotal in the FIRST cumulative report, along with regular precincts",100,2430,>98%,>98% reported,edison,10,all,1194,1406,1024,556,656,2020-11-18T03:39:36Z,15.72016,R+16,Murphy +16,republican,NC-G-H-3-2020-11-03,nc-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",362552,287799,17,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,228,228,100% reporting,100%,99,362552,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:18:13Z,TRUE,26.76802,97048,R+27,Murphy +27,republican,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604456669457
37103,Jones,5439,3750,7,7,Released as a separate subtotal as first report of the night,100,5439,>98%,>98% reported,edison,10,all,3869,3307,2132,2140,1610,2020-11-18T03:41:06Z,21.60324,R+22,Murphy +22,republican,NC-G-H-3-2020-11-03,nc-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",362552,287799,17,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,228,228,100% reporting,100%,99,362552,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:18:13Z,TRUE,26.76802,97048,R+27,Murphy +27,republican,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604456669457
