fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_gravess,results_rossg,results_higginsj,results_absentee_gravess,results_absentee_rossg,results_absentee_higginsj,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
29049,Clinton,10717,0,7,7,Released as a precinct as first report of the night,95,11229,95%,95% reported,edison,4,some,1293,7912,2548,257,0,0,0,2020-11-16T15:48:22Z,50.05132,R+50,Graves +50,republican,MO-G-H-6-2020-11-03,mo-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",387809,1606,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,425,450,94% reporting,94%,99,390000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:18:14Z,TRUE,35.62346,138151,R+36,Graves +36,republican,"","",0,0,1604461440767
29061,Daviess,3813,0,6,6,Released as a precinct as first report of the night,100,3813,>98%,>98% reported,edison,6,all,525,3098,633,82,0,0,0,2020-11-16T15:48:22Z,64.64726,R+65,Graves +65,republican,MO-G-H-6-2020-11-03,mo-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",387809,1606,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,425,450,94% reporting,94%,99,390000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:18:14Z,TRUE,35.62346,138151,R+36,Graves +36,republican,"","",0,0,1604461440767
29063,DeKalb,4774,0,9,9,Released as a precinct as first report of the night,95,5049,95%,95% reported,edison,2,unknown,475,3839,820,115,0,0,0,2020-11-16T15:48:23Z,63.23837,R+63,Graves +63,republican,MO-G-H-6-2020-11-03,mo-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",387809,1606,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,425,450,94% reporting,94%,99,390000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:18:14Z,TRUE,35.62346,138151,R+36,Graves +36,republican,"","",0,0,1604461440767
29075,Gentry,3196,0,11,11,Released as a precinct as first report of the night,100,3196,>98%,>98% reported,edison,6,all,422,2598,535,63,0,0,0,2020-11-16T15:48:23Z,64.54944,R+65,Graves +65,republican,MO-G-H-6-2020-11-03,mo-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",387809,1606,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,425,450,94% reporting,94%,99,390000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:18:14Z,TRUE,35.62346,138151,R+36,Graves +36,republican,"","",0,0,1604461440767
29079,Grundy,4397,0,8,9,None,100,3571,>98%,>98% reported,edison,2,unknown,150,3662,661,74,0,0,0,2020-11-16T15:48:24Z,68.25108,R+68,Graves +68,republican,MO-G-H-6-2020-11-03,mo-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",387809,1606,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,425,450,94% reporting,94%,99,390000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:18:14Z,TRUE,35.62346,138151,R+36,Graves +36,republican,"","",0,0,1604461440767
29081,Harrison,3788,0,7,7,"As a precinct in the FIRST cumulative report, along with regular precincts",100,2979,>98%,>98% reported,edison,4,all,706,3250,496,42,0,0,0,2020-11-16T15:48:24Z,72.70327,R+73,Graves +73,republican,MO-G-H-6-2020-11-03,mo-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",387809,1606,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,425,450,94% reporting,94%,99,390000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:18:14Z,TRUE,35.62346,138151,R+36,Graves +36,republican,"","",0,0,1604461440767
29087,Holt,2318,0,4,5,Released as a precinct as first report of the night,100,1901,>98%,>98% reported,edison,2,unknown,312,2002,264,52,0,0,0,2020-11-16T15:48:24Z,74.97843,R+75,Graves +75,republican,MO-G-H-6-2020-11-03,mo-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",387809,1606,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,425,450,94% reporting,94%,99,390000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:18:14Z,TRUE,35.62346,138151,R+36,Graves +36,republican,"","",0,0,1604461440767
29095,Jackson,48171,0,21,21,Released as a separate subtotal as first report of the night,100,47434,>98%,>98% reported,edison,2,unknown,50123,28660,18420,1091,0,0,0,2020-11-16T15:48:25Z,21.2576,R+21,Graves +21,republican,MO-G-H-6-2020-11-03,mo-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",387809,1606,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,425,450,94% reporting,94%,99,390000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:18:14Z,TRUE,35.62346,138151,R+36,Graves +36,republican,"","",0,0,1604461440767
29103,Knox,1794,0,6,7,Released as a precinct as first report of the night,100,1794,>98%,>98% reported,edison,6,all,443,1513,252,29,0,0,0,2020-11-16T15:47:43Z,70.28986,R+70,Graves +70,republican,MO-G-H-6-2020-11-03,mo-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",387809,1606,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,425,450,94% reporting,94%,99,390000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:18:14Z,TRUE,35.62346,138151,R+36,Graves +36,republican,"","",0,0,1604461440767
29111,Lewis,4469,0,6,7,"As a subtotal in the FIRST cumulative report, along with regular precincts",100,4439,>98%,>98% reported,edison,4,all,421,3614,782,73,0,0,0,2020-11-16T15:47:43Z,63.36988,R+63,Graves +63,republican,MO-G-H-6-2020-11-03,mo-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",387809,1606,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,425,450,94% reporting,94%,99,390000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:18:14Z,TRUE,35.62346,138151,R+36,Graves +36,republican,"","",0,0,1604461440767
