fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_hicej,results_johnson_greent,results_absentee_hicej,results_absentee_johnson_greent,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,results_write_ins,results_absentee_write_ins,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
13159,Jasper,7461,5636,3,3,Released as a precinct as first report of the night,100,7461,>98%,>98% reported,edison,10,unknown,5181,5815,1646,4279,1357,2020-11-24T13:26:14Z,55.87723,R+56,Hice +56,republican,,,GA-G-H-10-2020-11-03,ga-house-general-district-010-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-10.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 10,U.S. House,H,solid-rep,10,District 10,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",378506,302620,25,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,201,201,100% reporting,100%,100,378506,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:23:32Z,TRUE,24.61625,93174,R+25,Hice +25,republican,TRUE,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604456222921
13163,Jefferson,7315,5222,8,8,Merged into voters' home precincts and released with cumulative results,100,7315,>98%,>98% reported,edison,10,all,4930,3481,3834,2404,2818,2020-11-24T13:26:15Z,4.8257,D+5,Johnson-Green +5,democrat,,,GA-G-H-10-2020-11-03,ga-house-general-district-010-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-10.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 10,U.S. House,H,solid-rep,10,District 10,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",378506,302620,25,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,201,201,100% reporting,100%,100,378506,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:23:32Z,TRUE,24.61625,93174,R+25,Hice +25,republican,TRUE,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604456222921
13167,Johnson,3906,2954,4,4,Released as a precinct as first report of the night,100,3906,>98%,>98% reported,edison,10,unknown,3190,2801,1105,2048,906,2020-11-24T13:26:15Z,43.42038,R+43,Hice +43,republican,0,0,GA-G-H-10-2020-11-03,ga-house-general-district-010-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-10.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 10,U.S. House,H,solid-rep,10,District 10,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",378506,302620,25,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,201,201,100% reporting,100%,100,378506,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:23:32Z,TRUE,24.61625,93174,R+25,Hice +25,republican,TRUE,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604456222921
13181,Lincoln,4515,3365,7,7,Released as a precinct as first report of the night,100,4515,>98%,>98% reported,edison,10,unknown,4384,3171,1344,2271,1094,2020-11-24T13:26:12Z,40.46512,R+40,Hice +40,republican,0,0,GA-G-H-10-2020-11-03,ga-house-general-district-010-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-10.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 10,U.S. House,H,solid-rep,10,District 10,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",378506,302620,25,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,201,201,100% reporting,100%,100,378506,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:23:32Z,TRUE,24.61625,93174,R+25,Hice +25,republican,TRUE,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604456222921
13189,McDuffie,10229,8809,9,9,Released as a separate subtotal as first report of the night,100,10229,>98%,>98% reported,edison,10,unknown,8941,6243,3986,5412,3397,2020-11-24T13:26:12Z,22.06472,R+22,Hice +22,republican,,,GA-G-H-10-2020-11-03,ga-house-general-district-010-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-10.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 10,U.S. House,H,solid-rep,10,District 10,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",378506,302620,25,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,201,201,100% reporting,100%,100,378506,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:23:32Z,TRUE,24.61625,93174,R+25,Hice +25,republican,TRUE,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604456222921
13211,Morgan,11476,9105,7,7,Merged into voters' home precincts and released with cumulative results,100,11476,>98%,>98% reported,edison,10,all,7670,8415,3061,6508,2597,2020-11-24T13:26:12Z,46.65389,R+47,Hice +47,republican,,,GA-G-H-10-2020-11-03,ga-house-general-district-010-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-10.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 10,U.S. House,H,solid-rep,10,District 10,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",378506,302620,25,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,201,201,100% reporting,100%,100,378506,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:23:32Z,TRUE,24.61625,93174,R+25,Hice +25,republican,TRUE,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604456222921
13217,Newton,12200,6136,8,8,None,100,12200,>98%,>98% reported,edison,10,unknown,40739,9130,3070,3968,2168,2020-11-24T13:26:16Z,49.67213,R+50,Hice +50,republican,,,GA-G-H-10-2020-11-03,ga-house-general-district-010-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-10.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 10,U.S. House,H,solid-rep,10,District 10,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",378506,302620,25,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,201,201,100% reporting,100%,100,378506,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:23:32Z,TRUE,24.61625,93174,R+25,Hice +25,republican,TRUE,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604456222921
13219,Oconee,24835,21386,12,12,Merged into voters' home precincts and released with cumulative results,100,24835,>98%,>98% reported,edison,10,unknown,16322,17644,7191,14832,6554,2020-11-24T13:26:13Z,42.08979,R+42,Hice +42,republican,,,GA-G-H-10-2020-11-03,ga-house-general-district-010-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-10.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 10,U.S. House,H,solid-rep,10,District 10,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",378506,302620,25,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,201,201,100% reporting,100%,100,378506,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:23:32Z,TRUE,24.61625,93174,R+25,Hice +25,republican,TRUE,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604456222921
13221,Oglethorpe,7905,6456,3,3,Merged into voters' home precincts and released with cumulative results,100,7905,>98%,>98% reported,edison,10,some,4622,5587,2318,4533,1923,2020-11-24T13:26:13Z,41.35357,R+41,Hice +41,republican,,,GA-G-H-10-2020-11-03,ga-house-general-district-010-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-10.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 10,U.S. House,H,solid-rep,10,District 10,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",378506,302620,25,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,201,201,100% reporting,100%,100,378506,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:23:32Z,TRUE,24.61625,93174,R+25,Hice +25,republican,TRUE,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604456222921
13237,Putnam,11615,9622,5,5,"As a precinct in the FIRST cumulative report, along with regular precincts",100,11615,>98%,>98% reported,edison,10,some,8776,8393,3222,6835,2787,2020-11-24T13:26:13Z,44.52002,R+45,Hice +45,republican,,,GA-G-H-10-2020-11-03,ga-house-general-district-010-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-10.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 10,U.S. House,H,solid-rep,10,District 10,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",378506,302620,25,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,201,201,100% reporting,100%,100,378506,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:23:32Z,TRUE,24.61625,93174,R+25,Hice +25,republican,TRUE,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604456222921
13265,Taliaferro,861,669,2,2,None,100,861,>98%,>98% reported,edison,10,unknown,946,363,498,261,408,2020-11-24T13:26:14Z,15.67944,D+16,Johnson-Green +16,democrat,0,0,GA-G-H-10-2020-11-03,ga-house-general-district-010-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-10.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 10,U.S. House,H,solid-rep,10,District 10,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",378506,302620,25,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,201,201,100% reporting,100%,100,378506,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:23:32Z,TRUE,24.61625,93174,R+25,Hice +25,republican,TRUE,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604456222921
13297,Walton,50169,38834,21,21,Other,100,50169,>98%,>98% reported,edison,10,unknown,26750,38157,12012,28897,9937,2020-11-24T13:26:11Z,52.11386,R+52,Hice +52,republican,,,GA-G-H-10-2020-11-03,ga-house-general-district-010-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-10.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 10,U.S. House,H,solid-rep,10,District 10,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",378506,302620,25,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,201,201,100% reporting,100%,100,378506,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:23:32Z,TRUE,24.61625,93174,R+25,Hice +25,republican,TRUE,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604456222921
13301,Warren,2544,2092,1,1,Other,100,2544,>98%,>98% reported,edison,10,unknown,1914,1155,1389,977,1115,2020-11-24T13:26:15Z,9.19811,D+9,Johnson-Green +9,democrat,0,0,GA-G-H-10-2020-11-03,ga-house-general-district-010-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-10.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 10,U.S. House,H,solid-rep,10,District 10,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",378506,302620,25,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,201,201,100% reporting,100%,100,378506,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:23:32Z,TRUE,24.61625,93174,R+25,Hice +25,republican,TRUE,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604456222921
13303,Washington,9069,6611,8,8,None,100,9069,>98%,>98% reported,edison,10,unknown,6994,4538,4531,3127,3484,2020-11-24T13:26:15Z,0.07719,R+0.08,Hice +0.08,republican,,,GA-G-H-10-2020-11-03,ga-house-general-district-010-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-10.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 10,U.S. House,H,solid-rep,10,District 10,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",378506,302620,25,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,201,201,100% reporting,100%,100,378506,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:23:32Z,TRUE,24.61625,93174,R+25,Hice +25,republican,TRUE,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604456222921
13317,Wilkes,4851,3664,7,7,None,100,4851,>98%,>98% reported,edison,10,unknown,3725,2837,2014,2122,1542,2020-11-24T13:26:13Z,16.96557,R+17,Hice +17,republican,0,0,GA-G-H-10-2020-11-03,ga-house-general-district-010-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-10.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 10,U.S. House,H,solid-rep,10,District 10,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",378506,302620,25,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,201,201,100% reporting,100%,100,378506,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:23:32Z,TRUE,24.61625,93174,R+25,Hice +25,republican,TRUE,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604456222921
