fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_gravesg,results_williamsd,results_sloans,results_torreganor,results_absentee_gravesg,results_absentee_williamsd,results_absentee_sloans,results_absentee_torreganor,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
22005,Ascension,50618,28144,63,63,Released as a separate subtotal as first report of the night,100,50618,>98%,>98% reported,edison,10,all,14310,39990,8919,1333,376,21482,5914,566,182,2020-11-24T13:24:48Z,61.3833,R+61,Graves +61,republican,LA-G-H-6-2020-11-03,la-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-louisiana.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",373996,183251,13,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,601,601,100% reporting,100%,100,373996,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:22:25Z,TRUE,45.49915,170165,R+45,Graves +45,republican,TRUE,-1,-1,1604458802438
22007,Assumption,6854,1959,18,18,Released as a separate subtotal as first report of the night,100,6854,>98%,>98% reported,edison,10,all,1998,5594,1074,117,69,1376,540,33,10,2020-11-24T13:24:50Z,65.94689,R+66,Graves +66,republican,LA-G-H-6-2020-11-03,la-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-louisiana.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",373996,183251,13,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,601,601,100% reporting,100%,100,373996,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:22:25Z,TRUE,45.49915,170165,R+45,Graves +45,republican,TRUE,-1,-1,1604458802438
22033,East Baton Rouge,165874,83834,259,259,Released as a separate subtotal as first report of the night,100,165874,>98%,>98% reported,edison,10,all,54315,101144,58761,4672,1297,47766,33768,1783,517,2020-11-24T13:24:48Z,25.55132,R+26,Graves +26,republican,LA-G-H-6-2020-11-03,la-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-louisiana.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",373996,183251,13,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,601,601,100% reporting,100%,100,373996,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:22:25Z,TRUE,45.49915,170165,R+45,Graves +45,republican,TRUE,-1,-1,1604458802438
22037,East Feliciana,4809,2411,12,12,Released as a separate subtotal as first report of the night,100,4809,>98%,>98% reported,edison,10,all,3672,3578,1103,92,36,1704,644,46,17,2020-11-24T13:24:49Z,51.466,R+51,Graves +51,republican,LA-G-H-6-2020-11-03,la-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-louisiana.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",373996,183251,13,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,601,601,100% reporting,100%,100,373996,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:22:25Z,TRUE,45.49915,170165,R+45,Graves +45,republican,TRUE,-1,-1,1604458802438
22047,Iberville,5265,1784,14,14,Released as a separate subtotal as first report of the night,100,5265,>98%,>98% reported,edison,10,all,4955,3773,1360,84,48,1336,416,22,10,2020-11-24T13:24:49Z,45.83096,R+46,Graves +46,republican,LA-G-H-6-2020-11-03,la-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-louisiana.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",373996,183251,13,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,601,601,100% reporting,100%,100,373996,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:22:25Z,TRUE,45.49915,170165,R+45,Graves +45,republican,TRUE,-1,-1,1604458802438
22057,Lafourche,23390,10057,41,41,Released as a separate subtotal as first report of the night,100,23390,>98%,>98% reported,edison,10,all,11030,18309,4260,573,248,7719,2067,187,84,2020-11-24T13:24:51Z,60.06413,R+60,Graves +60,republican,LA-G-H-6-2020-11-03,la-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-louisiana.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",373996,183251,13,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,601,601,100% reporting,100%,100,373996,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:22:25Z,TRUE,45.49915,170165,R+45,Graves +45,republican,TRUE,-1,-1,1604458802438
22063,Livingston,62608,29677,79,79,Released as a separate subtotal as first report of the night,100,62608,>98%,>98% reported,edison,10,all,13622,54851,5846,1539,372,25779,3198,553,147,2020-11-24T13:24:49Z,78.27274,R+78,Graves +78,republican,LA-G-H-6-2020-11-03,la-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-louisiana.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",373996,183251,13,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,601,601,100% reporting,100%,100,373996,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:22:25Z,TRUE,45.49915,170165,R+45,Graves +45,republican,TRUE,-1,-1,1604458802438
22077,Pointe Coupee,11214,4504,28,28,Released as a separate subtotal as first report of the night,100,11214,>98%,>98% reported,edison,10,all,3397,7894,3038,189,93,2971,1463,50,20,2020-11-24T13:24:50Z,43.30301,R+43,Graves +43,republican,LA-G-H-6-2020-11-03,la-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-louisiana.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",373996,183251,13,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,601,601,100% reporting,100%,100,373996,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:22:25Z,TRUE,45.49915,170165,R+45,Graves +45,republican,TRUE,-1,-1,1604458802438
22089,St. Charles,9581,5751,15,15,Released as a separate subtotal as first report of the night,100,9581,>98%,>98% reported,edison,10,all,7869,7057,2103,286,135,4141,1421,132,57,2020-11-24T13:24:51Z,51.7065,R+52,Graves +52,republican,LA-G-H-6-2020-11-03,la-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-louisiana.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",373996,183251,13,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,601,601,100% reporting,100%,100,373996,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:22:25Z,TRUE,45.49915,170165,R+45,Graves +45,republican,TRUE,-1,-1,1604458802438
22091,St. Helena,3995,1905,8,8,Released as a separate subtotal as first report of the night,100,3995,>98%,>98% reported,edison,10,all,2034,1822,2022,103,48,765,1103,26,11,2020-11-24T13:24:50Z,5.00626,D+5,Williams +5,democrat,LA-G-H-6-2020-11-03,la-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-louisiana.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",373996,183251,13,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,601,601,100% reporting,100%,100,373996,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:22:25Z,TRUE,45.49915,170165,R+45,Graves +45,republican,TRUE,-1,-1,1604458802438
