fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_velaf,results_gonzalezr,results_cristoa,results_royalc,results_absentee_velaf,results_absentee_gonzalezr,results_absentee_cristoa,results_absentee_royalc,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
48025,Bee,8980,7214,15,18,Released as a precinct as first report of the night,82,10913,82%,82% reported,edison,2,some,7301,3259,5462,131,128,2711,4317,88,98,2020-11-27T13:52:35Z,24.53229,R+25,Gonzalez +25,republican,TX-G-H-34-2020-11-03,tx-house-general-district-034-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-34.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 34,U.S. House,H,solid-dem,34,District 34,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",201095,165028,11,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,228,256,89% reporting,89%,91,222000,edison,91%,91% reported,edison,democrat,FALSE,2020-11-24T13:25:24Z,TRUE,13.58313,27315,D+14,Vela +14,democrat,FALSE,"","",1,0,1604461378381
48061,Cameron,111855,94013,98,104,Released as a precinct as first report of the night,94,118592,94%,94% reported,edison,4,some,71585,68852,39961,1847,1195,58200,33452,1430,931,2020-11-27T14:10:10Z,25.82898,D+26,Vela +26,democrat,TX-G-H-34-2020-11-03,tx-house-general-district-034-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-34.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 34,U.S. House,H,solid-dem,34,District 34,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",201095,165028,11,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,228,256,89% reporting,89%,91,222000,edison,91%,91% reported,edison,democrat,FALSE,2020-11-24T13:25:24Z,TRUE,13.58313,27315,D+14,Vela +14,democrat,FALSE,"","",1,0,1604461378381
48123,De Witt,7781,5987,9,10,Released as a precinct as first report of the night,88,8815,88%,88% reported,edison,2,unknown,5965,1335,6300,70,76,1085,4796,51,55,2020-11-24T13:26:15Z,63.80928,R+64,Gonzalez +64,republican,TX-G-H-34-2020-11-03,tx-house-general-district-034-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-34.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 34,U.S. House,H,solid-dem,34,District 34,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",201095,165028,11,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,228,256,89% reporting,89%,91,222000,edison,91%,91% reported,edison,democrat,FALSE,2020-11-24T13:25:24Z,TRUE,13.58313,27315,D+14,Vela +14,democrat,FALSE,"","",1,0,1604461378381
48175,Goliad,3875,2822,8,10,Released as a precinct as first report of the night,81,4778,81%,81% reported,edison,2,unknown,3358,850,2938,37,50,662,2107,22,31,2020-11-24T13:26:16Z,53.88387,R+54,Gonzalez +54,republican,TX-G-H-34-2020-11-03,tx-house-general-district-034-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-34.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 34,U.S. House,H,solid-dem,34,District 34,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",201095,165028,11,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,228,256,89% reporting,89%,91,222000,edison,91%,91% reported,edison,democrat,FALSE,2020-11-24T13:25:24Z,TRUE,13.58313,27315,D+14,Vela +14,democrat,FALSE,"","",1,0,1604461378381
48177,Gonzales,2158,1607,5,5,Released as a precinct as first report of the night,92,2347,92%,92% reported,edison,2,unknown,5788,404,1704,27,23,307,1268,15,17,2020-11-24T13:26:16Z,60.24096,R+60,Gonzalez +60,republican,TX-G-H-34-2020-11-03,tx-house-general-district-034-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-34.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 34,U.S. House,H,solid-dem,34,District 34,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",201095,165028,11,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,228,256,89% reporting,89%,91,222000,edison,91%,91% reported,edison,democrat,FALSE,2020-11-24T13:25:24Z,TRUE,13.58313,27315,D+14,Vela +14,democrat,FALSE,"","",1,0,1604461378381
48215,Hidalgo,29761,25476,34,38,Released as a precinct as first report of the night,89,33305,89%,89% reported,edison,2,some,168180,18311,10443,640,367,16014,8694,474,294,2020-11-24T13:26:21Z,26.43728,D+26,Vela +26,democrat,TX-G-H-34-2020-11-03,tx-house-general-district-034-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-34.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 34,U.S. House,H,solid-dem,34,District 34,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",201095,165028,11,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,228,256,89% reporting,89%,91,222000,edison,91%,91% reported,edison,democrat,FALSE,2020-11-24T13:25:24Z,TRUE,13.58313,27315,D+14,Vela +14,democrat,FALSE,"","",1,0,1604461378381
48249,Jim Wells,13280,9693,18,22,Released as a precinct as first report of the night,83,15950,83%,83% reported,edison,2,unknown,4321,6301,6684,159,136,4721,4787,90,95,2020-11-24T13:26:22Z,2.88404,R+3,Gonzalez +3,republican,TX-G-H-34-2020-11-03,tx-house-general-district-034-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-34.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 34,U.S. House,H,solid-dem,34,District 34,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",201095,165028,11,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,228,256,89% reporting,89%,91,222000,edison,91%,91% reported,edison,democrat,FALSE,2020-11-24T13:25:24Z,TRUE,13.58313,27315,D+14,Vela +14,democrat,FALSE,"","",1,0,1604461378381
48261,Kenedy,168,114,4,6,Released as a precinct as first report of the night,70,240,70%,70% reported,edison,2,unknown,104,89,75,2,2,59,52,2,1,2020-11-24T13:26:18Z,8.33333,D+8,Vela +8,democrat,TX-G-H-34-2020-11-03,tx-house-general-district-034-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-34.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 34,U.S. House,H,solid-dem,34,District 34,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",201095,165028,11,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,228,256,89% reporting,89%,91,222000,edison,91%,91% reported,edison,democrat,FALSE,2020-11-24T13:25:24Z,TRUE,13.58313,27315,D+14,Vela +14,democrat,FALSE,"","",1,0,1604461378381
48273,Kleberg,10716,8659,16,18,Released as a precinct as first report of the night,88,12241,88%,88% reported,edison,2,unknown,8039,5307,5149,150,110,4434,4043,102,80,2020-11-27T14:36:16Z,1.47443,D+1.5,Vela +1.5,democrat,TX-G-H-34-2020-11-03,tx-house-general-district-034-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-34.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 34,U.S. House,H,solid-dem,34,District 34,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",201095,165028,11,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,228,256,89% reporting,89%,91,222000,edison,91%,91% reported,edison,democrat,FALSE,2020-11-24T13:25:24Z,TRUE,13.58313,27315,D+14,Vela +14,democrat,FALSE,"","",1,0,1604461378381
48409,San Patricio,7245,6053,7,8,Released as a precinct as first report of the night,100,7236,>98%,>98% reported,edison,6,all,19161,3398,3664,90,93,2907,3003,67,76,2020-11-24T13:26:22Z,3.6715,R+4,Gonzalez +4,republican,TX-G-H-34-2020-11-03,tx-house-general-district-034-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-34.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 34,U.S. House,H,solid-dem,34,District 34,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",201095,165028,11,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,228,256,89% reporting,89%,91,222000,edison,91%,91% reported,edison,democrat,FALSE,2020-11-24T13:25:24Z,TRUE,13.58313,27315,D+14,Vela +14,democrat,FALSE,"","",1,0,1604461378381
