fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_stauberp,results_nystromq,results_schwartzbackerj,results_absentee_stauberp,results_absentee_nystromq,results_absentee_schwartzbackerj,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
27001,Aitkin,9747,0,54,54,Merged into voters' home precincts and released with cumulative results,100,9747,>98%,>98% reported,edison,10,all,2973,6063,3227,457,0,0,0,2020-11-26T18:21:27Z,29.09613,R+29,Stauber +29,republican,MN-G-H-8-2020-11-03,mn-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-minnesota.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MN,minnesota,Minnesota,Minn.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",393475,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,799,799,100% reporting,100%,100,393475,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-27T04:57:15Z,TRUE,19.20808,75579,R+19,Stauber +19,republican,TRUE,7,0,1604468955848
27007,Beltrami,8992,0,24,24,Merged into voters' home precincts and released with cumulative results,100,8992,>98%,>98% reported,edison,10,unknown,4845,5523,3004,465,0,0,0,2020-11-26T18:23:19Z,28.01379,R+28,Stauber +28,republican,MN-G-H-8-2020-11-03,mn-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-minnesota.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MN,minnesota,Minnesota,Minn.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",393475,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,799,799,100% reporting,100%,100,393475,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-27T04:57:15Z,TRUE,19.20808,75579,R+19,Stauber +19,republican,TRUE,7,0,1604468955848
27017,Carlton,20198,0,38,38,Merged into voters' home precincts and released with cumulative results,100,20198,>98%,>98% reported,edison,10,all,3884,10243,8935,1020,0,0,0,2020-11-27T04:30:41Z,6.47589,R+6,Stauber +6,republican,MN-G-H-8-2020-11-03,mn-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-minnesota.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MN,minnesota,Minnesota,Minn.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",393475,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,799,799,100% reporting,100%,100,393475,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-27T04:57:15Z,TRUE,19.20808,75579,R+19,Stauber +19,republican,TRUE,7,0,1604468955848
27021,Cass,17994,0,73,73,Merged into voters' home precincts and released with cumulative results,100,17994,>98%,>98% reported,edison,10,all,4911,11202,5702,1090,0,0,0,2020-11-27T03:02:11Z,30.56574,R+31,Stauber +31,republican,MN-G-H-8-2020-11-03,mn-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-minnesota.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MN,minnesota,Minnesota,Minn.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",393475,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,799,799,100% reporting,100%,100,393475,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-27T04:57:15Z,TRUE,19.20808,75579,R+19,Stauber +19,republican,TRUE,7,0,1604468955848
27025,Chisago,33317,0,23,23,Merged into voters' home precincts and released with cumulative results,100,33317,>98%,>98% reported,edison,10,all,5696,20591,10343,2383,0,0,0,2020-11-27T03:04:07Z,30.75907,R+31,Stauber +31,republican,MN-G-H-8-2020-11-03,mn-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-minnesota.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MN,minnesota,Minnesota,Minn.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",393475,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,799,799,100% reporting,100%,100,393475,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-27T04:57:15Z,TRUE,19.20808,75579,R+19,Stauber +19,republican,TRUE,7,0,1604468955848
27031,Cook,3769,0,13,13,Merged into voters' home precincts and released with cumulative results,100,3769,>98%,>98% reported,edison,10,all,1133,1299,2277,193,0,0,0,2020-11-27T03:06:51Z,25.94853,D+26,Nystrom +26,democrat,MN-G-H-8-2020-11-03,mn-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-minnesota.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MN,minnesota,Minnesota,Minn.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",393475,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,799,799,100% reporting,100%,100,393475,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-27T04:57:15Z,TRUE,19.20808,75579,R+19,Stauber +19,republican,TRUE,7,0,1604468955848
27035,Crow Wing,39415,0,62,62,Merged into voters' home precincts and released with cumulative results,100,39415,>98%,>98% reported,edison,10,all,10353,24546,12993,1876,0,0,0,2020-11-27T03:08:49Z,29.31118,R+29,Stauber +29,republican,MN-G-H-8-2020-11-03,mn-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-minnesota.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MN,minnesota,Minnesota,Minn.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",393475,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,799,799,100% reporting,100%,100,393475,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-27T04:57:15Z,TRUE,19.20808,75579,R+19,Stauber +19,republican,TRUE,7,0,1604468955848
27057,Hubbard,12741,0,38,38,Merged into voters' home precincts and released with cumulative results,100,12741,>98%,>98% reported,edison,10,all,3437,8064,3977,700,0,0,0,2020-11-27T03:18:42Z,32.07754,R+32,Stauber +32,republican,MN-G-H-8-2020-11-03,mn-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-minnesota.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MN,minnesota,Minnesota,Minn.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",393475,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,799,799,100% reporting,100%,100,393475,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-27T04:57:15Z,TRUE,19.20808,75579,R+19,Stauber +19,republican,TRUE,7,0,1604468955848
27059,Isanti,23512,0,19,19,Merged into voters' home precincts and released with cumulative results,100,23512,>98%,>98% reported,edison,10,all,3609,15216,6402,1894,0,0,0,2020-11-27T03:19:46Z,37.48724,R+37,Stauber +37,republican,MN-G-H-8-2020-11-03,mn-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-minnesota.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MN,minnesota,Minnesota,Minn.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",393475,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,799,799,100% reporting,100%,100,393475,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-27T04:57:15Z,TRUE,19.20808,75579,R+19,Stauber +19,republican,TRUE,7,0,1604468955848
27061,Itasca,26201,0,76,76,Merged into voters' home precincts and released with cumulative results,100,26201,>98%,>98% reported,edison,10,all,5760,15402,9544,1255,0,0,0,2020-11-27T03:20:27Z,22.35793,R+22,Stauber +22,republican,MN-G-H-8-2020-11-03,mn-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-minnesota.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MN,minnesota,Minnesota,Minn.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",393475,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,799,799,100% reporting,100%,100,393475,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-27T04:57:15Z,TRUE,19.20808,75579,R+19,Stauber +19,republican,TRUE,7,0,1604468955848
