fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_smitht,results_lewisj,results_oconnork,results_steinbergo,results_absentee_smitht,results_absentee_lewisj,results_absentee_oconnork,results_absentee_steinbergo,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
27079,Le Sueur,16492,0,25,26,Merged into voters' home precincts and released with cumulative results,100,16486,>98%,>98% reported,edison,2,unknown,,2535,,,5401,9825,969,297,0,0,0,0,2020-11-11T03:25:23Z,26.82513,R+27,Lewis +27,republican,minnesota,2020-11-11T12:20:02.315675Z
27081,Lincoln,3079,0,18,20,Merged into voters' home precincts and released with cumulative results,92,3343,92%,92% reported,edison,4,some,,612,,,911,1936,183,49,0,0,0,0,2020-11-11T03:25:24Z,33.29003,R+33,Lewis +33,republican,minnesota,2020-11-11T12:20:02.315675Z
27083,Lyon,12724,0,30,33,Merged into voters' home precincts and released with cumulative results,99,12877,>98%,>98% reported,edison,6,all,,2415,,,4461,7401,667,195,0,0,0,0,2020-11-11T03:25:25Z,23.10594,R+23,Lewis +23,republican,minnesota,2020-11-11T12:20:02.315675Z
27087,Mahnomen,2264,0,18,19,Merged into voters' home precincts and released with cumulative results,98,2302,98%,98% reported,edison,6,unknown,,452,,,1039,1007,170,48,0,0,0,0,2020-11-11T03:25:17Z,1.41343,D+1.4,Smith +1.4,democrat,minnesota,2020-11-11T12:20:02.315675Z
27089,Marshall,5005,0,54,60,Merged into voters' home precincts and released with cumulative results,97,5171,97%,97% reported,edison,2,unknown,,869,,,1490,3255,198,62,0,0,0,0,2020-11-11T03:25:18Z,35.26474,R+35,Lewis +35,republican,minnesota,2020-11-11T12:20:02.315675Z
27091,Martin,10868,5202,33,37,Merged into voters' home precincts and released with cumulative results,100,10844,>98%,>98% reported,edison,4,unknown,,2561,,,3348,6707,613,200,2156,2786,191,69,2020-11-11T03:25:19Z,30.90725,R+31,Lewis +31,republican,minnesota,2020-11-11T12:20:02.315675Z
27085,McLeod,20604,0,26,28,Merged into voters' home precincts and released with cumulative results,100,18664,>98%,>98% reported,edison,2,unknown,,3348,,,6114,12875,1222,393,0,0,0,0,2020-11-11T03:25:26Z,32.81402,R+33,Lewis +33,republican,minnesota,2020-11-11T12:20:02.315675Z
27093,Meeker,13347,0,28,30,Merged into voters' home precincts and released with cumulative results,100,12189,>98%,>98% reported,edison,2,some,,2115,,,3888,8575,663,221,0,0,0,0,2020-11-11T03:25:20Z,35.11651,R+35,Lewis +35,republican,minnesota,2020-11-11T12:20:02.315675Z
27095,Mille Lacs,14328,0,24,25,Merged into voters' home precincts and released with cumulative results,100,462,>98%,>98% reported,edison,6,none,,2361,,,4120,8849,1025,334,0,0,0,0,2020-11-11T03:25:21Z,33.0053,R+33,Lewis +33,republican,minnesota,2020-11-11T12:20:02.315675Z
27097,Morrison,19136,0,45,48,Merged into voters' home precincts and released with cumulative results,100,17480,>98%,>98% reported,edison,2,unknown,,3279,,,4452,13365,1012,307,0,0,0,0,2020-11-11T03:25:22Z,46.57713,R+47,Lewis +47,republican,minnesota,2020-11-11T12:20:02.315675Z
27099,Mower,18852,0,36,40,Merged into voters' home precincts and released with cumulative results,93,20341,93%,93% reported,edison,2,unknown,,3704,,,8472,8616,1380,384,0,0,0,0,2020-11-11T03:25:12Z,0.76384,R+0.76,Lewis +0.76,republican,minnesota,2020-11-11T12:20:02.315675Z
27101,Murray,4801,0,26,29,Merged into voters' home precincts and released with cumulative results,94,5103,94%,94% reported,edison,2,unknown,,1152,,,1448,3081,220,52,0,0,0,0,2020-11-11T03:25:13Z,34.01375,R+34,Lewis +34,republican,minnesota,2020-11-11T12:20:02.315675Z
27103,Nicollet,18863,0,25,28,Merged into voters' home precincts and released with cumulative results,89,21211,89%,89% reported,edison,4,some,,3144,,,8992,8397,1062,412,0,0,0,0,2020-11-11T03:25:14Z,3.15432,D+3,Smith +3,democrat,minnesota,2020-11-11T12:20:02.315675Z
