fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_sullivand,results_grossa,results_howej,results_write_ins,results_absentee_sullivand,results_absentee_grossa,results_absentee_howej,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
02901,ED 1,6711,3415,8,9,Released as a separate subtotal as first report of the night,88,7634,88%,88% reported,edison,2,unknown,,4000,,,3265,3094,352,0,1329,1935,151,0,2020-11-11T03:26:11Z,2.54806,R+3,Sullivan +3,republican,alaska,2020-11-11T12:19:27.812969Z
02910,ED 10,9880,4765,10,11,Released as a separate subtotal as first report of the night,95,10396,95%,95% reported,edison,2,unknown,,4000,,,6862,2495,523,0,2906,1679,180,0,2020-11-11T03:26:09Z,44.2004,R+44,Sullivan +44,republican,alaska,2020-11-11T12:19:27.812969Z
02911,ED 11,8306,3982,7,9,Released as a separate subtotal as first report of the night,75,11142,75%,75% reported,edison,2,unknown,,4000,,,5786,2157,363,0,2481,1358,143,0,2020-11-11T03:26:09Z,43.69131,R+44,Sullivan +44,republican,alaska,2020-11-11T12:19:27.812969Z
02912,ED 12,10121,4901,6,7,Released as a separate subtotal as first report of the night,92,10974,92%,92% reported,edison,2,unknown,,4000,,,7168,2580,373,0,2940,1813,148,0,2020-11-11T03:26:10Z,45.33149,R+45,Sullivan +45,republican,alaska,2020-11-11T12:19:27.812969Z
02913,ED 13,3229,281,3,6,Released as a separate subtotal as first report of the night,43,7513,43%,43% reported,edison,2,unknown,,4000,,,2322,731,176,0,150,125,6,0,2020-11-11T03:26:03Z,49.27222,R+49,Sullivan +49,republican,alaska,2020-11-11T12:19:27.812969Z
02914,ED 14,4497,422,3,7,Released as a separate subtotal as first report of the night,38,11983,38%,38% reported,edison,2,unknown,,4000,,,3287,1018,192,0,236,185,1,0,2020-11-11T03:26:04Z,50.45586,R+50,Sullivan +50,republican,alaska,2020-11-11T12:19:27.812969Z
02915,ED 15,4387,2379,4,5,Released as a separate subtotal as first report of the night,77,5729,77%,77% reported,edison,2,unknown,,4000,,,2181,1966,240,0,1033,1235,111,0,2020-11-11T03:26:04Z,4.90084,R+5,Sullivan +5,republican,alaska,2020-11-11T12:19:27.812969Z
02916,ED 16,6871,3682,6,7,Released as a separate subtotal as first report of the night,80,8551,80%,80% reported,edison,2,unknown,,4000,,,3045,3505,321,0,1180,2371,131,0,2020-11-11T03:26:05Z,6.6948,D+7,Gross +7,democrat,alaska,2020-11-11T12:19:27.812969Z
02917,ED 17,3344,957,3,7,Released as a separate subtotal as first report of the night,43,7806,43%,43% reported,edison,2,unknown,,4000,,,1634,1545,165,0,331,604,22,0,2020-11-11T03:26:06Z,2.66148,R+3,Sullivan +3,republican,alaska,2020-11-11T12:19:27.812969Z
02918,ED 18,3800,1534,4,10,Released as a separate subtotal as first report of the night,45,8512,45%,45% reported,edison,2,unknown,,4000,,,1711,1926,163,0,551,937,46,0,2020-11-11T03:26:06Z,5.65789,D+6,Gross +6,democrat,alaska,2020-11-11T12:19:27.812969Z
02919,ED 19,3119,973,3,6,Released as a separate subtotal as first report of the night,57,5511,57%,57% reported,edison,2,unknown,,4000,,,1280,1637,202,0,247,693,33,0,2020-11-11T03:25:59Z,11.44598,D+11,Gross +11,democrat,alaska,2020-11-11T12:19:27.812969Z
02902,ED 2,5273,2503,3,4,Released as a separate subtotal as first report of the night,83,6316,83%,83% reported,edison,2,unknown,,4000,,,3170,1773,330,0,1246,1144,113,0,2020-11-11T03:26:11Z,26.49346,R+26,Sullivan +26,republican,alaska,2020-11-11T12:19:27.812969Z
02920,ED 20,6238,4244,7,9,Released as a separate subtotal as first report of the night,76,8211,76%,76% reported,edison,2,unknown,,4000,,,2056,4006,176,0,1100,3062,82,0,2020-11-11T03:26:00Z,31.26002,D+31,Gross +31,democrat,alaska,2020-11-11T12:19:27.812969Z
