fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_grahaml,results_harrisonj,results_bledsoeb,results_absentee_grahaml,results_absentee_harrisonj,results_absentee_bledsoeb,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
45063,Lexington,144549,58324,95,96,Merged into voters' home precincts and released with cumulative results,99,146512,>98%,>98% reported,edison,2,unknown,,29053,,,91944,50256,2349,31321,26383,620,2020-11-11T03:25:47Z,28.84005,R+29,Graham +29,republican,south-carolina,2020-11-11T12:20:29.135574Z
45067,Marion,14717,8794,13,15,Released as a separate subtotal as first report of the night,97,15222,97%,97% reported,edison,4,all,,4710,,,5562,9034,121,2706,6031,57,2020-11-11T03:25:49Z,23.59176,D+24,Harrison +24,democrat,south-carolina,2020-11-11T12:20:29.135574Z
45069,Marlboro,11448,7742,10,11,Merged into voters' home precincts AFTER election night,100,10553,>98%,>98% reported,edison,2,unknown,,7086,,,4775,6504,169,2714,4957,71,2020-11-11T03:25:50Z,15.10307,D+15,Harrison +15,democrat,south-carolina,2020-11-11T12:20:29.135574Z
45065,McCormick,5720,3853,16,17,Released as a separate subtotal at the end of tabulation,100,5718,>98%,>98% reported,edison,6,all,,3494,,,2933,2746,41,1759,2067,27,2020-11-11T03:25:48Z,3.26923,R+3,Graham +3,republican,south-carolina,2020-11-11T12:20:29.135574Z
45071,Newberry,18610,9262,28,30,Released as a precinct as first report of the night,100,18143,>98%,>98% reported,edison,4,some,,3907,,,11239,7094,277,5007,4149,106,2020-11-11T03:25:51Z,22.27297,R+22,Graham +22,republican,south-carolina,2020-11-11T12:20:29.135574Z
45073,Oconee,40663,19699,31,31,Released as a precinct as first report of the night,100,40800,>98%,>98% reported,edison,4,all,,11104,,,29454,10576,633,12823,6678,198,2020-11-11T03:25:52Z,46.4255,R+46,Graham +46,republican,south-carolina,2020-11-11T12:20:29.135574Z
45075,Orangeburg,41240,25676,47,53,"As a precinct in the FIRST cumulative report, along with regular precincts",94,43720,94%,94% reported,edison,2,all,,17131,,,13221,27720,299,6386,19188,102,2020-11-11T03:25:53Z,35.15761,D+35,Harrison +35,democrat,south-carolina,2020-11-11T12:20:29.135574Z
45077,Pickens,57471,24450,60,61,Released as a precinct as first report of the night,97,59500,97%,97% reported,edison,4,all,,7925,,,42505,14066,900,15829,8360,261,2020-11-11T03:25:54Z,49.48409,R+49,Graham +49,republican,south-carolina,2020-11-11T12:20:29.135574Z
45079,Richland,194045,0,143,149,Released as a separate subtotal as first report of the night,96,202466,96%,96% reported,edison,2,all,,56221,,,58894,133642,1509,0,0,0,2020-11-11T03:25:54Z,38.52096,D+39,Harrison +39,democrat,south-carolina,2020-11-11T12:20:29.135574Z
45081,Saluda,9279,3900,16,18,Released as a separate subtotal as first report of the night,100,9233,>98%,>98% reported,edison,6,unknown,,1664,,,6107,3023,149,2147,1710,43,2020-11-11T03:25:55Z,33.23634,R+33,Graham +33,republican,south-carolina,2020-11-11T12:20:29.135574Z
45083,Spartanburg,148454,63806,98,98,Released as a precinct as first report of the night,100,147309,>98%,>98% reported,edison,6,all,,30728,,,91594,54475,2385,32007,31145,654,2020-11-11T03:25:56Z,25.0037,R+25,Graham +25,republican,south-carolina,2020-11-11T12:20:29.135574Z
45085,Sumter,48919,31845,54,58,Released as a precinct in the middle of the night,100,48788,>98%,>98% reported,edison,6,all,,24925,,,20524,27791,604,11660,19899,286,2020-11-11T03:25:57Z,14.85517,D+15,Harrison +15,democrat,south-carolina,2020-11-11T12:20:29.135574Z
45087,Union,13222,5613,21,23,Released as a precinct as first report of the night,100,13255,>98%,>98% reported,edison,6,all,,2534,,,7868,5105,249,2957,2591,65,2020-11-11T03:25:58Z,20.89699,R+21,Graham +21,republican,south-carolina,2020-11-11T12:20:29.135574Z
45089,Williamsburg,16009,9411,25,28,None,100,15993,>98%,>98% reported,edison,6,all,,5763,,,5409,10493,107,2304,7067,40,2020-11-11T03:25:58Z,31.75714,D+32,Harrison +32,democrat,south-carolina,2020-11-11T12:20:29.135574Z
45091,York,143882,69658,96,96,None,100,137228,>98%,>98% reported,edison,2,unknown,,33674,,,80912,60738,2232,32010,37042,606,2020-11-11T03:25:59Z,14.02121,R+14,Graham +14,republican,south-carolina,2020-11-11T12:20:29.135574Z
