fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_stevensh,results_esshakie,results_schwartzl,results_absentee_stevensh,results_absentee_esshakie,results_absentee_schwartzl,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
26125,Oakland,284779,187609,186,191,Merged into voters' home precincts and released with cumulative results,97,292666,97%,97% reported,edison,4,some,185030,137288,141859,5632,108264,76437,2908,2020-11-11T03:25:34Z,1.6051,R+1.6,Esshaki +1.6,republican,MI-G-H-11-2020-11-03,mi-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-michigan-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-michigan.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-michigan.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-michigan.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,lean-dem,11,District 11,MI,michigan,Michigan,Mich.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",450372,192042,2,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,368,381,97% reporting,97%,97,466000,edison,97%,97% reported,edison,democrat,FALSE,2020-11-11T03:26:09Z,TRUE,2.37892,10714,D+2,Stevens +2,democrat,"","",0,-1,1604592638598
26163,Wayne,165593,4433,182,190,Released separately AFTER election night,96,172536,96%,96% reported,edison,4,unknown,172169,88788,73503,3302,2876,1487,70,2020-11-11T03:25:35Z,9.23046,D+9,Stevens +9,democrat,MI-G-H-11-2020-11-03,mi-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-michigan-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-michigan.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-michigan.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-michigan.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,lean-dem,11,District 11,MI,michigan,Michigan,Mich.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",450372,192042,2,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,368,381,97% reporting,97%,97,466000,edison,97%,97% reported,edison,democrat,FALSE,2020-11-11T03:26:09Z,TRUE,2.37892,10714,D+2,Stevens +2,democrat,"","",0,-1,1604592638598
