fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_cottont,results_harringtonr,results_absentee_cottont,results_absentee_harringtonr,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
05001,Arkansas,6068,5333,26,30,Released as a precinct as first report of the night,91,6697,91%,91% reported,edison,2,unknown,,6286,,,4567,1501,4017,1316,2020-11-24T13:24:02Z,50.52736,R+51,Cotton +51,republican,arkansas,2020-11-27T00:48:57.265024Z
05003,Ashley,7750,7739,26,30,Released as a separate subtotal as first report of the night,98,7911,98%,98% reported,edison,6,unknown,,5934,,,5801,1949,5793,1946,2020-11-24T13:24:02Z,49.70323,R+50,Cotton +50,republican,arkansas,2020-11-27T00:48:57.265024Z
05005,Baxter,20386,17331,40,43,Merged into voters' home precincts and released with cumulative results,92,22138,92%,92% reported,edison,4,some,,16848,,,16094,4292,13584,3747,2020-11-24T13:24:02Z,57.89267,R+58,Cotton +58,republican,arkansas,2020-11-27T00:48:57.265024Z
05007,Benton,117485,100574,117,117,Released as a separate subtotal as first report of the night,100,117000,>98%,>98% reported,edison,4,some,,64995,,,76068,41417,64334,36240,2020-11-24T13:21:53Z,29.49398,R+29,Cotton +29,republican,arkansas,2020-11-27T00:48:57.265024Z
05009,Boone,16807,12536,28,30,Released as a separate subtotal as first report of the night,98,17103,98%,98% reported,edison,6,all,,15309,,,13753,3054,10042,2494,2020-11-24T13:21:54Z,63.658,R+64,Cotton +64,republican,arkansas,2020-11-27T00:48:57.265024Z
05011,Bradley,3563,2471,12,14,Released as a precinct as first report of the night,95,3767,95%,95% reported,edison,2,unknown,,2557,,,2485,1078,1657,814,2020-11-24T13:21:55Z,39.48919,R+39,Cotton +39,republican,arkansas,2020-11-27T00:48:57.265024Z
05013,Calhoun,2142,1378,17,20,Released as a precinct as first report of the night,92,2340,92%,92% reported,edison,2,unknown,,1190,,,1714,428,1081,297,2020-11-24T13:21:58Z,60.03735,R+60,Cotton +60,republican,arkansas,2020-11-27T00:48:57.265024Z
05015,Carroll,11592,9135,13,13,Other,100,11095,>98%,>98% reported,edison,4,all,,6619,,,7676,3916,5727,3408,2020-11-24T13:22:01Z,32.43616,R+32,Cotton +32,republican,arkansas,2020-11-27T00:48:57.265024Z
05017,Chicot,3654,2582,10,13,Released as a precinct as first report of the night,75,4884,75%,75% reported,edison,2,unknown,,2805,,,1945,1709,1491,1091,2020-11-24T13:22:02Z,6.45868,R+6,Cotton +6,republican,arkansas,2020-11-27T00:48:57.265024Z
05019,Clark,8067,6245,27,27,Merged into voters' home precincts and released with cumulative results,97,8358,97%,97% reported,edison,6,unknown,,6814,,,5089,2978,3721,2524,2020-11-24T13:22:03Z,26.16834,R+26,Cotton +26,republican,arkansas,2020-11-27T00:48:57.265024Z
05021,Clay,5099,1375,15,17,Other,95,5363,95%,95% reported,edison,2,unknown,,3371,,,4196,903,1108,267,2020-11-24T13:22:04Z,64.58129,R+65,Cotton +65,republican,arkansas,2020-11-27T00:48:57.265024Z
05023,Cleburne,12568,8381,32,34,Other,100,12617,>98%,>98% reported,edison,6,some,,7784,,,10602,1966,6877,1504,2020-11-24T13:22:08Z,68.71419,R+69,Cotton +69,republican,arkansas,2020-11-27T00:48:57.265024Z
05025,Cleveland,3557,2134,16,17,"As a subtotal in the FIRST cumulative report, along with regular precincts",100,3459,>98%,>98% reported,edison,2,unknown,,1656,,,2987,570,1734,400,2020-11-24T13:22:10Z,67.95052,R+68,Cotton +68,republican,arkansas,2020-11-27T00:48:57.265024Z
05027,Columbia,8091,6879,11,14,"As a precinct in the FIRST cumulative report, along with regular precincts",95,8550,95%,95% reported,edison,6,all,,9640,,,5776,2315,4942,1937,2020-11-24T13:22:12Z,42.77592,R+43,Cotton +43,republican,arkansas,2020-11-27T00:48:57.265024Z
05029,Conway,8542,5837,30,31,Released as a precinct as first report of the night,99,8641,>98%,>98% reported,edison,6,all,,5139,,,5936,2606,3800,2037,2020-11-24T13:22:14Z,38.98384,R+39,Cotton +39,republican,arkansas,2020-11-27T00:48:57.265024Z
05031,Craighead,37930,28063,50,53,Released as a precinct as first report of the night,99,38364,>98%,>98% reported,edison,6,all,,28910,,,26342,11588,19007,9056,2020-11-24T13:22:15Z,38.89797,R+39,Cotton +39,republican,arkansas,2020-11-27T00:48:57.265024Z
05033,Crawford,24041,18740,41,43,Released as a precinct as first report of the night,96,25144,96%,96% reported,edison,4,some,,10542,,,18825,5216,14511,4229,2020-11-24T13:22:16Z,56.60746,R+57,Cotton +57,republican,arkansas,2020-11-27T00:48:57.265024Z
05035,Crittenden,15110,12375,19,22,Released as a precinct as first report of the night,81,18722,81%,81% reported,edison,2,unknown,,16062,,,7969,7141,6668,5707,2020-11-24T13:22:18Z,5.47981,R+5,Cotton +5,republican,arkansas,2020-11-27T00:48:57.265024Z
05037,Cross,6761,5405,18,21,Released as a precinct as first report of the night,95,7090,95%,95% reported,edison,2,unknown,,6533,,,5085,1676,4045,1360,2020-11-24T13:22:22Z,50.42154,R+50,Cotton +50,republican,arkansas,2020-11-27T00:48:57.265024Z
05039,Dallas,2540,1618,7,9,Released as a precinct as first report of the night,74,3454,74%,74% reported,edison,2,unknown,,2288,,,1730,810,1023,595,2020-11-24T13:22:23Z,36.22047,R+36,Cotton +36,republican,arkansas,2020-11-27T00:48:57.265024Z
05041,Desha,4003,3053,18,21,Released as a precinct as first report of the night,81,4950,81%,81% reported,edison,2,unknown,,1597,,,2299,1704,1755,1298,2020-11-24T13:22:24Z,14.86385,R+15,Cotton +15,republican,arkansas,2020-11-27T00:48:57.265024Z
05043,Drew,6711,5275,17,19,Released as a precinct as first report of the night,98,6841,98%,98% reported,edison,2,some,,5899,,,4567,2144,3551,1724,2020-11-24T13:22:27Z,36.1049,R+36,Cotton +36,republican,arkansas,2020-11-27T00:48:57.265024Z
05045,Faulkner,53470,45979,51,51,Released as a precinct as first report of the night,99,54000,>98%,>98% reported,edison,4,all,,39644,,,35278,18192,30028,15951,2020-11-24T13:22:31Z,31.95437,R+32,Cotton +32,republican,arkansas,2020-11-27T00:48:57.265024Z
05047,Franklin,7059,5426,36,39,Merged into voters' home precincts and released with cumulative results,100,6982,>98%,>98% reported,edison,2,unknown,,4789,,,5645,1414,4300,1126,2020-11-24T13:22:33Z,59.93767,R+60,Cotton +60,republican,arkansas,2020-11-27T00:48:57.265024Z
05049,Fulton,4982,3451,9,10,Released as a precinct in the middle of the night,98,5098,98%,98% reported,edison,6,all,,3222,,,4030,952,2710,741,2020-11-24T13:22:35Z,61.78242,R+62,Cotton +62,republican,arkansas,2020-11-27T00:48:57.265024Z
