fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_tubervillet,results_jonesd,results_write_ins,results_absentee_tubervillet,results_absentee_jonesd,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
01001,Autauga,27578,0,19,19,Released as a precinct as first report of the night,99,27770,>98%,>98% reported,edison,10,unknown,,1896,,,19320,8215,43,0,0,0,2020-11-24T13:23:10Z,40.2676,R+40,Tuberville +40,republican,alabama,2020-11-27T00:48:52.467899Z
01003,Baldwin,108617,0,51,51,"As a precinct in the FIRST cumulative report, along with regular precincts",99,109679,>98%,>98% reported,edison,10,some,,6293,,,79737,28656,224,0,0,0,2020-11-24T13:23:11Z,47.02855,R+47,Tuberville +47,republican,alabama,2020-11-27T00:48:52.467899Z
01005,Barbour,10419,0,15,17,Released as a precinct as first report of the night,99,10518,>98%,>98% reported,edison,10,all,,1554,,,5434,4976,9,0,0,0,2020-11-24T13:23:12Z,4.39582,R+4,Tuberville +4,republican,alabama,2020-11-27T00:48:52.467899Z
01007,Bibb,9559,570,10,10,"As a precinct in the FIRST cumulative report, along with regular precincts",100,9595,>98%,>98% reported,edison,10,unknown,,410,,,7306,2236,17,336,234,0,2020-11-24T13:21:44Z,53.03902,R+53,Tuberville +53,republican,alabama,2020-11-27T00:48:52.467899Z
01009,Blount,27376,0,24,25,"As a precinct in the FIRST cumulative report, along with regular precincts",99,27588,>98%,>98% reported,edison,10,all,,1181,,,24049,3274,53,0,0,0,2020-11-24T13:21:48Z,75.88764,R+76,Tuberville +76,republican,alabama,2020-11-27T00:48:52.467899Z
01011,Bullock,4591,0,14,16,Released as a precinct as first report of the night,100,4613,>98%,>98% reported,edison,10,none,,557,,,1105,3484,2,0,0,0,2020-11-24T13:21:49Z,51.81878,D+52,Jones +52,democrat,alabama,2020-11-27T00:48:52.467899Z
01013,Butler,9414,1045,22,23,Released as a precinct as first report of the night,99,9488,>98%,>98% reported,edison,10,all,,4735,,,5223,4180,11,419,626,0,2020-11-24T13:21:52Z,11.07924,R+11,Tuberville +11,republican,alabama,2020-11-27T00:48:52.467899Z
01015,Calhoun,50578,0,42,45,Released with cumulative results periodically election night,99,50983,>98%,>98% reported,edison,10,unknown,,1917,,,33797,16704,77,0,0,0,2020-11-24T13:21:53Z,33.79533,R+34,Tuberville +34,republican,alabama,2020-11-27T00:48:52.467899Z
01017,Chambers,15219,0,21,21,Released as a precinct as first report of the night,100,15284,>98%,>98% reported,edison,10,unknown,,883,,,8307,6898,14,0,0,0,2020-11-24T13:21:54Z,9.25816,R+9,Tuberville +9,republican,alabama,2020-11-27T00:48:52.467899Z
01019,Cherokee,12224,0,24,24,"As a precinct in the FIRST cumulative report, along with regular precincts",99,12301,>98%,>98% reported,edison,10,all,,800,,,10102,2105,17,0,0,0,2020-11-24T13:21:55Z,65.42048,R+65,Tuberville +65,republican,alabama,2020-11-27T00:48:52.467899Z
01021,Chilton,19179,0,18,19,"As a subtotal in the FIRST cumulative report, along with regular precincts",99,19310,>98%,>98% reported,edison,10,some,,1819,,,15676,3481,22,0,0,0,2020-11-24T13:21:56Z,63.58517,R+64,Tuberville +64,republican,alabama,2020-11-27T00:48:52.467899Z
01023,Choctaw,7413,0,32,35,Released as a separate subtotal in the middle of the tabulation,99,7464,>98%,>98% reported,edison,10,unknown,,1080,,,4187,3223,3,0,0,0,2020-11-24T13:21:56Z,13.00418,R+13,Tuberville +13,republican,alabama,2020-11-27T00:48:52.467899Z
01025,Clarke,13045,0,19,21,Released as a precinct at the end of tabulation,99,13135,>98%,>98% reported,edison,10,all,,1469,,,7044,5992,9,0,0,0,2020-11-24T13:21:58Z,8.06439,R+8,Tuberville +8,republican,alabama,2020-11-27T00:48:52.467899Z
01027,Clay,6885,548,15,16,Released as a separate subtotal as first report of the night,99,6930,>98%,>98% reported,edison,10,all,,950,,,5442,1435,8,353,195,0,2020-11-24T13:22:00Z,58.19898,R+58,Tuberville +58,republican,alabama,2020-11-27T00:48:52.467899Z
01029,Cleburne,7152,0,15,16,Released as a precinct as first report of the night,99,7227,>98%,>98% reported,edison,10,all,,483,,,6308,839,5,0,0,0,2020-11-24T13:22:00Z,76.46812,R+76,Tuberville +76,republican,alabama,2020-11-27T00:48:52.467899Z
01031,Coffee,22083,0,29,31,"As a precinct in the FIRST cumulative report, along with regular precincts",99,22275,>98%,>98% reported,edison,10,all,,1406,,,16335,5723,25,0,0,0,2020-11-24T13:22:01Z,48.05506,R+48,Tuberville +48,republican,alabama,2020-11-27T00:48:52.467899Z
01033,Colbert,24573,1504,31,35,Released as a precinct as first report of the night,88,27886,88%,88% reported,edison,10,all,,1442,,,16482,8041,50,586,911,7,2020-11-24T13:22:02Z,34.35071,R+34,Tuberville +34,republican,alabama,2020-11-27T00:48:52.467899Z
01035,Conecuh,6374,0,24,28,Released as a precinct in the middle of the night,99,6441,>98%,>98% reported,edison,10,all,,526,,,3287,3083,4,0,0,0,2020-11-24T13:22:03Z,3.2005,R+3,Tuberville +3,republican,alabama,2020-11-27T00:48:52.467899Z
01037,Coosa,5460,363,12,13,Released as a precinct as first report of the night,100,5479,>98%,>98% reported,edison,10,all,,288,,,3554,1897,9,198,165,0,2020-11-24T13:22:04Z,30.34799,R+30,Tuberville +30,republican,alabama,2020-11-27T00:48:52.467899Z
01039,Covington,17341,1511,24,25,Released as a precinct as first report of the night,99,17430,>98%,>98% reported,edison,10,all,,1227,,,14114,3208,19,986,523,2,2020-11-24T13:22:08Z,62.89141,R+63,Tuberville +63,republican,alabama,2020-11-27T00:48:52.467899Z
01041,Crenshaw,6589,0,18,19,Released as a precinct as first report of the night,100,6617,>98%,>98% reported,edison,10,unknown,,402,,,4671,1910,8,0,0,0,2020-11-24T13:22:10Z,41.90317,R+42,Tuberville +42,republican,alabama,2020-11-27T00:48:52.467899Z
01043,Cullman,41637,0,49,50,Released as a precinct in the middle of the night,99,41851,>98%,>98% reported,edison,10,none,,1880,,,35878,5666,93,0,0,0,2020-11-24T13:22:12Z,72.56046,R+73,Tuberville +73,republican,alabama,2020-11-27T00:48:52.467899Z
01045,Dale,19603,0,19,20,None,99,19738,>98%,>98% reported,edison,10,all,,1464,,,13633,5938,32,0,0,0,2020-11-24T13:22:13Z,39.2542,R+39,Tuberville +39,republican,alabama,2020-11-27T00:48:52.467899Z
01047,Dallas,17813,0,25,30,Released as a precinct in the middle of the night,100,17864,>98%,>98% reported,edison,10,all,,1571,,,5297,12501,15,0,0,0,2020-11-24T13:22:13Z,40.44237,D+40,Jones +40,democrat,alabama,2020-11-27T00:48:52.467899Z
01049,DeKalb,29213,0,53,53,Released as a precinct as first report of the night,100,29356,>98%,>98% reported,edison,10,all,,1682,,,23920,5240,53,0,0,0,2020-11-24T13:22:14Z,63.94413,R+64,Tuberville +64,republican,alabama,2020-11-27T00:48:52.467899Z
01051,Elmore,40780,0,29,30,"As a precinct in the FIRST cumulative report, along with regular precincts",99,41030,>98%,>98% reported,edison,10,some,,2117,,,29381,11339,60,0,0,0,2020-11-24T13:22:15Z,44.24228,R+44,Tuberville +44,republican,alabama,2020-11-27T00:48:52.467899Z
01053,Escambia,15807,0,31,33,None,99,15910,>98%,>98% reported,edison,10,all,,848,,,10401,5392,14,0,0,0,2020-11-24T13:22:15Z,31.68849,R+32,Tuberville +32,republican,alabama,2020-11-27T00:48:52.467899Z
01055,Etowah,47326,0,31,32,"As a precinct in the FIRST cumulative report, along with regular precincts",99,47728,>98%,>98% reported,edison,10,all,,2245,,,34179,13054,93,0,0,0,2020-11-24T13:22:16Z,44.6372,R+45,Tuberville +45,republican,alabama,2020-11-27T00:48:52.467899Z
01057,Fayette,8741,481,26,28,Released as a precinct as first report of the night,100,8766,>98%,>98% reported,edison,10,unknown,,362,,,7084,1646,11,281,200,0,2020-11-24T13:22:18Z,62.21256,R+62,Tuberville +62,republican,alabama,2020-11-27T00:48:52.467899Z
01059,Franklin,12466,0,23,25,Released as a precinct as first report of the night,99,12578,>98%,>98% reported,edison,10,all,,653,,,9844,2602,20,0,0,0,2020-11-24T13:22:20Z,58.09402,R+58,Tuberville +58,republican,alabama,2020-11-27T00:48:52.467899Z
01061,Geneva,12515,0,27,28,Released separately AFTER election night,100,12545,>98%,>98% reported,edison,10,unknown,,507,,,10378,2119,18,0,0,0,2020-11-24T13:22:21Z,65.99281,R+66,Tuberville +66,republican,alabama,2020-11-27T00:48:52.467899Z
01063,Greene,4775,1565,15,15,"As a precinct in the FIRST cumulative report, along with regular precincts",100,4775,>98%,>98% reported,edison,10,all,,590,,,816,3958,1,92,1473,0,2020-11-24T13:22:22Z,65.80105,D+66,Jones +66,democrat,alabama,2020-11-27T00:48:52.467899Z
01065,Hale,7904,1474,13,15,None,100,7904,>98%,>98% reported,edison,10,all,,982,,,3090,4810,4,171,1302,1,2020-11-24T13:22:24Z,21.76113,D+22,Jones +22,democrat,alabama,2020-11-27T00:48:52.467899Z
01067,Henry,9246,0,15,15,"As a precinct in the FIRST cumulative report, along with regular precincts",99,9298,>98%,>98% reported,edison,10,unknown,,994,,,6384,2853,9,0,0,0,2020-11-24T13:22:24Z,38.18949,R+38,Tuberville +38,republican,alabama,2020-11-27T00:48:52.467899Z
01069,Houston,45608,0,27,28,Released as a precinct as first report of the night,99,46173,>98%,>98% reported,edison,10,all,,3363,,,31225,14307,76,0,0,0,2020-11-24T13:22:25Z,37.09437,R+37,Tuberville +37,republican,alabama,2020-11-27T00:48:52.467899Z
01071,Jackson,23470,0,31,31,Released as a precinct as first report of the night,99,23636,>98%,>98% reported,edison,10,none,,1483,,,18867,4574,29,0,0,0,2020-11-24T13:22:27Z,60.89902,R+61,Tuberville +61,republican,alabama,2020-11-27T00:48:52.467899Z
