fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_smitht,results_lewisj,results_oconnork,results_steinbergo,results_absentee_smitht,results_absentee_lewisj,results_absentee_oconnork,results_absentee_steinbergo,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
27001,Aitkin,9840,0,54,54,Merged into voters' home precincts and released with cumulative results,98,10025,98%,98% reported,edison,10,unknown,,2973,,,3474,5761,462,143,0,0,0,0,2020-11-26T18:21:27Z,23.24187,R+23,Lewis +23,republican,minnesota,2020-11-27T00:49:28.850584Z
27003,Anoka,206686,0,128,128,Merged into voters' home precincts and released with cumulative results,98,211132,98%,98% reported,edison,10,all,,34809,,,89416,98043,15385,3842,0,0,0,0,2020-11-26T18:20:45Z,4.17396,R+4,Lewis +4,republican,minnesota,2020-11-27T00:49:28.850584Z
27005,Becker,19010,6167,48,48,Merged into voters' home precincts and released with cumulative results,100,19025,>98%,>98% reported,edison,6,all,,4508,,,6370,11274,1069,297,3298,2586,220,63,2020-11-26T18:22:23Z,25.79695,R+26,Lewis +26,republican,minnesota,2020-11-27T00:49:28.850584Z
27007,Beltrami,23823,0,63,63,Merged into voters' home precincts and released with cumulative results,94,25461,94%,94% reported,edison,2,unknown,,4845,,,9987,11468,1804,564,0,0,0,0,2020-11-26T18:23:18Z,6.21668,R+6,Lewis +6,republican,minnesota,2020-11-27T00:49:28.850584Z
27009,Benton,21754,0,27,27,Merged into voters' home precincts and released with cumulative results,98,22088,98%,98% reported,edison,2,unknown,,3225,,,6835,12915,1539,465,0,0,0,0,2020-11-26T18:24:10Z,27.94888,R+28,Lewis +28,republican,minnesota,2020-11-27T00:49:28.850584Z
27011,Big Stone,2945,0,23,23,Merged into voters' home precincts and released with cumulative results,99,2987,>98%,>98% reported,edison,4,unknown,,612,,,1106,1637,163,39,0,0,0,0,2020-11-26T18:24:45Z,18.03056,R+18,Lewis +18,republican,minnesota,2020-11-27T00:49:28.850584Z
27013,Blue Earth,35285,0,54,54,Merged into voters' home precincts and released with cumulative results,89,39485,89%,89% reported,edison,4,unknown,,5756,,,16527,15040,2847,871,0,0,0,0,2020-11-26T18:25:32Z,4.21426,D+4,Smith +4,democrat,minnesota,2020-11-27T00:49:28.850584Z
27015,Brown,14458,0,32,32,Merged into voters' home precincts and released with cumulative results,97,14847,97%,97% reported,edison,4,unknown,,2808,,,4808,8736,690,224,0,0,0,0,2020-11-26T18:26:11Z,27.16835,R+27,Lewis +27,republican,minnesota,2020-11-27T00:49:28.850584Z
27017,Carlton,19937,0,38,38,Merged into voters' home precincts and released with cumulative results,98,20361,98%,98% reported,edison,6,unknown,,3884,,,9577,8906,1093,361,0,0,0,0,2020-11-26T18:27:18Z,3.3656,D+3,Smith +3,democrat,minnesota,2020-11-27T00:49:28.850584Z
27019,Carver,65459,0,35,35,Merged into voters' home precincts and released with cumulative results,100,65382,>98%,>98% reported,edison,6,all,,12048,,,27616,33623,3292,928,0,0,0,0,2020-11-26T18:29:00Z,9.17674,R+9,Lewis +9,republican,minnesota,2020-11-27T00:49:28.850584Z
27021,Cass,18089,0,71,73,Merged into voters' home precincts and released with cumulative results,100,17708,>98%,>98% reported,edison,2,unknown,,4911,,,5913,10877,966,333,0,0,0,0,2020-11-25T14:04:17Z,27.44209,R+27,Lewis +27,republican,minnesota,2020-11-27T00:49:28.850584Z
27023,Chippewa,6525,0,23,25,Merged into voters' home precincts and released with cumulative results,98,6655,98%,98% reported,edison,2,some,,1308,,,2270,3807,358,90,0,0,0,0,2020-11-25T14:04:51Z,23.55556,R+24,Lewis +24,republican,minnesota,2020-11-27T00:49:28.850584Z
27025,Chisago,33746,0,22,23,Merged into voters' home precincts and released with cumulative results,100,33288,>98%,>98% reported,edison,2,some,,5696,,,11014,19700,2340,692,0,0,0,0,2020-11-25T14:07:00Z,25.73935,R+26,Lewis +26,republican,minnesota,2020-11-27T00:49:28.850584Z
27027,Clay,31508,0,54,58,Merged into voters' home precincts and released with cumulative results,92,34102,92%,92% reported,edison,2,unknown,,6609,,,15136,13308,2348,716,0,0,0,0,2020-11-25T14:09:37Z,5.8017,D+6,Smith +6,democrat,minnesota,2020-11-27T00:49:28.850584Z
27029,Clearwater,4613,0,27,29,Merged into voters' home precincts and released with cumulative results,100,4556,>98%,>98% reported,edison,4,some,,869,,,1224,3078,242,69,0,0,0,0,2020-11-25T14:11:37Z,40.19077,R+40,Lewis +40,republican,minnesota,2020-11-27T00:49:28.850584Z
27031,Cook,3712,0,12,13,Merged into voters' home precincts and released with cumulative results,100,3644,>98%,>98% reported,edison,2,some,,1133,,,2344,1162,133,73,0,0,0,0,2020-11-25T14:16:17Z,31.84267,D+32,Smith +32,democrat,minnesota,2020-11-27T00:49:28.850584Z
27033,Cottonwood,5989,0,26,29,Merged into voters' home precincts and released with cumulative results,93,6440,93%,93% reported,edison,2,unknown,,1245,,,1792,3792,320,85,0,0,0,0,2020-11-25T14:18:03Z,33.39456,R+33,Lewis +33,republican,minnesota,2020-11-27T00:49:28.850584Z
27035,Crow Wing,39562,0,59,62,Merged into voters' home precincts and released with cumulative results,100,39471,>98%,>98% reported,edison,4,none,,10353,,,12964,23792,2032,774,0,0,0,0,2020-11-25T14:18:43Z,27.3697,R+27,Lewis +27,republican,minnesota,2020-11-27T00:49:28.850584Z
