fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_markeye,results_oconnork,results_write_ins,results_absentee_markeye,results_absentee_oconnork,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
25001,Barnstable,146532,0,63,65,,,,,"",edison,,,,,,,88613,57368,551,0,0,0,2020-11-24T13:22:51Z,21.32299,D+21,Markey +21,democrat,massachusetts,2020-11-27T00:49:24.041025Z
25003,Berkshire,68101,0,55,59,,,,,"",edison,,,,,,,50399,17389,313,0,0,0,2020-11-24T15:45:04Z,48.47212,D+48,Markey +48,democrat,massachusetts,2020-11-27T00:49:24.041025Z
25005,Bristol,266474,15237,160,172,,,,,"",edison,,,,,,,152261,112269,1944,8686,6439,112,2020-11-24T13:22:06Z,15.00784,D+15,Markey +15,democrat,massachusetts,2020-11-27T00:49:24.041025Z
25007,Dukes,12408,0,6,7,,,,,"",edison,,,,,,,9605,2755,48,0,0,0,2020-11-24T13:22:12Z,55.20632,D+55,Markey +55,democrat,massachusetts,2020-11-27T00:49:24.041025Z
25009,Essex,406848,0,227,240,,,,,"",edison,,,,,,,262669,141346,2833,0,0,0,2020-11-24T13:22:14Z,29.82023,D+30,Markey +30,democrat,massachusetts,2020-11-27T00:49:24.041025Z
25011,Franklin,40302,848,37,40,,,,,"",edison,,,,,,,28926,10862,514,637,211,0,2020-11-24T13:22:15Z,44.8216,D+45,Markey +45,democrat,massachusetts,2020-11-27T00:49:24.041025Z
25013,Hampden,208951,5478,150,166,,,,,"",edison,,,,,,,121823,84525,2603,3459,2019,0,2020-11-24T15:44:40Z,17.85012,D+18,Markey +18,democrat,massachusetts,2020-11-27T00:49:24.041025Z
25015,Hampshire,84137,4853,52,56,,,,,"",edison,,,,,,,61291,22086,760,2409,2390,54,2020-11-24T15:44:13Z,46.59662,D+47,Markey +47,democrat,massachusetts,2020-11-27T00:49:24.041025Z
25017,Middlesex,813287,10596,436,474,,,,,"",edison,,,,,,,581405,226597,5285,7024,3522,50,2020-11-24T13:22:02Z,43.62642,D+44,Markey +44,democrat,massachusetts,2020-11-27T00:49:24.041025Z
25019,Nantucket,7185,4460,1,1,,,,,"",edison,,,,,,,5127,2030,28,3498,957,5,2020-11-24T18:43:31Z,43.10369,D+43,Markey +43,democrat,massachusetts,2020-11-27T00:49:24.041025Z
25021,Norfolk,354879,15760,184,211,,,,,"",edison,,,,,,,234340,118582,1957,12475,3253,32,2020-11-24T18:33:28Z,32.61901,D+33,Markey +33,democrat,massachusetts,2020-11-27T00:49:24.041025Z
25023,Plymouth,291958,40218,140,143,,,,,"",edison,,,,,,,167220,123088,1650,27167,12912,139,2020-11-24T18:20:42Z,15.11587,D+15,Markey +15,democrat,massachusetts,2020-11-27T00:49:24.041025Z
25025,Suffolk,305891,0,294,298,,,,,"",edison,,,,,,,248846,55552,1493,0,0,0,2020-11-24T18:17:48Z,63.19048,D+63,Markey +63,democrat,massachusetts,2020-11-27T00:49:24.041025Z
25027,Worcester,401912,14517,225,242,,,,,"",edison,,,,,,,234953,161914,5045,9390,5034,93,2020-11-24T13:22:09Z,18.17288,D+18,Markey +18,democrat,massachusetts,2020-11-27T00:49:24.041025Z
