fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_pierceb,results_blankenshipd,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_pierceb,results_absentee_blankenshipd,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
15001,Hawaii,87814,4600,43,43,Released as a separate subtotal as first report of the night,100,84432,>98%,>98% reported,edison,2,unknown,,65965,,,58731,26897,1027,805,220,134,1426,3077,51,34,7,5,2020-11-19T20:30:53Z,36.25162,D+36,Biden +36,democrat,-36.25162,64867,-36.6,63454,-51.17,hawaii,2020-11-22T00:49:00.076920Z
15003,Honolulu,382114,17145,156,156,Released as a separate subtotal as first report of the night,100,368550,>98%,>98% reported,edison,2,unknown,,256989,,,238869,136259,3437,2178,741,630,4397,12498,140,67,19,24,2020-11-16T15:48:37Z,26.85324,D+27,Biden +27,democrat,-26.85324,285790,-29.9,296742,-39.05,hawaii,2020-11-22T00:49:00.076920Z
15007,Kauai,33497,2337,16,16,Released as a separate subtotal as first report of the night,100,32655,>98%,>98% reported,edison,2,unknown,,26194,,,21225,11582,303,254,77,56,714,1581,18,15,3,6,2020-11-19T20:30:53Z,28.78765,D+29,Biden +29,democrat,-28.78765,26335,-33.7,25372,-49.35,hawaii,2020-11-22T00:49:00.076920Z
15009,Maui,71044,4528,35,35,Released as a separate subtotal as first report of the night,100,65410,>98%,>98% reported,edison,2,unknown,,35440,,,47305,22126,772,585,145,111,1284,3175,34,27,0,8,2020-11-19T20:30:53Z,35.44142,D+35,Biden +35,democrat,-35.44142,51945,-38.6,48653,-50.25,hawaii,2020-11-22T00:49:00.076920Z
