fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_westk,results_hawkinsh,results_blankenshipd,results_la_rivag,results_mchughj,results_pierceb,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_westk,results_absentee_hawkinsh,results_absentee_blankenshipd,results_absentee_la_rivag,results_absentee_mchughj,results_absentee_pierceb,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
49035,Salt Lake,541175,507874,788,788,Released as a separate subtotal as first report of the night,100,540966,>98%,>98% reported,edison,10,all,,375002,,,230174,289906,12219,2590,2203,1570,579,778,947,209,210607,277846,11375,2358,2056,1511,521,710,890,0,2020-11-24T21:59:24Z,11.03746,D+11,Biden +11,democrat,-11.03746,423743,-8.9,381799,20.34,utah,2020-11-25T00:46:08.867341Z
49037,San Juan,6878,0,23,23,Merged into voters' home precincts and released with cumulative results,100,6877,>98%,>98% reported,edison,10,unknown,,3260,,,3535,3113,99,45,17,28,5,19,16,1,0,0,0,0,0,0,0,0,0,0,2020-11-24T21:44:30Z,6.1355,R+6,Trump +6,republican,6.1355,5534,10.9,5307,17.62,utah,2020-11-25T00:46:08.867341Z
49039,Sanpete,12631,0,29,29,Released as a separate subtotal as first report of the night,100,12625,>98%,>98% reported,edison,10,all,,4390,,,10459,1794,215,39,19,50,7,20,22,6,0,0,0,0,0,0,0,0,0,0,2020-11-24T21:44:52Z,68.60106,R+69,Trump +69,republican,68.60106,10247,45.2,9547,77.78,utah,2020-11-25T00:46:08.867341Z
49041,Sevier,10363,0,23,23,"As a subtotal in the FIRST cumulative report, along with regular precincts",100,10362,>98%,>98% reported,edison,10,unknown,,7135,,,9052,1084,133,28,14,31,3,4,13,1,0,0,0,0,0,0,0,0,0,0,2020-11-24T21:45:05Z,76.88893,R+77,Trump +77,republican,76.88893,8695,67,8069,80.17,utah,2020-11-25T00:46:08.867341Z
49043,Summit,26088,0,50,50,Released as a separate subtotal as first report of the night,100,26086,>98%,>98% reported,edison,10,unknown,,20812,,,10252,15244,367,86,65,25,12,18,17,2,0,0,0,0,0,0,0,0,0,0,2020-11-24T21:45:22Z,19.13523,D+19,Biden +19,democrat,-19.13523,20885,-15.2,17488,4.64,utah,2020-11-25T00:46:08.867341Z
49045,Tooele,31518,26903,62,62,Released as a separate subtotal as first report of the night,100,31506,>98%,>98% reported,edison,10,all,,22742,,,21014,8943,958,152,81,181,33,81,63,12,17594,8033,783,121,68,160,29,69,46,0,2020-11-24T21:45:50Z,38.29875,R+38,Trump +38,republican,38.29875,21992,29.1,19261,50.59,utah,2020-11-25T00:46:08.867341Z
49047,Uintah,15307,13064,26,26,Released as a separate subtotal as first report of the night,100,15303,>98%,>98% reported,edison,10,all,,8700,,,13261,1663,226,37,29,56,5,10,16,4,11290,1469,183,25,24,49,2,9,13,0,2020-11-24T21:46:26Z,75.76926,R+76,Trump +76,republican,75.76926,12864,64.6,11583,81.36,utah,2020-11-25T00:46:08.867341Z
49049,Utah,284480,0,294,294,Released as a separate subtotal as first report of the night,100,284286,>98%,>98% reported,edison,10,all,,95185,,,192812,76033,10377,1680,853,1375,169,466,521,194,0,0,0,0,0,0,0,0,0,0,2020-11-24T21:46:53Z,41.04999,R+41,Trump +41,republican,41.04999,203642,20.5,177713,78.59,utah,2020-11-25T00:46:08.867341Z
49051,Wasatch,17581,0,38,38,None,100,17579,>98%,>98% reported,edison,10,unknown,,8962,,,10795,6187,352,86,45,53,7,34,20,2,0,0,0,0,0,0,0,0,0,0,2020-11-24T21:47:38Z,26.21011,R+26,Trump +26,republican,26.21011,12266,24.9,9589,52.45,utah,2020-11-25T00:46:08.867341Z
49053,Washington,90476,75949,113,113,Merged into voters' home precincts and released with cumulative results,100,90457,>98%,>98% reported,edison,10,unknown,,53675,,,67294,20530,1742,298,187,220,33,72,81,19,55654,18332,1248,228,143,185,27,61,71,0,2020-11-24T21:48:03Z,51.68664,R+52,Trump +52,republican,51.68664,62371,51.9,54012,67.32,utah,2020-11-25T00:46:08.867341Z
49055,Wayne,1621,0,7,7,Merged into voters' home precincts and released with cumulative results,100,1621,>98%,>98% reported,edison,10,unknown,,902,,,1229,365,9,7,3,3,2,1,2,,0,0,0,0,0,0,0,0,0,,2020-11-24T22:00:45Z,53.30043,R+53,Trump +53,republican,53.30043,1426,48.7,1327,65.86,utah,2020-11-25T00:46:08.867341Z
49057,Weber,111442,0,154,154,"As a subtotal in the FIRST cumulative report, along with regular precincts",100,111403,>98%,>98% reported,edison,10,all,,74882,,,65949,40695,2849,524,482,415,55,184,250,39,0,0,0,0,0,0,0,0,0,0,2020-11-24T21:49:16Z,22.66112,R+23,Trump +23,republican,22.66112,86006,19.9,75912,45.29,utah,2020-11-25T00:46:08.867341Z
