fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_hawkinsh,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
48309,McLennan,97771,79985,88,92,Released as a precinct as first report of the night,100,97624,>98%,>98% reported,edison,2,some,,70693,,,59543,36688,1297,243,,47719,31185,904,177,,2020-11-24T13:26:46Z,23.37605,R+23,Trump +23,republican,23.37605,79075,26.8,74541,29.79,texas,2020-11-25T00:44:10.486132Z
48311,McMullen,516,366,4,5,Released as a precinct as first report of the night,79,654,79%,79% reported,edison,2,unknown,,417,,,460,53,2,1,,337,27,2,0,,2020-11-24T13:26:46Z,78.87597,R+79,Trump +79,republican,78.87597,499,83,503,72.37,texas,2020-11-25T00:44:10.486132Z
48325,Medina,22644,19925,8,8,Released as a precinct as first report of the night,100,20366,>98%,>98% reported,edison,2,unknown,,18044,,,15642,6773,184,45,,13809,5934,143,39,,2020-11-24T13:26:47Z,39.16711,R+39,Trump +39,republican,39.16711,17246,43.2,16049,39.22,texas,2020-11-25T00:44:10.486132Z
48327,Menard,1028,798,6,7,Released as a precinct as first report of the night,92,1123,92%,92% reported,edison,2,unknown,,813,,,823,197,6,2,,632,160,5,1,,2020-11-24T13:26:47Z,60.89494,R+61,Trump +61,republican,60.89494,864,61.1,849,58.19,texas,2020-11-25T00:44:10.486132Z
48329,Midland,58856,49813,41,45,Released as a precinct as first report of the night,97,60756,97%,97% reported,edison,2,some,,52107,,,45624,12329,777,126,,38631,10495,585,102,,2020-11-24T13:26:47Z,56.57027,R+57,Trump +57,republican,56.57027,49212,54.8,44597,61.45,texas,2020-11-25T00:44:10.486132Z
48331,Milam,10576,8900,11,12,Released as a precinct as first report of the night,100,10231,>98%,>98% reported,edison,2,some,,7689,,,7984,2496,72,24,,6732,2099,54,15,,2020-11-24T13:26:47Z,51.89107,R+52,Trump +52,republican,51.89107,8664,49.8,8230,34.57,texas,2020-11-25T00:44:10.486132Z
48333,Mills,2505,1949,7,8,Released as a precinct as first report of the night,94,2652,94%,94% reported,edison,2,unknown,,2437,,,2217,271,15,2,,1711,228,9,1,,2020-11-24T13:26:47Z,77.68463,R+78,Trump +78,republican,77.68463,2245,76.1,2201,72.83,texas,2020-11-25T00:44:10.486132Z
48335,Mitchell,2579,1893,6,7,Released as a precinct as first report of the night,94,2735,94%,94% reported,edison,2,some,,2166,,,2170,397,11,1,,1591,294,8,0,,2020-11-24T13:26:47Z,68.74758,R+69,Trump +69,republican,68.74758,2196,64.9,2316,52.59,texas,2020-11-25T00:44:10.486132Z
48337,Montague,9814,8042,14,16,Released as a precinct as first report of the night,97,10160,97%,97% reported,edison,2,some,,582,,,8615,1097,78,24,,7020,938,64,20,,2020-11-24T13:26:47Z,76.60485,R+77,Trump +77,republican,76.60485,8604,77.2,7751,70.09,texas,2020-11-25T00:44:10.486132Z
48339,Montgomery,271451,236490,101,101,Released as a precinct as first report of the night,100,259565,>98%,>98% reported,edison,4,some,,200221,,,193382,74377,3166,526,,167808,65877,2402,403,,2020-11-24T13:26:47Z,43.84032,R+44,Trump +44,republican,43.84032,205904,50.7,173113,60.68,texas,2020-11-25T00:44:10.486132Z
48341,Moore,5508,3753,6,8,Released as a precinct as first report of the night,88,6240,88%,88% reported,edison,2,unknown,,3973,,,4359,1062,66,21,,3152,565,32,4,,2020-11-24T13:26:47Z,59.85839,R+60,Trump +60,republican,59.85839,5284,54.5,4985,60.26,texas,2020-11-25T00:44:10.486132Z
48343,Morris,5587,4130,8,9,Released as a precinct as first report of the night,92,6066,92%,92% reported,edison,2,unknown,,4099,,,3872,1669,36,10,,2805,1300,20,5,,2020-11-24T13:26:48Z,39.43082,R+39,Trump +39,republican,39.43082,4973,40.6,5139,26.74,texas,2020-11-25T00:44:10.486132Z
48345,Motley,652,443,6,7,Released as a precinct as first report of the night,82,800,82%,82% reported,edison,2,unknown,,503,,,604,46,2,0,,408,34,1,0,,2020-11-24T13:26:48Z,85.58282,R+86,Trump +86,republican,85.58282,615,85.5,600,80.5,texas,2020-11-25T00:44:10.486132Z
48347,Nacogdoches,26763,22378,24,26,Released as a precinct as first report of the night,96,27929,96%,96% reported,edison,2,some,,20976,,,17378,9000,302,83,,14136,7953,222,67,,2020-11-24T13:26:48Z,31.30441,R+31,Trump +31,republican,31.30441,22622,35,20653,36.12,texas,2020-11-25T00:44:10.486132Z
48349,Navarro,19121,14684,27,30,Released as a precinct as first report of the night,99,19406,>98%,>98% reported,edison,2,unknown,,13004,,,13800,5101,167,53,,10041,4431,161,51,,2020-11-24T13:26:48Z,45.49448,R+45,Trump +45,republican,45.49448,16433,48.6,15364,42.29,texas,2020-11-25T00:44:10.486132Z
48351,Newton,6096,4081,19,23,Released as a precinct as first report of the night,88,6911,88%,88% reported,edison,2,unknown,,3864,,,4882,1175,34,5,,3220,840,19,2,,2020-11-24T13:26:48Z,60.81037,R+61,Trump +61,republican,60.81037,5534,56.6,5869,41.49,texas,2020-11-25T00:44:10.486132Z
48353,Nolan,5356,3564,8,10,Released as a precinct as first report of the night,93,5736,93%,93% reported,edison,2,unknown,,3284,,,4131,1162,53,10,,2690,839,28,7,,2020-11-24T13:26:48Z,55.43316,R+55,Trump +55,republican,55.43316,4857,51.9,4575,45.16,texas,2020-11-25T00:44:10.486132Z
48355,Nueces,127314,110985,120,128,Released as a precinct as first report of the night,94,135727,94%,94% reported,edison,2,unknown,,100673,,,64617,60925,1404,368,,55697,53921,1092,275,,2020-11-24T13:26:48Z,2.89992,R+3,Trump +3,republican,2.89992,104405,1.5,96104,3.32,texas,2020-11-25T00:44:10.486132Z
48357,Ochiltree,3155,2242,4,5,Released as a precinct as first report of the night,89,3545,89%,89% reported,edison,2,unknown,,2376,,,2811,302,37,3,2,2006,204,28,3,1,2020-11-24T13:26:48Z,79.52456,R+80,Trump +80,republican,79.52456,3002,78.4,2993,82.39,texas,2020-11-25T00:44:10.486132Z
48359,Oldham,1009,623,7,8,Released as a precinct as first report of the night,82,1232,82%,82% reported,edison,2,unknown,,538,,,917,81,10,1,,578,40,5,0,,2020-11-24T13:26:48Z,82.85431,R+83,Trump +83,republican,82.85431,953,81,869,82.74,texas,2020-11-25T00:44:10.486132Z
48361,Orange,35974,30494,30,35,Released as a precinct as first report of the night,95,37789,95%,95% reported,edison,2,unknown,,33059,,,29170,6354,375,51,24,24655,5487,288,42,22,2020-11-24T13:26:49Z,63.42358,R+63,Trump +63,republican,63.42358,32000,61.8,30518,54.28,texas,2020-11-25T00:44:10.486132Z
48363,Palo Pinto,12485,9603,26,28,Released as a precinct as first report of the night,100,12128,>98%,>98% reported,edison,2,unknown,,7232,,,10179,2178,101,27,,7703,1817,64,19,,2020-11-24T13:26:49Z,64.0849,R+64,Trump +64,republican,64.0849,10270,64,9337,59.78,texas,2020-11-25T00:44:10.486132Z
48365,Panola,11452,8092,17,20,Released as a precinct as first report of the night,93,12300,93%,93% reported,edison,2,unknown,,9139,,,9322,2057,57,11,5,6518,1526,37,6,5,2020-11-24T13:26:49Z,63.4387,R+63,Trump +63,republican,63.4387,10416,63.5,10230,56.1,texas,2020-11-25T00:44:10.486132Z
48367,Parker,76128,65348,44,44,Released as a precinct as first report of the night,98,78000,98%,98% reported,edison,2,all,,50658,,,62045,13017,880,158,28,53181,11343,678,122,24,2020-11-24T13:26:49Z,64.40206,R+64,Trump +64,republican,64.40206,56817,67.1,47694,65.82,texas,2020-11-25T00:44:10.486132Z
48369,Parmer,2650,1316,8,10,Released as a precinct as first report of the night,80,3309,80%,80% reported,edison,2,unknown,,1526,,,2135,488,23,4,,1102,207,6,1,,2020-11-24T13:26:49Z,62.15094,R+62,Trump +62,republican,62.15094,2466,58,2554,58.03,texas,2020-11-25T00:44:10.486132Z
