fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_kellym,results_mcsallym,results_write_ins,results_absentee_kellym,results_absentee_mcsallym,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
04001,Apache,34377,23713,44,44,Released as a separate subtotal as first report of the night,100,34397,>98%,>98% reported,edison,4,some,,14686,,,23489,10855,33,16750,6946,17,2020-11-11T03:26:24Z,36.75132,D+37,Kelly +37,democrat,arizona,2020-11-11T12:19:23.041151Z
04003,Cochise,57308,47984,46,49,Released as a separate subtotal as first report of the night,94,61000,94%,94% reported,edison,4,unknown,,40322,,,24020,33288,0,22341,25643,0,2020-11-11T03:26:18Z,16.17226,R+16,McSally +16,republican,arizona,2020-11-11T12:19:23.041151Z
04005,Coconino,72716,60421,71,71,Released as a separate subtotal as first report of the night,98,74000,98%,98% reported,edison,4,some,,37503,,,45471,27245,0,39808,20613,0,2020-11-11T03:26:19Z,25.06464,D+25,Kelly +25,democrat,arizona,2020-11-11T12:19:23.041151Z
04007,Gila,27585,22673,39,39,Released as a separate subtotal as first report of the night,99,27773,>98%,>98% reported,edison,4,all,,22311,,,9648,17889,48,8031,14642,0,2020-11-11T03:26:20Z,29.87493,R+30,McSally +30,republican,arizona,2020-11-11T12:19:23.041151Z
04009,Graham,14842,10242,22,22,Released separately AFTER election night,99,15001,>98%,>98% reported,edison,4,unknown,,9380,,,4506,10301,35,3237,7005,0,2020-11-11T03:26:20Z,39.0446,R+39,McSally +39,republican,arizona,2020-11-11T12:19:23.041151Z
04011,Greenlee,3628,2572,7,8,Released as a separate subtotal as first report of the night,98,3690,98%,98% reported,edison,4,unknown,,2450,,,1403,2225,0,1150,1422,0,2020-11-11T03:26:21Z,22.65711,R+23,McSally +23,republican,arizona,2020-11-11T12:19:23.041151Z
04012,La Paz,7337,4427,11,11,Merged into voters' home precincts and released with cumulative results,98,7458,98%,98% reported,edison,6,none,,3932,,,2492,4835,10,1652,2765,10,2020-11-11T03:26:21Z,31.93403,R+32,McSally +32,republican,arizona,2020-11-11T12:19:23.041151Z
04013,Maricopa,2035771,1870723,743,743,Released as a separate subtotal as first report of the night,98,2069000,98%,98% reported,edison,4,some,,1489023,,,1056009,975417,4345,994154,876569,0,2020-11-11T03:26:13Z,3.95879,D+4,Kelly +4,democrat,arizona,2020-11-11T12:19:23.041151Z
04015,Mohave,103033,78278,24,24,Released as a separate subtotal as first report of the night,98,105090,98%,98% reported,edison,4,some,,66610,,,27414,75358,261,23639,54639,0,2020-11-11T03:26:15Z,46.53266,R+47,McSally +47,republican,arizona,2020-11-11T12:19:23.041151Z
04017,Navajo,51481,36040,14,14,Merged into voters' home precincts and released with cumulative results,99,51774,>98%,>98% reported,edison,4,unknown,,28592,,,24396,26952,133,17602,18342,96,2020-11-11T03:26:15Z,4.96494,R+5,McSally +5,republican,arizona,2020-11-11T12:19:23.041151Z
04019,Pima,504055,451676,245,249,Released as a separate subtotal as first report of the night,97,519758,97%,97% reported,edison,4,some,,406810,,,302271,200702,1082,284934,165804,938,2020-11-11T03:26:16Z,20.15038,D+20,Kelly +20,democrat,arizona,2020-11-11T12:19:23.041151Z
04021,Pinal,183631,146678,102,102,Released as a separate subtotal as first report of the night,99,186367,>98%,>98% reported,edison,4,all,,88536,,,79098,103940,593,68091,78107,480,2020-11-11T03:26:17Z,13.52822,R+14,McSally +14,republican,arizona,2020-11-11T12:19:23.041151Z
04023,Santa Cruz,19419,15561,23,24,Released as a separate subtotal as first report of the night,99,19557,>98%,>98% reported,edison,4,unknown,,11041,,,13689,5685,45,11401,4120,40,2020-11-11T03:26:18Z,41.21736,D+41,Kelly +41,democrat,arizona,2020-11-11T12:19:23.041151Z
04025,Yavapai,141879,124068,45,45,Released as a separate subtotal as first report of the night,98,143876,98%,98% reported,edison,4,all,,100553,,,51762,89907,210,48704,75364,0,2020-11-11T03:26:10Z,26.88559,R+27,McSally +27,republican,arizona,2020-11-11T12:19:23.041151Z
04027,Yuma,67696,58428,44,44,Released as a separate subtotal as first report of the night,96,70582,96%,96% reported,edison,4,unknown,,37798,,,33257,34439,0,29398,29030,0,2020-11-11T03:26:11Z,1.74604,R+1.7,McSally +1.7,republican,arizona,2020-11-11T12:19:23.041151Z
