fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_cottont,results_harringtonr,results_absentee_cottont,results_absentee_harringtonr,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
05001,Arkansas,6063,5331,26,30,Released as a precinct as first report of the night,91,6697,91%,91% reported,edison,2,unknown,,6286,,,4564,1499,4015,1316,2020-11-11T03:26:34Z,50.55253,R+51,Cotton +51,republican,arkansas,2020-11-12T12:19:53.959776Z
05003,Ashley,7750,7739,26,30,Released as a separate subtotal as first report of the night,98,7911,98%,98% reported,edison,6,unknown,,5934,,,5801,1949,5793,1946,2020-11-11T03:26:27Z,49.70323,R+50,Cotton +50,republican,arkansas,2020-11-12T12:19:53.959776Z
05005,Baxter,20347,17292,40,43,Merged into voters' home precincts and released with cumulative results,92,22138,92%,92% reported,edison,4,some,,16848,,,16068,4279,13558,3734,2020-11-11T03:26:27Z,57.93975,R+58,Cotton +58,republican,arkansas,2020-11-12T12:19:53.959776Z
05007,Benton,116767,100468,117,117,Released as a separate subtotal as first report of the night,100,117000,>98%,>98% reported,edison,4,some,,64995,,,75688,41079,64274,36194,2020-11-11T03:26:28Z,29.63937,R+30,Cotton +30,republican,arkansas,2020-11-12T12:19:53.959776Z
05009,Boone,16798,12535,28,30,Released as a separate subtotal as first report of the night,98,17103,98%,98% reported,edison,6,some,,15309,,,13746,3052,10041,2494,2020-11-11T03:26:28Z,63.66234,R+64,Cotton +64,republican,arkansas,2020-11-12T12:19:53.959776Z
05011,Bradley,3555,2467,12,14,Released as a precinct as first report of the night,94,3767,94%,94% reported,edison,2,unknown,,2557,,,2482,1073,1656,811,2020-11-11T03:26:28Z,39.63432,R+40,Cotton +40,republican,arkansas,2020-11-12T12:19:53.959776Z
05013,Calhoun,2105,1375,17,20,Released as a precinct as first report of the night,90,2340,90%,90% reported,edison,2,unknown,,1190,,,1684,421,1078,297,2020-11-11T03:26:29Z,60,R+60,Cotton +60,republican,arkansas,2020-11-12T12:19:53.959776Z
05015,Carroll,11436,9066,12,13,Other,100,11095,>98%,>98% reported,edison,4,all,,6619,,,7603,3833,5697,3369,2020-11-11T03:26:29Z,32.96607,R+33,Cotton +33,republican,arkansas,2020-11-12T12:19:53.959776Z
05017,Chicot,3646,2576,10,13,Released as a precinct as first report of the night,75,4884,75%,75% reported,edison,2,unknown,,2805,,,1943,1703,1490,1086,2020-11-11T03:26:29Z,6.58256,R+7,Cotton +7,republican,arkansas,2020-11-12T12:19:53.959776Z
05019,Clark,8029,5523,27,27,Merged into voters' home precincts and released with cumulative results,96,8358,96%,96% reported,edison,6,all,,6814,,,5074,2955,3395,2128,2020-11-11T22:20:22Z,26.39183,R+26,Cotton +26,republican,arkansas,2020-11-12T12:19:53.959776Z
05021,Clay,5094,1375,15,17,Other,95,5363,95%,95% reported,edison,2,unknown,,3371,,,4194,900,1108,267,2020-11-11T03:26:30Z,64.66431,R+65,Cotton +65,republican,arkansas,2020-11-12T12:19:53.959776Z
05023,Cleburne,12515,8380,31,34,Other,99,12617,>98%,>98% reported,edison,6,some,,7784,,,10563,1952,6877,1503,2020-11-11T03:26:24Z,68.80543,R+69,Cotton +69,republican,arkansas,2020-11-12T12:19:53.959776Z
05025,Cleveland,3546,2134,16,17,"As a subtotal in the FIRST cumulative report, along with regular precincts",100,3459,>98%,>98% reported,edison,2,unknown,,1656,,,2978,568,1734,400,2020-11-11T03:26:24Z,67.9639,R+68,Cotton +68,republican,arkansas,2020-11-12T12:19:53.959776Z
05027,Columbia,8042,6879,11,14,"As a precinct in the FIRST cumulative report, along with regular precincts",94,8550,94%,94% reported,edison,6,all,,9640,,,5750,2292,4942,1937,2020-11-11T03:26:19Z,42.99925,R+43,Cotton +43,republican,arkansas,2020-11-12T12:19:53.959776Z
05029,Conway,8498,5823,30,31,Released as a precinct as first report of the night,98,8641,98%,98% reported,edison,6,all,,5139,,,5911,2587,3792,2031,2020-11-11T03:26:20Z,39.11509,R+39,Cotton +39,republican,arkansas,2020-11-12T12:19:53.959776Z
05031,Craighead,37798,27954,50,53,Released as a precinct as first report of the night,99,38364,>98%,>98% reported,edison,6,unknown,,28910,,,26254,11544,18934,9020,2020-11-11T03:26:20Z,38.9174,R+39,Cotton +39,republican,arkansas,2020-11-12T12:19:53.959776Z
05033,Crawford,23973,18736,41,43,Released as a precinct as first report of the night,95,25144,95%,95% reported,edison,4,unknown,,10542,,,18778,5195,14509,4227,2020-11-11T03:26:21Z,56.65958,R+57,Cotton +57,republican,arkansas,2020-11-12T12:19:53.959776Z
05035,Crittenden,14867,12375,18,22,Released as a precinct as first report of the night,79,18722,79%,79% reported,edison,2,unknown,,16062,,,7867,7000,6668,5707,2020-11-11T03:26:21Z,5.83171,R+6,Cotton +6,republican,arkansas,2020-11-12T12:19:53.959776Z
05037,Cross,6731,5405,18,21,Released as a precinct as first report of the night,95,7090,95%,95% reported,edison,2,unknown,,6533,,,5067,1664,4045,1360,2020-11-11T03:26:22Z,50.55712,R+51,Cotton +51,republican,arkansas,2020-11-12T12:19:53.959776Z
05039,Dallas,2540,1618,7,9,Released as a precinct as first report of the night,74,3454,74%,74% reported,edison,2,unknown,,2288,,,1730,810,1023,595,2020-11-11T03:26:15Z,36.22047,R+36,Cotton +36,republican,arkansas,2020-11-12T12:19:53.959776Z
05041,Desha,4002,3053,18,21,Released as a precinct as first report of the night,81,4950,81%,81% reported,edison,2,unknown,,1597,,,2298,1704,1755,1298,2020-11-11T03:26:15Z,14.84258,R+15,Cotton +15,republican,arkansas,2020-11-12T12:19:53.959776Z
05043,Drew,6686,5253,17,19,Released as a precinct as first report of the night,98,6841,98%,98% reported,edison,2,some,,5899,,,4553,2133,3538,1715,2020-11-11T03:26:16Z,36.19503,R+36,Cotton +36,republican,arkansas,2020-11-12T12:19:53.959776Z
05045,Faulkner,53329,45979,51,51,Released as a precinct as first report of the night,99,54000,>98%,>98% reported,edison,4,some,,39644,,,35197,18132,30028,15951,2020-11-11T03:26:17Z,31.99947,R+32,Cotton +32,republican,arkansas,2020-11-12T12:19:53.959776Z
05047,Franklin,7054,5426,36,39,Merged into voters' home precincts and released with cumulative results,100,6982,>98%,>98% reported,edison,2,unknown,,4789,,,5641,1413,4300,1126,2020-11-11T03:26:17Z,59.93762,R+60,Cotton +60,republican,arkansas,2020-11-12T12:19:53.959776Z
05049,Fulton,4961,3451,9,10,Released as a precinct in the middle of the night,97,5098,97%,97% reported,edison,6,some,,3222,,,4012,949,2710,741,2020-11-11T03:26:18Z,61.74158,R+62,Cotton +62,republican,arkansas,2020-11-12T12:19:53.959776Z
05051,Garland,43750,37987,54,56,"As a subtotal in the FIRST cumulative report, along with regular precincts",96,45702,96%,96% reported,edison,2,some,,38437,,,30417,13333,26077,11910,2020-11-11T03:26:10Z,39.04914,R+39,Cotton +39,republican,arkansas,2020-11-12T12:19:53.959776Z
05053,Grant,8161,5991,18,18,Released as a precinct as first report of the night,100,8197,>98%,>98% reported,edison,6,all,,3816,,,6883,1278,4980,1011,2020-11-11T03:26:11Z,68.68031,R+69,Cotton +69,republican,arkansas,2020-11-12T12:19:53.959776Z
05055,Greene,15805,13007,64,66,Released separately AFTER election night,97,16352,97%,97% reported,edison,2,unknown,,12003,,,12809,2996,10485,2522,2020-11-11T03:26:12Z,62.08795,R+62,Cotton +62,republican,arkansas,2020-11-12T12:19:53.959776Z
05057,Hempstead,6611,4485,24,24,Released as a separate subtotal as first report of the night,91,7270,91%,91% reported,edison,4,all,,4430,,,4735,1876,3027,1458,2020-11-11T03:26:12Z,43.2461,R+43,Cotton +43,republican,arkansas,2020-11-12T12:19:53.959776Z
05059,Hot Spring,12327,10311,29,31,Released as a separate subtotal as first report of the night,92,13377,92%,92% reported,edison,2,unknown,,6128,,,9355,2972,7755,2556,2020-11-11T03:26:13Z,51.78064,R+52,Cotton +52,republican,arkansas,2020-11-12T12:19:53.959776Z
05061,Howard,4684,4378,32,36,Merged into voters' home precincts AFTER election night,97,4821,97%,97% reported,edison,2,unknown,,3030,,,3541,1143,3353,1025,2020-11-11T03:26:13Z,51.19556,R+51,Cotton +51,republican,arkansas,2020-11-12T12:19:53.959776Z
05063,Independence,14226,10797,32,34,Released as a separate subtotal at the end of tabulation,100,14041,>98%,>98% reported,edison,2,unknown,,7256,,,11512,2714,8607,2190,2020-11-11T03:26:07Z,61.84451,R+62,Cotton +62,republican,arkansas,2020-11-12T12:19:53.959776Z
05065,Izard,5681,4044,44,47,"As a precinct in the FIRST cumulative report, along with regular precincts",100,5619,>98%,>98% reported,edison,2,unknown,,3837,,,4709,972,3280,764,2020-11-11T03:26:08Z,65.78067,R+66,Cotton +66,republican,arkansas,2020-11-12T12:19:53.959776Z
05067,Jackson,4899,3385,38,45,Released as a precinct at the end of tabulation,97,5076,97%,97% reported,edison,6,unknown,,4320,,,3723,1176,2467,918,2020-11-11T03:26:08Z,51.9902,R+52,Cotton +52,republican,arkansas,2020-11-12T12:19:53.959776Z
