fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_hyde_smithc,results_espym,results_edwardsj,results_write_ins,results_absentee_hyde_smithc,results_absentee_espym,results_absentee_edwardsj,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
28001,Adams,12242,0,19,19,None,100,12268,>98%,>98% reported,edison,6,all,,1098,,,4969,7133,140,0,0,0,0,0,2020-11-11T03:25:04Z,17.67685,D+18,Espy +18,democrat,mississippi,2020-11-12T12:20:29.205314Z
28003,Alcorn,13581,0,17,17,Merged into voters' home precincts and released with cumulative results,93,14672,93%,93% reported,edison,4,none,,1390,,,10230,2996,346,9,0,0,0,0,2020-11-11T03:25:04Z,53.26559,R+53,Hyde-Smith +53,republican,mississippi,2020-11-12T12:20:29.205314Z
28005,Amite,5920,0,21,21,Merged into voters' home precincts and released with cumulative results,99,5974,>98%,>98% reported,edison,6,all,,466,,,3619,2230,70,1,0,0,0,0,2020-11-11T03:25:05Z,23.46284,R+23,Hyde-Smith +23,republican,mississippi,2020-11-12T12:20:29.205314Z
28007,Attala,8825,0,19,20,Merged into voters' home precincts and released with cumulative results,100,8228,>98%,>98% reported,edison,2,unknown,,476,,,4888,3824,108,5,0,0,0,0,2020-11-11T03:25:05Z,12.05666,R+12,Hyde-Smith +12,republican,mississippi,2020-11-12T12:20:29.205314Z
28009,Benton,4248,0,5,5,Merged into voters' home precincts and released with cumulative results,100,3725,>98%,>98% reported,edison,4,all,,442,,,2306,1848,92,2,0,0,0,0,2020-11-11T03:25:06Z,10.78154,R+11,Hyde-Smith +11,republican,mississippi,2020-11-12T12:20:29.205314Z
28011,Bolivar,11629,0,28,28,None,98,11881,98%,98% reported,edison,4,none,,410,,,3940,7601,86,2,0,0,0,0,2020-11-11T03:25:06Z,31.48164,D+31,Espy +31,democrat,mississippi,2020-11-12T12:20:29.205314Z
28013,Calhoun,6536,0,9,10,Merged into voters' home precincts and released with cumulative results,93,6993,93%,93% reported,edison,4,unknown,,532,,,4311,2112,111,2,0,0,0,0,2020-11-11T03:25:07Z,33.64443,R+34,Hyde-Smith +34,republican,mississippi,2020-11-12T12:20:29.205314Z
28015,Carroll,4494,0,14,14,None,83,5423,83%,83% reported,edison,4,none,,342,,,3069,1354,71,0,0,0,0,0,2020-11-11T03:25:08Z,38.16199,R+38,Hyde-Smith +38,republican,mississippi,2020-11-12T12:20:29.205314Z
28017,Chickasaw,8153,0,15,15,None,100,7695,>98%,>98% reported,edison,4,all,,476,,,3912,4128,112,1,0,0,0,0,2020-11-11T03:25:09Z,2.64933,D+3,Espy +3,democrat,mississippi,2020-11-12T12:20:29.205314Z
28019,Choctaw,4162,0,13,13,Merged into voters' home precincts and released with cumulative results,100,4175,>98%,>98% reported,edison,6,all,,246,,,2785,1301,76,0,0,0,0,0,2020-11-11T03:25:10Z,35.65593,R+36,Hyde-Smith +36,republican,mississippi,2020-11-12T12:20:29.205314Z
28021,Claiborne,2878,0,11,11,Released as a separate subtotal at the end of tabulation,68,4223,68%,68% reported,edison,4,none,,776,,,433,2425,19,1,0,0,0,0,2020-11-11T03:25:11Z,69.21473,D+69,Espy +69,democrat,mississippi,2020-11-12T12:20:29.205314Z
28023,Clarke,8278,1260,23,23,None,100,7469,>98%,>98% reported,edison,2,some,,708,,,5124,3031,122,1,717,529,14,0,2020-11-11T03:25:12Z,25.28388,R+25,Hyde-Smith +25,republican,mississippi,2020-11-12T12:20:29.205314Z
28025,Clay,10115,2007,14,14,Merged into voters' home precincts and released with cumulative results,100,8526,>98%,>98% reported,edison,4,some,,652,,,3966,6030,109,10,822,1164,17,4,2020-11-11T03:25:14Z,20.40534,D+20,Espy +20,democrat,mississippi,2020-11-12T12:20:29.205314Z
28027,Coahoma,7135,0,18,18,Merged into voters' home precincts and released with cumulative results,88,8124,88%,88% reported,edison,4,none,,,,,1625,5466,43,1,0,0,0,0,2020-11-11T03:25:14Z,53.83322,D+54,Espy +54,democrat,mississippi,2020-11-12T12:20:29.205314Z
28029,Copiah,10787,0,19,19,None,99,10876,>98%,>98% reported,edison,4,none,,542,,,5239,5444,99,5,0,0,0,0,2020-11-11T03:25:15Z,1.90044,D+1.9,Espy +1.9,democrat,mississippi,2020-11-12T12:20:29.205314Z
28031,Covington,9306,0,14,15,Merged into voters' home precincts and released with cumulative results,100,8460,>98%,>98% reported,edison,2,unknown,,806,,,5566,3602,128,10,0,0,0,0,2020-11-11T03:25:17Z,21.10466,R+21,Hyde-Smith +21,republican,mississippi,2020-11-12T12:20:29.205314Z
28033,DeSoto,74860,0,41,41,Merged into voters' home precincts and released with cumulative results,100,72373,>98%,>98% reported,edison,4,unknown,,1400,,,42559,30508,1738,55,0,0,0,0,2020-11-11T03:25:17Z,16.09805,R+16,Hyde-Smith +16,republican,mississippi,2020-11-12T12:20:29.205314Z
28035,Forrest,26460,0,34,34,None,97,27365,97%,97% reported,edison,4,none,,1294,,,14217,11600,615,28,0,0,0,0,2020-11-11T03:25:18Z,9.8904,R+10,Hyde-Smith +10,republican,mississippi,2020-11-12T12:20:29.205314Z
28037,Franklin,4432,0,13,14,None,100,4066,>98%,>98% reported,edison,2,unknown,,530,,,2808,1564,53,7,0,0,0,0,2020-11-11T03:25:19Z,28.06859,R+28,Hyde-Smith +28,republican,mississippi,2020-11-12T12:20:29.205314Z
28039,George,10800,0,22,22,Released as a separate subtotal at the end of tabulation,99,10940,>98%,>98% reported,edison,6,all,,208,,,8719,1822,252,7,0,0,0,0,2020-11-11T03:25:20Z,63.86111,R+64,Hyde-Smith +64,republican,mississippi,2020-11-12T12:20:29.205314Z
28041,Greene,5656,0,12,13,Released as a precinct at the end of tabulation,97,5859,97%,97% reported,edison,2,unknown,,700,,,4346,1180,124,6,0,0,0,0,2020-11-11T03:25:21Z,55.97595,R+56,Hyde-Smith +56,republican,mississippi,2020-11-12T12:20:29.205314Z
28043,Grenada,7805,0,13,13,None,76,10259,76%,76% reported,edison,2,unknown,,1570,,,4531,3145,125,4,0,0,0,0,2020-11-11T03:25:21Z,17.75785,R+18,Hyde-Smith +18,republican,mississippi,2020-11-12T12:20:29.205314Z
28045,Hancock,17199,0,25,25,None,99,17450,>98%,>98% reported,edison,4,none,,860,,,12490,4183,508,18,0,0,0,0,2020-11-11T03:25:22Z,48.29932,R+48,Hyde-Smith +48,republican,mississippi,2020-11-12T12:20:29.205314Z
28047,Harrison,60805,0,46,53,None,87,69661,87%,87% reported,edison,2,unknown,,2776,,,37877,20894,1957,77,0,0,0,0,2020-11-11T03:25:23Z,27.93027,R+28,Hyde-Smith +28,republican,mississippi,2020-11-12T12:20:29.205314Z
28049,Hinds,81778,0,108,108,Merged into voters' home precincts and released with cumulative results,70,117140,70%,70% reported,edison,2,unknown,,2988,,,19840,61082,818,38,0,0,0,0,2020-11-11T03:25:24Z,50.43166,D+50,Espy +50,democrat,mississippi,2020-11-12T12:20:29.205314Z
28051,Holmes,6490,0,15,15,None,99,6542,>98%,>98% reported,edison,6,none,,726,,,1066,5384,36,4,0,0,0,0,2020-11-11T03:25:25Z,66.53313,D+67,Espy +67,democrat,mississippi,2020-11-12T12:20:29.205314Z
28053,Humphreys,4163,0,13,13,Merged into voters' home precincts and released with cumulative results,100,4164,>98%,>98% reported,edison,6,all,,214,,,1020,3113,29,1,0,0,0,0,2020-11-11T03:25:26Z,50.27624,D+50,Espy +50,democrat,mississippi,2020-11-12T12:20:29.205314Z
28055,Issaquena,682,0,5,5,None,100,606,>98%,>98% reported,edison,4,all,,64,,,309,367,5,1,0,0,0,0,2020-11-11T03:25:27Z,8.5044,D+9,Espy +9,democrat,mississippi,2020-11-12T12:20:29.205314Z
28057,Itawamba,10681,0,28,28,Merged into voters' home precincts and released with cumulative results,100,9634,>98%,>98% reported,edison,4,some,,362,,,8767,1655,247,12,0,0,0,0,2020-11-11T03:25:28Z,66.58553,R+67,Hyde-Smith +67,republican,mississippi,2020-11-12T12:20:29.205314Z
28059,Jackson,45102,0,32,32,None,100,39881,>98%,>98% reported,edison,6,unknown,,1386,,,30020,13816,1204,62,0,0,0,0,2020-11-11T03:25:29Z,35.92745,R+36,Hyde-Smith +36,republican,mississippi,2020-11-12T12:20:29.205314Z
28061,Jasper,8652,0,17,17,Merged into voters' home precincts and released with cumulative results,100,8652,>98%,>98% reported,edison,6,all,,592,,,4061,4495,92,4,0,0,0,0,2020-11-11T03:25:29Z,5.01618,D+5,Espy +5,democrat,mississippi,2020-11-12T12:20:29.205314Z
28065,Jeff Davis,6187,4643,17,17,None,100,5285,>98%,>98% reported,edison,4,unknown,,578,,,2394,3750,43,0,1822,2787,34,0,2020-11-11T03:25:31Z,21.91692,D+22,Espy +22,democrat,mississippi,2020-11-12T12:20:29.205314Z
28063,Jefferson,3913,0,12,12,None,100,3414,>98%,>98% reported,edison,4,some,,600,,,475,3426,12,0,0,0,0,0,2020-11-11T03:25:30Z,75.41528,D+75,Espy +75,democrat,mississippi,2020-11-12T12:20:29.205314Z
28067,Jones,26425,0,37,37,None,89,29838,89%,89% reported,edison,2,some,,1822,,,17927,7863,593,42,0,0,0,0,2020-11-11T03:25:31Z,38.08515,R+38,Hyde-Smith +38,republican,mississippi,2020-11-12T12:20:29.205314Z
28069,Kemper,3924,0,14,14,None,100,3890,>98%,>98% reported,edison,4,none,,966,,,1550,2337,36,1,0,0,0,0,2020-11-11T03:25:32Z,20.05607,D+20,Espy +20,democrat,mississippi,2020-11-12T12:20:29.205314Z
28071,Lafayette,17103,0,18,18,Merged into voters' home precincts and released with cumulative results,88,19434,88%,88% reported,edison,4,none,,2116,,,9163,7562,364,14,0,0,0,0,2020-11-11T03:25:33Z,9.36093,R+9,Hyde-Smith +9,republican,mississippi,2020-11-12T12:20:29.205314Z
28073,Lamar,23874,0,23,23,Released as a separate subtotal at the end of tabulation,97,24624,97%,97% reported,edison,4,unknown,,946,,,16660,6568,615,31,0,0,0,0,2020-11-11T03:25:34Z,42.27193,R+42,Hyde-Smith +42,republican,mississippi,2020-11-12T12:20:29.205314Z
28075,Lauderdale,30689,0,38,40,Merged into voters' home precincts and released with cumulative results,100,29664,>98%,>98% reported,edison,2,unknown,,2082,,,16943,13236,493,17,0,0,0,0,2020-11-11T03:25:35Z,12.07925,R+12,Hyde-Smith +12,republican,mississippi,2020-11-12T12:20:29.205314Z
28077,Lawrence,6547,976,24,24,None,100,6547,>98%,>98% reported,edison,6,all,,602,,,4193,2295,56,3,554,415,7,0,2020-11-11T03:25:37Z,28.99038,R+29,Hyde-Smith +29,republican,mississippi,2020-11-12T12:20:29.205314Z
28079,Leake,8404,0,19,19,None,100,8130,>98%,>98% reported,edison,4,all,,646,,,4746,3567,88,3,0,0,0,0,2020-11-11T03:25:37Z,14.02903,R+14,Hyde-Smith +14,republican,mississippi,2020-11-12T12:20:29.205314Z
28081,Lee,31657,0,36,36,Merged into voters' home precincts and released with cumulative results,82,38837,82%,82% reported,edison,4,none,,1452,,,19938,10996,680,43,0,0,0,0,2020-11-11T03:25:37Z,28.24652,R+28,Hyde-Smith +28,republican,mississippi,2020-11-12T12:20:29.205314Z
28083,Leflore,8181,0,18,18,None,100,8181,>98%,>98% reported,edison,6,none,,646,,,2434,5693,52,2,0,0,0,0,2020-11-11T03:25:38Z,39.83621,D+40,Espy +40,democrat,mississippi,2020-11-12T12:20:29.205314Z
28085,Lincoln,14215,0,30,30,None,88,16239,88%,88% reported,edison,2,unknown,,1042,,,9886,4173,148,8,0,0,0,0,2020-11-11T03:25:38Z,40.18994,R+40,Hyde-Smith +40,republican,mississippi,2020-11-12T12:20:29.205314Z
28087,Lowndes,26957,26957,20,20,None,100,26957,>98%,>98% reported,edison,6,all,,1206,,,12918,13657,367,15,12918,13657,367,15,2020-11-11T03:25:39Z,2.7414,D+3,Espy +3,democrat,mississippi,2020-11-12T12:20:29.205314Z
28089,Madison,45773,0,43,43,None,100,45773,>98%,>98% reported,edison,6,none,,2144,,,25209,19790,736,38,0,0,0,0,2020-11-11T03:25:40Z,11.83886,R+12,Hyde-Smith +12,republican,mississippi,2020-11-12T12:20:29.205314Z
28091,Marion,11319,0,22,22,None,98,11520,98%,98% reported,edison,4,unknown,,980,,,7384,3751,178,6,0,0,0,0,2020-11-11T03:25:41Z,32.09647,R+32,Hyde-Smith +32,republican,mississippi,2020-11-12T12:20:29.205314Z
28093,Marshall,12962,0,24,24,Merged into voters' home precincts and released with cumulative results,88,14698,88%,88% reported,edison,2,none,,920,,,6004,6764,192,2,0,0,0,0,2020-11-11T03:25:42Z,5.86329,D+6,Espy +6,democrat,mississippi,2020-11-12T12:20:29.205314Z
28095,Monroe,14382,0,26,26,None,86,16738,86%,86% reported,edison,4,none,,978,,,9033,5056,284,9,0,0,0,0,2020-11-11T03:25:43Z,27.65262,R+28,Hyde-Smith +28,republican,mississippi,2020-11-12T12:20:29.205314Z
28097,Montgomery,5003,0,15,15,None,100,5003,>98%,>98% reported,edison,6,all,,726,,,2692,2224,84,3,0,0,0,0,2020-11-11T03:25:44Z,9.35439,R+9,Hyde-Smith +9,republican,mississippi,2020-11-12T12:20:29.205314Z
28099,Neshoba,11618,0,27,27,None,100,10898,>98%,>98% reported,edison,4,all,,468,,,7788,3589,234,7,0,0,0,0,2020-11-11T03:25:44Z,36.14219,R+36,Hyde-Smith +36,republican,mississippi,2020-11-12T12:20:29.205314Z
28101,Newton,8628,0,16,16,Merged into voters' home precincts and released with cumulative results,89,9673,89%,89% reported,edison,4,unknown,,568,,,5738,2723,163,4,0,0,0,0,2020-11-11T03:25:45Z,34.94437,R+35,Hyde-Smith +35,republican,mississippi,2020-11-12T12:20:29.205314Z
28103,Noxubee,3971,1282,8,8,Merged into voters' home precincts and released with cumulative results,100,3981,>98%,>98% reported,edison,6,none,,382,,,994,2959,18,0,171,1108,3,0,2020-11-11T03:25:46Z,49.48376,D+49,Espy +49,democrat,mississippi,2020-11-12T12:20:29.205314Z
