fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_sullivand,results_grossa,results_howej,results_absentee_sullivand,results_absentee_grossa,results_absentee_howej,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
02901,ED 1,7013,3415,8,9,Released as a separate subtotal as first report of the night,92,7634,92%,92% reported,edison,2,unknown,,4000,,,3393,3218,402,1329,1935,151,2020-11-11T13:18:16Z,2.49537,R+2,Sullivan +2,republican,alaska,2020-11-12T12:19:51.547838Z
02910,ED 10,9880,4765,10,11,Released as a separate subtotal as first report of the night,95,10396,95%,95% reported,edison,2,unknown,,4000,,,6862,2495,523,2906,1679,180,2020-11-11T03:26:09Z,44.2004,R+44,Sullivan +44,republican,alaska,2020-11-12T12:19:51.547838Z
02911,ED 11,9741,5417,7,9,Released as a separate subtotal as first report of the night,87,11142,87%,87% reported,edison,2,unknown,,4000,,,6499,2829,413,3194,2030,193,2020-11-11T13:18:21Z,37.6758,R+38,Sullivan +38,republican,alaska,2020-11-12T12:19:51.547838Z
02912,ED 12,10121,4901,6,7,Released as a separate subtotal as first report of the night,92,10974,92%,92% reported,edison,2,unknown,,4000,,,7168,2580,373,2940,1813,148,2020-11-11T03:26:10Z,45.33149,R+45,Sullivan +45,republican,alaska,2020-11-12T12:19:51.547838Z
02913,ED 13,3377,429,3,6,Released as a separate subtotal as first report of the night,45,7513,45%,45% reported,edison,2,unknown,,4000,,,2408,784,185,236,178,15,2020-11-11T13:18:19Z,48.09002,R+48,Sullivan +48,republican,alaska,2020-11-12T12:19:51.547838Z
02914,ED 14,4655,580,3,7,Released as a separate subtotal as first report of the night,39,11983,39%,39% reported,edison,2,unknown,,4000,,,3394,1062,199,343,229,8,2020-11-11T13:18:19Z,50.09667,R+50,Sullivan +50,republican,alaska,2020-11-12T12:19:51.547838Z
02915,ED 15,4624,2616,4,5,Released as a separate subtotal as first report of the night,81,5729,81%,81% reported,edison,2,unknown,,4000,,,2281,2089,254,1133,1358,125,2020-11-11T13:18:18Z,4.15225,R+4,Sullivan +4,republican,alaska,2020-11-12T12:19:51.547838Z
02916,ED 16,7251,4062,6,7,Released as a separate subtotal as first report of the night,85,8551,85%,85% reported,edison,2,unknown,,4000,,,3220,3687,344,1355,2553,154,2020-11-11T13:18:18Z,6.44049,D+6,Gross +6,democrat,alaska,2020-11-12T12:19:51.547838Z
02917,ED 17,3791,1404,3,7,Released as a separate subtotal as first report of the night,49,7806,49%,49% reported,edison,2,unknown,,4000,,,1850,1762,179,547,821,36,2020-11-11T13:18:17Z,2.32129,R+2,Sullivan +2,republican,alaska,2020-11-12T12:19:51.547838Z
02918,ED 18,3986,1720,4,10,Released as a separate subtotal as first report of the night,47,8512,47%,47% reported,edison,2,unknown,,4000,,,1795,2018,173,635,1029,56,2020-11-11T13:18:17Z,5.59458,D+6,Gross +6,democrat,alaska,2020-11-12T12:19:51.547838Z
02919,ED 19,4656,2510,5,6,Released as a separate subtotal as first report of the night,84,5511,84%,84% reported,edison,2,unknown,,4000,,,1677,2710,269,644,1766,100,2020-11-11T13:18:16Z,22.18643,D+22,Gross +22,democrat,alaska,2020-11-12T12:19:51.547838Z
02902,ED 2,5515,2503,3,4,Released as a separate subtotal as first report of the night,87,6316,87%,87% reported,edison,2,unknown,,4000,,,3308,1847,360,1246,1144,113,2020-11-11T13:18:16Z,26.49139,R+26,Sullivan +26,republican,alaska,2020-11-12T12:19:51.547838Z
02920,ED 20,6669,4675,7,9,Released as a separate subtotal as first report of the night,81,8211,81%,81% reported,edison,2,unknown,,4000,,,2232,4240,197,1276,3296,103,2020-11-11T13:18:16Z,30.10946,D+30,Gross +30,democrat,alaska,2020-11-12T12:19:51.547838Z
02921,ED 21,8641,5182,7,8,Released as a separate subtotal as first report of the night,87,9944,87%,87% reported,edison,2,unknown,,4000,,,3657,4732,252,1620,3463,99,2020-11-11T13:18:15Z,12.44069,D+12,Gross +12,democrat,alaska,2020-11-12T12:19:51.547838Z
02922,ED 22,5413,1453,4,7,Released as a separate subtotal as first report of the night,56,9628,56%,56% reported,edison,2,unknown,,4000,,,3402,1815,196,731,686,36,2020-11-11T13:18:24Z,29.31831,R+29,Sullivan +29,republican,alaska,2020-11-12T12:19:51.547838Z
02923,ED 23,6960,3661,7,8,Released as a separate subtotal as first report of the night,87,7963,87%,87% reported,edison,2,unknown,,4000,,,3395,3275,290,1367,2188,106,2020-11-11T13:18:24Z,1.72414,R+1.7,Sullivan +1.7,republican,alaska,2020-11-12T12:19:51.547838Z
02924,ED 24,5941,1831,4,7,Released as a separate subtotal as first report of the night,56,10684,56%,56% reported,edison,2,unknown,,4000,,,3913,1887,141,963,845,23,2020-11-11T13:18:23Z,34.102,R+34,Sullivan +34,republican,alaska,2020-11-12T12:19:51.547838Z
02925,ED 25,8414,4710,6,7,Released as a separate subtotal as first report of the night,90,9346,90%,90% reported,edison,2,unknown,,4000,,,4109,4009,296,1692,2890,128,2020-11-11T13:18:23Z,1.1885,R+1.2,Sullivan +1.2,republican,alaska,2020-11-12T12:19:51.547838Z
02926,ED 26,5733,1844,4,8,Released as a separate subtotal as first report of the night,56,10241,56%,56% reported,edison,2,unknown,,4000,,,3811,1774,148,1058,747,39,2020-11-11T03:25:55Z,35.53114,R+36,Sullivan +36,republican,alaska,2020-11-12T12:19:51.547838Z
02927,ED 27,5204,1482,4,8,Released as a separate subtotal as first report of the night,52,10100,52%,52% reported,edison,2,unknown,,4000,,,3063,1920,221,708,733,41,2020-11-11T03:25:56Z,21.96387,R+22,Sullivan +22,republican,alaska,2020-11-12T12:19:51.547838Z
02928,ED 28,6889,2026,4,9,Released as a separate subtotal as first report of the night,52,13141,52%,52% reported,edison,2,unknown,,4000,,,4357,2378,154,1069,930,27,2020-11-11T13:18:21Z,28.72696,R+29,Sullivan +29,republican,alaska,2020-11-12T12:19:51.547838Z
02929,ED 29,8687,2807,8,11,Released as a separate subtotal as first report of the night,80,10803,80%,80% reported,edison,2,unknown,,4000,,,5983,2298,406,1444,1293,70,2020-11-11T13:18:21Z,42.41971,R+42,Sullivan +42,republican,alaska,2020-11-12T12:19:51.547838Z
02903,ED 3,7937,2972,5,5,Released as a separate subtotal as first report of the night,91,8755,91%,91% reported,edison,2,unknown,,4000,,,5764,1725,448,1778,1054,140,2020-11-11T03:26:12Z,50.88824,R+51,Sullivan +51,republican,alaska,2020-11-12T12:19:51.547838Z
02930,ED 30,4706,29,3,6,Released as a separate subtotal as first report of the night,46,10293,46%,46% reported,edison,2,unknown,,4000,,,3706,699,301,21,7,1,2020-11-11T13:18:20Z,63.89715,R+64,Sullivan +64,republican,alaska,2020-11-12T12:19:51.547838Z
02931,ED 31,5363,1,4,9,Released as a separate subtotal as first report of the night,46,11709,46%,46% reported,edison,2,unknown,,4000,,,3806,1293,264,0,1,0,2020-11-11T03:25:53Z,46.8581,R+47,Sullivan +47,republican,alaska,2020-11-12T12:19:51.547838Z
02932,ED 32,3934,0,6,14,Released as a separate subtotal as first report of the night,46,8593,46%,46% reported,edison,2,unknown,,4000,,,2436,1307,191,0,0,0,2020-11-11T03:25:54Z,28.69853,R+29,Sullivan +29,republican,alaska,2020-11-12T12:19:51.547838Z
02933,ED 33,5535,2606,5,11,Released as a separate subtotal as first report of the night,48,11424,48%,48% reported,edison,2,unknown,,4000,,,1980,3350,205,675,1875,56,2020-11-11T13:18:19Z,24.75158,D+25,Gross +25,democrat,alaska,2020-11-12T12:19:51.547838Z
02934,ED 34,9936,7209,6,7,Released as a separate subtotal as first report of the night,92,10846,92%,92% reported,edison,2,unknown,,4000,,,4326,5225,385,2667,4320,222,2020-11-11T13:18:18Z,9.04791,D+9,Gross +9,democrat,alaska,2020-11-12T12:19:51.547838Z
02935,ED 35,4064,15,5,14,Released as a separate subtotal as first report of the night,39,10398,39%,39% reported,edison,2,unknown,,4000,,,2211,1504,349,9,5,1,2020-11-11T03:25:56Z,17.39665,R+17,Sullivan +17,republican,alaska,2020-11-12T12:19:51.547838Z
02936,ED 36,5096,1,5,10,Released as a separate subtotal as first report of the night,54,9504,54%,54% reported,edison,2,unknown,,4000,,,3185,1601,310,0,1,0,2020-11-11T03:25:57Z,31.0832,R+31,Sullivan +31,republican,alaska,2020-11-12T12:19:51.547838Z
02937,ED 37,3124,0,19,35,Released as a separate subtotal as first report of the night,54,5821,54%,54% reported,edison,2,unknown,,4000,,,1555,1325,244,0,0,0,2020-11-11T03:25:57Z,7.36236,R+7,Sullivan +7,republican,alaska,2020-11-12T12:19:51.547838Z
02938,ED 38,3822,0,20,31,Released as a separate subtotal as first report of the night,65,5859,65%,65% reported,edison,2,unknown,,4000,,,1270,2025,527,0,0,0,2020-11-11T03:25:58Z,19.75406,D+20,Gross +20,democrat,alaska,2020-11-12T12:19:51.547838Z
