fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_hickenlooperj,results_gardnerc,results_doaner,results_doyled,results_evanss,results_write_ins,results_absentee_hickenlooperj,results_absentee_gardnerc,results_absentee_doaner,results_absentee_doyled,results_absentee_evanss,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
08099,Prowers,5446,0,12,13,Other,92,5919,92%,92% reported,edison,2,unknown,,,,,1417,3933,53,26,17,,0,0,0,0,0,,2020-11-11T03:25:21Z,46.19905,R+46,Gardner +46,republican,colorado,2020-11-12T12:19:56.459270Z
08101,Pueblo,85940,0,119,128,Other,93,92802,93%,93% reported,edison,4,unknown,,,,,42114,41335,1659,529,303,,0,0,0,0,0,,2020-11-11T03:25:21Z,0.90645,D+0.91,Hickenlooper +0.91,democrat,colorado,2020-11-12T12:19:56.459270Z
08103,Rio Blanco,3636,0,4,5,Other,96,3785,96%,96% reported,edison,4,all,,,,,525,3050,46,13,2,,0,0,0,0,0,,2020-11-11T03:25:22Z,69.44444,R+69,Gardner +69,republican,colorado,2020-11-12T12:19:56.459270Z
08105,Rio Grande,6254,0,14,15,Other,100,6280,>98%,>98% reported,edison,6,all,,,,,2493,3622,84,38,17,,0,0,0,0,0,,2020-11-11T03:25:23Z,18.05245,R+18,Gardner +18,republican,colorado,2020-11-12T12:19:56.459270Z
08107,Routt,16723,0,18,18,Other,100,16503,>98%,>98% reported,edison,2,all,,,,,10230,6212,219,38,24,0,0,0,0,0,0,0,2020-11-11T03:25:23Z,24.02679,D+24,Hickenlooper +24,democrat,colorado,2020-11-12T12:19:56.459270Z
08109,Saguache,3332,0,7,7,Other,100,3332,>98%,>98% reported,edison,6,all,,,,,1859,1386,55,11,21,0,0,0,0,0,0,0,2020-11-11T03:25:15Z,14.19568,D+14,Hickenlooper +14,democrat,colorado,2020-11-12T12:19:56.459270Z
08111,San Juan,550,0,1,1,Other,98,563,98%,98% reported,edison,6,unknown,,,,,328,207,10,2,3,,0,0,0,0,0,,2020-11-11T03:25:16Z,22,D+22,Hickenlooper +22,democrat,colorado,2020-11-12T12:19:56.459270Z
08113,San Miguel,5035,0,6,6,Other,99,5108,>98%,>98% reported,edison,4,some,,,,,3777,1174,74,2,8,0,0,0,0,0,0,0,2020-11-11T03:25:17Z,51.69811,D+52,Hickenlooper +52,democrat,colorado,2020-11-12T12:19:56.459270Z
08115,Sedgwick,1443,0,4,5,Other,96,1497,96%,96% reported,edison,2,unknown,,,,,318,1101,14,9,1,,0,0,0,0,0,,2020-11-11T03:25:18Z,54.26195,R+54,Gardner +54,republican,colorado,2020-11-12T12:19:56.459270Z
08117,Summit,18262,0,19,20,Other,96,19085,96%,96% reported,edison,2,some,,,,,12085,5768,348,24,37,,0,0,0,0,0,,2020-11-11T03:25:19Z,34.59095,D+35,Hickenlooper +35,democrat,colorado,2020-11-12T12:19:56.459270Z
08119,Teller,16620,0,13,13,Other,98,17044,98%,98% reported,edison,2,unknown,,,,,4987,11225,333,54,21,,0,0,0,0,0,,2020-11-11T03:25:20Z,37.53309,R+38,Gardner +38,republican,colorado,2020-11-12T12:19:56.459270Z
08121,Washington,2933,0,5,6,Other,98,2998,98%,98% reported,edison,2,unknown,,,,,342,2561,20,4,6,,0,0,0,0,0,,2020-11-11T03:25:12Z,75.65632,R+76,Gardner +76,republican,colorado,2020-11-12T12:19:56.459270Z
08123,Weld,164544,0,156,156,Other,100,159805,>98%,>98% reported,edison,4,all,,,,,62822,98195,2700,458,369,,0,0,0,0,0,,2020-11-11T03:25:12Z,21.49759,R+21,Gardner +21,republican,colorado,2020-11-12T12:19:56.459270Z
08125,Yuma,4882,0,12,14,Other,93,5255,93%,93% reported,edison,2,unknown,,,,,632,4200,28,18,4,,0,0,0,0,0,,2020-11-11T03:25:13Z,73.0848,R+73,Gardner +73,republican,colorado,2020-11-12T12:19:56.459270Z
