fips,name,votes,absentee_votes,reporting,precincts,eevp_display,eevp_source,results_mcgovernj,results_lovvornt,results_absentee_mcgovernj,results_absentee_lovvornt,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,results_write_ins,results_absentee_write_ins,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
25011,Franklin,29266,0,26,28,"",edison,21620,7646,0,0,2020-11-14T16:39:54Z,47.74824,D+48,McGovern +48,democrat,,,MA-G-H-2-2020-11-03,ma-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-massachusetts-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-massachusetts.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-massachusetts.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,MA,massachusetts,Massachusetts,Mass.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",372230,13285,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,219,234,94% reporting,94%,94,394000,edison,94%,94% reported,edison,democrat,FALSE,2020-11-14T16:40:34Z,TRUE,32.98283,122772,D+33,McGovern +33,democrat,"","",3,0,1604467851087
25013,Hampden,207,0,1,1,"",edison,111,96,0,0,2020-11-14T16:39:46Z,7.24638,D+7,McGovern +7,democrat,,,MA-G-H-2-2020-11-03,ma-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-massachusetts-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-massachusetts.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-massachusetts.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,MA,massachusetts,Massachusetts,Mass.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",372230,13285,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,219,234,94% reporting,94%,94,394000,edison,94%,94% reported,edison,democrat,FALSE,2020-11-14T16:40:34Z,TRUE,32.98283,122772,D+33,McGovern +33,democrat,"","",3,0,1604467851087
25015,Hampshire,48617,4800,30,34,"",edison,38941,9676,2508,2292,2020-11-14T16:39:39Z,60.19499,D+60,McGovern +60,democrat,,,MA-G-H-2-2020-11-03,ma-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-massachusetts-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-massachusetts.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-massachusetts.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,MA,massachusetts,Massachusetts,Mass.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",372230,13285,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,219,234,94% reporting,94%,94,394000,edison,94%,94% reported,edison,democrat,FALSE,2020-11-14T16:40:34Z,TRUE,32.98283,122772,D+33,McGovern +33,democrat,"","",3,0,1604467851087
25021,Norfolk,3414,48,1,1,"",edison,1093,928,0,0,2020-11-14T16:39:35Z,8.78735,W+9,Write-ins +9,write-ins,1393,48,MA-G-H-2-2020-11-03,ma-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-massachusetts-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-massachusetts.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-massachusetts.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,MA,massachusetts,Massachusetts,Mass.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",372230,13285,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,219,234,94% reporting,94%,94,394000,edison,94%,94% reported,edison,democrat,FALSE,2020-11-14T16:40:34Z,TRUE,32.98283,122772,D+33,McGovern +33,democrat,"","",3,0,1604467851087
25027,Worcester,291581,8478,161,170,"",edison,185467,106114,6239,2239,2020-11-14T16:39:38Z,27.21474,D+27,McGovern +27,democrat,,,MA-G-H-2-2020-11-03,ma-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-massachusetts-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-massachusetts.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-massachusetts.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,MA,massachusetts,Massachusetts,Mass.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",372230,13285,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,219,234,94% reporting,94%,94,394000,edison,94%,94% reported,edison,democrat,FALSE,2020-11-14T16:40:34Z,TRUE,32.98283,122772,D+33,McGovern +33,democrat,"","",3,0,1604467851087
