fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_simpsonm,results_swishera,results_lawi,results_pro_life,results_absentee_simpsonm,results_absentee_swishera,results_absentee_lawi,results_absentee_pro_life,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
16033,Clark,305,0,3,3,Merged into voters' home precincts and released with cumulative results,96,317,96%,96% reported,edison,2,none,106,270,29,3,3,0,0,0,0,2020-11-14T16:38:55Z,79.01639,R+79,Simpson +79,republican,ID-G-H-2-2020-11-03,id-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-idaho-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-idaho.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-idaho.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,ID,idaho,Idaho,Idaho,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",366665,138331,8,unknown,First polls close at 10 p.m. Eastern time.,First polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,461,498,93% reporting,93%,99,371000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-14T16:40:09Z,TRUE,30.98414,113608,R+31,Simpson +31,republican,"","",0,0,1604468484097
16037,Custer,2656,0,10,10,Released as a separate subtotal at the end of tabulation,98,2703,98%,98% reported,edison,2,unknown,853,2050,458,43,105,0,0,0,0,2020-11-14T16:38:56Z,59.93976,R+60,Simpson +60,republican,ID-G-H-2-2020-11-03,id-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-idaho-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-idaho.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-idaho.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,ID,idaho,Idaho,Idaho,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",366665,138331,8,unknown,First polls close at 10 p.m. Eastern time.,First polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,461,498,93% reporting,93%,99,371000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-14T16:40:09Z,TRUE,30.98414,113608,R+31,Simpson +31,republican,"","",0,0,1604468484097
16039,Elmore,9987,0,18,18,"As a precinct in the FIRST cumulative report, along with regular precincts",100,9541,>98%,>98% reported,edison,2,none,3600,7254,2237,230,266,0,0,0,0,2020-11-14T16:38:57Z,50.23531,R+50,Simpson +50,republican,ID-G-H-2-2020-11-03,id-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-idaho-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-idaho.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-idaho.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,ID,idaho,Idaho,Idaho,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",366665,138331,8,unknown,First polls close at 10 p.m. Eastern time.,First polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,461,498,93% reporting,93%,99,371000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-14T16:40:09Z,TRUE,30.98414,113608,R+31,Simpson +31,republican,"","",0,0,1604468484097
16041,Franklin,6587,0,18,18,Released as a separate subtotal as first report of the night,100,6159,>98%,>98% reported,edison,2,none,1222,5803,493,89,202,0,0,0,0,2020-11-14T16:38:57Z,80.61333,R+81,Simpson +81,republican,ID-G-H-2-2020-11-03,id-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-idaho-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-idaho.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-idaho.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,ID,idaho,Idaho,Idaho,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",366665,138331,8,unknown,First polls close at 10 p.m. Eastern time.,First polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,461,498,93% reporting,93%,99,371000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-14T16:40:09Z,TRUE,30.98414,113608,R+31,Simpson +31,republican,"","",0,0,1604468484097
16043,Fremont,6651,2612,14,14,Released as a precinct as first report of the night,100,6399,>98%,>98% reported,edison,2,none,1637,5569,793,102,187,2003,533,24,52,2020-11-14T16:38:59Z,71.80875,R+72,Simpson +72,republican,ID-G-H-2-2020-11-03,id-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-idaho-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-idaho.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-idaho.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,ID,idaho,Idaho,Idaho,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",366665,138331,8,unknown,First polls close at 10 p.m. Eastern time.,First polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,461,498,93% reporting,93%,99,371000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-14T16:40:09Z,TRUE,30.98414,113608,R+31,Simpson +31,republican,"","",0,0,1604468484097
16047,Gooding,5982,2717,7,7,Merged into voters' home precincts and released with cumulative results,100,5814,>98%,>98% reported,edison,2,unknown,1237,4684,1036,115,147,1944,688,33,52,2020-11-14T16:39:00Z,60.98295,R+61,Simpson +61,republican,ID-G-H-2-2020-11-03,id-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-idaho-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-idaho.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-idaho.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,ID,idaho,Idaho,Idaho,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",366665,138331,8,unknown,First polls close at 10 p.m. Eastern time.,First polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,461,498,93% reporting,93%,99,371000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-14T16:40:09Z,TRUE,30.98414,113608,R+31,Simpson +31,republican,"","",0,0,1604468484097
16051,Jefferson,13887,0,21,21,Released as a precinct as first report of the night,100,12848,>98%,>98% reported,edison,4,some,3248,12058,1245,199,385,0,0,0,0,2020-11-14T16:39:02Z,77.86419,R+78,Simpson +78,republican,ID-G-H-2-2020-11-03,id-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-idaho-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-idaho.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-idaho.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,ID,idaho,Idaho,Idaho,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",366665,138331,8,unknown,First polls close at 10 p.m. Eastern time.,First polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,461,498,93% reporting,93%,99,371000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-14T16:40:09Z,TRUE,30.98414,113608,R+31,Simpson +31,republican,"","",0,0,1604468484097
16053,Jerome,7686,0,12,12,Released as a precinct as first report of the night,100,7561,>98%,>98% reported,edison,2,none,2162,5808,1470,152,256,0,0,0,0,2020-11-14T16:39:02Z,56.44028,R+56,Simpson +56,republican,ID-G-H-2-2020-11-03,id-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-idaho-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-idaho.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-idaho.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,ID,idaho,Idaho,Idaho,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",366665,138331,8,unknown,First polls close at 10 p.m. Eastern time.,First polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,461,498,93% reporting,93%,99,371000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-14T16:40:09Z,TRUE,30.98414,113608,R+31,Simpson +31,republican,"","",0,0,1604468484097
16059,Lemhi,4642,0,12,12,"As a precinct in the FIRST cumulative report, along with regular precincts",100,4588,>98%,>98% reported,edison,2,none,2112,3623,860,64,95,0,0,0,0,2020-11-14T16:39:04Z,59.52176,R+60,Simpson +60,republican,ID-G-H-2-2020-11-03,id-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-idaho-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-idaho.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-idaho.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,ID,idaho,Idaho,Idaho,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",366665,138331,8,unknown,First polls close at 10 p.m. Eastern time.,First polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,461,498,93% reporting,93%,99,371000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-14T16:40:09Z,TRUE,30.98414,113608,R+31,Simpson +31,republican,"","",0,0,1604468484097
16063,Lincoln,1905,0,3,3,"As a precinct in the FIRST cumulative report, along with regular precincts",97,1958,97%,97% reported,edison,2,unknown,422,1501,325,40,39,0,0,0,0,2020-11-14T16:39:05Z,61.73228,R+62,Simpson +62,republican,ID-G-H-2-2020-11-03,id-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-idaho-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-idaho.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-idaho.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,ID,idaho,Idaho,Idaho,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",366665,138331,8,unknown,First polls close at 10 p.m. Eastern time.,First polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,461,498,93% reporting,93%,99,371000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-14T16:40:09Z,TRUE,30.98414,113608,R+31,Simpson +31,republican,"","",0,0,1604468484097
