fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_timmonsw,results_nelsonk,results_chandlerm,results_absentee_timmonsw,results_absentee_nelsonk,results_absentee_chandlerm,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
45045,Greenville,222516,81149,133,134,Released as a precinct in the middle of the night,100,222516,>98%,>98% reported,edison,10,unknown,32851,135460,83995,3061,36955,43460,734,2020-11-14T16:39:40Z,23.12867,R+23,Timmons +23,republican,SC-G-H-4-2020-11-03,sc-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-carolina-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-south-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-south-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,SC,south-carolina,South Carolina,S.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",360239,140946,2,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,225,226,99% reporting,99%,99,360550,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-14T16:41:48Z,TRUE,24.73441,89103,R+25,Timmons +25,republican,"","",0,0,1604469631447
45083,Spartanburg,137723,59797,92,92,Released as a precinct as first report of the night,100,137723,>98%,>98% reported,edison,10,all,30728,86666,49028,2029,30914,28277,606,2020-11-14T16:39:41Z,27.32877,R+27,Timmons +27,republican,SC-G-H-4-2020-11-03,sc-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-carolina-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-south-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-south-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,SC,south-carolina,South Carolina,S.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",360239,140946,2,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,225,226,99% reporting,99%,99,360550,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-14T16:41:48Z,TRUE,24.73441,89103,R+25,Timmons +25,republican,"","",0,0,1604469631447
