fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_lucasf,results_midyettz,results_absentee_lucasf,results_absentee_midyettz,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
40003,Alfalfa,2252,529,8,8,Released as a separate subtotal as first report of the night,100,2252,>98%,>98% reported,edison,10,unknown,512,2034,218,444,85,2020-11-14T16:40:06Z,80.63943,R+81,Lucas +81,republican,OK-G-H-3-2020-11-03,ok-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oklahoma.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,OK,oklahoma,Oklahoma,Okla.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",309178,79235,32,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,479,479,100% reporting,100%,99,309178,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-14T16:40:13Z,TRUE,56.98206,176176,R+57,Lucas +57,republican,0,0,1604456490818
40007,Beaver,2163,504,7,7,Released as a separate subtotal as first report of the night,100,2163,>98%,>98% reported,edison,10,unknown,675,1988,175,432,72,2020-11-14T16:40:06Z,83.81877,R+84,Lucas +84,republican,OK-G-H-3-2020-11-03,ok-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oklahoma.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,OK,oklahoma,Oklahoma,Okla.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",309178,79235,32,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,479,479,100% reporting,100%,99,309178,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-14T16:40:13Z,TRUE,56.98206,176176,R+57,Lucas +57,republican,0,0,1604456490818
40009,Beckham,7915,2178,13,13,Released as a separate subtotal as first report of the night,100,7915,>98%,>98% reported,edison,10,unknown,1622,6884,1031,1806,372,2020-11-14T16:40:07Z,73.9482,R+74,Lucas +74,republican,OK-G-H-3-2020-11-03,ok-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oklahoma.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,OK,oklahoma,Oklahoma,Okla.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",309178,79235,32,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,479,479,100% reporting,100%,99,309178,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-14T16:40:13Z,TRUE,56.98206,176176,R+57,Lucas +57,republican,0,0,1604456490818
40011,Blaine,3878,821,9,9,Released as a separate subtotal as first report of the night,100,3878,>98%,>98% reported,edison,10,unknown,846,3253,625,651,170,2020-11-14T16:40:08Z,67.76689,R+68,Lucas +68,republican,OK-G-H-3-2020-11-03,ok-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oklahoma.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,OK,oklahoma,Oklahoma,Okla.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",309178,79235,32,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,479,479,100% reporting,100%,99,309178,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-14T16:40:13Z,TRUE,56.98206,176176,R+57,Lucas +57,republican,0,0,1604456490818
40015,Caddo,9806,1528,20,20,Released as a separate subtotal as first report of the night,100,9806,>98%,>98% reported,edison,10,unknown,1565,7346,2460,955,573,2020-11-14T16:40:08Z,49.82664,R+50,Lucas +50,republican,OK-G-H-3-2020-11-03,ok-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oklahoma.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,OK,oklahoma,Oklahoma,Okla.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",309178,79235,32,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,479,479,100% reporting,100%,99,309178,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-14T16:40:13Z,TRUE,56.98206,176176,R+57,Lucas +57,republican,0,0,1604456490818
40017,Canadian,51836,13560,42,42,Released as a separate subtotal as first report of the night,100,51836,>98%,>98% reported,edison,10,unknown,10027,38550,13286,8033,5527,2020-11-14T16:40:09Z,48.73833,R+49,Lucas +49,republican,OK-G-H-3-2020-11-03,ok-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oklahoma.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,OK,oklahoma,Oklahoma,Okla.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",309178,79235,32,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,479,479,100% reporting,100%,99,309178,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-14T16:40:13Z,TRUE,56.98206,176176,R+57,Lucas +57,republican,0,0,1604456490818
40025,Cimarron,1042,402,6,6,Released as a separate subtotal as first report of the night,100,1042,>98%,>98% reported,edison,10,unknown,672,967,75,374,28,2020-11-14T16:40:09Z,85.60461,R+86,Lucas +86,republican,OK-G-H-3-2020-11-03,ok-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oklahoma.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,OK,oklahoma,Oklahoma,Okla.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",309178,79235,32,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,479,479,100% reporting,100%,99,309178,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-14T16:40:13Z,TRUE,56.98206,176176,R+57,Lucas +57,republican,0,0,1604456490818
40037,Creek,27064,5378,31,31,Released as a separate subtotal as first report of the night,100,27064,>98%,>98% reported,edison,10,all,6525,21329,5735,3409,1969,2020-11-14T16:40:10Z,57.61898,R+58,Lucas +58,republican,OK-G-H-3-2020-11-03,ok-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oklahoma.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,OK,oklahoma,Oklahoma,Okla.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",309178,79235,32,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,479,479,100% reporting,100%,99,309178,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-14T16:40:13Z,TRUE,56.98206,176176,R+57,Lucas +57,republican,0,0,1604456490818
40039,Custer,10639,2545,13,13,Released as a separate subtotal as first report of the night,100,10639,>98%,>98% reported,edison,10,unknown,2330,8554,2085,1828,717,2020-11-14T16:40:10Z,60.80459,R+61,Lucas +61,republican,OK-G-H-3-2020-11-03,ok-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oklahoma.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,OK,oklahoma,Oklahoma,Okla.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",309178,79235,32,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,479,479,100% reporting,100%,99,309178,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-14T16:40:13Z,TRUE,56.98206,176176,R+57,Lucas +57,republican,0,0,1604456490818
40043,Dewey,2354,371,9,9,Released as a separate subtotal as first report of the night,100,2354,>98%,>98% reported,edison,10,unknown,440,2169,185,331,40,2020-11-14T16:40:11Z,84.28207,R+84,Lucas +84,republican,OK-G-H-3-2020-11-03,ok-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oklahoma.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,OK,oklahoma,Oklahoma,Okla.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",309178,79235,32,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,479,479,100% reporting,100%,99,309178,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-14T16:40:13Z,TRUE,56.98206,176176,R+57,Lucas +57,republican,0,0,1604456490818
