fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_sherrillm,results_becchir,results_absentee_sherrillm,results_absentee_becchir,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
34013,Essex,109099,0,166,176,Released as a separate subtotal as first report of the night,95,115400,95%,95% reported,edison,2,unknown,24131,67994,41105,0,0,2020-11-14T16:39:41Z,24.64642,D+25,Sherrill +25,democrat,NJ-G-H-11-2020-11-03,nj-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-jersey-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-jersey.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-jersey.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,solid-dem,11,District 11,NJ,new-jersey,New Jersey,N.J.,vertical,0.7,"",FALSE,TRUE,winner,AP,FALSE,"",418528,74087,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,578,613,94% reporting,94%,95,442000,edison,95%,95% reported,edison,democrat,FALSE,2020-11-14T16:39:50Z,TRUE,6.88986,28836,D+7,Sherrill +7,democrat,"","",7,0,1604458227683
34027,Morris,210308,0,287,302,Merged into voters' home precincts and released with cumulative results,95,221529,95%,95% reported,edison,2,unknown,33525,109370,100938,0,0,2020-11-14T16:39:41Z,4.00936,D+4,Sherrill +4,democrat,NJ-G-H-11-2020-11-03,nj-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-jersey-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-jersey.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-jersey.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,solid-dem,11,District 11,NJ,new-jersey,New Jersey,N.J.,vertical,0.7,"",FALSE,TRUE,winner,AP,FALSE,"",418528,74087,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,578,613,94% reporting,94%,95,442000,edison,95%,95% reported,edison,democrat,FALSE,2020-11-14T16:39:50Z,TRUE,6.88986,28836,D+7,Sherrill +7,democrat,"","",7,0,1604458227683
34031,Passaic,70861,47938,86,94,None,94,75084,94%,94% reported,edison,2,some,17333,33988,36873,24671,23267,2020-11-14T16:39:42Z,4.07135,R+4,Becchi +4,republican,NJ-G-H-11-2020-11-03,nj-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-jersey-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-jersey.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-jersey.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,solid-dem,11,District 11,NJ,new-jersey,New Jersey,N.J.,vertical,0.7,"",FALSE,TRUE,winner,AP,FALSE,"",418528,74087,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,578,613,94% reporting,94%,95,442000,edison,95%,95% reported,edison,democrat,FALSE,2020-11-14T16:39:50Z,TRUE,6.88986,28836,D+7,Sherrill +7,democrat,"","",7,0,1604458227683
34037,Sussex,28260,26149,39,41,Merged into voters' home precincts and released with cumulative results,96,29477,96%,96% reported,edison,4,some,9122,12330,15930,11608,14541,2020-11-14T16:39:43Z,12.73885,R+13,Becchi +13,republican,NJ-G-H-11-2020-11-03,nj-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-jersey-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-jersey.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-jersey.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,solid-dem,11,District 11,NJ,new-jersey,New Jersey,N.J.,vertical,0.7,"",FALSE,TRUE,winner,AP,FALSE,"",418528,74087,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,578,613,94% reporting,94%,95,442000,edison,95%,95% reported,edison,democrat,FALSE,2020-11-14T16:39:50Z,TRUE,6.88986,28836,D+7,Sherrill +7,democrat,"","",7,0,1604458227683
