fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_siresa,results_mushnickj,results_delaneyd,results_absentee_siresa,results_absentee_mushnickj,results_absentee_delaneyd,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
34003,Bergen,2903,2625,3,5,Merged into voters' home precincts AFTER election night,68,4251,68%,68% reported,edison,2,some,45653,1898,968,37,1720,871,34,2020-11-14T16:39:32Z,32.03583,D+32,Sires +32,democrat,NJ-G-H-8-2020-11-03,nj-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-jersey-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-jersey.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-jersey.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-dem,8,District 8,NJ,new-jersey,New Jersey,N.J.,vertical,0.7,"",FALSE,TRUE,winner,AP,FALSE,"",176246,14771,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,306,456,67% reporting,67%,67,262000,edison,67%,67% reported,edison,democrat,FALSE,2020-11-14T16:39:48Z,TRUE,53.91158,95017,D+54,Sires +54,democrat,"","",7,0,1604455797886
34013,Essex,34910,0,54,77,Released as a separate subtotal as first report of the night,70,49698,70%,70% reported,edison,2,unknown,24131,25893,8763,254,0,0,0,2020-11-14T16:39:30Z,49.06903,D+49,Sires +49,democrat,NJ-G-H-8-2020-11-03,nj-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-jersey-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-jersey.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-jersey.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-dem,8,District 8,NJ,new-jersey,New Jersey,N.J.,vertical,0.7,"",FALSE,TRUE,winner,AP,FALSE,"",176246,14771,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,306,456,67% reporting,67%,67,262000,edison,67%,67% reported,edison,democrat,FALSE,2020-11-14T16:39:48Z,TRUE,53.91158,95017,D+54,Sires +54,democrat,"","",7,0,1604455797886
34017,Hudson,112897,0,205,311,Released as a separate subtotal as first report of the night,66,171154,66%,66% reported,edison,2,some,14745,87448,23627,1822,0,0,0,2020-11-14T16:39:32Z,56.53029,D+57,Sires +57,democrat,NJ-G-H-8-2020-11-03,nj-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-jersey-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-jersey.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-jersey.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-dem,8,District 8,NJ,new-jersey,New Jersey,N.J.,vertical,0.7,"",FALSE,TRUE,winner,AP,FALSE,"",176246,14771,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,306,456,67% reporting,67%,67,262000,edison,67%,67% reported,edison,democrat,FALSE,2020-11-14T16:39:48Z,TRUE,53.91158,95017,D+54,Sires +54,democrat,"","",7,0,1604455797886
34039,Union,25536,12146,44,63,Merged into voters' home precincts and released with cumulative results,100,12162,>98%,>98% reported,edison,6,all,25247,19263,6127,146,9685,2396,65,2020-11-14T16:39:33Z,51.4411,D+51,Sires +51,democrat,NJ-G-H-8-2020-11-03,nj-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-jersey-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-jersey.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-jersey.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-dem,8,District 8,NJ,new-jersey,New Jersey,N.J.,vertical,0.7,"",FALSE,TRUE,winner,AP,FALSE,"",176246,14771,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,306,456,67% reporting,67%,67,262000,edison,67%,67% reported,edison,democrat,FALSE,2020-11-14T16:39:48Z,TRUE,53.91158,95017,D+54,Sires +54,democrat,"","",7,0,1604455797886
